,timestamp,open,high,low,close,volume
0,2019-09-24,5.86,5.86,5.86,5.62,97
1,2019-09-23,6.15,6.2073,5.79,5.83,26458
2,2019-09-20,6.26,6.628,6.1,6.12,89500
3,2019-09-19,6.49,6.55,6.398,6.43,40700
4,2019-09-18,6.55,6.65,6.27,6.46,59400
5,2019-09-17,6.25,6.39,6.05,6.23,31500
6,2019-09-16,6.13,6.43,5.87,6.25,34700
7,2019-09-13,6.37,6.37,6.075,6.09,43800
8,2019-09-12,6.25,6.36,5.993,6.21,29400
9,2019-09-11,6.43,6.59,6.133,6.36,23400
10,2019-09-10,6.3,6.57,6.09,6.35,50600
11,2019-09-09,6.05,6.46,5.91,6.3,63100
12,2019-09-06,5.54,5.96,5.54,5.86,26700
13,2019-09-05,5.37,5.67,5.23,5.59,18900
14,2019-09-04,5.56,5.745,5.27,5.27,14400
15,2019-09-03,5.61,5.68,5.35,5.56,18800
16,2019-08-30,5.49,6.53,5.37,5.61,50200
17,2019-08-29,5.28,5.83,5.193,5.43,25200
18,2019-08-28,5.04,5.4,4.94,5.29,14400
19,2019-08-27,5.01,5.15,4.81,5.07,42200
20,2019-08-26,4.75,4.86,4.505,4.86,6100
21,2019-08-23,5.14,5.14,4.48,4.77,60200
22,2019-08-22,5.15,5.36,5.07,5.13,30500
23,2019-08-21,4.58,4.91,4.58,4.72,21800
24,2019-08-20,4.64,4.71,4.54,4.58,7700
25,2019-08-19,4.71,4.99,4.58,4.7,31800
26,2019-08-16,4.51,4.8,4.51,4.65,17900
27,2019-08-15,4.44,4.61,4.44,4.5,8200
28,2019-08-14,4.55,4.55,4.431,4.44,11400
29,2019-08-13,4.725,4.743,4.53,4.61,16600
30,2019-08-12,4.61,4.77,4.59,4.61,6100
31,2019-08-09,4.8001,4.83,4.6,4.65,27000
32,2019-08-08,4.65,4.905,4.647,4.72,37800
33,2019-08-07,4.49,4.67,4.48,4.52,13300
34,2019-08-06,4.49,4.725,4.41,4.49,16400
35,2019-08-05,4.6,4.6,4.31,4.45,18600
36,2019-08-02,4.79,4.986,4.64,4.64,13100
37,2019-08-01,4.92,5.0,4.7662,4.83,12800
38,2019-07-31,5.01,5.1,4.862,4.92,13600
39,2019-07-30,4.95,5.09,4.79,5.01,16200
40,2019-07-29,4.883,5.015,4.8,4.82,17900
41,2019-07-26,5.0,5.1,4.9798,5.01,16600
42,2019-07-25,5.03,5.1,4.92,4.97,13200
43,2019-07-24,4.87,5.146,4.834,4.95,14500
44,2019-07-23,5.15,5.15,4.82,4.9,31400
45,2019-07-22,5.15,5.38,5.0099,5.16,15400
46,2019-07-19,5.08,5.3099,5.08,5.15,33600
47,2019-07-18,5.22,5.3,5.07,5.13,10600
48,2019-07-17,5.85,5.8601,4.91,5.17,45300
49,2019-07-16,5.91,5.91,5.85,5.89,8100
