,timestamp,open,high,low,close,volume
0,2019-09-23,0.78,0.8528,0.78,0.8368,20545
1,2019-09-20,0.9031,0.925,0.7986,0.7986,149589
2,2019-09-19,0.81,0.9,0.79,0.87,300400
3,2019-09-18,0.8,0.915,0.75,0.823,409300
4,2019-09-17,0.781,0.82,0.739,0.78,60700
5,2019-09-16,0.84,0.84,0.78,0.789,79700
6,2019-09-13,0.839,0.839,0.792,0.795,87000
7,2019-09-12,0.81,0.825,0.734,0.808,157900
8,2019-09-11,0.66,0.792,0.626,0.76,320100
9,2019-09-10,0.6,0.639,0.576,0.63,293300
10,2019-09-09,0.493,0.59,0.47,0.575,339100
11,2019-09-06,0.5,0.5,0.475,0.493,31700
12,2019-09-05,0.5,0.5,0.47,0.486,53000
13,2019-09-04,0.483,0.497,0.47,0.487,37800
14,2019-09-03,0.5,0.51,0.45,0.467,67000
15,2019-08-30,0.488,0.5,0.476,0.495,25800
16,2019-08-29,0.486,0.52,0.47,0.485,32600
17,2019-08-28,0.526,0.526,0.48,0.481,62700
18,2019-08-27,0.58,0.58,0.471,0.481,241000
19,2019-08-26,0.523,0.579,0.46,0.469,385400
20,2019-08-23,0.56,0.579,0.515,0.522,100100
21,2019-08-22,0.56,0.585,0.56,0.56,44000
22,2019-08-21,0.567,0.59,0.56,0.58,17600
23,2019-08-20,0.556,0.612,0.556,0.57,29800
24,2019-08-19,0.54,0.63,0.54,0.556,68400
25,2019-08-16,0.59,0.62,0.56,0.56,80600
26,2019-08-15,0.6,0.6,0.57,0.579,26600
27,2019-08-14,0.54,0.62,0.54,0.57,147200
28,2019-08-13,0.55,0.575,0.54,0.544,34600
29,2019-08-12,0.54,0.6,0.54,0.55,25000
30,2019-08-09,0.54,0.631,0.54,0.556,273100
31,2019-08-08,0.54,0.55,0.52,0.52,63100
32,2019-08-07,0.48,0.55,0.453,0.532,96100
33,2019-08-06,0.549,0.55,0.45,0.486,90200
34,2019-08-05,0.519,0.55,0.51,0.55,60000
35,2019-08-02,0.545,0.545,0.51,0.54,56100
