,timestamp,open,high,low,close,volume
0,2019-09-23,1.29,1.29,1.25,1.29,15503
1,2019-09-20,1.33,1.39,1.29,1.29,96641
2,2019-09-19,1.36,1.4,1.32,1.32,216400
3,2019-09-18,1.34,1.39,1.34,1.36,84400
4,2019-09-17,1.3,1.37,1.3,1.34,75900
5,2019-09-16,1.34,1.34,1.28,1.3,142400
6,2019-09-13,1.32,1.4,1.31,1.35,76600
7,2019-09-12,1.4,1.4,1.32,1.33,170200
8,2019-09-11,1.35,1.4,1.321,1.39,131400
9,2019-09-10,1.3,1.4,1.3,1.37,156100
10,2019-09-09,1.22,1.32,1.22,1.29,76100
11,2019-09-06,1.24,1.24,1.2,1.22,85100
12,2019-09-05,1.25,1.25,1.2,1.25,50100
13,2019-09-04,1.19,1.26,1.16,1.24,54700
14,2019-09-03,1.31,1.31,1.2,1.2,84600
15,2019-08-30,1.26,1.32,1.26,1.3,63800
16,2019-08-29,1.31,1.32,1.24,1.24,117700
17,2019-08-28,1.19,1.28,1.161,1.28,53700
18,2019-08-27,1.22,1.23,1.17,1.18,78900
19,2019-08-26,1.27,1.305,1.16,1.21,184300
20,2019-08-23,1.34,1.39,1.27,1.27,91900
21,2019-08-22,1.33,1.35,1.31,1.33,30200
22,2019-08-21,1.27,1.35,1.269,1.34,97800
23,2019-08-20,1.26,1.29,1.25,1.27,56000
24,2019-08-19,1.25,1.3,1.25,1.26,82200
25,2019-08-16,1.23,1.28,1.23,1.25,47300
26,2019-08-15,1.29,1.3,1.22,1.24,108500
27,2019-08-14,1.26,1.31,1.26,1.28,80100
28,2019-08-13,1.3,1.35,1.29,1.29,56600
29,2019-08-12,1.34,1.4,1.3,1.31,69800
30,2019-08-09,1.32,1.421,1.32,1.36,193100
31,2019-08-08,1.3001,1.35,1.25,1.34,198200
32,2019-08-07,1.22,1.32,1.22,1.3,190300
33,2019-08-06,1.2,1.253,1.18,1.23,125100
34,2019-08-05,1.24,1.26,1.15,1.2,201800
35,2019-08-02,1.26,1.28,1.21,1.27,168700
36,2019-08-01,1.39,1.41,1.22,1.26,224700
37,2019-07-31,1.32,1.55,1.31,1.38,864800
38,2019-07-30,1.23,1.32,1.22,1.32,108800
39,2019-07-29,1.26,1.3,1.24,1.25,74100
40,2019-07-26,1.19,1.35,1.19,1.26,228300
41,2019-07-25,1.22,1.29,1.17,1.18,227300
42,2019-07-24,1.28,1.2839,1.18,1.21,235300
43,2019-07-23,1.2501,1.33,1.203,1.27,431600
44,2019-07-22,1.22,1.27,1.199,1.25,147700
45,2019-07-19,1.28,1.285,1.19,1.23,119000
46,2019-07-18,1.29,1.29,1.2,1.26,106700
47,2019-07-17,1.29,1.3199,1.17,1.27,316000
48,2019-07-16,1.12,1.34,1.12,1.29,823500
49,2019-07-15,1.11,1.14,1.08,1.12,91000
50,2019-07-12,1.09,1.14,1.07,1.11,124900
51,2019-07-11,1.14,1.149,1.08,1.11,135600
52,2019-07-10,1.15,1.16,1.1,1.13,179400
53,2019-07-09,1.14,1.17,1.11,1.13,191500
54,2019-07-08,1.11,1.155,1.087,1.13,167700
55,2019-07-05,1.05,1.12,1.05,1.1,254500
56,2019-07-03,1.05,1.1,1.05,1.07,104200
57,2019-07-02,1.05,1.07,1.03,1.05,166900
58,2019-07-01,1.07,1.07,1.01,1.03,297200
59,2019-06-28,1.05,1.1,1.01,1.02,3303300
60,2019-06-27,1.06,1.13,1.04,1.05,314400
61,2019-06-26,1.1,1.1,1.04,1.05,197900
62,2019-06-25,1.07,1.14,1.03,1.1,247900
63,2019-06-24,1.12,1.12,1.02,1.06,210500
64,2019-06-21,1.08,1.14,1.07,1.1,151200
65,2019-06-20,1.19,1.19,1.08,1.1,305200
66,2019-06-19,1.12,1.15,1.08,1.15,145500
67,2019-06-18,1.05,1.18,1.042,1.13,571700
68,2019-06-17,1.02,1.07,1.02,1.04,180800
69,2019-06-14,1.05,1.07,1.01,1.02,153500
70,2019-06-13,1.02,1.08,1.0,1.04,313400
71,2019-06-12,1.0299,1.05,0.99,1.02,383200
72,2019-06-11,0.99,1.03,0.975,1.02,320400
73,2019-06-10,1.04,1.044,0.951,0.999,539200
74,2019-06-07,1.06,1.08,1.02,1.04,291400
75,2019-06-06,1.04,1.09,0.95,1.08,776100
76,2019-06-05,1.05,1.09,1.03,1.07,450800
77,2019-06-04,1.27,1.27,1.03,1.06,2158200
78,2019-06-03,1.03,1.38,1.015,1.29,2348700
79,2019-05-31,1.0,1.07,0.97,1.03,398100
80,2019-05-30,1.033,1.09,1.02,1.07,268900
81,2019-05-29,1.03,1.04,1.01,1.02,184100
82,2019-05-28,1.05,1.09,1.01,1.03,193400
83,2019-05-24,1.04,1.07,1.02,1.06,95900
84,2019-05-23,1.07,1.084,1.01,1.02,229700
85,2019-05-22,1.06,1.11,1.06,1.1,190500
86,2019-05-21,1.05,1.09,1.05,1.07,118600
87,2019-05-20,1.07,1.07,1.02,1.05,243000
88,2019-05-17,1.11,1.11,1.0401,1.05,499300
89,2019-05-16,1.11,1.12,1.09,1.11,62200
90,2019-05-15,1.14,1.14,1.08,1.12,216200
91,2019-05-14,1.08,1.17,1.08,1.14,216800
92,2019-05-13,1.12,1.15,1.07,1.08,230200
93,2019-05-10,1.14,1.18,1.13,1.14,151100
94,2019-05-09,1.18,1.19,1.13,1.14,253500
95,2019-05-08,1.23,1.23,1.16,1.17,177800
96,2019-05-07,1.23,1.32,1.19,1.23,219200
97,2019-05-06,1.14,1.4,1.14,1.24,497400
98,2019-05-03,1.15,1.17,1.108,1.15,203600
99,2019-05-02,1.15,1.18,1.112,1.15,261400
100,2019-05-01,1.15,1.225,1.08,1.15,917900
101,2019-04-30,1.11,1.15,1.091,1.12,193900
102,2019-04-29,1.15,1.17,1.09,1.11,171100
103,2019-04-26,1.12,1.16,1.1,1.14,131400
104,2019-04-25,1.08,1.16,1.07,1.12,219200
105,2019-04-24,1.12,1.12,1.065,1.09,221500
106,2019-04-23,1.12,1.17,1.07,1.13,503900
107,2019-04-22,1.15,1.17,1.05,1.1,672100
108,2019-04-18,1.23,1.25,1.13,1.16,890500
109,2019-04-17,1.29,1.33,1.2201,1.24,616800
110,2019-04-16,1.44,1.44,1.31,1.32,377000
111,2019-04-15,1.38,1.47,1.2599,1.46,830800
112,2019-04-12,1.42,1.48,1.38,1.39,695500
113,2019-04-11,1.38,1.5,1.36,1.41,1034100
114,2019-04-10,1.29,1.37,1.27,1.33,346200
115,2019-04-09,1.35,1.4,1.27,1.29,411200
116,2019-04-08,1.42,1.42,1.35,1.36,203700
117,2019-04-05,1.38,1.44,1.32,1.42,436100
118,2019-04-04,1.43,1.44,1.31,1.39,303400
119,2019-04-03,1.4,1.47,1.38,1.44,242200
120,2019-04-02,1.52,1.539,1.33,1.38,533400
121,2019-04-01,1.59,1.65,1.5,1.51,407600
122,2019-03-29,1.73,1.73,1.52,1.58,415300
123,2019-03-28,1.75,1.839,1.68,1.71,466600
124,2019-03-27,1.65,1.75,1.55,1.75,767600
125,2019-03-26,1.65,1.65,1.45,1.64,1155900
126,2019-03-25,1.38,1.8701,1.3,1.67,9016700
127,2019-03-22,1.37,1.38,1.25,1.26,295700
128,2019-03-21,1.32,1.42,1.31,1.34,342200
129,2019-03-20,1.35,1.42,1.3001,1.32,339800
130,2019-03-19,1.213,1.44,1.2,1.33,863500
131,2019-03-18,1.22,1.24,1.18,1.22,189600
132,2019-03-15,1.21,1.23,1.18,1.22,216400
133,2019-03-14,1.23,1.24,1.16,1.21,152100
134,2019-03-13,1.19,1.25,1.16,1.2,234700
135,2019-03-12,1.19,1.2,1.15,1.19,141400
136,2019-03-11,1.16,1.21,1.14,1.18,155700
137,2019-03-08,1.19,1.37,1.11,1.16,1583500
138,2019-03-07,1.13,1.2,1.1,1.19,285300
139,2019-03-06,1.24,1.24,1.1201,1.14,346100
140,2019-03-05,1.19,1.28,1.131,1.25,310000
141,2019-03-04,1.58,1.66,1.17,1.19,1635700
142,2019-03-01,1.14,1.34,1.11,1.32,928100
143,2019-02-28,1.15,1.163,1.09,1.13,251700
144,2019-02-27,1.17,1.19,1.1399,1.15,98500
145,2019-02-26,1.1699,1.22,1.16,1.18,94100
146,2019-02-25,1.2,1.2,1.12,1.18,158900
147,2019-02-22,1.22,1.24,1.14,1.18,195200
148,2019-02-21,1.16,1.22,1.16,1.205,194400
149,2019-02-20,1.15,1.23,1.14,1.17,229500
150,2019-02-19,1.14,1.17,1.125,1.14,162100
151,2019-02-15,1.11,1.18,1.09,1.13,214400
152,2019-02-14,1.1202,1.14,1.08,1.1,172400
153,2019-02-13,1.08,1.17,1.08,1.12,171800
154,2019-02-12,1.17,1.23,1.07,1.07,305300
155,2019-02-11,1.39,1.4,1.19,1.21,245300
156,2019-02-08,1.09,1.36,1.08,1.35,260000
157,2019-02-07,1.12,1.163,1.06,1.075,129200
158,2019-02-06,1.11,1.16,1.11,1.13,98300
159,2019-02-05,1.15,1.194,1.11,1.12,120700
