,timestamp,open,high,low,close,volume
0,2019-09-23,20.13,20.17,19.8,19.925,301023
1,2019-09-20,20.25,20.76,20.02,20.15,2080200
2,2019-09-19,20.13,20.4,19.81,20.22,1757100
3,2019-09-18,20.51,20.84,19.73,20.1,2040100
4,2019-09-17,21.24,21.32,20.26,20.7,3006400
5,2019-09-16,20.1,21.34,20.0,21.22,2691600
6,2019-09-13,20.02,20.38,19.62,20.11,2284700
7,2019-09-12,20.22,20.49,19.51,19.94,2250300
8,2019-09-11,19.83,20.54,19.29,20.02,3223600
9,2019-09-10,18.07,20.2,17.99,19.91,4734200
10,2019-09-09,17.0,17.89,16.62,17.86,2902500
11,2019-09-06,17.45,17.57,16.97,17.01,2130400
12,2019-09-05,17.01,17.53,16.93,17.37,2679400
13,2019-09-04,17.1,17.23,16.88,16.96,3338200
14,2019-09-03,17.38,17.47,16.65,16.91,4514000
15,2019-08-30,17.19,17.66,17.19,17.57,1713000
16,2019-08-29,17.65,17.77,16.85,17.36,2590700
17,2019-08-28,16.8,17.58,16.61,17.46,2103400
18,2019-08-27,17.54,18.06,16.82,16.91,3403000
19,2019-08-26,17.09,17.7,17.08,17.29,3188700
20,2019-08-23,16.92,17.27,16.58,16.99,3736200
21,2019-08-22,16.99,17.16,16.81,16.98,3027000
22,2019-08-21,17.13,17.37,16.56,17.01,3820900
23,2019-08-20,17.84,17.84,17.05,17.11,3644100
24,2019-08-19,18.31,18.33,17.56,17.87,3641900
25,2019-08-16,18.25,18.38,17.8,18.1,2997300
26,2019-08-15,18.68,18.89,17.92,18.19,4192000
27,2019-08-14,18.64,18.87,17.3,18.72,4428900
28,2019-08-13,18.4908,19.15,18.2,18.85,4600600
29,2019-08-12,20.25,20.49,18.32,18.58,8192100
30,2019-08-09,17.98,21.0407,17.5,20.92,22863900
31,2019-08-08,28.95,29.99,28.785,29.57,2371700
32,2019-08-07,28.37,29.125,27.85,28.8,2235000
33,2019-08-06,29.02,29.59,27.97,28.76,1231600
34,2019-08-05,30.51,30.75,28.6,28.8,2062700
35,2019-08-02,31.0,31.39,30.35,31.09,2356300
36,2019-08-01,29.77,31.26,29.3,31.19,2669600
37,2019-07-31,29.28,29.4,28.04,28.46,1458900
38,2019-07-30,29.051,29.38,28.13,29.28,2238400
39,2019-07-29,31.54,31.54,29.13,29.27,1810600
40,2019-07-26,29.91,31.25,29.52,31.12,2157400
41,2019-07-25,31.8,31.95,28.64,29.99,3794400
42,2019-07-24,32.0,32.27,31.85,32.12,769500
43,2019-07-23,32.39,32.39,31.91,32.09,695700
44,2019-07-22,31.93,32.68,31.82,32.34,908000
45,2019-07-19,32.11,32.25,31.87,31.97,1017900
46,2019-07-18,31.99,32.36,31.75,32.07,1174800
47,2019-07-17,32.61,32.75,31.9,31.98,1138400
