,timestamp,open,high,low,close,volume
0,2019-09-23,1.8,1.81,1.63,1.68,206668
1,2019-09-20,1.88,1.89,1.77,1.82,166700
2,2019-09-19,1.99,2.0,1.82,1.9,362100
3,2019-09-18,2.01,2.1,1.91,1.96,2260700
4,2019-09-17,1.95,1.99,1.88,1.91,80900
5,2019-09-16,1.87,2.0,1.87,1.94,159400
6,2019-09-13,1.91,1.95,1.86,1.87,122000
7,2019-09-12,1.86,1.94,1.83,1.93,103700
8,2019-09-11,1.81,1.91,1.81,1.87,294300
9,2019-09-10,1.61,1.85,1.61,1.81,444200
10,2019-09-09,1.66,1.68,1.6,1.65,57400
11,2019-09-06,1.64,1.71,1.61,1.62,150500
12,2019-09-05,1.58,1.66,1.58,1.64,126700
13,2019-09-04,1.57,1.61,1.54,1.6,80000
14,2019-09-03,1.6,1.63,1.55,1.57,219500
15,2019-08-30,1.6,1.65,1.58,1.61,140100
16,2019-08-29,1.64,1.65,1.55,1.6,180100
17,2019-08-28,1.69,1.75,1.65,1.66,185500
18,2019-08-27,1.61,1.68,1.6,1.66,82900
19,2019-08-26,1.62,1.66,1.53,1.61,179700
20,2019-08-23,1.72,1.75,1.54,1.59,453800
21,2019-08-22,1.64,1.75,1.62,1.75,316200
22,2019-08-21,1.58,1.65,1.58,1.65,247800
23,2019-08-20,1.6,1.62,1.58,1.59,345300
24,2019-08-19,1.57,1.64,1.54,1.62,236300
25,2019-08-16,1.54,1.59,1.51,1.56,203800
26,2019-08-15,1.5,1.57,1.48,1.53,466000
27,2019-08-14,1.52,1.52,1.46,1.51,94600
28,2019-08-13,1.51,1.57,1.51,1.53,214500
29,2019-08-12,1.58,1.61,1.4401,1.53,326700
30,2019-08-09,1.65,1.7,1.56,1.59,121400
31,2019-08-08,1.72,1.72,1.63,1.65,78100
32,2019-08-07,1.6,1.72,1.55,1.71,348800
33,2019-08-06,1.66,1.71,1.5,1.59,359500
34,2019-08-05,1.69,1.72,1.63,1.65,53200
35,2019-08-02,1.9,1.9,1.7,1.71,168100
36,2019-08-01,1.77,1.92,1.76,1.89,527400
37,2019-07-31,1.67,1.85,1.66,1.77,736800
38,2019-07-30,1.55,1.67,1.55,1.66,539900
39,2019-07-29,1.57,1.61,1.52,1.58,130900
40,2019-07-26,1.52,1.58,1.51,1.56,233000
41,2019-07-25,1.59,1.59,1.51,1.52,213600
42,2019-07-24,1.65,1.66,1.56,1.56,306300
43,2019-07-23,1.67,1.68,1.63,1.66,407300
44,2019-07-22,1.62,1.68,1.55,1.66,1097600
45,2019-07-19,1.55,1.67,1.52,1.61,483200
46,2019-07-18,1.46,1.63,1.42,1.56,911300
47,2019-07-17,1.43,1.57,1.36,1.44,1237100
48,2019-07-16,1.43,1.48,1.41,1.45,123800
49,2019-07-15,1.46,1.47,1.4,1.44,241200
50,2019-07-12,1.46,1.48,1.42,1.46,167200
51,2019-07-11,1.5,1.5,1.42,1.47,133800
52,2019-07-10,1.42,1.48,1.4,1.47,241300
53,2019-07-09,1.45,1.48,1.42,1.43,129600
54,2019-07-08,1.48,1.52,1.43,1.47,139600
55,2019-07-05,1.44,1.5,1.43,1.46,209800
56,2019-07-03,1.42,1.44,1.41,1.44,100600
57,2019-07-02,1.5,1.5,1.4,1.42,487200
58,2019-07-01,1.52,1.53,1.43,1.5,375100
59,2019-06-28,1.55,1.55,1.48,1.48,3490200
60,2019-06-27,1.51,1.6,1.5,1.52,433600
61,2019-06-26,1.55,1.57,1.49,1.5,360700
62,2019-06-25,1.54,1.61,1.51,1.56,336000
63,2019-06-24,1.56,1.57,1.5,1.54,165500
64,2019-06-21,1.58,1.61,1.53,1.57,265300
65,2019-06-20,1.6101,1.62,1.55,1.6,101400
66,2019-06-19,1.6,1.62,1.56,1.59,188600
67,2019-06-18,1.55,1.63,1.55,1.59,202700
68,2019-06-17,1.57,1.6,1.52,1.53,259300
69,2019-06-14,1.64,1.6399,1.56,1.56,198100
70,2019-06-13,1.54,1.64,1.51,1.64,286100
71,2019-06-12,1.55,1.56,1.45,1.55,312200
72,2019-06-11,1.55,1.59,1.53,1.56,334100
73,2019-06-10,1.57,1.65,1.54,1.56,253800
74,2019-06-07,1.55,1.57,1.51,1.56,261700
75,2019-06-06,1.69,1.7,1.515,1.56,431900
76,2019-06-05,1.8,1.8,1.67,1.69,177600
77,2019-06-04,1.82,1.83,1.73,1.81,161200
78,2019-06-03,1.77,1.79,1.72,1.75,140400
79,2019-05-31,1.73,1.81,1.71,1.76,232100
80,2019-05-30,1.77,1.78,1.71,1.75,215200
81,2019-05-29,1.76,1.7699,1.7,1.75,140900
82,2019-05-28,1.89,1.89,1.7701,1.78,298600
83,2019-05-24,1.8,1.9,1.78,1.89,676500
84,2019-05-23,1.74,1.83,1.74,1.81,284000
85,2019-05-22,1.69,1.83,1.69,1.81,741200
86,2019-05-21,1.66,1.69,1.63,1.69,859300
87,2019-05-20,1.56,1.69,1.5401,1.66,386100
88,2019-05-17,1.6,1.6,1.53,1.57,263200
89,2019-05-16,1.62,1.65,1.605,1.62,131900
90,2019-05-15,1.62,1.632,1.6,1.62,614400
91,2019-05-14,1.6,1.66,1.55,1.65,744000
92,2019-05-13,1.66,1.67,1.57,1.6,285300
93,2019-05-10,1.74,1.75,1.67,1.69,144800
94,2019-05-09,1.68,1.75,1.63,1.74,312900
95,2019-05-08,1.78,1.8,1.6669,1.67,1067500
96,2019-05-07,1.78,1.8,1.73,1.78,189200
97,2019-05-06,1.76,1.82,1.75,1.8,206500
98,2019-05-03,1.74,1.82,1.716,1.79,855800
99,2019-05-02,1.74,1.74,1.69,1.73,126500
100,2019-05-01,1.71,1.77,1.69,1.75,147200
101,2019-04-30,1.77,1.77,1.66,1.71,703800
102,2019-04-29,1.73,1.8,1.7,1.76,289900
103,2019-04-26,1.6302,1.74,1.62,1.71,247700
104,2019-04-25,1.64,1.68,1.58,1.65,196500
105,2019-04-24,1.67,1.69,1.62,1.65,262400
106,2019-04-23,1.6,1.67,1.58,1.67,137900
107,2019-04-22,1.6,1.63,1.55,1.6,276100
108,2019-04-18,1.57,1.629,1.54,1.59,265300
109,2019-04-17,1.69,1.7,1.57,1.57,378200
110,2019-04-16,1.67,1.72,1.63,1.69,343000
111,2019-04-15,1.71,1.74,1.65,1.66,322600
112,2019-04-12,1.72,1.75,1.67,1.69,372500
113,2019-04-11,1.73,1.74,1.7,1.72,253000
114,2019-04-10,1.74,1.77,1.73,1.74,244100
115,2019-04-09,1.8,1.8102,1.72,1.74,351900
116,2019-04-08,1.77,1.84,1.72,1.79,507200
117,2019-04-05,1.78,1.789,1.73,1.75,426500
118,2019-04-04,1.82,1.83,1.72,1.76,929400
119,2019-04-03,1.78,1.87,1.755,1.84,765300
120,2019-04-02,1.96,1.96,1.72,1.76,1548700
121,2019-04-01,1.96,2.18,1.92,2.05,2238700
122,2019-03-29,1.91,1.99,1.83,1.93,700300
123,2019-03-28,1.93,1.96,1.9,1.91,254700
124,2019-03-27,1.94,1.9999,1.9,1.96,358600
125,2019-03-26,1.8602,1.96,1.86,1.94,314000
126,2019-03-25,1.92,1.93,1.82,1.85,445900
127,2019-03-22,2.07,2.09,1.9001,1.91,571500
128,2019-03-21,2.13,2.18,1.99,2.07,616200
129,2019-03-20,2.14,2.2,2.08,2.13,569800
130,2019-03-19,1.94,2.27,1.885,2.14,3247100
131,2019-03-18,1.91,1.99,1.87,1.89,410700
132,2019-03-15,1.78,1.96,1.779,1.91,1025400
133,2019-03-14,1.82,1.85,1.77,1.78,269500
134,2019-03-13,1.78,1.84,1.76,1.82,306900
135,2019-03-12,1.71,1.8299,1.66,1.78,381100
136,2019-03-11,1.76,1.76,1.64,1.71,376000
137,2019-03-08,1.73,1.77,1.7,1.71,216000
138,2019-03-07,1.75,1.7599,1.68,1.75,279400
139,2019-03-06,1.89,1.89,1.715,1.75,363500
140,2019-03-05,1.84,1.91,1.764,1.84,554000
141,2019-03-04,1.81,1.85,1.75,1.81,233300
142,2019-03-01,1.71,1.85,1.69,1.8,460700
143,2019-02-28,1.73,1.76,1.58,1.69,741100
144,2019-02-27,1.64,1.7,1.63,1.67,223400
145,2019-02-26,1.63,1.7,1.62,1.65,270800
146,2019-02-25,1.66,1.72,1.62,1.63,358200
147,2019-02-22,1.9,1.9,1.6,1.645,829300
148,2019-02-21,1.8401,1.97,1.78,1.85,1730900
149,2019-02-20,1.6,1.86,1.57,1.81,2270200
150,2019-02-19,1.52,1.61,1.51,1.6,400600
