,timestamp,open,high,low,close,volume
0,2019-09-23,0.3299,0.3299,0.322,0.3257,14072
1,2019-09-20,0.34,0.34,0.3201,0.3295,105900
2,2019-09-19,0.322,0.349,0.32,0.333,234200
3,2019-09-18,0.32,0.336,0.31,0.311,51400
4,2019-09-17,0.33,0.33,0.32,0.321,29900
5,2019-09-16,0.333,0.339,0.312,0.324,163400
6,2019-09-13,0.323,0.34,0.318,0.335,236000
7,2019-09-12,0.33,0.33,0.312,0.324,307200
8,2019-09-11,0.305,0.305,0.295,0.295,124300
9,2019-09-10,0.285,0.305,0.28,0.295,323500
10,2019-09-09,0.29,0.3,0.27,0.28,830100
11,2019-09-06,0.31,0.312,0.286,0.29,510200
12,2019-09-05,0.35,0.38,0.3,0.302,3609500
13,2019-09-04,0.31,0.315,0.298,0.3,247100
14,2019-09-03,0.322,0.33,0.3,0.3,122200
15,2019-08-30,0.3,0.33,0.29,0.3,24800
16,2019-08-29,0.294,0.305,0.29,0.29,34500
17,2019-08-28,0.277,0.306,0.277,0.29,113000
18,2019-08-27,0.292,0.3,0.275,0.292,87100
19,2019-08-26,0.314,0.314,0.292,0.296,71700
20,2019-08-23,0.3,0.3,0.292,0.299,50900
21,2019-08-22,0.303,0.306,0.292,0.3,130400
22,2019-08-21,0.3,0.315,0.29,0.315,47300
23,2019-08-20,0.327,0.327,0.29,0.31,91200
24,2019-08-19,0.329,0.329,0.32,0.324,41100
25,2019-08-16,0.315,0.34,0.301,0.316,58100
26,2019-08-15,0.31,0.31,0.3,0.305,82700
27,2019-08-14,0.35,0.35,0.31,0.325,105300
28,2019-08-13,0.38,0.38,0.342,0.35,128900
29,2019-08-12,0.369,0.369,0.348,0.36,54100
30,2019-08-09,0.38,0.38,0.34,0.367,7100
31,2019-08-08,0.37,0.385,0.35,0.38,54200
32,2019-08-07,0.365,0.37,0.354,0.364,80000
33,2019-08-06,0.385,0.385,0.34,0.365,32700
34,2019-08-05,0.39,0.39,0.33,0.348,133500
