,timestamp,open,high,low,close,volume
0,2019-09-24,25.5,25.5,25.5,25.5,400
1,2019-09-23,25.68,25.6427,25.48,25.48,2276
2,2019-09-20,25.68,25.68,25.45,25.45,4100
3,2019-09-19,25.51,25.98,25.51,25.98,2700
4,2019-09-18,25.68,25.68,25.43,25.59,3100
5,2019-09-17,25.42,25.85,25.42,25.85,12500
6,2019-09-16,25.4,25.42,25.37,25.42,3600
7,2019-09-13,25.5,25.52,25.31,25.31,10400
8,2019-09-12,25.47,25.53,25.32,25.5,10900
9,2019-09-11,25.45,25.49,25.4,25.4,7600
10,2019-09-10,25.54,25.55,25.5,25.5,1200
11,2019-09-09,25.54,25.54,25.51,25.51,2300
12,2019-09-06,25.45,25.55,25.45,25.55,700
13,2019-09-05,25.41,25.45,25.41,25.41,2500
14,2019-09-04,25.35,25.43,25.35,25.39,16600
15,2019-09-03,25.45,25.45,25.35,25.35,300
16,2019-08-30,25.36,25.43,25.35,25.35,2100
17,2019-08-29,25.35,25.35,25.35,25.35,5200
18,2019-08-28,25.35,25.41,25.28,25.35,22400
19,2019-08-27,25.3,25.45,25.26,25.26,8500
20,2019-08-26,25.42,25.5,25.31,25.5,3100
21,2019-08-23,25.37,25.38,25.32,25.32,1400
22,2019-08-22,25.54,25.54,25.4,25.4,1000
23,2019-08-21,25.4,25.47,25.4,25.44,2600
24,2019-08-20,25.51,25.51,25.51,25.51,0
25,2019-08-19,25.32,25.51,25.3,25.51,6000
26,2019-08-16,25.28,25.37,25.25,25.28,4800
27,2019-08-15,25.37,25.41,25.2675,25.41,1700
28,2019-08-14,24.582,25.4,24.582,25.39,1200
29,2019-08-13,25.3,25.48,25.26,25.48,15400
30,2019-08-12,25.27,25.5,25.27,25.38,900
31,2019-08-09,25.3,25.375,25.253,25.253,1200
32,2019-08-08,25.3,25.459,25.3,25.375,1600
33,2019-08-07,25.22,25.5709,25.22,25.5,3200
34,2019-08-06,25.22,25.69,25.2205,25.69,1100
35,2019-08-05,25.3,25.69,25.3,25.41,5600
36,2019-08-02,25.59,25.65,25.59,25.64,100
37,2019-08-01,25.5889,25.65,25.59,25.64,1200
38,2019-07-31,26.03,26.03,25.33,25.6,4100
39,2019-07-30,25.45,25.45,25.4,25.42,2700
40,2019-07-29,25.4,25.4071,25.4,25.4,900
41,2019-07-26,25.4,25.4,25.4,25.4,500
42,2019-07-25,25.3,25.3,25.3,25.3,0
43,2019-07-24,25.26,25.3,25.23,25.3,700
44,2019-07-23,25.21,25.28,25.1,25.21,4200
45,2019-07-22,25.23,25.23,25.05,25.15,4600
46,2019-07-19,25.21,25.21,25.21,25.21,0
47,2019-07-18,25.2985,25.3,25.2,25.21,4600
48,2019-07-17,25.15,25.3,25.12,25.3,5000
49,2019-07-16,25.18,25.18,25.11,25.14,7300
50,2019-07-15,25.18,25.25,25.18,25.18,3100
51,2019-07-12,25.3094,25.34,25.3,25.3,5100
52,2019-07-11,25.48,25.4807,25.31,25.39,18600
53,2019-07-10,25.58,25.58,25.47,25.47,900
54,2019-07-09,25.33,25.54,25.33,25.48,1600
55,2019-07-08,25.3,25.6,25.3,25.35,1300
56,2019-07-05,25.58,25.58,25.58,25.58,100
57,2019-07-03,24.582,25.58,24.582,25.57,1200
58,2019-07-02,25.2,25.2,25.2,25.2,900
59,2019-07-01,25.3,25.3,25.29,25.29,2100
60,2019-06-28,25.2,25.44,25.2,25.29,10800
61,2019-06-27,25.34,25.34,25.21,25.3,2000
62,2019-06-26,25.3488,25.35,25.32,25.32,1900
63,2019-06-25,25.25,25.44,25.21,25.35,1400
64,2019-06-24,25.34,25.34,25.34,25.34,100
65,2019-06-21,25.21,25.34,25.2104,25.34,700
66,2019-06-20,25.25,25.26,25.25,25.25,1000
67,2019-06-19,25.25,25.28,25.2506,25.28,600
68,2019-06-18,25.36,25.36,25.13,25.15,5900
69,2019-06-17,25.159,25.497,25.159,25.497,2100
70,2019-06-14,25.11,25.23,25.11,25.21,3600
71,2019-06-13,25.1841,25.27,25.185,25.22,3000
72,2019-06-12,25.163,25.28,25.163,25.27,7500
73,2019-06-11,25.18,25.31,25.12,25.12,6800
74,2019-06-10,25.43,25.48,25.15,25.23,2200
