,timestamp,open,high,low,close,volume
0,2019-09-24,4.07,4.07,3.92,3.94,27836
1,2019-09-23,4.11,4.2,4.05,4.06,288550
2,2019-09-20,4.26,4.425,4.14,4.14,696900
3,2019-09-19,4.28,4.345,4.23,4.27,294600
4,2019-09-18,4.32,4.34,4.18,4.3,305800
5,2019-09-17,4.35,4.425,4.227,4.31,417200
6,2019-09-16,4.43,4.61,4.35,4.37,262300
7,2019-09-13,4.42,4.486,4.35,4.45,299200
8,2019-09-12,4.57,4.67,4.43,4.44,378700
9,2019-09-11,4.47,4.65,4.38,4.54,357100
10,2019-09-10,4.27,4.47,4.25,4.44,513900
11,2019-09-09,4.38,4.384,4.25,4.31,218000
12,2019-09-06,4.49,4.5,4.33,4.38,273700
13,2019-09-05,4.24,4.47,4.14,4.46,514600
14,2019-09-04,4.26,4.262,4.145,4.19,269500
15,2019-09-03,4.3,4.335,4.14,4.2,225700
16,2019-08-30,4.13,4.47,4.117,4.29,506600
17,2019-08-29,3.99,4.38,3.99,4.17,589400
18,2019-08-28,3.91,4.07,3.81,4.01,424600
19,2019-08-27,4.11,4.18,3.82,3.92,825100
20,2019-08-26,4.42,4.468,3.98,4.05,688900
21,2019-08-23,4.69,4.85,4.41,4.43,722400
22,2019-08-22,4.62,4.79,4.62,4.69,754100
23,2019-08-21,4.68,4.8,4.59,4.65,380800
24,2019-08-20,4.62,4.72,4.57,4.61,372600
25,2019-08-19,4.49,4.7,4.46,4.6,481600
26,2019-08-16,4.24,4.55,4.24,4.48,374800
27,2019-08-15,4.26,4.43,4.19,4.21,260700
28,2019-08-14,4.49,4.5,4.23,4.24,465000
29,2019-08-13,4.25,4.55,4.25,4.51,293600
30,2019-08-12,4.31,4.39,4.1,4.32,396500
31,2019-08-09,4.15,4.37,4.0,4.35,383200
32,2019-08-08,4.0,4.3,4.0,4.2,960200
33,2019-08-07,4.52,4.68,4.42,4.57,296600
34,2019-08-06,4.68,4.75,4.43,4.64,564700
35,2019-08-05,4.75,4.852,4.57,4.68,603600
36,2019-08-02,4.91,4.91,4.63,4.82,340300
37,2019-08-01,4.66,5.139,4.658,4.9,1209700
38,2019-07-31,4.8,4.87,4.61,4.65,293400
39,2019-07-30,4.65,4.89,4.65,4.82,438000
40,2019-07-29,4.9,4.93,4.6,4.72,711200
41,2019-07-26,4.49,5.0,4.487,4.86,1626800
42,2019-07-25,4.62,4.65,4.34,4.37,333500
43,2019-07-24,4.41,4.73,4.37,4.57,456500
44,2019-07-23,4.4698,4.57,4.33,4.43,421100
45,2019-07-22,4.47,4.6803,4.21,4.48,823800
46,2019-07-19,4.79,4.8101,4.41,4.56,952200
47,2019-07-18,4.79,4.94,4.605,4.86,625000
48,2019-07-17,5.2,5.24,4.6299,4.8,1636600
49,2019-07-16,5.31,5.445,5.12,5.18,722000
50,2019-07-15,5.17,5.55,5.1699,5.3,1122000
51,2019-07-12,5.16,5.24,5.07,5.17,440000
52,2019-07-11,5.32,5.36,5.1,5.14,531900
53,2019-07-10,5.11,5.34,4.931,5.32,1708000
54,2019-07-09,5.15,5.39,5.03,5.13,1072800
55,2019-07-08,5.22,5.25,4.821,5.23,1339400
56,2019-07-05,4.69,5.38,4.69,5.15,3574600
57,2019-07-03,4.75,4.79,4.5353,4.75,476700
58,2019-07-02,4.75,4.897,4.57,4.71,906200
59,2019-07-01,4.5,4.92,4.425,4.62,1391600
60,2019-06-28,4.42,4.489,4.32,4.4,880400
61,2019-06-27,4.26,4.53,4.249,4.42,549600
62,2019-06-26,4.24,4.35,4.18,4.27,508500
63,2019-06-25,4.27,4.4,4.12,4.23,807000
64,2019-06-24,4.47,4.74,4.2,4.36,2106200
65,2019-06-21,4.33,4.63,4.169,4.42,3765800
66,2019-06-20,4.52,4.58,4.1,4.13,727100
67,2019-06-19,4.48,4.557,4.41,4.47,503900
68,2019-06-18,4.2902,4.68,4.29,4.48,1002400
69,2019-06-17,4.38,4.5698,4.15,4.21,822000
70,2019-06-14,4.5,4.515,4.2,4.37,836100
71,2019-06-13,3.82,4.59,3.82,4.52,1511300
72,2019-06-12,3.88,3.94,3.63,3.82,958000
73,2019-06-11,3.44,4.08,3.4,3.9,1883700
74,2019-06-10,3.4,3.49,3.2,3.25,773400
75,2019-06-07,2.86,3.34,2.85,3.33,734800
76,2019-06-06,2.82,2.9,2.72,2.79,587600
77,2019-06-05,2.92,2.98,2.82,2.83,566800
78,2019-06-04,3.05,3.099,2.8601,2.93,632200
79,2019-06-03,2.9,3.17,2.7,3.04,1225100
80,2019-05-31,2.6,2.92,2.515,2.9,1174800
81,2019-05-30,2.59,2.65,2.45,2.46,760600
82,2019-05-29,2.47,2.64,2.38,2.6,1401700
83,2019-05-28,2.64,2.73,2.46,2.48,517800
84,2019-05-24,2.47,2.75,2.47,2.64,896800
85,2019-05-23,2.59,2.62,2.44,2.46,927200
86,2019-05-22,2.55,2.86,2.54,2.65,1785200
87,2019-05-21,2.8502,3.08,2.35,2.61,3985700
88,2019-05-20,3.46,3.518,3.31,3.37,719300
89,2019-05-17,3.4998,3.53,3.37,3.46,354500
90,2019-05-16,3.55,3.63,3.5,3.53,410300
91,2019-05-15,3.56,3.65,3.51,3.6,255300
