,timestamp,open,high,low,close,volume
0,2019-09-24,52.94,53.525,52.94,53.06,2700
1,2019-09-23,51.03,52.81,50.99,52.75,76562
2,2019-09-20,51.31,51.73,51.05,51.45,251000
3,2019-09-19,50.86,51.49,50.51,51.29,81700
4,2019-09-18,50.78,50.93,49.97,50.6,92800
5,2019-09-17,50.92,51.01,50.36,50.77,64100
6,2019-09-16,50.64,51.23,50.19,51.1,55100
7,2019-09-13,52.2,52.2,50.94,50.99,80000
8,2019-09-12,52.29,52.36,51.62,51.89,126600
9,2019-09-11,50.92,52.41,50.47,52.04,122100
10,2019-09-10,50.76,51.57,49.89,50.77,81900
11,2019-09-09,50.53,51.35,49.8,50.84,93600
12,2019-09-06,50.75,50.89,50.09,50.34,54400
13,2019-09-05,50.5,51.37,50.01,50.61,70000
14,2019-09-04,50.29,50.29,49.33,49.99,64000
15,2019-09-03,50.56,51.02,48.88,49.78,135900
16,2019-08-30,51.7,51.7,50.56,50.84,42000
17,2019-08-29,51.36,51.85,50.97,51.34,72500
18,2019-08-28,50.5,51.52,50.02,50.88,59600
19,2019-08-27,51.5,51.5,50.7,50.77,104800
20,2019-08-26,51.95,51.95,50.98,51.46,49100
21,2019-08-23,53.62,53.62,51.06,51.37,102300
22,2019-08-22,53.96,54.0,52.93,53.58,110600
23,2019-08-21,52.63,53.61,52.12,53.56,94900
24,2019-08-20,51.94,53.14,51.41,52.23,105900
25,2019-08-19,51.76,52.23,51.35,51.93,80900
26,2019-08-16,50.35,51.29,50.24,51.14,73000
27,2019-08-15,50.14,50.21,49.13,49.92,94500
28,2019-08-14,52.09,52.39,49.96,50.03,87600
29,2019-08-13,52.61,53.74,51.575,52.89,106500
30,2019-08-12,53.99,54.76,52.62,52.69,144600
31,2019-08-09,53.63,54.57,53.4129,54.25,195800
32,2019-08-08,52.74,54.05,51.9,53.76,192800
33,2019-08-07,52.48,52.89,51.7,52.56,141300
34,2019-08-06,49.14,54.95,49.14,52.94,283600
35,2019-08-05,52.53,53.15,50.26,50.87,259900
36,2019-08-02,54.34,54.98,52.75,52.89,234400
37,2019-08-01,53.24,55.171,53.24,54.84,153800
38,2019-07-31,52.37,53.94,52.23,53.45,222100
39,2019-07-30,49.59,52.8305,49.59,52.38,195800
40,2019-07-29,49.72,50.1,49.39,50.01,117300
41,2019-07-26,50.21,50.97,49.8,49.87,186800
42,2019-07-25,50.44,50.9255,49.74,49.85,122600
43,2019-07-24,49.18,50.59,48.87,50.42,125100
44,2019-07-23,49.15,49.614,48.77,49.23,230500
45,2019-07-22,50.53,50.71,48.96,48.97,168500
46,2019-07-19,51.1314,51.5,50.46,50.49,83300
47,2019-07-18,51.02,51.4,51.02,51.24,153700
48,2019-07-17,50.73,51.62,50.44,51.12,268100
49,2019-07-16,51.26,51.52,50.19,50.64,141100
50,2019-07-15,51.4,52.0,50.76,51.54,135800
51,2019-07-12,51.73,52.16,51.23,51.55,52600
52,2019-07-11,51.2287,52.5,50.64,51.86,105300
53,2019-07-10,51.15,51.42,50.91,51.07,105300
54,2019-07-09,50.35,51.06,50.0,50.86,252300
55,2019-07-08,50.81,51.03,50.34,50.38,106700
56,2019-07-05,51.56,51.97,50.965,51.0,135800
57,2019-07-03,52.5,52.68,51.65,51.84,55000
58,2019-07-02,52.31,52.62,51.9,52.21,170100
59,2019-07-01,53.37,53.525,52.0744,52.27,137600
60,2019-06-28,52.69,53.63,51.9964,52.88,384300
61,2019-06-27,52.3,53.405,52.05,52.55,125500
62,2019-06-26,52.79,53.49,51.9787,52.21,75000
63,2019-06-25,52.53,52.88,52.14,52.57,66800
64,2019-06-24,52.4,52.91,51.745,52.53,138900
65,2019-06-21,52.3,52.39,51.5,52.27,167800
66,2019-06-20,53.45,53.6,51.975,52.49,120900
67,2019-06-19,52.14,52.98,51.75,52.82,49100
68,2019-06-18,51.8,52.44,51.7,52.05,57400
69,2019-06-17,51.55,51.55,50.5065,51.36,126000
70,2019-06-14,51.59,51.79,50.92,51.34,78400
71,2019-06-13,51.29,51.87,50.3,51.49,88900
72,2019-06-12,51.2,51.34,50.58,51.06,111500
73,2019-06-11,53.1093,53.53,50.22,51.0,136600
74,2019-06-10,51.7,53.12,51.47,52.76,97800
75,2019-06-07,51.2,51.98,50.84,51.57,134500
76,2019-06-06,50.63,51.11,50.12,50.9,173600
77,2019-06-05,50.47,51.883,48.73,50.5,128800
78,2019-06-04,49.4,50.49,49.12,50.43,157600
79,2019-06-03,49.39,49.39,48.53,49.02,102100
80,2019-05-31,48.76,49.43,48.02,49.33,100500
81,2019-05-30,49.2,49.61,48.595,49.27,47700
82,2019-05-29,49.24,49.24,48.32,49.0,61500
83,2019-05-28,50.04,50.63,49.5,49.6,83600
84,2019-05-24,50.01,50.655,49.72,49.99,93000
85,2019-05-23,50.97,50.97,48.85,49.73,111600
86,2019-05-22,51.27,51.77,50.91,51.22,68300
87,2019-05-21,51.98,52.36,51.025,51.31,145200
88,2019-05-20,51.83,52.28,51.04,51.84,88400
89,2019-05-17,53.52,53.89,52.07,52.23,93200
90,2019-05-16,54.52,55.11,53.84,53.88,199600
91,2019-05-15,53.49,54.5,52.92,54.22,135400
92,2019-05-14,54.24,54.74,53.2,53.85,169700
93,2019-05-13,55.73,56.12,54.07,54.26,225400
94,2019-05-10,56.13,56.52,55.345,56.48,183200
95,2019-05-09,55.96,56.76,55.21,56.44,262900
96,2019-05-08,55.09,57.4,55.09,56.43,124500
97,2019-05-07,53.74,57.21,51.6,55.21,300100
98,2019-05-06,55.99,57.85,55.2,57.36,170600
99,2019-05-03,55.51,57.02,55.51,56.67,172800
100,2019-05-02,54.33,55.35,54.02,55.26,55800
101,2019-05-01,54.85,54.95,54.22,54.33,131700
102,2019-04-30,54.27,54.89,53.32,54.79,223000
103,2019-04-29,54.85,54.85,53.71,54.0,89500
104,2019-04-26,54.84,54.86,54.27,54.84,180800
105,2019-04-25,54.6083,54.85,53.86,54.63,78500
106,2019-04-24,54.62,54.94,54.585,54.85,61000
107,2019-04-23,53.97,54.96,53.56,54.73,139100
108,2019-04-22,52.28,53.51,52.11,53.32,75500
109,2019-04-18,52.6071,53.49,52.025,52.54,179100
110,2019-04-17,53.36,53.36,51.31,52.76,167000
111,2019-04-16,55.45,55.45,53.12,53.2,116200
112,2019-04-15,55.12,55.505,54.83,55.18,74700
113,2019-04-12,55.5,55.8,54.97,55.05,51700
114,2019-04-11,55.5,55.5513,55.08,55.5,138300
115,2019-04-10,55.44,56.12,54.13,55.44,93300
116,2019-04-09,55.72,56.06,55.27,55.35,182200
117,2019-04-08,55.24,55.95,54.745,55.86,70300
118,2019-04-05,55.12,55.86,54.575,55.25,246000
119,2019-04-04,55.05,55.21,54.5,55.13,49000
120,2019-04-03,55.6674,55.825,54.61,55.04,154600
121,2019-04-02,56.15,56.1474,54.94,55.36,131000
