,timestamp,open,high,low,close,volume
0,2019-09-24,63.25,63.87,63.25,63.48,41020
1,2019-09-23,63.11,64.29,62.84,63.43,1005928
2,2019-09-20,62.01,63.085,61.03,62.54,1511400
3,2019-09-19,61.37,62.1,60.77,61.7,839600
4,2019-09-18,62.2,62.65,60.38,61.43,1023800
5,2019-09-17,61.79,62.68,61.16,62.58,1026500
6,2019-09-16,64.47,64.47,61.46,62.14,1271900
7,2019-09-13,63.02,64.25,62.36,63.73,921100
8,2019-09-12,63.95,64.04,61.824,63.14,1577500
9,2019-09-11,65.26,65.7,63.93,64.12,1236900
10,2019-09-10,62.52,64.68,62.03,64.19,1599700
11,2019-09-09,61.66,62.74,61.305,62.66,2146700
12,2019-09-06,59.07,61.65,59.07,61.42,2429900
13,2019-09-05,57.65,59.5,57.04,59.2,2349100
14,2019-09-04,54.72,57.46,54.6,56.81,2008000
15,2019-09-03,54.75,55.4,54.311,54.6,2196900
16,2019-08-30,56.7,58.9,54.81,55.45,4146000
17,2019-08-29,57.9,59.9,54.27,56.36,15778900
18,2019-08-28,76.68,77.87,76.42,77.77,2419400
19,2019-08-27,79.14,79.52,76.6,77.25,1000300
20,2019-08-26,78.99,80.0,77.77,78.61,1096400
21,2019-08-23,80.43,81.01,78.33,78.52,669400
22,2019-08-22,80.92,82.59,79.82,81.1,945800
23,2019-08-21,79.5,81.56,79.5,80.8,1073700
24,2019-08-20,78.18,78.71,77.18,78.15,784000
25,2019-08-19,78.09,80.04,77.9,78.71,1000200
26,2019-08-16,75.9037,77.11,75.75,76.8,632500
27,2019-08-15,76.14,76.6978,74.76,75.7,790500
28,2019-08-14,76.39,79.09,75.48,75.58,1093000
29,2019-08-13,76.7,80.17,76.055,78.48,964500
30,2019-08-12,79.85,79.85,75.77,76.57,828300
31,2019-08-09,80.15,80.81,79.635,80.52,1299600
32,2019-08-08,80.01,83.0822,79.52,80.62,1153900
33,2019-08-07,78.58,79.94,77.92,79.75,1156100
34,2019-08-06,78.95,79.24,77.07,79.06,1038100
35,2019-08-05,79.5,79.95,77.636,78.46,933400
36,2019-08-02,81.8,83.07,80.53,80.69,582300
37,2019-08-01,84.88,85.47,82.18,82.33,688500
38,2019-07-31,84.9,85.55,83.6,84.69,1173300
39,2019-07-30,84.69,85.042,81.07,82.49,1499000
40,2019-07-29,88.98,89.06,84.89,85.29,799600
41,2019-07-26,87.892,89.23,87.4,88.91,430600
42,2019-07-25,87.5,88.2,87.01,87.9,531000
43,2019-07-24,86.42,88.07,86.0,87.36,917000
44,2019-07-23,87.9,88.12,85.63,86.48,686200
45,2019-07-22,87.15,87.73,86.26,87.67,857200
46,2019-07-19,86.95,88.51,86.75,86.78,1229400
47,2019-07-18,85.64,86.955,85.36,86.59,735500
48,2019-07-17,88.0,88.035,86.26,86.53,704400
49,2019-07-16,86.73,88.57,86.55,87.91,615800
50,2019-07-15,88.45,88.85,85.25,86.47,914500
51,2019-07-12,85.0699,88.45,85.01,88.15,1165800
52,2019-07-11,82.72,84.19,82.5095,83.99,1084400
53,2019-07-10,83.61,84.005,82.51,82.78,837900
54,2019-07-09,83.75,84.1,83.35,83.45,967800
55,2019-07-08,84.57,84.82,83.58,84.16,791700
56,2019-07-05,83.41,84.88,83.33,84.74,703800
57,2019-07-03,84.25,84.96,83.75,84.06,585200
58,2019-07-02,85.8,86.13,84.11,84.25,1017700
59,2019-07-01,88.0,89.08,85.15,85.97,1490500
60,2019-06-28,87.85,89.34,86.995,87.11,6369500
61,2019-06-27,87.53,88.71,87.27,87.93,1195800
62,2019-06-26,86.89,87.9,85.043,87.27,1292700
63,2019-06-25,88.35,88.66,84.83,86.55,1236600
64,2019-06-24,92.8,92.8,88.36,88.5,1258400
65,2019-06-21,92.17,93.9575,92.17,93.08,1117900
66,2019-06-20,92.47,93.055,91.76,92.49,770800
67,2019-06-19,92.02,92.23,90.6756,91.45,758500
68,2019-06-18,92.22,94.09,91.9579,92.02,730800
69,2019-06-17,90.53,93.34,90.12,92.27,1038200
