,timestamp,open,high,low,close,volume
0,2019-09-24,1.9,1.9,1.8102,1.8202,24666
1,2019-09-23,1.89,1.97,1.88,1.9,186833
2,2019-09-20,1.93,1.99,1.89,1.9,192900
3,2019-09-19,2.12,2.12,1.86,1.95,669200
4,2019-09-18,2.03,2.05,1.9,1.9,349400
5,2019-09-17,2.29,2.29,2.0,2.06,1499200
6,2019-09-16,2.1,2.15,1.94,2.03,995200
7,2019-09-13,1.74,1.94,1.73,1.93,427600
8,2019-09-12,1.72,1.85,1.67,1.73,216300
9,2019-09-11,1.7,1.73,1.67,1.7,36000
10,2019-09-10,1.68,1.72,1.65,1.69,70400
11,2019-09-09,1.72,1.74,1.65,1.68,85000
12,2019-09-06,1.63,1.74,1.6,1.73,121500
13,2019-09-05,1.6,1.65,1.54,1.63,155800
14,2019-09-04,1.58,1.6,1.53,1.6,102900
15,2019-09-03,1.63,1.63,1.57,1.57,85800
16,2019-08-30,1.66,1.69,1.57,1.65,81100
17,2019-08-29,1.6,1.66,1.57,1.64,101800
18,2019-08-28,1.72,1.73,1.58,1.61,306900
19,2019-08-27,1.83,1.84,1.7,1.73,226700
20,2019-08-26,1.78,1.85,1.71,1.85,532800
21,2019-08-23,2.34,2.34,1.79,1.93,9299100
22,2019-08-22,1.65,1.7,1.47,1.61,319300
23,2019-08-21,1.67,1.75,1.56,1.67,120100
24,2019-08-20,1.5,1.71,1.5,1.65,321500
25,2019-08-19,1.4,1.54,1.4,1.49,92300
26,2019-08-16,1.42,1.49,1.38,1.38,63900
27,2019-08-15,1.4,1.46,1.4,1.42,24000
28,2019-08-14,1.51,1.51,1.42,1.42,65100
29,2019-08-13,1.48,1.54,1.48,1.54,31700
30,2019-08-12,1.45,1.49,1.43,1.48,44900
31,2019-08-09,1.48,1.48,1.4,1.45,43700
32,2019-08-08,1.38,1.47,1.38,1.47,59400
33,2019-08-07,1.45,1.45,1.36,1.37,174500
34,2019-08-06,1.4999,1.51,1.38,1.45,176700
35,2019-08-05,1.59,1.59,1.45,1.49,145900
36,2019-08-02,1.6,1.65,1.55,1.55,70800
37,2019-08-01,1.65,1.73,1.63,1.63,32700
38,2019-07-31,1.77,1.77,1.64,1.65,53600
39,2019-07-30,1.65,1.76,1.65,1.76,39700
40,2019-07-29,1.68,1.74,1.63,1.65,45100
41,2019-07-26,1.7,1.7399,1.63,1.69,66000
42,2019-07-25,1.67,1.72,1.67,1.7,49100
43,2019-07-24,1.69,1.76,1.62,1.69,148500
44,2019-07-23,1.89,1.96,1.68,1.71,275000
45,2019-07-22,1.98,2.0501,1.88,1.97,137300
46,2019-07-19,1.93,2.0,1.92,1.97,62000
47,2019-07-18,1.9999,2.0,1.92,1.95,40100
48,2019-07-17,1.97,1.99,1.93,1.97,79500
49,2019-07-16,2.06,2.06,1.95,1.95,135500
50,2019-07-15,2.08,2.08,2.0,2.06,81600
51,2019-07-12,2.03,2.1,2.0,2.05,128000
52,2019-07-11,2.11,2.14,2.02,2.03,169800
53,2019-07-10,1.99,2.19,1.92,2.12,767700
54,2019-07-09,1.92,2.08,1.87,1.92,440500
55,2019-07-08,1.93,1.95,1.88,1.92,61500
56,2019-07-05,1.85,1.97,1.85,1.91,105800
57,2019-07-03,1.86,1.94,1.83,1.87,39400
58,2019-07-02,1.9,1.94,1.85,1.86,65800
59,2019-07-01,1.96,1.975,1.88,1.89,66700
60,2019-06-28,1.91,1.96,1.895,1.91,94800
61,2019-06-27,1.88,1.93,1.82,1.93,160800
62,2019-06-26,1.92,1.92,1.84,1.9,114300
63,2019-06-25,1.94,1.96,1.87,1.92,120000
64,2019-06-24,2.0,2.03,1.82,1.96,259800
65,2019-06-21,2.0,2.07,1.98,2.02,249500
66,2019-06-20,2.5,2.58,2.02,2.06,3360600
67,2019-06-19,2.02,2.13,1.962,2.12,368400
68,2019-06-18,1.98,2.04,1.941,2.04,116300
69,2019-06-17,2.0,2.03,1.91,1.96,110800
70,2019-06-14,2.02,2.054,1.85,1.98,399100
71,2019-06-13,2.0599,2.12,2.02,2.03,100700
72,2019-06-12,2.06,2.06,2.0,2.02,102600
73,2019-06-11,2.12,2.13,2.0,2.07,121300
74,2019-06-10,2.13,2.13,2.01,2.08,154900
75,2019-06-07,2.16,2.25,2.0901,2.13,184500
76,2019-06-06,2.02,2.1899,2.0,2.12,420700
77,2019-06-05,2.07,2.11,1.96,2.03,163900
78,2019-06-04,2.22,2.259,2.06,2.08,256500
79,2019-06-03,2.23,2.37,2.16,2.25,456900
80,2019-05-31,2.02,2.33,1.86,2.19,1265500
81,2019-05-30,1.87,2.1,1.76,2.03,657600
82,2019-05-29,1.92,1.964,1.759,1.88,312700
83,2019-05-28,1.94,2.01,1.91,1.91,110400
84,2019-05-24,2.02,2.1,1.955,1.96,163800
85,2019-05-23,2.09,2.14,1.99,2.05,284000
86,2019-05-22,2.21,2.28,2.118,2.12,367000
87,2019-05-21,2.26,2.33,2.18,2.23,367500
88,2019-05-20,2.46,2.46,2.24,2.33,262300
89,2019-05-17,2.46,2.52,2.36,2.46,228800
90,2019-05-16,2.66,2.74,2.45,2.5,706300
91,2019-05-15,2.59,2.7899,2.48,2.74,649000
92,2019-05-14,2.48,2.7,2.31,2.61,1094600
93,2019-05-13,2.71,2.84,2.42,2.56,11047500
94,2019-05-10,2.3701,2.39,2.18,2.22,419200
95,2019-05-09,2.43,2.66,2.32,2.4,792000
96,2019-05-08,2.5,2.546,2.39,2.43,232400
97,2019-05-07,2.56,2.62,2.46,2.51,202800
98,2019-05-06,2.53,2.605,2.45,2.57,288600
99,2019-05-03,2.59,2.64,2.53,2.56,246000
100,2019-05-02,2.74,2.79,2.494,2.6,367700
101,2019-05-01,2.75,2.84,2.69,2.73,265600
102,2019-04-30,2.75,2.99,2.7,2.78,1197100
103,2019-04-29,2.74,2.855,2.63,2.79,216900
104,2019-04-26,2.85,2.9,2.72,2.73,391900
105,2019-04-25,2.62,2.93,2.55,2.86,1016600
106,2019-04-24,2.59,2.68,2.45,2.66,563300
107,2019-04-23,2.61,2.66,2.53,2.54,239300
108,2019-04-22,2.54,2.729,2.51,2.63,425200
109,2019-04-18,2.65,2.717,2.51,2.54,366000
110,2019-04-17,2.57,2.687,2.55,2.64,549500
111,2019-04-16,2.75,2.791,2.57,2.59,757300
112,2019-04-15,2.88,2.95,2.76,2.77,757300
113,2019-04-12,2.75,3.05,2.72,2.9,2200800
114,2019-04-11,2.85,2.9,2.72,2.77,707100
115,2019-04-10,2.9,3.02,2.82,2.84,1046700
116,2019-04-09,2.99,3.1,2.82,2.94,1473700
117,2019-04-08,3.0,3.15,2.8511,2.98,1392000
118,2019-04-05,3.15,3.15,3.01,3.06,1117700
119,2019-04-04,3.27,3.38,2.95,3.18,8525500
120,2019-04-03,8.61,16.2,7.56,7.76,24402700
121,2019-04-02,4.71,5.19,4.6,5.0,86900
122,2019-04-01,4.42,4.875,4.38,4.71,129300
123,2019-03-29,4.56,4.65,4.3102,4.4,78800
124,2019-03-28,4.72,4.73,4.45,4.56,35900
125,2019-03-27,4.78,5.33,4.36,4.82,292800
126,2019-03-26,4.22,4.8,4.214,4.63,158500
127,2019-03-25,4.35,4.4,4.0,4.22,82600
128,2019-03-22,4.65,4.99,4.21,4.42,163700
129,2019-03-21,4.65,5.1,4.542,4.63,194900
130,2019-03-20,4.54,4.69,4.3,4.69,91200
131,2019-03-19,5.0,5.08,4.53,4.58,86900
132,2019-03-18,4.99,5.1,4.5,5.03,79200
133,2019-03-15,5.12,5.358,4.8,4.86,159300
134,2019-03-14,5.3997,5.4,4.73,5.13,174000
135,2019-03-13,6.55,6.819,5.04,5.38,297400
136,2019-03-12,7.5,9.4167,6.51,7.0,1527300
137,2019-03-11,0.28,0.315,0.28,0.31,137300
138,2019-03-08,0.283,0.294,0.264,0.27,26900
139,2019-03-07,0.29,0.29,0.27,0.279,27800
140,2019-03-06,0.313,0.313,0.281,0.281,16700
141,2019-03-05,0.3,0.31,0.293,0.298,14500
142,2019-03-04,0.328,0.34,0.3,0.301,37300
143,2019-03-01,0.32,0.345,0.3,0.312,45000
144,2019-02-28,0.315,0.32,0.3,0.315,19100
145,2019-02-27,0.309,0.315,0.295,0.304,13400
146,2019-02-26,0.31,0.311,0.29,0.294,11500
147,2019-02-25,0.308,0.31,0.294,0.299,16400
