,timestamp,open,high,low,close,volume
0,2019-09-24,7.63,7.64,7.5628,7.595,10153
1,2019-09-23,7.58,7.7,7.53,7.63,162622
2,2019-09-20,7.52,7.67,7.51,7.64,1219200
3,2019-09-19,7.53,7.59,7.42,7.49,400600
4,2019-09-18,7.54,7.61,7.41,7.5,481500
5,2019-09-17,7.53,7.64,7.52,7.56,428500
6,2019-09-16,7.54,7.7,7.5,7.6,300300
7,2019-09-13,7.66,7.72,7.59,7.59,371400
8,2019-09-12,7.51,7.8,7.49,7.6,782200
9,2019-09-11,7.38,7.59,7.32,7.53,600100
10,2019-09-10,7.01,7.41,6.98,7.33,413600
11,2019-09-09,6.81,7.09,6.78,7.03,412600
12,2019-09-06,6.83,6.93,6.74,6.77,660800
13,2019-09-05,6.65,6.91,6.62,6.8,605600
14,2019-09-04,6.65,6.72,6.48,6.57,288900
15,2019-09-03,6.52,6.61,6.35,6.57,544700
16,2019-08-30,6.81,6.81,6.52,6.6,722900
17,2019-08-29,6.83,6.9,6.75,6.76,314500
18,2019-08-28,6.61,6.8,6.56,6.75,356500
19,2019-08-27,6.93,6.94,6.54,6.63,449800
20,2019-08-26,6.87,7.01,6.76,6.89,436000
21,2019-08-23,7.09,7.1,6.76,6.8,364700
22,2019-08-22,7.36,7.39,7.12,7.13,295600
23,2019-08-21,7.36,7.37,7.21,7.34,1690500
24,2019-08-20,7.28,7.4,7.22,7.3,326900
25,2019-08-19,7.29,7.43,7.24,7.27,1744200
26,2019-08-16,7.2,7.27,7.04,7.22,295600
27,2019-08-15,7.21,7.26,7.08,7.14,1127700
28,2019-08-14,7.32,7.36,7.02,7.19,577600
29,2019-08-13,7.42,7.71,7.42,7.57,1090200
30,2019-08-12,7.49,7.53,7.36,7.41,266800
31,2019-08-09,7.84,7.84,7.52,7.53,869600
32,2019-08-08,7.69,7.98,7.61,7.86,480500
33,2019-08-07,7.84,7.84,7.15,7.68,1321800
34,2019-08-06,8.01,8.0499,7.68,7.83,814100
35,2019-08-05,8.11,8.16,7.83,7.94,322100
36,2019-08-02,8.28,8.29,8.09,8.25,294400
37,2019-08-01,8.3201,8.41,8.23,8.32,484000
38,2019-07-31,8.45,8.53,8.23,8.35,898400
39,2019-07-30,8.44,8.49,8.08,8.4,479600
40,2019-07-29,8.61,8.67,8.44,8.55,459500
41,2019-07-26,8.46,8.64,8.41,8.62,278400
42,2019-07-25,8.74,8.86,8.42,8.46,242100
43,2019-07-24,8.58,8.73,8.58,8.73,331800
44,2019-07-23,8.39,8.6,8.39,8.59,565800
45,2019-07-22,8.58,8.58,8.33,8.38,280500
46,2019-07-19,8.42,8.63,8.42,8.54,418900
47,2019-07-18,8.45,8.51,8.37,8.46,373900
48,2019-07-17,8.49,8.59,8.35,8.42,479000
49,2019-07-16,8.55,8.64,8.45,8.49,389100
50,2019-07-15,8.58,8.68,8.48,8.55,311500
51,2019-07-12,8.8,8.84,8.46,8.58,499100
52,2019-07-11,9.22,9.22,8.82,8.9,607000
53,2019-07-10,9.17,9.32,9.1,9.18,993400
54,2019-07-09,9.01,9.15,8.97,9.14,688000
55,2019-07-08,9.1,9.12,9.0,9.08,206100
56,2019-07-05,9.1,9.15,8.93,9.13,287100
57,2019-07-03,9.15,9.225,9.085,9.13,158700
58,2019-07-02,9.46,9.46,9.09,9.13,535400
59,2019-07-01,9.38,9.485,9.28,9.46,1182700
60,2019-06-28,9.2,9.345,9.05,9.28,2964400
61,2019-06-27,8.61,9.21,8.61,9.19,1444800
62,2019-06-26,8.76,8.82,8.52,8.57,892300
63,2019-06-25,8.67,8.88,8.6,8.76,511000
64,2019-06-24,8.88,8.8991,8.63,8.67,244300
65,2019-06-21,8.82,8.93,8.65,8.89,635000
66,2019-06-20,8.9,9.0,8.75,8.84,458400
67,2019-06-19,8.76,8.88,8.68,8.84,755500
68,2019-06-18,8.63,8.81,8.63,8.71,607600
69,2019-06-17,8.54,8.68,8.5,8.61,266500
70,2019-06-14,8.7,8.72,8.54,8.54,293300
71,2019-06-13,8.52,8.6899,8.52,8.68,241600
72,2019-06-12,8.43,8.59,8.34,8.51,256600
73,2019-06-11,8.69,8.73,8.2249,8.42,585300
74,2019-06-10,8.56,8.68,8.51,8.61,345800
75,2019-06-07,8.42,8.57,8.401,8.51,424300
76,2019-06-06,8.5092,8.52,8.38,8.41,749800
77,2019-06-05,8.59,8.6,8.45,8.53,216100
78,2019-06-04,8.5,8.56,8.4,8.55,304300
79,2019-06-03,8.3,8.435,8.28,8.41,647800
80,2019-05-31,8.17,8.325,8.0203,8.3,558900
81,2019-05-30,8.2,8.33,8.2,8.27,385400
82,2019-05-29,8.1,8.21,8.02,8.18,789900
83,2019-05-28,8.21,8.236,8.01,8.17,493700
84,2019-05-24,8.21,8.32,8.08,8.21,353100
85,2019-05-23,8.28,8.4706,8.12,8.17,716500
86,2019-05-22,8.43,8.47,8.17,8.39,1441100
87,2019-05-21,8.47,8.6,8.36,8.47,434500
88,2019-05-20,8.47,8.61,8.35,8.44,434100
89,2019-05-17,8.86,8.93,8.475,8.53,615100
90,2019-05-16,8.83,9.0704,8.82,8.96,748600
91,2019-05-15,9.02,9.21,8.8,8.87,1302200
92,2019-05-14,8.54,8.79,8.47,8.74,681700
93,2019-05-13,8.99,9.06,8.5,8.52,1091300
94,2019-05-10,8.91,9.23,8.5,9.15,1026600
95,2019-05-09,8.64,9.315,8.27,8.97,1048500
96,2019-05-08,9.7303,9.93,9.66,9.75,672900
97,2019-05-07,9.91,10.02,9.66,9.75,627100
98,2019-05-06,9.8096,10.065,9.7,10.0,398600
99,2019-05-03,9.79,9.9698,9.76,9.97,507400
100,2019-05-02,9.58,9.92,9.57,9.7,416700
101,2019-05-01,9.49,9.74,9.3606,9.64,863200
102,2019-04-30,9.34,9.65,9.33,9.46,1192600
103,2019-04-29,8.96,9.4,8.75,9.32,3315300
104,2019-04-26,9.51,9.6194,8.88,8.94,2025600
105,2019-04-25,9.6,9.69,9.44,9.53,1784500
106,2019-04-24,9.48,9.805,9.44,9.6,2083800
107,2019-04-23,9.42,9.64,9.34,9.5,1773800
108,2019-04-22,9.56,9.705,9.38,9.42,629900
109,2019-04-18,9.52,9.64,9.46,9.57,671900
110,2019-04-17,9.89,9.89,9.52,9.55,1039600
111,2019-04-16,10.09,10.2,9.82,9.9,282900
112,2019-04-15,10.13,10.25,9.93,10.08,1031100
113,2019-04-12,10.3,10.42,10.11,10.13,174700
114,2019-04-11,10.42,10.45,10.195,10.24,235700
115,2019-04-10,10.54,10.62,10.36,10.41,348700
116,2019-04-09,10.82,10.92,10.55,10.55,322400
117,2019-04-08,10.76,10.88,10.58,10.87,204900
118,2019-04-05,10.69,10.87,10.67,10.76,461200
119,2019-04-04,10.78,10.89,10.64,10.68,196300
120,2019-04-03,10.9096,10.97,10.675,10.77,180900
121,2019-04-02,11.03,11.05,10.76,10.81,363700
122,2019-04-01,11.2,11.25,10.94,11.07,358700
123,2019-03-29,11.21,11.305,11.09,11.15,438900
