,timestamp,open,high,low,close,volume
0,2019-09-24,16.41,16.95,16.2175,16.87,73653
1,2019-09-23,14.49,16.58,14.25,16.33,917076
2,2019-09-20,14.09,14.63,14.09,14.55,151900
3,2019-09-19,14.12,14.23,14.01,14.12,111400
4,2019-09-18,14.45,14.45,13.73,14.2,147700
5,2019-09-17,13.74,14.2,13.74,14.1,89600
6,2019-09-16,13.95,14.01,13.65,13.75,111500
7,2019-09-13,13.65,14.01,13.28,14.01,102300
8,2019-09-12,13.59,13.82,13.44,13.65,101100
9,2019-09-11,13.58,13.82,13.39,13.58,119200
10,2019-09-10,12.97,13.57,12.81,13.57,139400
11,2019-09-09,13.25,13.26,12.91,13.02,95000
12,2019-09-06,13.26,13.4,13.16,13.28,95300
13,2019-09-05,13.42,13.525,13.22,13.28,82600
14,2019-09-04,13.37,13.52,13.23,13.36,90400
15,2019-09-03,13.37,13.45,13.06,13.33,121700
16,2019-08-30,13.14,13.39,13.0,13.36,65900
17,2019-08-29,13.43,13.43,12.84,13.1,167800
18,2019-08-28,13.23,14.06,13.21,13.33,308300
19,2019-08-27,13.6,13.6,13.18,13.26,86100
20,2019-08-26,13.65,13.65,13.36,13.5,33500
21,2019-08-23,13.76,13.8,13.48,13.49,68300
22,2019-08-22,13.95,13.95,13.66,13.78,60200
23,2019-08-21,14.1,14.1,13.72,13.95,72400
24,2019-08-20,14.04,14.06,13.82,14.0,76800
25,2019-08-19,13.98,14.1,13.82,14.04,86900
26,2019-08-16,13.93,14.02,13.75,14.0,89600
27,2019-08-15,13.89,14.04,13.51,13.86,140200
28,2019-08-14,14.07,14.355,13.78,13.91,64400
29,2019-08-13,14.07,14.27,13.98,14.17,51200
30,2019-08-12,14.0,14.1,13.73,14.09,79000
31,2019-08-09,14.43,14.43,13.9,14.07,64900
32,2019-08-08,14.6,14.6016,14.31,14.4,119500
33,2019-08-07,14.3,14.67,14.3,14.49,201200
34,2019-08-06,13.5,14.7792,13.31,14.54,607600
35,2019-08-05,13.04,13.04,12.49,12.84,202500
36,2019-08-02,13.04,13.26,12.885,13.21,149300
37,2019-08-01,12.9,13.37,12.82,13.04,271800
38,2019-07-31,12.65,13.135,12.61,12.9,167400
39,2019-07-30,12.66,12.98,12.56,12.66,1296800
40,2019-07-29,12.71,12.785,12.58,12.74,73900
41,2019-07-26,12.58,12.81,12.58,12.71,125800
42,2019-07-25,12.63,12.75,12.52,12.64,111600
43,2019-07-24,12.68,12.77,12.52,12.63,158500
44,2019-07-23,13.09,13.11,12.69,12.72,81500
45,2019-07-22,13.12,13.2795,12.98,13.01,66100
46,2019-07-19,13.09,13.25,12.92,13.13,165100
47,2019-07-18,12.87,13.1,12.81,13.1,202100
48,2019-07-17,13.1301,13.18,12.81,12.91,84600
