,timestamp,open,high,low,close,volume
0,2019-09-24,17.46,17.46,17.46,16.02,189
1,2019-09-23,17.56,17.56,17.43,17.56,2189
2,2019-09-20,16.95,17.93,16.95,17.54,24500
3,2019-09-19,17.37,17.74,16.92,16.99,14200
4,2019-09-18,17.85,18.1,17.22,17.4,9000
5,2019-09-17,17.69,17.88,17.18,17.88,14100
6,2019-09-16,17.75,17.75,16.01,17.41,3600
7,2019-09-13,17.89,18.24,17.82,17.86,13500
8,2019-09-12,17.37,17.9,17.3,17.85,10200
9,2019-09-11,16.83,17.45,16.83,17.4,8800
10,2019-09-10,16.08,17.1,16.08,16.72,6100
11,2019-09-09,16.07,16.1,15.97,16.1,9200
12,2019-09-06,15.8,16.04,15.8,15.98,5200
13,2019-09-05,15.91,16.1,15.82,16.1,4400
14,2019-09-04,15.89,16.02,15.87,15.96,2700
15,2019-09-03,15.68,16.07,15.68,15.85,3500
16,2019-08-30,15.95,16.2,15.95,16.18,4500
17,2019-08-29,16.14,16.2,16.0,16.07,4800
18,2019-08-28,15.97,16.21,15.21,16.15,3600
19,2019-08-27,16.32,16.32,15.85,15.9,3700
20,2019-08-26,16.11,16.24,15.97,16.23,6300
21,2019-08-23,16.16,16.31,15.48,15.65,11100
22,2019-08-22,16.18,16.52,16.12,16.12,5500
23,2019-08-21,16.2,16.39,16.1,16.1,7600
24,2019-08-20,16.37,16.37,16.1,16.1,4900
25,2019-08-19,16.39,16.84,16.39,16.7,1200
26,2019-08-16,16.3,16.57,16.2303,16.54,4700
27,2019-08-15,16.3,16.3,16.15,16.15,4200
28,2019-08-14,16.52,16.65,16.15,16.15,5200
29,2019-08-13,16.96,16.96,16.78,16.87,2000
30,2019-08-12,16.75,16.91,16.67,16.67,3100
31,2019-08-09,16.96,17.21,16.67,16.67,4400
32,2019-08-08,17.34,17.34,16.96,16.96,6100
33,2019-08-07,17.0,17.0,16.8987,16.9,2700
34,2019-08-06,16.99,17.0,16.85,16.85,2300
35,2019-08-05,17.36,17.36,16.69,16.75,7400
36,2019-08-02,17.9,18.18,16.57,16.77,17700
37,2019-08-01,18.1,18.25,17.89,17.89,5600
38,2019-07-31,17.99,18.54,17.95,18.27,14100
39,2019-07-30,18.45,18.45,17.9312,17.98,11400
40,2019-07-29,18.5,18.5,18.24,18.24,2700
41,2019-07-26,17.91,18.6,17.91,18.34,7200
42,2019-07-25,17.62,17.8,17.62,17.8,1700
43,2019-07-24,18.35,18.35,17.92,17.92,2500
44,2019-07-23,18.26,18.26,18.11,18.11,1300
45,2019-07-22,17.79,18.12,17.49,18.06,2400
46,2019-07-19,18.07,18.46,18.0015,18.0,3400
