,timestamp,open,high,low,close,volume
0,2019-09-24,41.3,41.48,41.13,41.28,23954
1,2019-09-23,40.95,41.51,40.7309,41.12,409729
2,2019-09-20,41.32,41.75,40.97,41.07,899200
3,2019-09-19,41.75,42.1,41.37,41.41,245900
4,2019-09-18,41.89,41.89,40.9,41.51,201900
5,2019-09-17,41.63,41.78,41.0,41.74,207400
6,2019-09-16,41.21,42.01,40.83,41.69,653400
7,2019-09-13,42.23,42.76,41.39,41.51,374900
8,2019-09-12,41.84,42.31,41.24,42.11,452200
9,2019-09-11,40.33,41.99,39.82,41.97,471900
10,2019-09-10,39.56,40.6,39.5,40.04,557000
11,2019-09-09,39.12,39.69,39.01,39.66,249800
12,2019-09-06,38.8,39.33,38.74,39.06,191800
13,2019-09-05,38.41,39.19,38.19,38.85,232500
14,2019-09-04,38.43,38.46,38.05,38.16,310800
15,2019-09-03,38.27,38.27,37.76,38.17,186500
16,2019-08-30,38.72,38.98,38.29,38.48,208300
17,2019-08-29,38.13,38.93,38.13,38.69,191700
18,2019-08-28,36.52,38.03,36.41,37.99,341100
19,2019-08-27,37.46,37.6,36.43,36.45,231900
20,2019-08-26,36.89,37.13,36.64,37.08,177900
21,2019-08-23,37.45,37.81,36.38,36.49,254100
22,2019-08-22,37.76,37.94,37.18,37.66,172400
23,2019-08-21,37.35,37.8,37.17,37.61,197600
24,2019-08-20,37.54,37.54,37.04,37.12,143400
25,2019-08-19,37.54,37.99,37.11,37.7,220500
26,2019-08-16,36.64,37.49,36.64,37.16,275800
27,2019-08-15,36.06,36.5127,36.06,36.49,223100
28,2019-08-14,36.4787,36.79,36.02,36.04,217000
29,2019-08-13,36.49,37.5,36.36,36.9,206400
30,2019-08-12,36.78,36.85,36.39,36.53,300900
31,2019-08-09,37.68,37.68,36.44,36.89,264100
32,2019-08-08,37.21,37.71,36.9,37.64,393800
33,2019-08-07,36.03,37.35,35.84,37.14,363900
34,2019-08-06,36.38,36.74,35.88,36.26,277400
35,2019-08-05,36.2,36.59,35.93,36.35,524100
36,2019-08-02,36.4788,37.01,36.25,36.81,259100
37,2019-08-01,36.76,37.6,36.22,36.58,539600
38,2019-07-31,38.58,39.1894,36.78,36.82,999800
39,2019-07-30,38.97,39.5,37.42,39.46,562000
40,2019-07-29,38.45,38.71,38.07,38.5,427400
41,2019-07-26,37.88,38.55,37.84,38.46,313800
42,2019-07-25,38.6488,38.66,37.82,37.88,367600
43,2019-07-24,37.83,38.51,37.83,38.46,232400
44,2019-07-23,37.77,38.15,37.77,38.0,301100
45,2019-07-22,38.14,38.24,37.55,37.68,227200
46,2019-07-19,37.9,38.78,37.9,38.12,441100
47,2019-07-18,37.88,38.14,37.77,38.01,329800
48,2019-07-17,38.34,38.37,37.78,38.04,317000
