,timestamp,open,high,low,close,volume
0,2019-09-24,27.59,27.78,27.04,27.04,21109
1,2019-09-23,27.26,27.79,26.66,27.53,413675
2,2019-09-20,25.82,27.835,25.79,27.23,832500
3,2019-09-19,26.31,26.526,25.6,25.87,325900
4,2019-09-18,25.5,26.23,25.49,26.21,356500
5,2019-09-17,27.04,27.2,25.37,25.56,435900
6,2019-09-16,26.6,27.25,26.32,27.04,207700
7,2019-09-13,27.12,27.502,26.01,26.61,482500
8,2019-09-12,29.05,29.42,26.94,27.01,394700
9,2019-09-11,27.75,29.11,27.63,29.03,287600
10,2019-09-10,27.32,28.16,26.54,27.7,425100
11,2019-09-09,28.63,28.63,27.2,27.53,565500
12,2019-09-06,29.5,29.84,28.52,28.6,381100
13,2019-09-05,28.55,29.52,27.81,29.38,396400
14,2019-09-04,29.76,30.0,28.23,28.25,502000
15,2019-09-03,31.38,31.58,28.94,29.38,665200
16,2019-08-30,31.66,31.964,31.12,31.66,184800
17,2019-08-29,31.56,31.94,31.04,31.38,287500
18,2019-08-28,31.06,31.77,30.9,31.32,221600
19,2019-08-27,31.9,32.19,30.85,31.27,265300
20,2019-08-26,30.29,32.45,30.29,31.85,440300
21,2019-08-23,31.98,32.18,30.21,30.28,250000
22,2019-08-22,32.05,32.4,31.55,31.9,284800
23,2019-08-21,33.1,33.45,31.7,31.95,178500
24,2019-08-20,32.5,33.21,32.275,32.92,576400
25,2019-08-19,32.5,33.08,32.22,32.63,446700
26,2019-08-16,30.74,32.41,30.47,32.16,608800
27,2019-08-15,32.49,32.49,30.51,30.54,504500
28,2019-08-14,33.41,33.9382,31.5,32.16,544500
29,2019-08-13,33.7185,34.74,33.648,33.76,380100
30,2019-08-12,34.66,34.86,32.84,33.77,531700
31,2019-08-09,32.98,35.242,32.8,34.75,1246900
32,2019-08-08,35.09,35.9996,31.73,32.77,1192400
33,2019-08-07,31.37,32.75,31.16,32.27,476700
34,2019-08-06,32.12,32.12,31.1104,31.68,452700
35,2019-08-05,31.82,32.2887,31.0,31.94,378500
36,2019-08-02,33.39,33.65,32.08,32.53,262900
37,2019-08-01,34.11,34.36,33.03,33.44,517700
38,2019-07-31,34.18,35.05,33.75,34.24,952700
39,2019-07-30,34.33,34.5,33.0,34.02,595500
40,2019-07-29,35.93,36.03,33.87,34.48,668100
41,2019-07-26,35.84,36.2514,35.51,35.94,436600
42,2019-07-25,35.9,36.3098,35.52,35.75,324600
43,2019-07-24,36.02,36.1644,35.64,36.03,263100
44,2019-07-23,35.96,36.33,35.53,36.1,230900
45,2019-07-22,36.03,36.03,35.33,35.67,301100
46,2019-07-19,35.6522,36.23,35.434,36.0,222600
47,2019-07-18,35.78,36.14,35.31,35.52,283600
48,2019-07-17,35.51,35.96,35.252,35.75,306400
49,2019-07-16,35.28,35.65,35.15,35.51,192400
50,2019-07-15,34.48,35.39,34.48,35.24,364600
51,2019-07-12,34.11,34.49,33.71,34.44,250800
52,2019-07-11,34.23,34.37,33.565,34.12,381900
53,2019-07-10,34.19,34.64,33.685,34.12,457700
54,2019-07-09,33.93,34.415,33.38,34.14,387700
55,2019-07-08,34.89,34.89,33.57,34.11,423000
56,2019-07-05,34.44,35.05,34.05,34.96,152200
57,2019-07-03,34.25,35.3,34.15,34.72,239500
58,2019-07-02,33.74,34.44,33.315,34.12,302900
59,2019-07-01,33.38,34.155,33.13,33.75,415600
60,2019-06-28,31.41,33.05,31.3,32.96,826100
61,2019-06-27,30.12,31.38,30.02,31.25,307000
62,2019-06-26,30.64,30.95,29.35,30.1,298900
63,2019-06-25,30.75,30.95,29.8897,30.49,418800
