,timestamp,open,high,low,close,volume
0,2019-09-24,17.5,17.77,17.455,17.46,57264
1,2019-09-23,17.07,17.885,17.07,17.44,489207
2,2019-09-20,17.03,17.54,17.03,17.16,735500
3,2019-09-19,17.76,17.76,16.91,16.98,439800
4,2019-09-18,18.16,18.21,17.39,17.67,409300
5,2019-09-17,18.03,18.36,17.88,18.13,569300
6,2019-09-16,18.43,19.13,17.91,18.15,827200
7,2019-09-13,18.1,18.57,17.91,18.47,714700
8,2019-09-12,18.04,18.38,17.51,17.96,721900
9,2019-09-11,17.57,18.24,17.1,17.97,1028800
10,2019-09-10,16.36,17.48,16.32,17.47,831300
11,2019-09-09,16.01,16.43,15.77,16.39,698200
12,2019-09-06,16.63,16.8,15.95,15.98,505300
13,2019-09-05,15.9,16.62,15.8,16.53,647000
14,2019-09-04,15.75,15.93,15.45,15.74,775900
15,2019-09-03,15.7,15.92,15.48,15.67,522100
16,2019-08-30,15.6,15.84,15.47,15.8,436200
17,2019-08-29,16.13,16.16,15.28,15.5,725400
18,2019-08-28,15.4,16.2,15.38,16.09,420800
19,2019-08-27,15.58,15.83,15.19,15.48,384200
20,2019-08-26,15.53,15.84,15.4,15.47,433300
21,2019-08-23,16.24,16.24,15.37,15.46,624200
22,2019-08-22,17.05,17.15,15.92,16.37,566800
23,2019-08-21,17.08,17.2,16.72,17.05,503100
24,2019-08-20,16.8,17.07,16.71,16.87,482100
25,2019-08-19,16.7,17.29,16.7,16.84,697700
26,2019-08-16,16.25,16.87,16.15,16.5,852800
27,2019-08-15,16.63,16.7,15.1203,15.68,1006700
28,2019-08-14,16.52,16.89,16.32,16.56,1046700
29,2019-08-13,16.16,17.2,16.07,16.75,896200
30,2019-08-12,15.62,16.31,15.55,16.2,597900
31,2019-08-09,16.2804,16.38,15.66,15.72,459200
32,2019-08-08,17.06,17.25,16.267,16.28,783500
33,2019-08-07,16.399,17.13,16.16,17.04,1086200
34,2019-08-06,16.0,16.6279,15.96,16.57,729800
35,2019-08-05,16.21,16.34,15.65,15.91,1005700
36,2019-08-02,16.1,16.53,15.9001,16.34,850800
37,2019-08-01,17.09,17.14,15.97,16.2,1246600
38,2019-07-31,16.96,17.47,16.68,17.37,937600
39,2019-07-30,16.13,16.88,15.97,16.88,848400
40,2019-07-29,15.91,16.19,15.55,16.1,931000
41,2019-07-26,16.24,16.509,15.68,15.98,1483700
42,2019-07-25,17.23,17.63,16.06,16.14,1855700
43,2019-07-24,16.65,17.78,16.51,17.18,2526300
44,2019-07-23,15.96,16.71,15.43,16.64,1594300
45,2019-07-22,15.56,16.46,15.45,16.03,2923900
46,2019-07-19,16.2908,16.36,15.66,16.23,1705400
47,2019-07-18,16.95,17.1,15.98,16.28,1067600
48,2019-07-17,16.81,17.55,16.79,16.95,1136500
49,2019-07-16,16.1904,17.11,16.19,16.86,1633500
50,2019-07-15,15.38,16.36,15.37,16.24,1757400
51,2019-07-12,15.09,15.251,15.0,15.09,687400
52,2019-07-11,15.66,15.85,15.0,15.01,682400
53,2019-07-10,15.59,15.83,15.4,15.79,591600
54,2019-07-09,15.43,15.62,15.11,15.5,566800
55,2019-07-08,15.6,15.94,15.43,15.44,485000
56,2019-07-05,15.77,16.12,15.545,15.56,450200
57,2019-07-03,15.69,15.86,15.55,15.76,337800
58,2019-07-02,15.34,15.73,15.26,15.69,555700
59,2019-07-01,15.86,15.985,15.2,15.43,843600
60,2019-06-28,15.97,16.18,15.64,15.67,1212100
