,timestamp,open,high,low,close,volume
0,2019-09-24,29.61,29.699,29.56,29.6665,16276
1,2019-09-23,29.5,29.5887,29.497,29.55,11572
2,2019-09-20,29.86,29.86,29.66,29.68,19000
3,2019-09-19,29.82,29.87,29.74,29.75,14200
4,2019-09-18,29.67,29.74,29.51,29.74,33200
5,2019-09-17,29.6,29.73,29.6,29.72,8200
6,2019-09-16,29.76,29.76,29.63,29.63,16800
7,2019-09-13,29.88,29.89,29.77,29.78,18800
8,2019-09-12,29.82,29.91,29.78,29.84,18600
9,2019-09-11,29.57,29.69,29.54,29.68,23300
10,2019-09-10,29.48,29.54,29.37,29.54,10000
11,2019-09-09,29.8,29.8,29.53,29.55,24500
12,2019-09-06,29.62,29.67,29.6,29.65,12300
13,2019-09-05,29.56,29.62,29.54,29.54,8600
14,2019-09-04,29.27,29.32,29.18,29.32,6400
15,2019-09-03,28.99,28.99,28.9,28.95,17600
16,2019-08-30,29.21,29.23,29.07,29.16,9300
17,2019-08-29,29.05,29.14,29.02,29.12,6100
18,2019-08-28,28.61,28.86,28.58,28.84,13300
19,2019-08-27,28.89,28.89,28.66,28.71,15600
20,2019-08-26,28.62,28.69,28.54,28.59,7000
21,2019-08-23,29.02,29.07,28.41,28.43,14400
22,2019-08-22,29.16,29.22,28.95,29.13,16800
23,2019-08-21,29.08,29.12,29.03,29.1,16800
24,2019-08-20,29.06,29.06,28.86,28.86,98400
25,2019-08-19,29.0,29.09,28.99,29.09,22100
26,2019-08-16,28.57,28.76,28.57,28.76,7700
27,2019-08-15,28.35,28.44,28.25,28.44,24300
28,2019-08-14,28.64,28.64,28.23,28.42,30600
29,2019-08-13,28.56,28.97,28.56,28.92,7200
30,2019-08-12,28.68,28.72,28.44,28.51,52000
31,2019-08-09,28.92,28.96,28.71,28.82,22700
32,2019-08-08,28.63,28.99,28.63,28.98,17400
33,2019-08-07,28.13,28.547,28.05,28.52,5700
34,2019-08-06,28.18,28.34,28.0402,28.32,19900
35,2019-08-05,28.43,28.43,27.86,28.09,26400
36,2019-08-02,28.88,28.91,28.65,28.77,20400
37,2019-08-01,29.1,29.36,28.87,28.9,24200
38,2019-07-31,29.48,29.48,28.9,29.13,10100
39,2019-07-30,29.46,29.51,29.45,29.48,4500
40,2019-07-29,29.5,29.54,29.46,29.52,8900
41,2019-07-26,29.39,29.48,29.35,29.45,5400
42,2019-07-25,29.32,29.37,29.31,29.32,10700
43,2019-07-24,29.17,29.36,29.17,29.34,7000
44,2019-07-23,29.1,29.2297,29.06,29.23,11400
45,2019-07-22,29.13,29.13,29.03,29.06,7100
46,2019-07-19,29.3,29.32,29.13,29.13,11500
47,2019-07-18,29.11,29.26,29.06,29.26,6100
48,2019-07-17,29.32,29.32,29.13,29.13,10900
49,2019-07-16,29.33,29.36,29.26,29.29,22500
50,2019-07-15,29.35,29.39,29.3107,29.34,12500
51,2019-07-12,29.27,29.31,29.27,29.31,6800
52,2019-07-11,29.18,29.2,29.11,29.2,8500
53,2019-07-10,29.14,29.1625,29.09,29.11,4000
54,2019-07-09,28.99,28.99,28.94,28.96,15700
55,2019-07-08,29.0385,29.08,28.94,29.08,19900
56,2019-07-05,29.02,29.14,28.88,29.12,13800
57,2019-07-03,28.9895,29.12,28.99,29.12,5800
58,2019-07-02,28.78,28.91,28.75,28.91,6100
59,2019-07-01,28.96,28.96,28.71,28.81,15100
60,2019-06-28,28.66,28.68,28.6,28.68,19800
61,2019-06-27,28.5,28.57,28.5,28.55,6500
62,2019-06-26,28.7,28.7,28.48,28.48,12600
63,2019-06-25,28.81,28.81,28.64,28.67,15200
64,2019-06-24,28.8,28.93,28.8,28.85,10700
