,timestamp,open,high,low,close,volume
0,2019-09-24,0.0,0.0,0.0,2.17,2
1,2019-09-23,2.53,2.58,2.52,2.54,6645
2,2019-09-20,2.52,2.57,2.5,2.57,60100
3,2019-09-19,2.54,2.56,2.5,2.5,44100
4,2019-09-18,2.57,2.98,2.5,2.51,72500
5,2019-09-17,2.9,2.9,2.5,2.5,62800
6,2019-09-16,2.6,2.93,2.46,2.93,59600
7,2019-09-13,2.46,2.6,2.39,2.6,28500
8,2019-09-12,2.42,2.62,2.42,2.42,16500
9,2019-09-11,2.65,2.65,2.39,2.39,34900
10,2019-09-10,2.59,2.67,2.35,2.67,39400
11,2019-09-09,2.37,2.64,2.35,2.4,128500
12,2019-09-06,2.19,2.33,2.13,2.33,33500
13,2019-09-05,2.25,2.25,2.14,2.2,51400
14,2019-09-04,2.16,2.16,2.05,2.12,41100
15,2019-09-03,2.13,2.21,2.09,2.14,144700
16,2019-08-30,2.13,2.17,2.11,2.13,111700
17,2019-08-29,2.13,2.23,2.11,2.12,43700
18,2019-08-28,2.06,2.22,2.04,2.07,76500
19,2019-08-27,2.23,2.28,2.03,2.08,73700
20,2019-08-26,2.2,2.48,2.04,2.17,49600
21,2019-08-23,2.38,2.4,2.15,2.15,57900
22,2019-08-22,2.38,2.42,2.31,2.31,22300
23,2019-08-21,2.48,2.71,2.27,2.32,37500
24,2019-08-20,2.37,2.41,2.23,2.37,36200
25,2019-08-19,2.65,2.86,2.45,2.45,87600
26,2019-08-16,2.6,2.75,2.55,2.66,38800
27,2019-08-15,2.67,2.6902,2.5,2.55,43100
28,2019-08-14,2.84,3.0,2.595,2.64,43600
29,2019-08-13,2.91,3.0899,2.74,2.85,105000
30,2019-08-12,3.03,3.19,2.86,2.98,89300
31,2019-08-09,3.34,3.403,3.08,3.09,98600
32,2019-08-08,3.577,3.82,3.52,3.72,40100
33,2019-08-07,3.68,4.05,3.535,3.78,24000
34,2019-08-06,3.86,3.86,3.67,3.75,30200
35,2019-08-05,3.71,3.8,3.51,3.74,14000
36,2019-08-02,4.0,4.0001,3.7,3.79,29400
37,2019-08-01,3.65,3.86,3.65,3.83,76600
38,2019-07-31,3.92,3.98,3.5599,3.68,62400
39,2019-07-30,3.41,3.72,3.4,3.57,85900
40,2019-07-29,3.41,3.58,3.29,3.41,33100
41,2019-07-26,3.45,3.5802,3.32,3.32,81100
42,2019-07-25,3.66,3.71,3.4001,3.4,63000
43,2019-07-24,3.72,3.84,3.56,3.6,80400
44,2019-07-23,3.8,4.03,3.62,3.65,105500
45,2019-07-22,3.78,3.95,3.6501,3.73,82400
46,2019-07-19,4.0,4.21,3.78,3.78,130400
47,2019-07-18,3.85,4.18,3.72,3.77,83200
48,2019-07-17,4.06,4.12,3.8,3.8,36300
49,2019-07-16,4.35,4.35,4.1,4.1,36900
50,2019-07-15,4.4,4.51,4.2,4.34,54400
51,2019-07-12,4.41,4.47,4.32,4.32,30900
52,2019-07-11,4.16,4.4,4.16,4.38,62900
53,2019-07-10,4.03,4.19,3.9,4.15,46200
54,2019-07-09,3.9402,4.08,3.94,4.02,13400
55,2019-07-08,4.2,4.1996,3.98,4.01,10600
56,2019-07-05,4.05,4.23,3.89,4.21,20700
57,2019-07-03,3.88,4.11,3.88,4.04,10500
58,2019-07-02,4.0701,4.24,3.86,3.9,49700
59,2019-07-01,4.1201,4.49,4.0,4.11,65100
60,2019-06-28,3.83,4.56,3.66,4.05,1604300
61,2019-06-27,3.69,3.98,3.6297,3.71,81400
62,2019-06-26,3.7,3.84,3.69,3.69,81700
63,2019-06-25,4.01,4.01,3.75,3.79,37400
64,2019-06-24,3.63,4.05,3.63,3.78,78300
65,2019-06-21,3.9001,4.1,3.84,3.87,69300
66,2019-06-20,3.895,3.99,3.76,3.95,66200
67,2019-06-19,4.06,4.06,3.93,3.95,52100
68,2019-06-18,3.81,4.06,3.71,4.02,159400
69,2019-06-17,3.7,3.79,3.66,3.7,55600
70,2019-06-14,3.9,4.01,3.74,3.77,50000
71,2019-06-13,3.78,4.01,3.632,3.93,96900
72,2019-06-12,3.67,3.705,3.61,3.65,52700
73,2019-06-11,3.68,3.76,3.64,3.71,51700
74,2019-06-10,3.685,3.86,3.635,3.71,53300
75,2019-06-07,3.57,3.69,3.55,3.65,34000
76,2019-06-06,3.66,3.85,3.595,3.65,107100
77,2019-06-05,3.75,3.89,3.64,3.68,94700
78,2019-06-04,3.81,3.865,3.61,3.77,62600
79,2019-06-03,3.76,3.81,3.725,3.79,56200
80,2019-05-31,3.7,3.91,3.685,3.75,39300
81,2019-05-30,3.7,4.03,3.4999,3.77,65900
82,2019-05-29,3.97,3.97,3.6899,3.71,31700
83,2019-05-28,3.9,4.1599,3.9,4.02,52300
84,2019-05-24,3.94,4.03,3.81,3.91,45500
85,2019-05-23,3.9999,4.21,3.865,3.89,63500
86,2019-05-22,4.08,4.16,3.93,4.03,114200
87,2019-05-21,3.86,4.23,3.86,4.12,84400
88,2019-05-20,3.96,4.02,3.86,3.94,50600
89,2019-05-17,4.07,4.27,3.96,3.98,73400
90,2019-05-16,4.18,4.4,4.05,4.1,78800
91,2019-05-15,4.09,4.26,3.89,4.12,76300
92,2019-05-14,4.0,4.34,3.92,4.14,131200
93,2019-05-13,4.1,4.1,3.87,3.97,87000
94,2019-05-10,4.54,4.54,4.135,4.16,87000
95,2019-05-09,4.42,4.53,4.2496,4.47,72000
96,2019-05-08,4.498,4.54,4.46,4.48,20200
97,2019-05-07,4.6,4.62,4.45,4.51,48700
98,2019-05-06,4.65,4.69,4.56,4.64,26100
99,2019-05-03,4.59,4.69,4.52,4.68,25600
100,2019-05-02,4.782,4.782,4.5503,4.58,27700
101,2019-05-01,4.62,4.8,4.57,4.74,125100
102,2019-04-30,4.73,4.81,4.58,4.62,47500
103,2019-04-29,4.59,4.77,4.58,4.71,32300
104,2019-04-26,4.7869,4.925,4.56,4.61,67500
105,2019-04-25,4.8903,4.89,4.66,4.75,62000
106,2019-04-24,4.85,5.0248,4.81,4.88,158700
107,2019-04-23,4.69,4.93,4.58,4.81,214500
108,2019-04-22,4.62,4.7,4.4,4.65,69200
109,2019-04-18,4.8499,4.94,4.5,4.66,130100
110,2019-04-17,4.81,4.95,4.8,4.88,56300
111,2019-04-16,4.97,4.97,4.76,4.76,52200
112,2019-04-15,4.87,5.03,4.8,4.9,58500
113,2019-04-12,4.92,5.04,4.73,4.87,55100
114,2019-04-11,5.08,5.15,4.85,4.91,53500
115,2019-04-10,5.215,5.215,5.02,5.09,31100
116,2019-04-09,5.17,5.28,5.01,5.04,59500
117,2019-04-08,5.08,5.36,4.915,5.19,96400
118,2019-04-05,5.06,5.15,4.945,5.08,64500
119,2019-04-04,5.09,5.1,4.881,5.01,64500
120,2019-04-03,5.21,5.22,5.05,5.12,31200
121,2019-04-02,5.51,5.51,5.07,5.17,53100
122,2019-04-01,5.282,5.6,5.28,5.41,108100
123,2019-03-29,5.32,5.37,5.17,5.21,138000
124,2019-03-28,5.3,5.57,5.203,5.3,122500
125,2019-03-27,5.2,5.36,4.99,5.29,51300
126,2019-03-26,4.9,5.24,4.89,5.17,78200
127,2019-03-25,5.08,5.19,4.74,5.04,88700
128,2019-03-22,5.28,5.31,4.775,5.09,114000
129,2019-03-21,5.57,5.57,5.26,5.36,64500
130,2019-03-20,5.66,5.78,5.62,5.63,87900
131,2019-03-19,5.63,6.2792,5.27,5.75,223900
132,2019-03-18,6.1,6.44,6.04,6.36,79100
133,2019-03-15,6.01,6.17,5.81,6.12,154000
134,2019-03-14,5.92,6.03,5.64,6.03,71800
135,2019-03-13,5.729,5.94,5.63,5.93,99200
136,2019-03-12,5.92,6.08,5.72,5.75,37100
137,2019-03-11,5.81,5.93,5.65,5.93,76200
138,2019-03-08,5.83,5.965,5.74,5.81,32900
139,2019-03-07,5.48,6.04,5.48,5.82,34400
140,2019-03-06,6.1402,6.28,6.0,6.08,49100
141,2019-03-05,6.2,6.29,6.1,6.13,44300
142,2019-03-04,6.33,6.46,6.2,6.2,43700
143,2019-03-01,6.26,6.37,6.26,6.26,28400
144,2019-02-28,6.38,6.655,6.25,6.26,72300
145,2019-02-27,6.23,6.52,6.07,6.45,69500
146,2019-02-26,6.19,6.49,6.076,6.2,125300
147,2019-02-25,6.02,6.46,6.01,6.22,53800
148,2019-02-22,6.7,6.7,5.9296,6.04,29100
149,2019-02-21,6.29,6.3001,5.96,6.02,20100
150,2019-02-20,6.172,6.185,6.0,6.0,16500
151,2019-02-19,6.1,6.268,6.1,6.18,49700
152,2019-02-15,6.16,6.315,6.12,6.2,83300
153,2019-02-14,6.08,6.2,5.95,6.12,29500
154,2019-02-13,6.07,6.205,6.03,6.12,26800
155,2019-02-12,5.63,6.1003,5.63,6.1,30400
156,2019-02-11,5.89,5.9,5.41,5.84,34400
157,2019-02-08,5.78,5.96,5.78,5.93,30700
158,2019-02-07,5.75,6.01,5.54,5.8,33900
159,2019-02-06,5.9,6.2,5.46,5.75,54200
160,2019-02-05,6.33,6.451,5.88,5.9,27300
161,2019-02-04,5.98,6.3,5.8502,5.92,24300
162,2019-02-01,6.11,6.19,5.96,5.99,19100
163,2019-01-31,5.86,6.28,5.86,6.09,75400
164,2019-01-30,6.05,6.28,5.94,6.1,43300
165,2019-01-29,5.95,6.26,5.36,5.98,42800
166,2019-01-28,5.99,6.489,5.27,5.96,56500
167,2019-01-25,6.27,6.27,5.97,6.05,58400
168,2019-01-24,5.99,6.3,5.99,6.24,94900
169,2019-01-23,6.03,6.08,5.82,5.99,84000
170,2019-01-22,6.46,6.49,5.99,6.03,43900
171,2019-01-18,6.33,6.6995,6.32,6.44,69300
172,2019-01-17,6.41,6.6,6.2,6.31,23700
173,2019-01-16,6.52,6.74,6.37,6.41,46100
174,2019-01-15,6.51,6.73,6.465,6.53,43700
175,2019-01-14,6.36,6.59,6.195,6.5,67400
176,2019-01-11,6.37,6.41,6.25,6.35,39300
177,2019-01-10,6.25,6.37,6.25,6.36,58300
178,2019-01-09,6.08,6.37,6.07,6.26,28200
179,2019-01-08,6.08,6.25,5.945,6.07,41700
180,2019-01-07,6.15,6.16,5.9,6.08,42400
181,2019-01-04,5.87,6.19,5.795,6.16,74800
182,2019-01-03,5.26,5.98,5.0,5.82,52100
183,2019-01-02,5.1099,5.61,5.11,5.6,49900
184,2018-12-31,5.19,5.275,5.0,5.13,240100
185,2018-12-28,5.3,5.54,5.19,5.19,292000
186,2018-12-27,5.16,5.53,5.0,5.24,150600
187,2018-12-26,5.2,5.246,5.05,5.16,168100
188,2018-12-24,4.9,5.3201,4.9,5.2,33700
189,2018-12-21,4.96,5.07,4.84,4.89,75500
190,2018-12-20,5.03,5.28,4.85,4.96,253900
191,2018-12-19,5.15,5.24,4.91,5.02,49100
192,2018-12-18,5.3598,5.61,5.12,5.14,32200
193,2018-12-17,5.3,5.78,5.29,5.3,21500
194,2018-12-14,5.24,5.475,5.11,5.29,38300
195,2018-12-13,5.36,5.585,5.25,5.3,101600
