,timestamp,open,high,low,close,volume
0,2019-09-24,30.78,31.0,30.56,30.9,62410
1,2019-09-23,30.43,30.99,30.355,30.69,1105441
2,2019-09-20,31.02,31.26,30.13,30.48,9191700
3,2019-09-19,31.11,31.45,30.93,31.03,1242200
4,2019-09-18,31.64,32.12,30.33,30.84,1343300
5,2019-09-17,31.25,31.67,30.78,31.22,1181800
6,2019-09-16,30.7,31.35,30.51,30.91,964300
7,2019-09-13,30.41,31.5,30.39,30.82,1098800
8,2019-09-12,30.35,31.03,30.24,30.35,1153000
9,2019-09-11,30.95,31.01,30.0,30.17,1210500
10,2019-09-10,30.78,31.03,28.88,30.94,1893500
11,2019-09-09,32.38,32.71,31.07,31.09,2159600
12,2019-09-06,31.52,31.64,31.16,31.29,827400
13,2019-09-05,31.37,31.52,30.92,31.24,764400
14,2019-09-04,31.67,31.77,31.12,31.29,964000
15,2019-09-03,30.97,31.59,30.69,31.56,832400
16,2019-08-30,30.69,31.64,30.5,31.16,866900
17,2019-08-29,29.73,30.63,29.66,30.48,705100
18,2019-08-28,30.19,30.51,29.57,29.73,806700
19,2019-08-27,30.54,30.54,29.81,30.05,537200
20,2019-08-26,30.31,30.52,30.06,30.39,590600
21,2019-08-23,30.53,30.59,30.01,30.13,1094600
22,2019-08-22,30.5,30.79,30.37,30.63,646300
23,2019-08-21,30.72,30.77,30.17,30.33,1016100
24,2019-08-20,30.0,30.86,29.57,30.47,1225800
25,2019-08-19,29.21,29.21,28.65,29.14,529800
26,2019-08-16,28.56,28.98,28.37,28.88,507400
27,2019-08-15,28.52,28.6,28.05,28.42,759800
28,2019-08-14,29.09,29.216,28.37,28.38,879500
29,2019-08-13,29.45,30.35,29.31,29.51,993700
30,2019-08-12,28.96,29.44,28.21,29.31,1018900
31,2019-08-09,29.0375,29.39,28.84,28.94,809500
32,2019-08-08,28.39,29.35,28.3804,29.11,1107700
33,2019-08-07,28.02,28.425,27.48,28.31,844500
34,2019-08-06,29.14,29.18,28.01,28.21,1584600
35,2019-08-05,28.97,29.3,28.3404,28.73,1112300
36,2019-08-02,29.56,29.56,28.62,29.12,856200
37,2019-08-01,28.05,29.73,27.12,29.3,2080800
38,2019-07-31,27.16,27.54,26.56,27.06,1654900
39,2019-07-30,27.3,27.43,26.71,27.31,679300
40,2019-07-29,27.07,27.32,26.9,27.17,793300
41,2019-07-26,27.37,27.43,27.07,27.14,683000
42,2019-07-25,27.04,27.66,26.96,27.2,697100
43,2019-07-24,26.96,27.1221,26.83,27.02,991600
44,2019-07-23,26.75,27.29,26.65,27.1,963900
45,2019-07-22,26.22,26.86,25.91,26.55,941900
46,2019-07-19,26.75,26.96,26.24,26.24,605800
47,2019-07-18,26.42,26.96,26.23,26.82,692700
48,2019-07-17,26.069,26.38,25.88,26.26,520900
49,2019-07-16,26.53,26.55,25.91,25.97,500000
50,2019-07-15,26.69,26.69,26.26,26.53,605500
51,2019-07-12,26.32,26.58,26.05,26.56,681600
52,2019-07-11,26.96,27.19,26.32,26.38,775900
53,2019-07-10,26.55,27.04,26.55,26.89,719300
54,2019-07-09,26.43,26.59,26.38,26.48,657600
55,2019-07-08,26.64,26.79,26.21,26.44,507700
56,2019-07-05,26.69,26.8696,26.39,26.73,1008600
57,2019-07-03,26.75,27.185,26.66,26.99,2098200
58,2019-07-02,26.3,26.68,26.26,26.62,852700
59,2019-07-01,25.58,26.3641,25.58,26.27,1254200
60,2019-06-28,24.8511,25.43,24.75,25.39,1138200
61,2019-06-27,24.4614,24.97,24.31,24.74,784600
62,2019-06-26,25.14,25.14,24.31,24.41,928700
63,2019-06-25,25.61,25.81,24.46,25.18,1251400
64,2019-06-24,25.38,25.78,25.28,25.5,942300
65,2019-06-21,25.64,25.89,25.31,25.43,879300
66,2019-06-20,25.43,26.0,25.3304,25.71,633500
67,2019-06-19,25.5,25.61,24.88,25.28,1260100
68,2019-06-18,25.02,25.92,25.02,25.58,1684600
69,2019-06-17,26.25,26.25,25.08,25.29,2288000
70,2019-06-14,26.61,26.66,26.28,26.3,668600
71,2019-06-13,26.93,27.06,26.51,26.64,1428200
72,2019-06-12,27.01,27.18,26.73,26.93,982900
73,2019-06-11,27.19,27.45,26.9025,27.03,1036700
74,2019-06-10,27.07,27.332,26.96,27.03,761600
75,2019-06-07,26.7599,27.24,26.69,27.03,991800
76,2019-06-06,26.31,26.68,26.25,26.55,1104900
77,2019-06-05,25.75,26.52,25.66,26.22,1102000
78,2019-06-04,25.64,25.78,25.43,25.59,1680500
79,2019-06-03,25.43,25.885,25.26,25.38,1560800
80,2019-05-31,25.73,25.73,25.245,25.57,1266500
81,2019-05-30,25.44,26.08,25.39,26.01,1322200
82,2019-05-29,26.44,26.59,25.03,25.34,3285400
83,2019-05-28,27.76,27.96,26.88,26.91,1411000
84,2019-05-24,27.95,28.13,27.64,27.86,812000
85,2019-05-23,27.77,28.26,27.48,27.98,1362100
86,2019-05-22,27.92,28.4,27.58,27.99,2111600
87,2019-05-21,28.18,28.26,27.35,27.39,1682300
88,2019-05-20,28.6182,28.62,28.13,28.16,709500
89,2019-05-17,28.85,29.19,28.42,28.5,982000
90,2019-05-16,28.5698,29.315,28.41,28.99,1028300
91,2019-05-15,28.08,28.53,28.0399,28.43,513200
92,2019-05-14,27.77,28.3,27.57,28.17,831400
93,2019-05-13,28.1,28.22,27.5,27.68,889300
94,2019-05-10,27.87,28.36,27.46,28.32,782100
95,2019-05-09,27.86,27.96,27.35,27.9,788300
96,2019-05-08,28.3,28.41,27.99,28.11,951300
97,2019-05-07,28.7,28.85,27.83,28.21,1179000
98,2019-05-06,27.71,28.78,27.27,28.75,1333100
99,2019-05-03,27.7,28.24,27.5,27.98,1157900
100,2019-05-02,26.24,28.05,26.23,27.4,1529100
101,2019-05-01,27.09,27.195,26.819,26.86,890000
102,2019-04-30,26.95,27.19,26.7992,26.91,1021000
103,2019-04-29,26.94,27.06,26.74,26.89,908700
104,2019-04-26,26.57,27.02,26.43,26.82,938000
105,2019-04-25,26.63,26.96,26.432,26.63,969200
106,2019-04-24,26.1489,26.78,26.15,26.71,909300
107,2019-04-23,25.63,26.7,25.54,26.12,1353400
108,2019-04-22,25.89,25.89,25.3,25.52,849200
109,2019-04-18,25.772,26.11,25.5,25.82,1168000
110,2019-04-17,24.44,25.77,24.44,25.75,1885800
111,2019-04-16,23.75,24.49,23.75,24.4,1629600
112,2019-04-15,23.21,23.75,23.02,23.69,858600
113,2019-04-12,22.85,23.3011,22.75,23.23,1069500
114,2019-04-11,22.48,22.835,22.467,22.79,647700
115,2019-04-10,21.65,22.41,21.65,22.36,893100
116,2019-04-09,21.86,21.87,21.48,21.58,364200
117,2019-04-08,21.9392,22.18,21.73,21.89,664400
118,2019-04-05,21.62,21.99,21.62,21.91,956300
119,2019-04-04,21.4,21.76,21.27,21.67,863700
120,2019-04-03,21.43,21.4804,21.17,21.34,1678400
121,2019-04-02,22.12,22.12,21.38,21.49,1066600
122,2019-04-01,22.31,22.515,21.865,22.1,1327300
123,2019-03-29,22.1,22.32,21.92,22.29,836400
124,2019-03-28,21.62,22.08,21.62,22.06,601100
125,2019-03-27,21.69,21.81,21.355,21.65,582500
126,2019-03-26,21.75,21.88,21.61,21.67,1162200
127,2019-03-25,21.39,21.77,21.22,21.69,821200
128,2019-03-22,20.9908,21.68,20.99,21.45,874700
129,2019-03-21,20.63,21.37,20.6294,21.32,867600
130,2019-03-20,20.69,20.8,20.42,20.61,1131100
131,2019-03-19,20.95,20.97,20.64,20.69,754500
132,2019-03-18,20.82,21.07,20.76,20.88,1090900
133,2019-03-15,20.95,21.3,20.83,20.94,1056100
134,2019-03-14,20.86,20.92,20.66,20.89,842600
135,2019-03-13,20.49,21.07,20.48,20.86,1222800
136,2019-03-12,20.5,20.64,20.28,20.44,1172600
137,2019-03-11,19.9,20.52,19.85,20.49,1638700
138,2019-03-08,19.92,20.43,19.745,19.9,831800
139,2019-03-07,19.76,20.15,19.72,19.94,1172900
140,2019-03-06,19.89,20.0007,19.615,19.78,594700
141,2019-03-05,19.395,20.1,19.395,19.9,761600
142,2019-03-04,19.82,19.91,19.48,19.75,512100
143,2019-03-01,19.77,19.945,19.53,19.82,831500
144,2019-02-28,19.7,19.81,19.41,19.67,799900
145,2019-02-27,19.7018,19.76,19.34,19.68,895200
146,2019-02-26,20.03,20.38,19.725,19.77,999500
147,2019-02-25,20.07,20.18,19.85,20.0,878800
148,2019-02-22,20.11,20.25,19.79,20.08,642700
149,2019-02-21,20.32,20.33,19.98,20.31,853900
150,2019-02-20,19.94,20.455,19.89,20.36,1466400
151,2019-02-19,20.05,20.1,19.64,19.88,1410400
152,2019-02-15,19.5094,20.325,19.51,20.09,1554500
153,2019-02-14,19.96,20.55,19.36,19.49,2748800
154,2019-02-13,20.66,20.93,20.2,20.43,1573100
155,2019-02-12,20.5,21.01,20.4,20.76,966000
156,2019-02-11,20.25,20.43,20.07,20.4,1285200
157,2019-02-08,19.98,20.25,19.54,20.24,1078400
158,2019-02-07,19.85,20.11,19.3,20.08,1048200
159,2019-02-06,20.2,20.265,20.0295,20.14,607900
160,2019-02-05,20.18,20.28,20.01,20.24,684200
161,2019-02-04,20.12,20.24,19.765,20.18,645600
162,2019-02-01,20.22,20.32,19.99,20.12,869600
