,timestamp,open,high,low,close,volume
0,2019-09-24,106.16,106.305,105.17,105.22,25687
1,2019-09-23,105.71,106.87,104.62,105.44,309893
2,2019-09-20,105.26,107.23,104.88,106.65,788400
3,2019-09-19,106.04,107.4,104.5,104.79,338400
4,2019-09-18,104.47,104.73,103.52,104.41,291300
5,2019-09-17,104.71,105.35,103.64,105.15,324900
6,2019-09-16,102.95,105.46,102.54,104.84,381400
7,2019-09-13,103.77,105.39,103.05,103.9,426100
8,2019-09-12,102.4,102.67,100.68,101.85,315800
9,2019-09-11,100.0,102.24,96.89,101.91,547000
10,2019-09-10,99.68,100.83,97.665,100.44,475200
11,2019-09-09,103.0,103.0,99.35,100.04,574800
12,2019-09-06,103.59,105.12,102.235,103.31,1044800
13,2019-09-05,100.24,103.365,99.38,102.92,1056400
14,2019-09-04,98.31,100.77,97.65,99.15,3424100
15,2019-09-03,98.18,99.8,97.08,97.59,328900
16,2019-08-30,98.42,99.45,97.53,98.84,312300
17,2019-08-29,97.88,98.235,96.855,97.7,368200
18,2019-08-28,95.31,97.2,95.09,96.93,364600
19,2019-08-27,96.05,96.85,95.035,95.75,442000
20,2019-08-26,96.12,96.475,94.51,95.62,358500
21,2019-08-23,97.72,98.41,94.735,95.37,373900
22,2019-08-22,98.13,99.236,97.19,97.72,556800
23,2019-08-21,98.0,98.82,96.99,97.93,629600
24,2019-08-20,98.2,98.47,96.68,97.12,422000
25,2019-08-19,98.2,99.38,97.35,98.27,774800
26,2019-08-16,94.79,97.39,94.79,96.97,361300
27,2019-08-15,92.77,95.54,92.74,94.58,591400
28,2019-08-14,94.7,95.47,92.41,92.48,607400
29,2019-08-13,95.37,96.72,94.705,95.94,409400
30,2019-08-12,96.75,96.75,95.11,95.52,411400
31,2019-08-09,96.96,98.07,95.23,97.62,293000
32,2019-08-08,98.53,99.1,97.16,97.47,690900
33,2019-08-07,97.5,98.63,96.04,97.62,651000
34,2019-08-06,96.0,99.44,95.68,97.9,872100
35,2019-08-05,95.2,96.69,93.71,95.51,633500
36,2019-08-02,93.31,97.15,92.16,96.76,1593500
37,2019-08-01,103.0,103.55,93.145,93.5,1594900
38,2019-07-31,103.36,103.595,99.54,99.91,711100
39,2019-07-30,101.08,103.74,101.05,103.66,414300
40,2019-07-29,101.2062,102.04,100.54,101.8,371700
41,2019-07-26,101.39,102.51,100.145,101.09,462000
42,2019-07-25,101.99,102.125,100.01,100.87,771700
43,2019-07-24,100.22,102.07,100.1,101.85,226200
44,2019-07-23,100.204,101.35,99.83,100.94,486700
45,2019-07-22,99.76,101.89,99.53,100.43,583700
46,2019-07-19,99.842,100.55,99.06,99.48,389300
47,2019-07-18,97.78,99.4,97.525,99.32,620000
48,2019-07-17,98.38,99.06,97.94,97.96,252700
49,2019-07-16,99.1,99.41,98.14,98.44,363700
50,2019-07-15,98.12,99.4931,97.38,99.07,284900
51,2019-07-12,97.17,98.07,96.89,97.8,467200
52,2019-07-11,97.31,97.69,96.27,97.49,244800
53,2019-07-10,97.33,97.89,96.1,96.89,375000
54,2019-07-09,96.08,97.56,96.08,97.1,302300
55,2019-07-08,97.87,98.8,96.065,96.78,394000
56,2019-07-05,97.3363,98.94,96.985,98.65,238800
57,2019-07-03,98.26,98.52,96.95,98.23,594000
58,2019-07-02,98.43,98.51,97.08,97.81,492000
59,2019-07-01,99.5,99.5,96.61,98.56,428700
60,2019-06-28,96.09,99.31,95.84,99.15,1130800
61,2019-06-27,95.44,96.51,94.6,95.95,680800
62,2019-06-26,96.56,96.56,93.97,94.96,673700
63,2019-06-25,99.2106,99.76,95.51,95.96,573800
64,2019-06-24,99.31,99.51,98.11,98.53,729800
65,2019-06-21,98.81,99.48,96.34,99.05,663800
66,2019-06-20,100.03,100.28,97.9605,98.87,1309200
67,2019-06-19,97.55,98.85,96.82,98.6,740200
68,2019-06-18,97.19,98.34,96.4168,97.78,270200
69,2019-06-17,96.05,96.79,95.835,96.45,382800
70,2019-06-14,96.51,96.9,95.87,95.93,463200
71,2019-06-13,95.39,96.45,94.5,96.42,428500
72,2019-06-12,94.9,96.39,94.76,95.96,484100
73,2019-06-11,95.19,95.98,93.59,95.2,638400
74,2019-06-10,93.58,94.82,93.4,94.3,306100
75,2019-06-07,93.12,93.62,92.87,93.12,321000
76,2019-06-06,92.83,93.85,92.1933,92.47,397100
77,2019-06-05,92.45,93.74,91.87,92.79,756500
78,2019-06-04,88.02,91.97,87.81,91.86,1215100
79,2019-06-03,86.61,89.11,86.61,87.06,1095900
80,2019-05-31,86.55,87.14,85.87,86.73,713400
81,2019-05-30,87.34,88.89,86.57,87.29,515400
82,2019-05-29,86.94,87.97,85.79,87.53,469900
83,2019-05-28,89.37,90.36,87.37,87.38,621500
84,2019-05-24,88.01,90.3,88.01,89.05,586800
85,2019-05-23,86.49,88.09,86.03,87.72,778700
86,2019-05-22,85.58,87.32,85.07,87.25,692900
87,2019-05-21,86.11,86.73,85.15,85.72,760600
88,2019-05-20,87.56,87.56,85.0,85.98,821100
89,2019-05-17,88.92,90.61,86.91,87.08,677900
90,2019-05-16,88.6892,90.455,88.34,89.47,659700
91,2019-05-15,87.43,90.24,87.14,88.37,583000
92,2019-05-14,89.56,89.75,87.75,88.1,512800
93,2019-05-13,90.11,90.56,87.725,89.18,734000
94,2019-05-10,91.28,92.54,88.6475,92.17,866600
95,2019-05-09,89.8926,92.18,89.25,91.54,537700
96,2019-05-08,91.39,92.08,90.21,90.93,395700
97,2019-05-07,92.2,93.89,90.52,91.44,591200
98,2019-05-06,91.54,94.21,90.935,93.53,437300
99,2019-05-03,91.81,93.51,91.215,93.38,1012900
100,2019-05-02,93.5149,97.4,90.34,92.0,1513600
101,2019-05-01,97.22,97.25,95.09,95.24,586800
102,2019-04-30,98.0,98.7086,96.51,96.82,459800
103,2019-04-29,98.53,99.21,97.509,98.17,393100
104,2019-04-26,96.35,98.52,95.3552,98.27,538700
105,2019-04-25,95.2519,96.86,94.71,96.37,474600
106,2019-04-24,96.62,96.62,94.28,95.51,616400
107,2019-04-23,94.28,97.336,93.37,95.93,1006300
108,2019-04-22,94.14,95.63,93.24,94.3,320700
109,2019-04-18,94.59,95.9,93.36,94.47,627600
110,2019-04-17,98.595,98.59,93.63,94.13,970600
111,2019-04-16,101.86,102.05,97.47,98.6,610800
112,2019-04-15,101.61,102.53,100.44,101.05,635900
113,2019-04-12,104.1453,104.81,100.95,101.61,571200
114,2019-04-11,106.2,106.2,103.28,103.8,587100
115,2019-04-10,106.04,106.63,105.31,105.57,366700
116,2019-04-09,106.59,107.745,105.28,105.54,265000
117,2019-04-08,107.43,107.43,105.35,107.21,435000
118,2019-04-05,107.74,108.53,106.96,107.38,573000
119,2019-04-04,111.24,111.24,106.08,107.5,488800
120,2019-04-03,111.51,112.124,109.98,111.02,497500
121,2019-04-02,111.37,111.37,109.0,110.77,388200
122,2019-04-01,111.29,112.18,110.475,110.97,414300
123,2019-03-29,108.83,110.765,108.56,110.29,562100
124,2019-03-28,106.34,108.39,105.16,108.21,448900
125,2019-03-27,107.78,108.39,104.64,105.53,414300
126,2019-03-26,107.37,108.77,106.8,108.02,686900
127,2019-03-25,104.642,106.415,103.58,106.24,439000
128,2019-03-22,107.49,107.6625,104.22,104.28,563700
129,2019-03-21,107.35,109.09,106.79,108.04,508100
130,2019-03-20,109.21,109.39,107.29,107.72,566000
131,2019-03-19,107.47,109.81,107.4003,109.44,903000
132,2019-03-18,104.99,107.01,103.67,106.71,725700
133,2019-03-15,104.14,105.84,104.02,104.79,724600
134,2019-03-14,103.35,105.01,103.35,103.88,478100
135,2019-03-13,103.68,104.78,103.28,103.46,924200
136,2019-03-12,103.21,103.28,102.04,102.87,516400
137,2019-03-11,102.0,103.5,101.77,102.51,521700
138,2019-03-08,101.0,102.7124,100.73,101.85,447400
139,2019-03-07,104.03,104.85,101.11,101.98,473100
140,2019-03-06,107.86,107.86,103.53,103.91,410100
141,2019-03-05,108.67,109.26,107.51,107.89,470900
142,2019-03-04,108.92,109.78,106.73,108.57,651500
143,2019-03-01,108.51,109.79,106.74,108.72,658200
144,2019-02-28,105.5,110.245,102.05,106.98,926300
145,2019-02-27,110.55,112.065,109.4659,111.65,864800
146,2019-02-26,112.56,113.21,109.8,110.48,722200
147,2019-02-25,114.61,115.5,113.22,113.37,400300
148,2019-02-22,112.45,114.295,112.03,114.13,288100
149,2019-02-21,113.43,114.19,111.75,111.99,303900
150,2019-02-20,113.92,114.65,113.522,113.9,291500
151,2019-02-19,113.64,114.81,113.02,113.7,411800
152,2019-02-15,112.66,114.4552,111.97,114.21,295000
153,2019-02-14,109.99,112.66,109.01,112.09,322100
154,2019-02-13,111.34,112.7662,110.49,110.73,327100
155,2019-02-12,109.17,111.985,108.72,110.98,510300
156,2019-02-11,106.98,109.6,106.85,108.89,398900
157,2019-02-08,105.47,106.61,103.535,106.54,543500
158,2019-02-07,107.53,107.5276,104.609,105.84,416500
159,2019-02-06,108.28,108.74,106.73,108.01,275400
160,2019-02-05,108.4,110.04,107.54,108.15,280900
161,2019-02-04,107.38,108.45,106.7,108.45,229300
162,2019-02-01,106.27,107.66,105.3,107.31,379900
163,2019-01-31,104.92,106.4,103.343,105.97,243900
164,2019-01-30,103.32,105.535,101.22,104.83,376700
165,2019-01-29,102.01,102.99,101.06,102.3,239800
166,2019-01-28,100.9,102.45,99.78,102.14,250400
167,2019-01-25,101.35,102.42,100.21,101.97,280900
168,2019-01-24,101.02,101.6,99.197,100.71,247100
169,2019-01-23,100.94,102.9,99.23,100.95,305800
170,2019-01-22,100.13,100.975,99.0504,100.16,238500
171,2019-01-18,100.59,102.36,99.0738,101.65,249600
172,2019-01-17,98.95,100.99,98.71,99.88,592600
173,2019-01-16,98.49,100.75,98.49,99.38,453400
174,2019-01-15,95.27,98.8161,95.01,98.39,351100
175,2019-01-14,96.38,96.81,95.14,95.22,261300
176,2019-01-11,97.01,97.39,95.9463,97.12,321500
177,2019-01-10,95.94,97.87,95.0079,97.0,387200
178,2019-01-09,94.59,97.0699,94.57,96.26,490900
179,2019-01-08,92.35,94.79,91.8628,94.38,512300
180,2019-01-07,89.28,92.48,88.16,91.41,499100
181,2019-01-04,85.83,90.69,82.12,88.09,1078100
182,2019-01-03,88.9,88.9,83.443,84.93,739700
183,2019-01-02,89.45,90.77,88.3,89.95,459200
184,2018-12-31,89.8,92.04,88.51,91.96,467000
185,2018-12-28,89.92,91.255,88.19,88.86,531600
186,2018-12-27,88.0,89.69,82.57,89.54,468000
187,2018-12-26,84.71,90.21,82.751,90.03,417900
188,2018-12-24,87.0,87.22,84.01,84.24,491500
189,2018-12-21,92.92,93.49,87.34,87.45,1166200
190,2018-12-20,95.73,96.41,90.83,93.38,545500
191,2018-12-19,96.37,98.425,94.44,96.05,455600
192,2018-12-18,96.77,97.92,94.68,96.0,475800
193,2018-12-17,100.11,100.24,95.29,96.21,472700
194,2018-12-14,102.47,103.8,97.05,99.72,646900
195,2018-12-13,105.87,106.41,101.86,103.51,371400
196,2018-12-12,105.9,106.515,104.7208,105.84,423400
197,2018-12-11,106.1,106.76,102.87,104.0,525800
198,2018-12-10,103.23,105.78,100.17,104.9,716500
199,2018-12-07,105.36,106.33,101.995,103.07,494100
200,2018-12-06,107.86,108.89,103.5821,106.34,1163500
201,2018-12-04,116.35,116.48,110.0,110.79,902800
202,2018-12-03,120.49,121.98,115.76,116.11,773100
203,2018-11-30,115.01,119.03,114.799,116.74,1538700
204,2018-11-29,110.01,114.54,109.7,113.88,958900
205,2018-11-28,106.0,111.5,105.77,111.46,690700
206,2018-11-27,103.0,105.5,102.56,105.03,670700
207,2018-11-26,102.5,104.56,101.8,104.0,427700
208,2018-11-23,97.55,101.87,96.6859,101.31,184500
209,2018-11-21,97.73,99.5,96.853,98.23,252600
