,timestamp,open,high,low,close,volume
0,2019-09-23,0.13,0.14,0.11,0.13,52900
1,2019-09-20,0.16,0.16,0.13,0.14,39000
2,2019-09-19,0.14,0.16,0.14,0.15,18500
3,2019-09-18,0.14,0.16,0.14,0.14,10600
4,2019-09-17,0.15,0.15,0.14,0.14,15700
5,2019-09-16,0.16,0.18,0.14,0.15,36800
6,2019-09-13,0.16,0.16,0.14,0.15,35300
7,2019-09-12,0.13,0.16,0.13,0.16,62600
8,2019-09-11,0.1,0.14,0.1,0.13,35900
9,2019-09-10,0.11,0.13,0.11,0.12,13900
10,2019-09-09,0.14,0.15,0.11,0.11,8800
11,2019-09-06,0.11,0.14,0.11,0.14,224200
12,2019-09-05,0.11,0.14,0.11,0.14,700
13,2019-09-04,0.14,0.14,0.11,0.14,8500
14,2019-09-03,0.11,0.14,0.11,0.14,31900
15,2019-08-30,0.11,0.14,0.11,0.14,11600
16,2019-08-29,0.14,0.14,0.13,0.14,12300
17,2019-08-28,0.12,0.12,0.12,0.12,12300
18,2019-08-27,0.15,0.15,0.11,0.14,51700
19,2019-08-26,0.12,0.15,0.12,0.15,1800
20,2019-08-23,0.14,0.14,0.13,0.14,27100
21,2019-08-22,0.15,0.15,0.14,0.14,30600
22,2019-08-21,0.16,0.16,0.13,0.15,24800
23,2019-08-20,0.14,0.17,0.14,0.16,25200
24,2019-08-19,0.18,0.19,0.16,0.16,19500
25,2019-08-16,0.16,0.19,0.16,0.16,69100
26,2019-08-15,0.19,0.19,0.16,0.16,39100
27,2019-08-14,0.2,0.22,0.18,0.19,50500
28,2019-08-13,0.17,0.19,0.17,0.19,18200
29,2019-08-12,0.2,0.22,0.18,0.18,45900
30,2019-08-09,0.19,0.19,0.19,0.19,7600
31,2019-08-08,0.17,0.2,0.16,0.19,76600
32,2019-08-07,0.17,0.18,0.17,0.17,42800
33,2019-08-06,0.17,0.17,0.17,0.17,13000
34,2019-08-05,0.17,0.21,0.17,0.21,13300
35,2019-08-02,0.17,0.21,0.17,0.21,106300
36,2019-08-01,0.23,0.23,0.15,0.17,88800
37,2019-07-31,0.22,0.26,0.2,0.23,115000
38,2019-07-30,0.27,0.27,0.25,0.26,62400
39,2019-07-29,0.22,0.26,0.22,0.23,120900
40,2019-07-26,0.22,0.23,0.21,0.22,126200
41,2019-07-25,0.17,0.25,0.17,0.2,327800
42,2019-07-24,0.12,0.2,0.12,0.19,134500
43,2019-07-23,0.13,0.14,0.12,0.14,17600
44,2019-07-22,0.13,0.15,0.13,0.13,26600
45,2019-07-19,0.14,0.16,0.13,0.15,52200
46,2019-07-18,0.17,0.2,0.14,0.14,155800
47,2019-07-17,0.14,0.19,0.12,0.19,663000
48,2019-07-16,0.12,0.13,0.11,0.11,28100
49,2019-07-15,0.14,0.14,0.1,0.1,20100
50,2019-07-12,0.09,0.14,0.09,0.1,11300
51,2019-07-11,0.12,0.12,0.09,0.09,114100
52,2019-07-10,0.1,0.12,0.09,0.09,9500
53,2019-07-09,0.11,0.12,0.08,0.12,8800
54,2019-07-08,0.07,0.12,0.07,0.11,16700
55,2019-07-05,0.09,0.09,0.09,0.09,100
56,2019-07-03,0.1,0.1,0.07,0.09,68600
57,2019-07-02,0.1,0.1,0.09,0.1,32100
58,2019-07-01,0.09,0.1,0.09,0.1,500
59,2019-06-28,0.09,0.11,0.09,0.1,5100
60,2019-06-27,0.09,0.12,0.09,0.09,34500
61,2019-06-26,0.09,0.1,0.09,0.1,79200
62,2019-06-25,0.1,0.11,0.1,0.1,5700
63,2019-06-24,0.11,0.11,0.1,0.11,7600
64,2019-06-21,0.09,0.11,0.09,0.11,6100
65,2019-06-20,0.11,0.11,0.09,0.1,56400
66,2019-06-19,0.1,0.12,0.1,0.12,29500
67,2019-06-18,0.12,0.12,0.09,0.11,2500
68,2019-06-17,0.12,0.12,0.1,0.12,41800
69,2019-06-14,0.12,0.12,0.09,0.09,12200
70,2019-06-13,0.1,0.12,0.1,0.12,4400
71,2019-06-12,0.12,0.12,0.1,0.11,1900
72,2019-06-11,0.1,0.11,0.1,0.11,23600
73,2019-06-10,0.09,0.09,0.09,0.09,300
74,2019-06-07,0.09,0.09,0.09,0.09,100
75,2019-06-06,0.09,0.09,0.09,0.09,100
76,2019-06-05,0.09,0.09,0.09,0.09,1900
77,2019-06-04,0.09,0.09,0.09,0.09,3900
78,2019-06-03,0.1,0.1,0.1,0.1,28000
79,2019-05-31,0.11,0.11,0.1,0.11,16500
80,2019-05-30,0.1,0.12,0.1,0.11,9100
81,2019-05-29,0.1,0.1,0.1,0.1,30500
82,2019-05-28,0.11,0.11,0.11,0.11,28100
83,2019-05-24,0.1,0.1,0.1,0.1,6500
84,2019-05-23,0.1,0.11,0.1,0.1,136000
85,2019-05-22,0.08,0.11,0.08,0.1,14700
86,2019-05-21,0.08,0.08,0.08,0.08,15100
87,2019-05-20,0.1,0.11,0.08,0.08,6400
88,2019-05-17,0.08,0.09,0.08,0.08,64600
89,2019-05-16,0.12,0.12,0.08,0.08,10700
90,2019-05-15,0.08,0.09,0.08,0.09,30800
91,2019-05-14,0.08,0.09,0.08,0.08,33700
92,2019-05-13,0.07,0.12,0.07,0.09,75100
93,2019-05-10,0.11,0.11,0.08,0.08,13000
94,2019-05-09,0.08,0.09,0.08,0.09,3400
95,2019-05-08,0.09,0.09,0.08,0.09,154700
96,2019-05-07,0.07,0.08,0.06,0.08,217200
97,2019-05-06,0.1,0.11,0.06,0.06,443900
98,2019-05-03,0.11,0.12,0.09,0.1,188900
99,2019-05-02,0.12,0.12,0.11,0.12,58200
100,2019-05-01,0.13,0.15,0.11,0.13,129800
101,2019-04-30,0.14,0.15,0.12,0.14,440000
102,2019-04-29,0.14,0.17,0.12,0.12,1295000
103,2019-04-26,0.17,0.2,0.16,0.16,36700
104,2019-04-25,0.2,0.2,0.17,0.18,70300
105,2019-04-24,0.17,0.18,0.17,0.17,7700
106,2019-04-23,0.19,0.19,0.17,0.18,36800
107,2019-04-22,0.15,0.2,0.15,0.2,8700
108,2019-04-18,0.17,0.2,0.17,0.18,23900
109,2019-04-17,0.16,0.2,0.16,0.17,92800
110,2019-04-16,0.18,0.19,0.17,0.17,6500
111,2019-04-15,0.16,0.19,0.16,0.19,800
112,2019-04-12,0.16,0.19,0.16,0.19,6300
