,timestamp,open,high,low,close,volume
0,2019-09-24,0.0,0.0,0.0,55.98,0
1,2019-09-23,58.71,59.1795,58.71,58.92,839
2,2019-09-20,59.44,59.52,59.06,59.06,1900
3,2019-09-19,59.93,59.93,59.35,59.35,1700
4,2019-09-18,59.55,59.56,59.55,59.56,400
5,2019-09-17,59.58,59.68,59.31,59.68,900
6,2019-09-16,59.52,60.01,59.42,59.8,3400
7,2019-09-13,60.0,60.22,59.91,60.16,3700
8,2019-09-12,59.46,59.73,59.28,59.64,7100
9,2019-09-11,58.41,59.22,58.41,59.22,2100
10,2019-09-10,57.4,58.28,57.4,58.28,1500
11,2019-09-09,56.72,57.15,56.72,57.15,300
12,2019-09-06,56.76,56.76,56.76,56.76,300
13,2019-09-05,56.61,57.05,56.61,56.97,1800
14,2019-09-04,55.72,55.95,55.72,55.95,500
15,2019-09-03,55.11,55.11,54.9,54.9,500
16,2019-08-30,55.87,55.98,55.87,55.98,600
17,2019-08-29,55.28,55.9,55.28,55.8,1900
18,2019-08-28,54.77,55.15,54.77,55.05,1600
19,2019-08-27,54.66,54.66,54.2,54.2,1200
20,2019-08-26,54.47,54.47,54.27,54.27,1100
21,2019-08-23,55.09,55.4,54.18,54.22,4400
22,2019-08-22,56.2,56.2,55.58,55.75,1900
23,2019-08-21,55.86,56.15,55.86,56.15,600
24,2019-08-20,55.76,55.79,55.74,55.74,1800
25,2019-08-19,56.0,56.49,56.0,56.36,3800
26,2019-08-16,55.37,55.55,55.34,55.55,900
27,2019-08-15,54.95,54.95,54.48,54.72,4900
28,2019-08-14,55.67,55.79,54.92,54.92,3800
29,2019-08-13,56.53,56.95,55.74,56.84,2200
30,2019-08-12,57.31,57.86,57.22,57.26,100
31,2019-08-09,57.31,57.86,57.22,57.26,2900
32,2019-08-08,56.92,58.151,56.92,58.151,1700
33,2019-08-07,55.25,56.7699,55.25,56.77,3100
34,2019-08-06,56.37,56.37,56.04,56.32,2100
35,2019-08-05,56.81,56.96,56.43,56.47,4600
36,2019-08-02,58.27,58.36,57.31,57.31,2900
37,2019-08-01,59.65,60.23,58.93,58.96,5800
38,2019-07-31,60.87,60.97,59.6674,60.1,4600
39,2019-07-30,59.74,60.86,59.74,60.86,2100
40,2019-07-29,60.01,60.11,60.01,60.1,700
41,2019-07-26,59.94,60.27,59.94,60.27,1800
42,2019-07-25,60.38,60.5,60.17,60.17,1800
43,2019-07-24,60.46,60.88,60.33,60.87,4400
44,2019-07-23,59.95,60.31,59.95,60.31,800
45,2019-07-22,59.9,60.01,59.55,59.6,900
46,2019-07-19,59.07,59.89,59.07,59.7,3500
47,2019-07-18,59.23,59.23,59.18,59.18,1400
48,2019-07-17,59.55,59.55,59.41,59.48,2900
49,2019-07-16,59.63,60.26,59.63,60.07,1800
50,2019-07-15,59.62,59.62,59.21,59.47,3500
51,2019-07-12,58.7254,59.62,58.73,59.62,900
52,2019-07-11,58.9,58.9,58.46,58.61,1500
53,2019-07-10,58.95,59.54,58.9,58.9,1000
54,2019-07-09,58.9183,58.91,58.91,58.91,500
55,2019-07-08,60.51,60.51,59.7074,59.76,1200
56,2019-07-05,60.35,60.35,60.3481,60.35,300
57,2019-07-03,60.25,60.51,60.25,60.51,1100
58,2019-07-02,60.42,60.42,60.29,60.31,600
59,2019-07-01,60.66,60.66,60.32,60.37,3100
