,timestamp,open,high,low,close,volume
0,2019-09-24,26.14,26.59,23.76,24.01,115531
1,2019-09-23,25.56,26.17,25.42,25.87,242685
2,2019-09-20,25.16,25.68,24.4,25.56,1016000
3,2019-09-19,25.64,26.254,25.06,25.17,364200
4,2019-09-18,25.71,26.0,24.57,25.77,350600
5,2019-09-17,24.76,25.94,24.26,25.62,285900
6,2019-09-16,25.4,25.7,24.25,24.71,568400
7,2019-09-13,25.04,25.91,24.84,25.7,360700
8,2019-09-12,25.66,26.08,24.95,25.06,345400
9,2019-09-11,25.41,25.86,24.93,25.55,352500
10,2019-09-10,24.93,25.77,24.311,25.21,345600
11,2019-09-09,25.84,26.325,24.92,25.1,307900
12,2019-09-06,26.67,27.2,25.775,25.84,261900
13,2019-09-05,26.02,26.89,25.16,26.67,271200
14,2019-09-04,26.13,26.43,25.58,25.78,304000
15,2019-09-03,26.95,27.865,25.87,25.99,289600
16,2019-08-30,28.57,28.74,26.95,27.2,274700
17,2019-08-29,28.89,28.89,27.86,28.56,216200
18,2019-08-28,27.34,28.55,27.06,28.49,405100
19,2019-08-27,28.1,28.67,27.35,27.53,212800
20,2019-08-26,28.12,28.48,27.48,27.99,308800
21,2019-08-23,27.83,28.393,27.35,27.74,345300
22,2019-08-22,29.89,30.22,27.98,28.02,264500
23,2019-08-21,29.38,30.17,28.96,29.89,381300
24,2019-08-20,28.86,29.79,28.86,29.24,563600
25,2019-08-19,29.73,30.17,28.44,28.97,264000
26,2019-08-16,29.1,29.88,28.81,29.42,376400
27,2019-08-15,28.14,29.47,27.555,28.72,461700
28,2019-08-14,29.13,29.57,27.73,28.03,710100
29,2019-08-13,29.19,29.966,28.67,29.47,534900
30,2019-08-12,30.82,31.1788,29.25,29.26,603300
31,2019-08-09,31.62,32.48,31.05,31.07,233600
32,2019-08-08,30.9573,31.96,30.45,31.66,308100
33,2019-08-07,31.16,32.1009,30.43,30.9,394200
34,2019-08-06,31.49,32.39,30.81,31.8,363300
35,2019-08-05,32.0,32.4901,30.73,31.29,456500
36,2019-08-02,32.87,33.84,31.75,32.59,745100
37,2019-08-01,34.42,34.89,32.9,32.98,912800
38,2019-07-31,33.89,34.8,33.29,34.04,489200
39,2019-07-30,33.04,33.98,32.76,33.87,412400
40,2019-07-29,34.2171,35.275,32.37,33.33,724400
41,2019-07-26,36.08,36.963,34.99,36.08,472000
42,2019-07-25,34.25,36.28,34.0188,35.96,648000
43,2019-07-24,34.34,34.5,33.13,34.3,1926500
44,2019-07-23,34.28,35.13,32.419,33.59,753200
45,2019-07-22,33.74,36.25,33.675,35.99,457500
46,2019-07-19,34.4,34.44,32.92,33.53,342600
47,2019-07-18,32.67,34.43,32.67,34.43,352100
48,2019-07-17,33.4278,33.435,32.48,32.59,198900
49,2019-07-16,33.2,33.93,32.9894,33.58,210600
50,2019-07-15,33.29,33.55,32.12,33.18,372700
