,timestamp,open,high,low,close,volume
0,2019-09-24,7.58,7.58,7.3887,7.3887,2990
1,2019-09-23,7.6,7.72,7.45,7.53,49904
2,2019-09-20,7.67,7.75,7.42,7.6,83700
3,2019-09-19,7.69,7.929,7.6,7.645,126400
4,2019-09-18,7.63,7.7,7.54,7.63,43400
5,2019-09-17,7.86,8.04,7.71,7.71,19900
6,2019-09-16,7.64,7.87,7.45,7.86,142600
7,2019-09-13,7.7,7.71,7.53,7.65,61700
8,2019-09-12,7.95,8.129,7.66,7.67,86100
9,2019-09-11,7.996,8.24,7.93,7.93,54600
10,2019-09-10,7.85,8.05,7.72,7.99,42600
11,2019-09-09,8.02,8.02,7.85,7.85,23600
12,2019-09-06,8.18,8.22,8.06,8.18,55100
13,2019-09-05,8.07,8.3,8.0,8.15,50500
14,2019-09-04,8.23,8.271,8.062,8.09,56700
15,2019-09-03,7.58,8.26,7.54,8.22,164000
16,2019-08-30,7.6,7.8,7.56,7.58,52700
17,2019-08-29,7.28,7.64,7.25,7.515,50600
18,2019-08-28,7.14,7.26,6.95,7.26,36000
19,2019-08-27,7.12,7.21,7.08,7.125,16600
20,2019-08-26,7.13,7.34,7.021,7.2,23400
21,2019-08-23,7.21,7.378,7.1,7.26,13000
22,2019-08-22,7.32,7.34,7.04,7.25,52300
23,2019-08-21,7.07,7.45,6.925,7.3,33600
24,2019-08-20,6.94,7.1,6.83,7.08,50300
25,2019-08-19,6.92,7.02,6.78,6.94,44300
26,2019-08-16,6.74,6.93,6.74,6.87,22400
27,2019-08-15,6.6497,6.74,6.6,6.695,46900
28,2019-08-14,6.73,6.86,6.625,6.63,38800
29,2019-08-13,6.7697,6.96,6.7,6.96,31900
30,2019-08-12,6.79,6.84,6.625,6.84,30500
31,2019-08-09,7.2,7.285,6.765,6.8,61100
32,2019-08-08,7.0,7.288,6.97,7.18,74800
33,2019-08-07,6.68,7.0098,6.51,6.92,59300
34,2019-08-06,6.62,6.868,6.62,6.7,48900
35,2019-08-05,6.62,6.705,6.5,6.6,56600
36,2019-08-02,6.64,6.9897,6.501,6.8,33000
37,2019-08-01,6.72,6.77,6.55,6.63,28800
38,2019-07-31,6.9,6.9,6.6,6.62,64400
39,2019-07-30,6.85,7.0,6.77,6.84,21400
40,2019-07-29,7.0,7.0,6.653,6.77,54500
41,2019-07-26,6.98,7.15,6.87,6.97,33500
42,2019-07-25,7.28,7.28,6.7,6.91,98500
43,2019-07-24,7.3,7.33,6.98,7.19,116600
44,2019-07-23,7.68,7.82,7.28,7.29,158300
45,2019-07-22,8.02,8.5,7.9,8.29,98900
46,2019-07-19,7.92,8.11,7.75,8.1,40500
47,2019-07-18,8.14,8.2,7.72,7.85,123000
48,2019-07-17,8.41,8.54,7.9,8.26,151000
49,2019-07-16,7.96,8.5,7.89,8.37,218100
50,2019-07-15,7.6,7.8994,7.6,7.88,357000
51,2019-07-12,7.0,7.68,7.0,7.4,376500
52,2019-07-11,6.58,6.747,6.54,6.64,29500
53,2019-07-10,6.72,6.789,6.493,6.59,26400
54,2019-07-09,6.63,6.7104,6.44,6.65,157000
55,2019-07-08,6.62,6.834,6.62,6.62,98100
56,2019-07-05,6.75,6.9,6.61,6.66,83000
57,2019-07-03,6.61,6.87,6.3599,6.71,146800
58,2019-07-02,6.5004,6.5,6.325,6.46,14400
59,2019-07-01,6.56,6.68,6.455,6.6,24400
60,2019-06-28,6.46,6.55,6.46,6.5,21700
61,2019-06-27,6.38,6.58,6.3,6.46,68300
62,2019-06-26,6.47,6.505,6.17,6.34,60800
63,2019-06-25,6.89,6.89,6.39,6.4,42700
64,2019-06-24,6.91,6.93,6.83,6.86,25800
65,2019-06-21,6.98,6.98,6.8,6.81,29300
66,2019-06-20,7.05,7.15,6.89,6.89,25600
67,2019-06-19,7.07,7.1803,6.95,7.04,47100
68,2019-06-18,7.31,7.57,7.03,7.04,465700
69,2019-06-17,7.1,7.36,6.97,7.32,74000
70,2019-06-14,7.11,7.27,7.04,7.2,50700
71,2019-06-13,7.39,7.39,6.91,7.18,48700
72,2019-06-12,7.05,7.33,6.969,7.33,57400
73,2019-06-11,7.12,7.28,7.0802,7.12,38700
