,timestamp,open,high,low,close,volume
0,2019-09-24,27.53,27.87,26.85,26.955,130018
1,2019-09-23,28.27,29.04,27.45,27.5,451483
2,2019-09-20,28.89,29.33,27.75,28.47,1736100
3,2019-09-19,28.5,29.35,28.13,28.86,433800
4,2019-09-18,28.93,29.27,28.47,28.62,580500
5,2019-09-17,29.03,29.97,28.945,29.11,992200
6,2019-09-16,28.25,29.39,28.11,29.02,727400
7,2019-09-13,29.0,29.68,27.91,28.34,908100
8,2019-09-12,28.24,29.44,27.29,28.51,1309900
9,2019-09-11,27.14,28.26,27.14,28.1,609900
10,2019-09-10,27.46,27.79,26.76,27.23,706600
11,2019-09-09,27.93,27.93,27.135,27.67,514200
12,2019-09-06,27.96,28.35,27.4,27.71,699000
13,2019-09-05,27.94,28.0,27.175,27.75,636800
14,2019-09-04,28.75,28.95,27.08,27.7,1050400
15,2019-09-03,28.5,29.11,27.82,28.55,806800
16,2019-08-30,26.9,28.77,26.6,28.3,1099500
17,2019-08-29,25.88,26.89,25.5,26.5,722900
18,2019-08-28,24.33,25.28,24.07,24.9,487000
19,2019-08-27,24.27,24.85,24.0,24.34,475600
20,2019-08-26,24.03,24.2,23.83,24.12,228700
21,2019-08-23,23.8,24.16,23.46,23.67,414900
22,2019-08-22,23.95,24.21,23.33,23.87,612300
23,2019-08-21,23.04,23.98,22.89,23.8,331300
24,2019-08-20,22.98,23.135,22.66,22.96,273000
25,2019-08-19,23.38,23.59,22.79,23.05,289400
26,2019-08-16,22.65,23.32,22.65,23.12,250600
27,2019-08-15,22.86,23.05,22.52,22.55,231400
28,2019-08-14,22.51,23.0,22.1,22.78,371100
29,2019-08-13,22.61,23.4,22.25,22.96,265500
30,2019-08-12,22.71,23.925,22.28,22.55,372600
31,2019-08-09,22.9084,23.21,22.66,22.86,409300
32,2019-08-08,23.17,24.7,21.78,23.0,687200
33,2019-08-07,21.24,23.7311,21.032,23.23,720600
34,2019-08-06,20.23,21.7,20.2281,21.54,824800
35,2019-08-05,19.92,19.97,19.24,19.67,578900
36,2019-08-02,21.29,21.79,19.98,20.32,419000
37,2019-08-01,21.61,22.16,21.13,21.49,453600
38,2019-07-31,22.32,22.5,21.2733,21.46,335000
39,2019-07-30,21.6,22.69,21.575,22.4,461300
40,2019-07-29,21.82,21.97,21.17,21.88,185300
41,2019-07-26,21.6684,22.455,21.4,21.87,191400
42,2019-07-25,22.6,22.69,21.51,21.52,460700
43,2019-07-24,22.01,22.8,21.92,22.7,249500
44,2019-07-23,21.9,22.13,21.609,22.08,274900
45,2019-07-22,22.48,22.8,21.5183,21.82,501800
46,2019-07-19,22.42,22.69,22.08,22.44,263600
47,2019-07-18,22.5,22.951,22.06,22.38,297700
48,2019-07-17,21.85,22.74,21.65,22.51,300500
49,2019-07-16,22.06,22.24,21.76,21.91,397300
50,2019-07-15,22.13,22.24,21.76,22.0,598900
51,2019-07-12,22.6,22.81,22.0405,22.2,353900
52,2019-07-11,23.91,23.99,22.5986,22.62,310600
53,2019-07-10,24.09,24.26,22.976,23.78,264700
54,2019-07-09,23.52,24.0,23.28,23.93,436100
55,2019-07-08,24.51,24.52,23.4,23.62,385900
56,2019-07-05,24.88,25.21,24.41,24.62,429900
57,2019-07-03,24.31,25.0006,24.19,25.0,204900
58,2019-07-02,24.5,24.56,23.87,24.19,274100
59,2019-07-01,24.6,25.395,24.22,24.53,595200
60,2019-06-28,23.76,24.39,23.53,24.36,1314300
61,2019-06-27,23.01,23.83,22.73,23.77,344400
62,2019-06-26,23.32,23.5,22.77,22.86,260900
63,2019-06-25,23.49,23.8,22.978,23.17,375800
