,timestamp,open,high,low,close,volume
0,2019-09-24,0.7835,0.792,0.7763,0.7919,902
1,2019-09-23,0.81,0.86,0.7606,0.7944,104980
2,2019-09-20,0.84,0.86,0.8,0.8,194500
3,2019-09-19,0.85,0.85,0.81,0.84,52200
4,2019-09-18,0.82,0.85,0.82,0.84,76900
5,2019-09-17,0.76,0.85,0.76,0.83,115000
6,2019-09-16,0.86,0.86,0.75,0.78,181200
7,2019-09-13,0.79,0.85,0.77,0.85,203000
8,2019-09-12,0.76,0.83,0.74,0.8,419700
9,2019-09-11,0.75,0.8,0.75,0.76,117700
10,2019-09-10,0.7,0.77,0.64,0.75,145600
11,2019-09-09,0.7,0.8,0.7,0.71,324100
12,2019-09-06,0.62,0.72,0.62,0.7,303400
13,2019-09-05,0.62,0.65,0.58,0.6,86400
14,2019-09-04,0.7,0.71,0.61,0.62,110600
15,2019-09-03,0.63,0.73,0.6,0.68,239000
16,2019-08-30,0.61,0.63,0.59,0.62,99900
17,2019-08-29,0.62,0.63,0.59,0.61,133500
18,2019-08-28,0.61,0.63,0.58,0.61,132400
19,2019-08-27,0.58,0.63,0.58,0.59,71200
20,2019-08-26,0.59,0.64,0.57,0.58,253800
21,2019-08-23,0.58,0.6,0.57,0.59,23100
22,2019-08-22,0.58,0.61,0.57,0.58,161500
23,2019-08-21,0.58,0.6,0.57,0.59,100300
24,2019-08-20,0.57,0.59,0.57,0.57,41000
25,2019-08-19,0.57,0.6,0.56,0.58,48800
26,2019-08-16,0.56,0.57,0.55,0.56,65900
27,2019-08-15,0.55,0.6,0.55,0.57,75500
28,2019-08-14,0.57,0.605,0.57,0.57,42700
29,2019-08-13,0.59,0.63,0.56,0.61,85300
30,2019-08-12,0.56,0.66,0.55,0.58,78900
31,2019-08-09,0.66,0.66,0.56,0.56,72400
32,2019-08-08,0.609,0.639,0.54,0.611,254800
33,2019-08-07,0.58,0.63,0.58,0.609,38900
34,2019-08-06,0.58,0.6,0.5,0.57,87100
35,2019-08-05,0.61,0.63,0.55,0.56,129300
36,2019-08-02,0.61,0.68,0.6,0.61,99800
37,2019-08-01,0.64,0.69,0.6,0.6,239300
38,2019-07-31,0.62,0.73,0.61,0.61,316000
39,2019-07-30,0.67,0.68,0.55,0.6,109300
40,2019-07-29,0.7,0.75,0.54,0.68,482600
41,2019-07-26,0.68,0.7,0.68,0.7,112700
42,2019-07-25,0.81,0.81,0.66,0.66,384400
43,2019-07-24,0.97,0.97,0.74,0.74,1228900
44,2019-07-23,1.2,1.22,1.13,1.14,55100
45,2019-07-22,1.2,1.25,1.18,1.18,77100
46,2019-07-19,1.22,1.29,1.1701,1.21,118600
47,2019-07-18,1.21,1.26,1.21,1.23,14200
48,2019-07-17,1.22,1.25,1.22,1.24,19600
49,2019-07-16,1.25,1.28,1.21,1.22,55000
50,2019-07-15,1.26,1.29,1.23,1.26,28600
51,2019-07-12,1.28,1.32,1.23,1.26,57000
52,2019-07-11,1.31,1.32,1.21,1.3,56000
53,2019-07-10,1.27,1.33,1.27,1.3,24600
54,2019-07-09,1.32,1.32,1.25,1.27,60700
55,2019-07-08,1.31,1.34,1.3,1.3,31600
56,2019-07-05,1.26,1.32,1.26,1.32,97300
57,2019-07-03,1.33,1.33,1.28,1.28,66600
58,2019-07-02,1.3801,1.41,1.25,1.31,331700
59,2019-07-01,1.25,1.4,1.2,1.38,466200
60,2019-06-28,1.18,1.306,1.16,1.25,179500
61,2019-06-27,1.25,1.29,1.16,1.21,107300
62,2019-06-26,1.25,1.29,1.21,1.25,36200
63,2019-06-25,1.2,1.3,1.18,1.21,387700
64,2019-06-24,1.22,1.33,1.16,1.21,244700
65,2019-06-21,1.1,1.2,1.1,1.2,151200
66,2019-06-20,1.19,1.19,1.1,1.11,75100
67,2019-06-19,1.2501,1.25,1.1,1.13,119800
68,2019-06-18,0.966,1.27,0.966,1.18,337800
69,2019-06-17,0.965,1.0,0.965,0.988,41500
70,2019-06-14,1.0,1.05,0.95,0.97,201300
71,2019-06-13,0.981,1.02,0.916,1.0,177600
72,2019-06-12,0.98,1.05,0.98,0.985,96800
73,2019-06-11,1.05,1.114,0.98,0.997,232800
74,2019-06-10,0.91,1.18,0.902,1.04,459600
75,2019-06-07,0.93,0.94,0.898,0.898,116300
76,2019-06-06,0.9991,1.08,0.915,0.93,285300
77,2019-06-05,1.145,1.2,1.0,1.04,364500
78,2019-06-04,1.14,1.18,1.08,1.17,290200
79,2019-06-03,1.2,1.234,1.11,1.14,131600
80,2019-05-31,1.22,1.24,1.18,1.18,41100
81,2019-05-30,1.254,1.27,1.19,1.21,106900
82,2019-05-29,1.24,1.25,1.16,1.18,181800
83,2019-05-28,1.38,1.43,1.25,1.26,119600
84,2019-05-24,1.3201,1.4,1.32,1.37,125900
85,2019-05-23,1.43,1.43,1.31,1.32,144500
86,2019-05-22,1.31,1.467,1.31,1.41,374000
87,2019-05-21,1.27,1.35,1.251,1.31,166500
88,2019-05-20,1.27,1.39,1.2,1.28,514600
89,2019-05-17,1.2,1.24,1.14,1.16,490700
90,2019-05-16,1.32,1.3561,1.18,1.19,227100
91,2019-05-15,1.41,1.41,1.33,1.33,224400
92,2019-05-14,1.43,1.619,1.42,1.45,651000
93,2019-05-13,1.38,1.424,1.3,1.4,135600
94,2019-05-10,1.35,1.45,1.29,1.33,321700
95,2019-05-09,1.23,1.3,1.187,1.25,101700
96,2019-05-08,1.2,1.26,1.16,1.23,71700
97,2019-05-07,1.4,1.4,1.1801,1.2,133300
98,2019-05-06,1.06,1.36,1.06,1.26,307000
99,2019-05-03,1.08,1.12,1.08,1.08,6800
100,2019-05-02,1.0799,1.16,1.06,1.062,20300
101,2019-05-01,1.15,1.15,1.096,1.12,15500
102,2019-04-30,1.1701,1.17,1.116,1.15,40500
103,2019-04-29,1.06,1.15,1.06,1.13,46600
104,2019-04-26,1.1201,1.18,1.06,1.1,48200
105,2019-04-25,1.15,1.17,1.1,1.12,30700
106,2019-04-24,1.13,1.18,1.12,1.16,48100
107,2019-04-23,1.13,1.15,1.07,1.12,13400
108,2019-04-22,1.16,1.16,1.04,1.13,19800
109,2019-04-18,1.11,1.16,1.07,1.16,42700
110,2019-04-17,1.15,1.22,1.07,1.07,97600
111,2019-04-16,1.09,1.14,1.09,1.13,157300
112,2019-04-15,1.11,1.11,1.05,1.08,60000
113,2019-04-12,1.06,1.1,1.04,1.1,57500
114,2019-04-11,1.05,1.1,1.05,1.05,25600
115,2019-04-10,1.1101,1.11,1.07,1.08,60100
116,2019-04-09,1.08,1.14,1.074,1.11,123000
117,2019-04-08,1.12,1.12,1.06,1.08,67700
118,2019-04-05,1.1,1.1,1.05,1.05,83000
119,2019-04-04,1.04,1.11,1.04,1.1,154200
120,2019-04-03,1.08,1.08,1.03,1.04,154500
121,2019-04-02,0.98,1.08,0.98,1.08,420100
122,2019-04-01,0.98,1.03,0.965,0.984,195700
123,2019-03-29,1.03,1.05,1.01,1.02,232500
124,2019-03-28,1.09,1.09,1.0,1.03,657200
125,2019-03-27,1.03,1.11,1.01,1.1,417400
126,2019-03-26,1.01,1.05,0.98,1.04,138600
127,2019-03-25,1.05,1.05,0.98,1.0,90800
128,2019-03-22,1.1,1.1,1.01,1.04,136300
129,2019-03-21,1.09,1.14,1.0699,1.11,70900
130,2019-03-20,1.13,1.199,1.09,1.09,89700
131,2019-03-19,1.09,1.19,1.03,1.16,362100
132,2019-03-18,1.15,1.19,1.0501,1.12,275700
133,2019-03-15,1.45,1.6,1.17,1.17,576500
134,2019-03-14,1.31,1.48,1.3,1.46,593200
135,2019-03-13,1.26,1.3,1.23,1.3,126600
136,2019-03-12,1.24,1.33,1.216,1.225,104100
137,2019-03-11,1.21,1.24,1.08,1.205,208100
138,2019-03-08,1.18,1.37,1.15,1.18,659900
139,2019-03-07,1.12,1.24,1.07,1.17,255500
140,2019-03-06,1.16,1.16,1.05,1.107,153700
141,2019-03-05,1.15,1.25,1.14,1.15,108900
142,2019-03-04,1.28,1.35,1.16,1.16,247100
143,2019-03-01,1.29,1.36,1.2,1.29,329700
144,2019-02-28,1.33,1.55,1.28,1.29,1099200
145,2019-02-27,1.22,1.37,1.151,1.33,870800
146,2019-02-26,1.08,1.15,1.07,1.13,217900
147,2019-02-25,1.06,1.13,1.05,1.07,274300
148,2019-02-22,1.03,1.14,0.988,1.06,734200
149,2019-02-21,1.02,1.16,0.98,1.01,732000
150,2019-02-20,1.0,1.03,0.961,0.98,128500
151,2019-02-19,1.0,1.02,0.96,1.01,113800
152,2019-02-15,1.0,1.045,0.941,0.989,123600
153,2019-02-14,1.01,1.063,0.976,0.99,429500
154,2019-02-13,0.934,1.07,0.932,1.0,560200
155,2019-02-12,0.91,0.948,0.893,0.94,66100
156,2019-02-11,0.93,0.94,0.881,0.881,76000
157,2019-02-08,0.921,0.94,0.9211,0.925,42600
158,2019-02-07,0.96,0.98,0.92,0.92,87600
159,2019-02-06,0.952,0.969,0.93,0.96,107900
160,2019-02-05,0.95,0.98,0.921,0.95,144300
161,2019-02-04,0.947,0.964,0.9,0.945,211000
162,2019-02-01,0.965,0.97,0.94,0.94,125500
163,2019-01-31,0.944,0.99,0.94,0.94,202100
164,2019-01-30,0.937,0.955,0.926,0.94,93600
165,2019-01-29,0.956,0.98,0.925,0.94,77400
166,2019-01-28,0.98,0.99,0.95,0.97,110500
167,2019-01-25,0.928,0.998,0.928,0.98,118900
168,2019-01-24,0.96,1.0,0.93,0.935,185000
169,2019-01-23,1.03,1.03,0.91,0.96,345800
170,2019-01-22,1.09,1.098,0.99,1.04,257900
171,2019-01-18,1.1,1.12,1.02,1.11,437700
172,2019-01-17,1.16,1.17,1.05,1.08,653900
173,2019-01-16,1.17,1.19,1.09,1.14,773500
174,2019-01-15,1.17,1.25,1.1402,1.15,1528400
175,2019-01-14,1.11,1.18,1.1,1.14,476800
176,2019-01-11,1.06,1.163,1.01,1.13,99800
177,2019-01-10,1.2,1.2,1.08,1.1,262800
178,2019-01-09,1.2199,1.283,1.15,1.24,1275000
179,2019-01-08,1.29,1.34,1.21,1.22,57000
180,2019-01-07,1.37,1.37,1.21,1.28,143100
181,2019-01-04,1.19,1.352,1.1901,1.3,642200
182,2019-01-03,1.14,1.22,1.08,1.17,71900
183,2019-01-02,0.94,1.11,0.92,1.11,68500
184,2018-12-31,1.1,1.16,0.89,0.931,173300
185,2018-12-28,1.02,1.2001,1.0,1.1,127900
186,2018-12-27,0.91,1.08,0.91,1.08,109000
187,2018-12-26,0.873,1.2,0.82,1.04,180500
188,2018-12-24,0.9,0.9,0.8,0.835,64500
189,2018-12-21,0.93,0.99,0.85,0.88,46400
190,2018-12-20,0.94,0.95,0.9,0.91,58800
191,2018-12-19,1.02,1.09,0.861,0.946,105500
192,2018-12-18,1.37,1.37,1.03,1.04,204500
193,2018-12-17,1.41,1.43,1.29,1.37,60800
194,2018-12-14,1.38,1.48,1.31,1.42,51100
195,2018-12-13,1.45,1.53,1.25,1.42,103600
