,timestamp,open,high,low,close,volume
0,2019-09-24,108.39,110.38,98.81,98.99,8896291
1,2019-09-23,108.55,111.79,105.6809,107.37,27683017
2,2019-09-20,127.39,127.414,103.62,108.05,64857700
3,2019-09-19,127.81,134.88,127.0,133.76,25246400
4,2019-09-18,143.6,145.75,127.79,129.88,38063700
5,2019-09-17,150.25,152.37,146.42,150.52,11124100
6,2019-09-16,146.97,152.85,146.03,149.54,11942200
7,2019-09-13,146.66,148.7,143.08,147.55,9256500
8,2019-09-12,150.0,152.79,145.82,147.78,14002000
9,2019-09-11,146.55,149.94,141.555,149.76,18660100
10,2019-09-10,157.22,158.8,139.53,144.14,34820500
11,2019-09-09,173.6,176.55,159.8,161.03,23942100
12,2019-09-06,165.47,170.97,164.85,169.86,14892300
13,2019-09-05,167.69,169.45,160.28,166.93,23405600
14,2019-09-04,161.49,169.7,158.552,168.91,28478400
15,2019-09-03,150.86,157.22,150.18,156.88,12600800
16,2019-08-30,150.98,153.29,148.285,151.36,10520600
17,2019-08-29,148.0,150.1,146.36,149.88,10426000
18,2019-08-28,146.08,147.43,143.3,145.89,9580200
19,2019-08-27,144.89,147.75,141.21,147.02,19421100
20,2019-08-26,140.08,145.0,139.14,143.01,11145900
21,2019-08-23,137.76,143.36,136.95,137.74,11339300
22,2019-08-22,138.25,139.48,135.85,139.14,6595700
23,2019-08-21,135.12,140.45,134.34,138.58,8198400
24,2019-08-20,134.49,137.96,133.15,134.26,6652600
25,2019-08-19,132.34,135.8,128.4,134.96,9339800
26,2019-08-16,130.9996,131.9,127.06,131.04,6339800
27,2019-08-15,133.0,133.94,128.27,129.4,9015800
28,2019-08-14,132.45,134.32,128.76,130.57,11600700
29,2019-08-13,137.2,142.1,133.96,135.33,20212900
30,2019-08-12,129.86,136.55,129.43,134.3,19614300
31,2019-08-09,121.74,128.1968,121.537,125.32,14591500
32,2019-08-08,118.7,123.45,117.56,122.03,27655500
33,2019-08-07,98.7,103.84,98.48,100.97,13649100
34,2019-08-06,103.23,105.195,96.16,98.48,11136200
35,2019-08-05,97.87,102.75,96.0,102.57,7328700
36,2019-08-02,100.84,102.9,99.29,100.53,4444500
37,2019-08-01,103.66,105.68,99.0,100.845,5478400
38,2019-07-31,105.76,107.52,101.1,103.33,5292200
39,2019-07-30,104.0,106.74,102.3856,105.76,4684800
40,2019-07-29,110.55,111.84,102.22,105.13,10855500
41,2019-07-26,107.38,111.527,107.38,110.45,6865400
42,2019-07-25,107.72,109.51,106.3,106.89,5276800
43,2019-07-24,104.68,108.176,104.11,107.66,6138600
44,2019-07-23,108.89,110.69,103.16,104.92,9726900
45,2019-07-22,107.13,109.23,105.59,108.6,5697700
46,2019-07-19,109.6013,110.3,106.52,106.85,6736200
47,2019-07-18,107.1,110.57,106.57,109.02,9290500
48,2019-07-17,112.0117,112.79,108.44,109.34,11183900
49,2019-07-16,104.35,113.44,103.858,111.94,21356600
50,2019-07-15,102.5,104.39,100.15,104.34,6340000
51,2019-07-12,104.22,105.455,102.12,102.47,7524200
52,2019-07-11,103.9,104.9,101.56,104.54,9091800
53,2019-07-10,104.28,105.89,102.09,103.5,8519300
54,2019-07-09,102.67,104.44,100.62,103.4,10727300
55,2019-07-08,97.74,104.0,97.31,103.25,12268300
56,2019-07-05,93.17,98.444,92.51,98.11,12061700
57,2019-07-03,93.58,94.5,91.6759,93.51,7313700
58,2019-07-02,88.9527,93.23,87.34,93.05,12853400
59,2019-07-01,92.35,94.623,90.6,91.37,5913300
60,2019-06-28,93.82,94.86,90.187,90.58,11980700
