,timestamp,open,high,low,close,volume
0,2019-09-24,3.17,3.25,3.1,3.11,15278
1,2019-09-23,3.12,3.21,3.08,3.18,46713
2,2019-09-20,3.14,3.17,3.1,3.15,85700
3,2019-09-19,3.18,3.19,3.06,3.12,69200
4,2019-09-18,3.28,3.31,3.12,3.18,67100
5,2019-09-17,3.29,3.36,3.21,3.31,91300
6,2019-09-16,3.17,3.34,3.15,3.25,97600
7,2019-09-13,3.29,3.37,3.13,3.18,92800
8,2019-09-12,3.4,3.41,3.26,3.29,205100
9,2019-09-11,3.43,3.64,3.27,3.42,456600
10,2019-09-10,3.18,3.39,3.17,3.39,90900
11,2019-09-09,3.25,3.324,3.16,3.17,85500
12,2019-09-06,3.15,3.35,3.15,3.24,126300
13,2019-09-05,3.11,3.219,3.09,3.12,71900
14,2019-09-04,3.1,3.27,3.04,3.13,147100
15,2019-09-03,3.16,3.16,3.07,3.12,37100
16,2019-08-30,3.11,3.2,3.07,3.17,81000
17,2019-08-29,3.1,3.14,3.02,3.11,80100
18,2019-08-28,3.06,3.19,2.95,3.08,173300
19,2019-08-27,3.2,3.2,3.06,3.1,76600
20,2019-08-26,3.1,3.2,3.014,3.16,74300
21,2019-08-23,3.18,3.235,3.07,3.13,94500
22,2019-08-22,3.18,3.24,3.11,3.17,110700
23,2019-08-21,3.12,3.22,3.04,3.18,267600
24,2019-08-20,3.2,3.23,3.02,3.12,105500
25,2019-08-19,3.23,3.244,3.15,3.17,97800
26,2019-08-16,3.4,3.4,3.1,3.24,204400
27,2019-08-15,3.1,3.58,3.03,3.38,601600
28,2019-08-14,3.17,3.185,3.0701,3.13,118200
29,2019-08-13,3.25,3.26,3.136,3.21,114900
30,2019-08-12,3.43,3.43,3.09,3.23,222500
31,2019-08-09,3.38,3.72,3.294,3.38,251100
32,2019-08-08,3.33,3.89,3.31,3.47,372700
33,2019-08-07,3.46,3.9,3.402,3.72,412400
34,2019-08-06,3.54,3.639,3.35,3.43,127700
35,2019-08-05,3.55,3.62,3.5,3.52,80000
36,2019-08-02,3.59,3.689,3.53,3.63,92200
37,2019-08-01,3.8,3.8,3.53,3.64,200300
38,2019-07-31,3.94,3.94,3.698,3.76,192700
39,2019-07-30,3.78,3.94,3.64,3.92,155500
40,2019-07-29,3.89,3.95,3.65,3.79,149000
41,2019-07-26,3.59,3.88,3.58,3.82,172500
42,2019-07-25,3.77,3.77,3.57,3.6,92300
43,2019-07-24,3.81,3.88,3.53,3.8,277400
44,2019-07-23,3.91,3.98,3.8,3.81,201700
45,2019-07-22,4.03,4.08,3.85,3.95,163900
46,2019-07-19,4.01,4.139,3.93,4.06,134500
47,2019-07-18,4.25,4.2789,3.919,4.05,293700
48,2019-07-17,4.2895,4.35,4.1,4.25,194700
49,2019-07-16,4.44,4.49,4.3,4.35,165500
50,2019-07-15,4.63,4.742,4.4,4.49,343400
51,2019-07-12,4.77,4.81,4.6,4.65,179500
52,2019-07-11,4.89,5.05,4.66,4.76,283000
53,2019-07-10,5.05,5.3,4.68,4.93,535500
54,2019-07-09,4.5,5.07,4.46,5.03,1114100
55,2019-07-08,4.38,4.56,4.35,4.46,286800
56,2019-07-05,4.3,4.488,4.3,4.35,154800
57,2019-07-03,4.28,4.39,4.21,4.35,95800
58,2019-07-02,4.35,4.43,4.208,4.3,195300
59,2019-07-01,4.46,4.5,4.35,4.43,282600
60,2019-06-28,4.07,4.5802,3.89,4.35,583000
61,2019-06-27,3.88,4.15,3.8,4.02,394300
62,2019-06-26,4.23,4.29,3.83,3.9,706700
63,2019-06-25,4.26,4.425,4.2,4.2,414700
64,2019-06-24,4.52,4.631,4.22,4.29,346400
65,2019-06-21,4.57,4.74,4.45,4.5,341800
66,2019-06-20,4.77,4.84,4.51,4.62,435500
67,2019-06-19,4.7,4.99,4.52,4.77,537300
68,2019-06-18,5.16,5.25,4.66,4.71,1067600
69,2019-06-17,5.53,5.75,5.14,5.14,1687800
70,2019-06-14,5.38,5.4,5.15,5.21,410700
71,2019-06-13,5.34,5.5798,5.2,5.46,467700
72,2019-06-12,5.3,5.73,5.13,5.18,1045800
73,2019-06-11,5.49,5.6,5.15,5.39,920200
74,2019-06-10,5.9,6.5,5.4,5.6,2826500
75,2019-06-07,5.35,7.1,5.271,6.83,5142600
76,2019-06-06,7.01,7.179,5.25,5.25,4016600
77,2019-06-05,7.93,10.08,6.76,7.4,30503700
78,2019-06-04,3.15,3.4,3.15,3.32,1854900
79,2019-06-03,3.6,3.67,3.07,3.15,204800
80,2019-05-31,3.63,3.8303,3.5,3.55,357500
81,2019-05-30,3.97,3.97,3.4,3.87,691500
82,2019-05-29,3.3498,4.2,3.12,4.08,4294200
83,2019-05-28,3.03,3.055,2.95,2.97,68400
84,2019-05-24,2.96,3.04,2.9,2.95,61700
85,2019-05-23,3.08,3.1,2.86,2.88,73500
86,2019-05-22,2.98,3.08,2.86,3.01,180200
87,2019-05-21,2.75,3.04,2.722,2.94,172700
88,2019-05-20,2.61,2.78,2.6,2.71,99700
89,2019-05-17,2.5397,2.63,2.52,2.54,71800
90,2019-05-16,2.7,2.84,2.59,2.59,127700
91,2019-05-15,2.7,2.73,2.64,2.72,74400
92,2019-05-14,2.69,2.83,2.69,2.75,97400
93,2019-05-13,2.73,2.739,2.46,2.7,196500
94,2019-05-10,3.02,3.134,2.7,2.74,370100
95,2019-05-09,3.28,3.34,3.08,3.1,218700
96,2019-05-08,3.57,3.638,3.37,3.38,99900
97,2019-05-07,3.88,3.883,3.4998,3.62,154400
98,2019-05-06,3.66,3.89,3.56,3.71,334600
99,2019-05-03,3.75,3.93,3.63,3.76,197500
100,2019-05-02,3.84,3.9502,3.55,3.71,273900
101,2019-05-01,3.51,4.05,3.477,3.87,842000
102,2019-04-30,3.58,3.678,3.38,3.45,155700
103,2019-04-29,3.44,3.63,3.37,3.56,189300
104,2019-04-26,3.55,3.55,3.3201,3.48,171000
105,2019-04-25,3.74,3.75,3.43,3.51,1035500
106,2019-04-24,3.4,3.4,3.21,3.32,125600
107,2019-04-23,3.31,3.45,3.15,3.4,237300
108,2019-04-22,3.48,3.495,3.24,3.31,243200
109,2019-04-18,3.6,3.62,3.3,3.48,381200
110,2019-04-17,3.78,3.87,3.5,3.63,1046700
111,2019-04-16,4.1,4.58,3.66,3.8,18217200
112,2019-04-15,3.61,3.619,3.2702,3.38,296800
113,2019-04-12,3.9,3.95,3.6,3.6,324100
114,2019-04-11,3.73,4.01,3.68,3.93,437800
115,2019-04-10,3.9,3.9,3.66,3.77,184800
116,2019-04-09,4.0,4.05,3.81,3.9,256700
117,2019-04-08,4.0,4.146,3.87,4.0,346400
