,timestamp,open,high,low,close,volume
0,2019-09-27,6.4,6.4,5.9782,5.9782,1111
1,2019-09-26,6.58,6.72,6.395,6.4,57646
2,2019-09-25,6.42,6.8,6.13,6.58,46600
3,2019-09-24,6.09,6.43,5.75,6.39,80300
4,2019-09-23,5.94,6.29,5.92,6.11,36600
5,2019-09-20,6.3,6.3,5.38,5.93,177200
6,2019-09-19,6.54,6.585,5.94,6.38,84300
7,2019-09-18,7.02,7.15,6.47,6.68,58600
8,2019-09-17,6.9,7.27,6.82,7.03,94900
9,2019-09-16,7.18,7.39,6.89,6.95,47600
10,2019-09-13,7.0,7.313,6.76,7.25,17200
11,2019-09-12,7.04,7.48,6.85,7.02,98200
12,2019-09-11,7.1,7.66,6.78,7.09,120800
13,2019-09-10,7.29,7.71,6.624,7.111,66000
14,2019-09-09,6.94,7.853,6.94,7.35,69800
15,2019-09-06,6.12,6.94,6.089,6.86,103400
16,2019-09-05,6.31,6.5,6.09,6.31,51200
17,2019-09-04,6.33,6.729,6.18,6.2,83100
18,2019-09-03,6.5,6.59,6.165,6.25,26100
19,2019-08-30,6.38,6.59,6.18,6.5,16700
20,2019-08-29,5.96,6.66,5.96,6.53,50300
21,2019-08-28,5.51,6.3,5.37,6.14,146400
22,2019-08-27,5.93,6.11,5.53,5.53,6400
23,2019-08-26,6.4,6.425,5.879,5.96,12900
24,2019-08-23,6.44,6.67,6.2,6.321,15600
25,2019-08-22,6.5,6.719,6.285,6.36,49200
26,2019-08-21,6.469,6.55,6.35,6.46,11900
27,2019-08-20,6.135,6.59,6.135,6.35,56200
28,2019-08-19,5.9,6.54,5.86,6.2,47000
29,2019-08-16,5.64,6.238,5.61,5.88,26700
30,2019-08-15,6.01,6.01,5.395,5.56,51700
31,2019-08-14,5.96,6.35,5.96,6.05,47800
32,2019-08-13,5.86,6.34,5.682,6.05,23500
33,2019-08-12,5.75,5.98,5.75,5.95,8100
34,2019-08-09,5.59,5.95,5.465,5.7,9800
35,2019-08-08,6.21,6.4,5.6,5.67,80400
36,2019-08-07,5.34,6.08,5.34,6.02,106500
37,2019-08-06,5.19,5.58,5.12,5.15,33200
38,2019-08-05,5.19,5.5,5.1,5.17,66100
39,2019-08-02,5.52,5.92,5.05,5.3,106900
40,2019-08-01,5.76,5.93,5.5,5.55,30000
41,2019-07-31,5.6,6.0099,5.6,5.8,30400
42,2019-07-30,5.87,6.1,5.5,5.64,53100
43,2019-07-29,5.55,5.99,5.5,5.85,29100
44,2019-07-26,5.61,6.16,5.55,5.55,131900
45,2019-07-25,5.3,5.9099,5.123,5.61,191900
46,2019-07-24,4.9,5.29,4.7418,5.27,141000
47,2019-07-23,4.54,5.32,4.45,4.87,74000
