,timestamp,open,high,low,close,volume
0,2019-09-27,1.82,1.82,1.8,1.8,2665
1,2019-09-26,1.82,1.88,1.8,1.82,11638
2,2019-09-25,1.82,1.86,1.802,1.83,32400
3,2019-09-24,1.88,1.88,1.82,1.86,41100
4,2019-09-23,1.8,1.88,1.75,1.87,44600
5,2019-09-20,1.81,1.85,1.76,1.81,322700
6,2019-09-19,1.79,1.92,1.77,1.82,158200
7,2019-09-18,1.82,1.94,1.76,1.79,93300
8,2019-09-17,1.85,1.88,1.81,1.83,38700
9,2019-09-16,1.92,1.95,1.84,1.85,68000
10,2019-09-13,1.82,1.95,1.82,1.93,79200
11,2019-09-12,1.93,1.97,1.81,1.83,80800
12,2019-09-11,1.96,2.0,1.9,1.93,39400
13,2019-09-10,1.914,1.96,1.81,1.93,76700
14,2019-09-09,1.9,1.952,1.81,1.85,119100
15,2019-09-06,1.78,2.05,1.722,1.98,364000
16,2019-09-05,1.79,1.79,1.76,1.79,52200
17,2019-09-04,1.73,1.77,1.7,1.76,30100
18,2019-09-03,1.75,1.79,1.69,1.7,61600
19,2019-08-30,1.78,1.83,1.741,1.78,73400
20,2019-08-29,1.74,1.775,1.74,1.75,35400
21,2019-08-28,1.7,1.76,1.7,1.7,21800
22,2019-08-27,1.78,1.783,1.69,1.7,63600
23,2019-08-26,1.82,1.82,1.8,1.8,10500
24,2019-08-23,1.79,1.86,1.79,1.81,22800
25,2019-08-22,1.82,1.86,1.801,1.82,59400
26,2019-08-21,1.82,1.82,1.76,1.81,60100
27,2019-08-20,1.8,1.9,1.72,1.81,154900
28,2019-08-19,1.82,1.9,1.75,1.82,107700
29,2019-08-16,1.7,1.9,1.7,1.82,240800
30,2019-08-15,1.75,1.75,1.66,1.66,82500
31,2019-08-14,1.65,1.75,1.65,1.7,82500
32,2019-08-13,1.71,1.74,1.68,1.7,56800
33,2019-08-12,1.83,1.8701,1.7,1.74,116300
34,2019-08-09,1.85,1.95,1.8,1.8,124900
35,2019-08-08,1.77,1.92,1.65,1.78,332300
36,2019-08-07,1.71,2.07,1.68,1.92,287200
37,2019-08-06,1.81,1.95,1.62,1.65,292300
38,2019-08-05,1.93,1.95,1.8,1.8,195800
39,2019-08-02,2.1,2.1,1.84,1.98,201500
40,2019-08-01,1.86,2.18,1.812,2.08,748900
41,2019-07-31,1.69,1.85,1.69,1.8,209400
42,2019-07-30,1.68,1.817,1.67,1.71,127500
43,2019-07-29,1.72,1.77,1.6601,1.68,111800
44,2019-07-26,1.64,1.73,1.57,1.7,107600
45,2019-07-25,1.65,1.67,1.59,1.6,88600
46,2019-07-24,1.63,1.66,1.5699,1.66,97000
47,2019-07-23,1.65,1.67,1.6001,1.63,146800
48,2019-07-22,1.69,1.7,1.64,1.64,169500
49,2019-07-19,1.72,1.77,1.6,1.69,198300
50,2019-07-18,1.76,1.828,1.6799,1.72,96100
51,2019-07-17,1.67,1.85,1.67,1.75,337600
52,2019-07-16,1.72,1.74,1.66,1.67,151800
53,2019-07-15,1.66,1.74,1.63,1.71,122300
54,2019-07-12,1.6801,1.71,1.64,1.66,132900
55,2019-07-11,1.72,1.77,1.65,1.66,93400
56,2019-07-10,1.72,1.73,1.65,1.71,131900
57,2019-07-09,1.6601,1.74,1.63,1.71,141100
58,2019-07-08,1.74,1.75,1.58,1.66,195200
59,2019-07-05,1.64,1.74,1.61,1.74,115500
60,2019-07-03,1.7,1.7,1.62,1.67,176900
61,2019-07-02,1.76,1.8,1.66,1.69,257400
62,2019-07-01,1.79,1.85,1.75,1.76,267500
63,2019-06-28,1.88,1.9,1.65,1.79,3441200
64,2019-06-27,1.89,2.03,1.86,1.88,482600
65,2019-06-26,1.93,1.99,1.88,1.895,227100
66,2019-06-25,1.87,2.04,1.863,1.92,221500
67,2019-06-24,2.05,2.056,1.85,1.87,304500
68,2019-06-21,2.07,2.08,2.02,2.05,208400
69,2019-06-20,2.1,2.1,2.01,2.09,219500
70,2019-06-19,2.16,2.16,2.045,2.05,285900
71,2019-06-18,2.21,2.37,2.155,2.18,162500
72,2019-06-17,2.12,2.25,2.07,2.21,199400
73,2019-06-14,2.14,2.17,2.02,2.1,149200
74,2019-06-13,2.1,2.19,2.01,2.15,174600
75,2019-06-12,2.08,2.13,2.02,2.1,122600
76,2019-06-11,2.27,2.273,2.0,2.07,232200
77,2019-06-10,2.26,2.3,2.17,2.25,146000
78,2019-06-07,2.18,2.3,2.15,2.25,254200
79,2019-06-06,2.08,2.18,2.0,2.16,220700
80,2019-06-05,2.1,2.18,1.9899,2.09,478800
81,2019-06-04,2.12,2.13,2.01,2.1,159900
82,2019-06-03,2.0,2.12,1.96,2.09,177600
83,2019-05-31,1.91,2.06,1.86,1.99,315300
84,2019-05-30,2.06,2.12,1.92,1.95,402900
85,2019-05-29,2.27,2.27,2.02,2.04,308100
86,2019-05-28,2.34,2.48,2.19,2.3,294700
87,2019-05-24,2.2602,2.41,2.26,2.35,136500
88,2019-05-23,2.5,2.57,2.21,2.24,171000
89,2019-05-22,2.4,2.62,2.3601,2.46,543300
90,2019-05-21,2.21,2.41,2.19,2.37,191300
91,2019-05-20,2.21,2.39,2.18,2.23,495300
92,2019-05-17,2.18,2.32,2.12,2.24,163300
93,2019-05-16,2.21,2.21,2.11,2.19,230700
94,2019-05-15,2.26,2.28,2.1598,2.21,108400
95,2019-05-14,2.31,2.32,2.18,2.28,231300
96,2019-05-13,2.32,2.35,2.23,2.3,221200
97,2019-05-10,2.4,2.42,2.26,2.37,177000
98,2019-05-09,2.47,2.48,2.32,2.4,195100
99,2019-05-08,2.23,2.53,2.18,2.49,309000
100,2019-05-07,2.28,2.3201,2.15,2.23,155900
101,2019-05-06,2.26,2.39,2.22,2.3,115800
102,2019-05-03,2.16,2.387,2.1349,2.35,241400
103,2019-05-02,2.1901,2.2,2.1,2.12,235300
104,2019-05-01,2.14,2.24,2.1,2.19,224600
105,2019-04-30,2.24,2.25,2.06,2.15,236700
106,2019-04-29,2.18,2.28,2.18,2.24,195500
107,2019-04-26,2.11,2.17,2.04,2.16,257200
108,2019-04-25,2.06,2.15,1.901,2.11,242600
109,2019-04-24,2.26,2.26,1.73,2.07,635100
110,2019-04-23,2.2098,2.3,2.125,2.25,257800
111,2019-04-22,2.3,2.32,2.1501,2.16,342300
112,2019-04-18,2.31,2.39,2.24,2.3,250400
113,2019-04-17,2.57,2.57,2.22,2.31,378900
114,2019-04-16,2.56,2.62,2.43,2.51,227500
115,2019-04-15,2.7,2.7,2.43,2.56,517100
116,2019-04-12,2.77,2.81,2.67,2.71,178000
117,2019-04-11,2.83,2.88,2.66,2.74,210300
118,2019-04-10,2.74,2.84,2.65,2.83,265400
119,2019-04-09,3.09,3.16,2.72,2.74,781800
120,2019-04-08,2.81,3.14,2.76,3.05,791800
121,2019-04-05,2.69,2.98,2.6,2.81,721700
122,2019-04-04,2.77,2.85,2.56,2.69,500100
123,2019-04-03,2.53,2.88,2.412,2.77,829400
124,2019-04-02,2.54,2.56,2.3,2.53,692100
125,2019-04-01,2.63,2.68,2.44,2.53,2822300
126,2019-03-29,2.21,2.44,2.12,2.37,802100
127,2019-03-28,2.13,2.2,2.13,2.14,118200
128,2019-03-27,2.28,2.28,2.0401,2.13,416600
129,2019-03-26,2.37,2.437,2.21,2.27,334900
130,2019-03-25,2.36,2.57,2.25,2.29,355800
131,2019-03-22,2.56,2.57,2.35,2.35,298700
132,2019-03-21,2.7,2.7,2.43,2.58,694500
133,2019-03-20,2.62,2.95,2.61,2.7,720800
134,2019-03-19,2.83,2.93,2.35,2.52,1607500
135,2019-03-18,2.14,3.34,2.12,3.06,1858900
136,2019-03-15,2.2201,2.22,2.0,2.17,1819100
137,2019-03-14,2.16,2.22,2.04,2.22,661600
138,2019-03-13,2.19,2.19,2.06,2.12,412900
139,2019-03-12,2.22,2.25,2.1002,2.19,242300
140,2019-03-11,2.16,2.249,2.05,2.2,767700
141,2019-03-08,2.4,2.84,2.035,2.3,3627900
142,2019-03-07,1.87,2.04,1.82,2.03,291900
143,2019-03-06,2.09,2.09,1.82,1.89,392500
144,2019-03-05,2.03,2.14,1.99,2.09,241300
145,2019-03-04,2.16,2.19,1.98,2.01,186900
146,2019-03-01,2.0,2.16,2.0,2.13,179600
147,2019-02-28,2.11,2.22,1.96,1.99,219300
148,2019-02-27,2.12,2.22,2.09,2.1,233500
149,2019-02-26,2.22,2.24,2.11,2.12,192100
150,2019-02-25,2.25,2.42,2.18,2.2,419700
151,2019-02-22,2.06,2.305,2.0,2.24,430000
152,2019-02-21,2.02,2.1,1.96,2.04,240100
153,2019-02-20,1.94,2.07,1.92,2.01,251500
154,2019-02-19,1.97,2.06,1.92,1.94,201100
155,2019-02-15,1.93,2.0,1.88,1.96,245600
156,2019-02-14,1.89,1.95,1.82,1.92,191700
157,2019-02-13,1.93,1.95,1.84,1.89,176300
158,2019-02-12,1.8802,2.02,1.88,1.93,198700
159,2019-02-11,2.1,2.15,1.88,1.88,478700
160,2019-02-08,1.75,2.1,1.72,2.09,586800
161,2019-02-07,1.74,1.82,1.695,1.76,220300
162,2019-02-06,1.82,1.85,1.74,1.74,282900
163,2019-02-05,1.68,1.84,1.6712,1.81,446100
164,2019-02-04,1.68,1.78,1.67,1.7,405500
165,2019-02-01,1.61,1.76,1.55,1.7,1543800
166,2019-01-31,1.74,1.88,1.56,1.57,1047800
167,2019-01-30,1.66,1.75,1.6,1.74,916900
168,2019-01-29,1.67,1.69,1.565,1.62,381300
169,2019-01-28,1.6,1.68,1.56,1.68,540800
170,2019-01-25,1.53,1.65,1.53,1.64,1022700
171,2019-01-24,1.48,1.62,1.45,1.55,1474300
172,2019-01-23,1.48,1.53,1.41,1.47,4538800
173,2019-01-22,2.02,2.04,1.82,1.9,275800
174,2019-01-18,2.13,2.17,2.03,2.04,152600
175,2019-01-17,2.06,2.14,2.03,2.12,243700
