,timestamp,open,high,low,close,volume
0,2019-09-27,31.63,31.63,30.76,31.28,3545
1,2019-09-26,31.36,31.82,31.3113,31.4,9697
2,2019-09-25,31.5,32.66,31.33,31.85,27200
3,2019-09-24,31.65,31.75,31.27,31.28,34300
4,2019-09-23,30.45,31.4,30.44,31.13,12600
5,2019-09-20,30.37,30.9,30.07,30.39,56600
6,2019-09-19,30.67,31.14,30.33,30.41,12500
7,2019-09-18,31.81,31.84,30.37,30.37,13100
8,2019-09-17,31.67,32.05,31.32,31.9,24900
9,2019-09-16,31.5,31.9,31.28,31.56,30400
10,2019-09-13,31.49,32.22,30.32,31.6,22300
11,2019-09-12,29.59,31.69,29.59,31.29,31100
12,2019-09-11,28.03,29.77,27.73,29.77,13400
13,2019-09-10,28.2,28.34,27.9,28.16,28000
14,2019-09-09,28.26,28.39,27.9,28.2,19400
15,2019-09-06,28.43,28.43,27.74,28.03,9700
16,2019-09-05,27.86,28.32,27.49,27.9,23600
17,2019-09-04,27.51,28.66,27.36,27.41,9500
18,2019-09-03,27.5,27.9,27.39,27.65,10000
19,2019-08-30,27.64,28.02,27.31,27.48,14700
20,2019-08-29,27.07,27.78,27.07,27.3,6300
21,2019-08-28,27.09,27.24,26.76,26.77,14700
22,2019-08-27,27.44,27.6,26.76,26.78,15100
23,2019-08-26,26.98,27.38,26.96,27.38,9800
24,2019-08-23,26.79,27.25,26.57,26.74,17000
25,2019-08-22,26.98,27.33,26.54,26.9,16500
26,2019-08-21,27.0,27.01,26.38,26.56,8200
27,2019-08-20,26.58,26.75,26.31,26.45,15600
28,2019-08-19,25.79,26.93,25.79,26.4,10500
29,2019-08-16,25.72,26.76,25.48,26.37,12800
30,2019-08-15,25.53,25.88,25.5,25.5,7100
31,2019-08-14,26.36,26.36,24.91,25.42,11900
32,2019-08-13,24.59,25.41,24.59,25.41,9500
33,2019-08-12,25.5,25.61,24.48,24.61,15600
34,2019-08-09,29.73,29.73,25.31,25.43,38300
35,2019-08-08,30.47,30.6,30.0,30.0,20900
36,2019-08-07,29.6666,30.4,29.668,30.25,5700
37,2019-08-06,29.51,30.6,29.1,30.35,19700
38,2019-08-05,29.79,30.09,29.15,29.16,12500
39,2019-08-02,31.31,31.3083,29.9,30.04,11300
40,2019-08-01,31.7,31.98,31.46,31.61,8500
41,2019-07-31,31.82,32.35,31.5817,31.58,26600
42,2019-07-30,30.31,32.85,30.1,31.61,20700
