,timestamp,open,high,low,close,volume
0,2019-09-27,4.08,4.08,4.08,4.08,10
1,2019-09-26,4.07,4.35,4.07,4.08,8702
2,2019-09-25,4.19,4.35,4.04,4.07,19100
3,2019-09-24,4.28,4.4,4.15,4.15,12500
4,2019-09-23,4.26,4.3,4.23,4.23,5900
5,2019-09-20,4.25,4.34,4.01,4.34,20300
6,2019-09-19,4.24,4.24,4.02,4.09,16200
7,2019-09-18,4.2,4.25,4.16,4.25,10600
8,2019-09-17,4.22,4.24,4.16,4.23,6400
9,2019-09-16,4.09,4.17,4.0,4.08,9300
10,2019-09-13,4.26,4.29,4.13,4.17,14800
11,2019-09-12,4.24,4.27,4.13,4.26,8600
12,2019-09-11,4.16,4.39,4.1,4.12,63500
13,2019-09-10,3.59,3.75,3.5,3.75,48100
14,2019-09-09,3.88,3.88,3.74,3.75,34400
15,2019-09-06,3.84,3.97,3.83,3.83,33100
16,2019-09-05,3.9,3.93,3.81,3.9,6200
17,2019-09-04,3.86,3.99,3.85,3.89,7600
18,2019-09-03,3.96,4.11,3.91,4.03,13900
19,2019-08-30,4.09,4.17,3.86,4.16,17100
20,2019-08-29,4.37,4.37,3.96,4.02,5500
21,2019-08-28,4.07,4.39,3.95,4.39,3000
22,2019-08-27,4.01,4.32,4.01,4.04,5600
23,2019-08-26,3.99,4.1,3.86,4.04,8300
24,2019-08-23,4.48,4.55,3.85,3.88,60300
25,2019-08-22,4.46,4.59,4.46,4.47,24100
26,2019-08-21,4.3,4.57,4.26,4.55,58700
27,2019-08-20,4.56,4.56,4.23,4.23,27700
28,2019-08-19,4.48,4.67,4.45,4.45,22100
29,2019-08-16,4.58,4.7,4.45,4.47,24200
30,2019-08-15,4.66,4.68,4.44,4.49,46400
31,2019-08-14,4.56,4.63,4.45,4.57,27900
32,2019-08-13,4.89,4.89,4.54,4.54,25100
33,2019-08-12,4.75,5.05,4.75,4.86,69400
34,2019-08-09,4.64,4.7671,4.422,4.74,20100
35,2019-08-08,4.57,4.85,4.3179,4.6,36000
36,2019-08-07,4.21,4.65,4.21,4.52,83400
37,2019-08-06,4.24,4.4,4.23,4.3,26500
38,2019-08-05,4.19,4.25,4.06,4.21,28800
39,2019-08-02,4.33,4.33,4.01,4.29,31700
40,2019-08-01,4.26,4.59,4.23,4.31,60500
41,2019-07-31,4.26,4.5,4.0997,4.23,45700
42,2019-07-30,4.47,4.53,4.0,4.27,156600
43,2019-07-29,4.78,5.05,4.52,4.59,170100
44,2019-07-26,4.3,5.1,4.17,4.95,357900
45,2019-07-25,3.54,4.4,3.4,4.3,612600
46,2019-07-24,2.71,3.85,2.67,3.69,860800
47,2019-07-23,2.66,2.66,2.62,2.65,15700
48,2019-07-22,2.57,2.61,2.57,2.61,2200
49,2019-07-19,2.65,2.65,2.56,2.57,1500
50,2019-07-18,2.66,2.66,2.65,2.65,300
51,2019-07-17,2.65,2.66,2.53,2.56,6000
52,2019-07-16,2.68,2.68,2.6,2.65,2400
53,2019-07-15,2.68,2.73,2.67,2.7,16000
54,2019-07-12,2.69,2.71,2.68,2.68,2500
55,2019-07-11,2.56,2.69,2.56,2.68,4300
56,2019-07-10,2.56,2.65,2.56,2.65,2500
57,2019-07-09,2.56,2.65,2.56,2.63,14300
58,2019-07-08,2.51,2.59,2.51,2.59,2100
59,2019-07-05,2.49,2.565,2.49,2.565,1000
60,2019-07-03,2.54,2.553,2.52,2.54,4300
61,2019-07-02,2.58,2.58,2.5,2.544,7900
62,2019-07-01,2.625,2.707,2.55,2.565,16700
63,2019-06-28,2.65,2.95,2.54,2.6,36000
64,2019-06-27,2.7,2.76,2.48,2.7,13800
65,2019-06-26,2.55,2.88,2.5299,2.71,7000
66,2019-06-25,3.05,3.05,2.78,2.85,17700
67,2019-06-24,2.61,3.06,2.61,2.96,28500
68,2019-06-21,2.886,2.886,2.6,2.67,8400
69,2019-06-20,2.6198,2.9,2.53,2.76,20800
70,2019-06-19,2.6,2.66,2.6,2.65,17100
71,2019-06-18,2.538,2.64,2.37,2.64,5300
72,2019-06-17,2.3,2.558,2.3,2.45,4200
73,2019-06-14,2.3,2.45,2.3001,2.44,3100
74,2019-06-13,2.278,2.52,2.278,2.4,4900
75,2019-06-12,2.25,2.4799,2.25,2.31,13600
76,2019-06-11,2.22,2.25,2.21,2.22,2500
77,2019-06-10,2.237,2.26,2.22,2.22,9400
78,2019-06-07,2.22,2.24,2.18,2.21,12000
79,2019-06-06,2.23,2.266,2.21,2.266,17000
80,2019-06-05,2.311,2.311,2.22,2.25,5600
81,2019-06-04,2.37,2.37,2.37,2.37,300
82,2019-06-03,2.34,2.35,2.248,2.35,5600
83,2019-05-31,2.31,2.3902,2.22,2.39,31200
84,2019-05-30,2.3901,2.4,2.35,2.35,10400
85,2019-05-29,2.4201,2.42,2.345,2.37,13100
86,2019-05-28,2.53,2.53,2.43,2.49,20000
87,2019-05-24,2.57,2.598,2.52,2.54,2400
88,2019-05-23,2.55,2.56,2.53,2.53,5000
89,2019-05-22,2.6,2.61,2.6,2.6,1400
90,2019-05-21,2.59,2.601,2.59,2.601,700
91,2019-05-20,2.67,2.67,2.585,2.65,3400
92,2019-05-17,2.57,2.617,2.53,2.61,6600
93,2019-05-16,2.59,2.63,2.55,2.6,7700
94,2019-05-15,2.67,2.67,2.67,2.67,200
95,2019-05-14,2.77,2.79,2.5628,2.69,9200
96,2019-05-13,2.68,2.782,2.6,2.65,18200
97,2019-05-10,2.8,2.8,2.63,2.77,22600
98,2019-05-09,2.58,2.85,2.58,2.85,30900
99,2019-05-08,2.52,2.68,2.52,2.63,36600
100,2019-05-07,2.66,2.7419,2.6,2.69,13300
101,2019-05-06,2.69,2.69,2.62,2.62,11800
102,2019-05-03,2.65,2.7,2.6,2.7,18000
103,2019-05-02,2.63,2.69,2.5,2.63,20600
104,2019-05-01,2.69,2.7,2.66,2.66,18900
105,2019-04-30,2.72,2.74,2.72,2.74,6100
106,2019-04-29,2.725,2.739,2.71,2.72,4700
107,2019-04-26,2.71,2.74,2.7,2.71,6700
108,2019-04-25,2.71,2.77,2.71,2.77,2100
109,2019-04-24,2.71,2.71,2.71,2.71,100
110,2019-04-23,2.75,2.7998,2.75,2.799,4800
111,2019-04-22,2.7,2.74,2.7,2.71,4500
112,2019-04-18,2.76,2.76,2.7,2.75,13700
113,2019-04-17,2.89,2.89,2.713,2.78,18500
114,2019-04-16,2.72,2.85,2.72,2.73,3300
115,2019-04-15,2.86,2.8597,2.72,2.72,27100
116,2019-04-12,2.819,2.834,2.81,2.823,5000
117,2019-04-11,2.9,2.9,2.78,2.89,6000
118,2019-04-10,2.886,2.8862,2.75,2.81,10300
119,2019-04-09,2.82,2.9,2.8,2.8,15800
120,2019-04-08,2.86,2.86,2.75,2.79,6800
121,2019-04-05,2.91,2.91,2.8,2.81,1500
122,2019-04-04,2.89,2.92,2.89,2.92,5500
123,2019-04-03,2.774,2.886,2.774,2.886,1500
124,2019-04-02,2.92,2.94,2.772,2.82,9700
125,2019-04-01,2.94,2.94,2.88,2.93,7500
126,2019-03-29,2.85,2.95,2.85,2.91,11900
127,2019-03-28,2.89,2.89,2.83,2.87,16200
128,2019-03-27,2.88,2.903,2.79,2.903,9800
129,2019-03-26,2.74,2.83,2.74,2.81,11100
130,2019-03-25,2.866,2.8663,2.71,2.72,8100
131,2019-03-22,2.8,2.88,2.77,2.88,10500
132,2019-03-21,2.88,2.895,2.7,2.79,12100
133,2019-03-20,2.93,2.93,2.81,2.87,8200
134,2019-03-19,2.91,2.97,2.91,2.97,7200
