,timestamp,open,high,low,close,volume
0,2019-09-27,10.21,10.445,10.21,10.27,1076
1,2019-09-26,10.33,10.395,10.12,10.16,38709
2,2019-09-25,10.01,10.43,9.83,10.33,58300
3,2019-09-24,10.96,10.96,9.95,9.99,54400
4,2019-09-23,10.32,11.06,10.08,10.83,69000
5,2019-09-20,10.95,11.09,10.03,10.47,180500
6,2019-09-19,11.06,11.27,10.82,10.9,32100
7,2019-09-18,11.15,11.24,10.73,10.91,61800
8,2019-09-17,11.43,11.66,10.81,11.15,38200
9,2019-09-16,11.79,11.96,11.33,11.43,45100
10,2019-09-13,12.03,12.03,11.67,11.87,53700
11,2019-09-12,11.85,12.05,11.73,11.94,35900
12,2019-09-11,11.92,12.24,11.71,11.85,82400
13,2019-09-10,11.95,12.09,11.57,11.89,93400
14,2019-09-09,12.2,12.41,11.87,11.98,53700
15,2019-09-06,12.61,12.62,11.91,12.33,48800
16,2019-09-05,12.04,12.68,11.73,12.52,76600
17,2019-09-04,12.23,12.29,11.78,11.86,61900
18,2019-09-03,11.6,12.17,11.6,12.09,100000
19,2019-08-30,11.36,11.8,11.14,11.6,61600
20,2019-08-29,11.26,11.99,11.21,11.61,24900
21,2019-08-28,11.11,11.28,10.99,11.11,42200
22,2019-08-27,11.42,11.71,11.04,11.13,40000
23,2019-08-26,12.0,12.19,11.5,11.72,63400
24,2019-08-23,11.45,11.94,11.45,11.9,115500
25,2019-08-22,11.62,11.98,11.29,11.59,51600
26,2019-08-21,11.49,12.21,11.35,11.6,128400
27,2019-08-20,10.71,11.6,10.65,11.28,79000
28,2019-08-19,10.62,10.82,10.35,10.77,64500
29,2019-08-16,9.65,10.48,9.56,10.42,89800
30,2019-08-15,9.77,9.86,9.24,9.5,63500
31,2019-08-14,10.2604,10.26,9.625,9.73,104300
32,2019-08-13,10.43,11.1,10.3,10.5,111500
33,2019-08-12,10.46,10.61,10.18,10.5,84500
34,2019-08-09,10.9498,11.04,10.31,10.6,104300
35,2019-08-08,10.66,11.25,10.5,10.97,177500
36,2019-08-07,9.25,10.53,9.175,9.92,163200
37,2019-08-06,8.89,9.4,8.63,9.09,120000
38,2019-08-05,9.04,9.04,8.48,8.74,117500
39,2019-08-02,9.16,9.27,8.89,9.22,71600
40,2019-08-01,9.45,9.6,9.11,9.18,132800
41,2019-07-31,9.7,9.99,9.51,9.52,65600
42,2019-07-30,9.77,9.98,9.57,9.67,63700
43,2019-07-29,9.93,10.15,9.43,9.92,80400
44,2019-07-26,9.89,10.25,9.4,9.96,89500
45,2019-07-25,10.23,10.24,9.84,9.92,104000
46,2019-07-24,10.32,10.46,10.0,10.26,64900
47,2019-07-23,10.2098,10.43,9.91,10.37,94600
48,2019-07-22,10.36,10.49,9.65,10.15,94900
49,2019-07-19,10.55,10.7,10.21,10.25,129400
50,2019-07-18,10.16,10.74,10.14,10.62,141200
51,2019-07-17,11.68,11.68,9.44,10.24,668400
52,2019-07-16,11.81,12.13,11.67,11.91,139700
53,2019-07-15,11.92,12.0,11.65,11.8,131300
54,2019-07-12,12.0993,12.2,11.79,12.0,96000
55,2019-07-11,12.3,12.5293,11.87,12.05,101000
56,2019-07-10,12.4,12.55,12.19,12.31,139200
57,2019-07-09,12.75,12.78,12.2,12.3,217900
58,2019-07-08,13.4,13.52,12.72,12.76,90700
59,2019-07-05,13.24,13.81,13.0497,13.53,211800
60,2019-07-03,13.21,13.4,12.95,13.38,108300
61,2019-07-02,13.93,13.93,12.81,13.1,165000
62,2019-07-01,12.94,14.27,12.94,13.93,248900
63,2019-06-28,13.03,13.1502,12.765,12.99,1189700
64,2019-06-27,12.24,13.0394,12.21,12.95,147900
65,2019-06-26,12.9,13.02,12.14,12.2,207900
66,2019-06-25,13.08,13.118,12.6804,12.85,288100
67,2019-06-24,13.49,13.6,12.57,12.88,189700
68,2019-06-21,13.23,13.23,12.415,12.88,207600
69,2019-06-20,13.21,13.5,12.71,13.23,188000
70,2019-06-19,12.8,13.1,12.75,13.05,128700
71,2019-06-18,12.95,13.305,12.67,12.71,113500
72,2019-06-17,12.87,13.6,12.4796,12.67,249200
73,2019-06-14,12.68,13.23,12.65,12.87,277700
74,2019-06-13,13.5,13.6,12.7,12.7,1103500
75,2019-06-12,13.91,15.6105,13.82,15.17,123200
76,2019-06-11,14.53,14.63,13.68,14.04,80500
77,2019-06-10,14.63,14.87,13.97,14.5,77100
78,2019-06-07,14.68,14.94,14.28,14.57,64200
79,2019-06-06,14.73,14.96,14.465,14.57,68700
80,2019-06-05,13.51,14.91,13.51,14.75,79400
81,2019-06-04,14.14,14.4097,13.59,13.64,84000
82,2019-06-03,14.47,14.79,13.7,13.92,93200
83,2019-05-31,14.6,14.68,14.11,14.58,61600
84,2019-05-30,15.0,15.07,14.02,14.64,85100
85,2019-05-29,15.52,15.5201,14.58,14.81,141100
86,2019-05-28,16.0004,16.63,15.26,15.61,51500
87,2019-05-24,16.82,17.04,16.02,16.3,46700
88,2019-05-23,17.57,17.57,16.5,16.65,55500
89,2019-05-22,18.75,19.02,17.5,17.55,97500
90,2019-05-21,19.09,19.45,18.56,18.82,76000
