,timestamp,open,high,low,close,volume
0,2019-09-27,20.8,20.82,20.68,20.73,4810
1,2019-09-26,20.74,20.88,20.54,20.75,57746
2,2019-09-25,20.63,20.8,20.44,20.74,129800
3,2019-09-24,20.79,20.87,20.5,20.57,129600
4,2019-09-23,20.8,20.82,20.66,20.69,49900
5,2019-09-20,20.77,20.8,20.65,20.77,100500
6,2019-09-19,20.67,20.9,20.59,20.71,101400
7,2019-09-18,20.68,20.85,20.6,20.69,136600
8,2019-09-17,21.0,21.11,20.87,21.07,110400
9,2019-09-16,20.94,21.16,20.86,20.97,96000
10,2019-09-13,20.8,20.94,20.79,20.91,68200
11,2019-09-12,20.91,20.95,20.8,20.87,70700
12,2019-09-11,20.77,20.93,20.7,20.82,64900
13,2019-09-10,20.63,20.81,20.62,20.69,58200
14,2019-09-09,20.54,20.71,20.47,20.64,35700
15,2019-09-06,20.53,20.65,20.4,20.51,65900
16,2019-09-05,20.5,20.67,20.45,20.55,70400
17,2019-09-04,20.46,20.56,20.43,20.45,62800
18,2019-09-03,20.41,20.46,20.36,20.42,44000
19,2019-08-30,20.52,20.52,20.37,20.46,50400
20,2019-08-29,20.44,20.46,20.33,20.45,44800
21,2019-08-28,20.29,20.42,20.27,20.38,60000
22,2019-08-27,20.51,20.55,20.25,20.34,76300
23,2019-08-26,20.46,20.58,20.35,20.44,61300
24,2019-08-23,20.58,20.64,20.32,20.37,41900
25,2019-08-22,20.66,20.66,20.5,20.54,41800
26,2019-08-21,20.7,20.7,20.48,20.62,74100
27,2019-08-20,20.65,20.68,20.56,20.59,46800
28,2019-08-19,20.5,20.67,20.47,20.62,54100
29,2019-08-16,20.41,20.48,20.35,20.44,61600
30,2019-08-15,20.27,20.33,20.1996,20.27,128300
31,2019-08-14,20.22,20.28,20.0879,20.17,48700
32,2019-08-13,20.35,20.4283,20.26,20.36,100800
33,2019-08-12,20.22,20.37,20.03,20.35,65700
34,2019-08-09,20.44,20.49,20.23,20.28,52300
35,2019-08-08,20.24,20.4992,20.09,20.47,104800
36,2019-08-07,20.03,20.28,19.98,20.27,72900
37,2019-08-06,20.35,20.72,20.05,20.15,199400
38,2019-08-05,20.6,20.7,20.25,20.32,118500
39,2019-08-02,20.75,20.75,20.61,20.7,69900
40,2019-08-01,20.75,20.93,20.73,20.77,79100
41,2019-07-31,20.85,20.88,20.66,20.76,197100
42,2019-07-30,20.78,20.87,20.75,20.87,51900
43,2019-07-29,20.85,20.88,20.75,20.77,58400
44,2019-07-26,20.86,20.88,20.82,20.88,64600
45,2019-07-25,20.75,20.88,20.67,20.84,81100
46,2019-07-24,20.5,20.8,20.49,20.76,92700
47,2019-07-23,20.37,20.569,20.32,20.51,76100
48,2019-07-22,20.37,20.42,20.3,20.31,33100
49,2019-07-19,20.5,20.53,20.37,20.37,71600
50,2019-07-18,20.46,20.48,20.34,20.44,67900
51,2019-07-17,20.55,20.6,20.41,20.45,43600
52,2019-07-16,20.44,20.6,20.43,20.55,59200
53,2019-07-15,20.5,20.6,20.42,20.44,94300
54,2019-07-12,20.56,20.69,20.46,20.63,75900
55,2019-07-11,20.49,20.61,20.42,20.51,91700
56,2019-07-10,20.47,20.56,20.38,20.48,100800
57,2019-07-09,20.51,20.51,20.42,20.45,46300
58,2019-07-08,20.62,20.62,20.45,20.52,86400
59,2019-07-05,20.6,20.66,20.53,20.63,69400
60,2019-07-03,20.5108,20.63,20.5,20.53,137500
61,2019-07-02,20.39,20.55,20.39,20.47,75600
62,2019-07-01,20.48,20.6,20.274,20.38,149900
63,2019-06-28,20.29,20.6,20.125,20.53,95700
64,2019-06-27,20.2409,20.24,20.09,20.23,127300
65,2019-06-26,20.18,20.3993,20.15,20.21,99700
66,2019-06-25,20.37,20.4,20.16,20.18,51700
67,2019-06-24,20.51,20.54,20.31,20.34,60100
68,2019-06-21,20.42,20.56,20.31,20.44,95600
69,2019-06-20,20.68,20.71,20.22,20.41,138700
