,timestamp,open,high,low,close,volume
0,2019-09-27,6.06,6.1,6.06,6.1,2455
1,2019-09-26,5.99,6.1,5.99,6.06,7137
2,2019-09-25,6.3,6.3,5.85,6.0,8500
3,2019-09-24,6.327,6.327,6.25,6.25,2600
4,2019-09-23,6.21,6.31,6.21,6.29,3200
5,2019-09-20,6.17,6.32,6.12,6.25,12600
6,2019-09-19,6.33,6.335,6.11,6.14,15000
7,2019-09-18,6.4,6.48,6.31,6.33,12200
8,2019-09-17,6.37,6.44,6.325,6.43,2100
9,2019-09-16,6.32,6.37,6.22,6.37,7100
10,2019-09-13,6.352,6.37,6.29,6.37,5000
11,2019-09-12,6.34,6.37,6.3,6.37,13500
12,2019-09-11,6.33,6.35,6.3,6.32,7000
13,2019-09-10,6.31,6.37,6.21,6.32,12100
14,2019-09-09,6.43,6.43,6.22,6.37,22300
15,2019-09-06,6.37,6.44,6.23,6.38,8000
16,2019-09-05,6.07,6.43,6.069,6.43,4000
17,2019-09-04,6.44,6.44,6.19,6.31,21600
18,2019-09-03,6.35,6.44,6.2,6.44,15200
19,2019-08-30,6.33,6.43,6.33,6.42,9700
20,2019-08-29,6.399,6.436,6.27,6.42,3700
21,2019-08-28,6.09,6.43,6.09,6.43,8600
22,2019-08-27,6.07,6.37,6.07,6.26,11700
23,2019-08-26,5.92,6.29,5.61,6.29,28200
24,2019-08-23,6.46,6.46,6.11,6.13,36900
25,2019-08-22,6.43,6.5,6.41,6.5,7400
26,2019-08-21,6.52,6.54,6.37,6.5,45000
27,2019-08-20,6.48,6.55,6.32,6.55,40100
28,2019-08-19,6.36,6.58,6.346,6.5,17800
29,2019-08-16,6.28,6.465,6.28,6.36,15000
30,2019-08-15,6.01,6.2795,6.01,6.28,31400
31,2019-08-14,6.03,6.05,5.98,6.025,16800
32,2019-08-13,5.932,6.09,5.89,6.01,18400
33,2019-08-12,5.71,6.0,5.71,5.92,42000
34,2019-08-09,5.93,6.109,5.65,5.87,76100
