,timestamp,open,high,low,close,volume
0,2019-09-12,0.83,0.83,0.8285,0.83,72865
1,2019-09-11,0.7835,0.83,0.7835,0.83,120492
2,2019-09-10,0.75,0.82,0.75,0.81,151300
3,2019-09-09,0.79,0.79,0.75,0.79,89300
4,2019-09-06,0.78,0.8,0.77,0.79,104300
5,2019-09-05,0.77,0.83,0.77,0.78,512100
6,2019-09-04,0.78,0.78,0.75,0.78,16500
7,2019-09-03,0.78,0.78,0.75,0.78,33700
8,2019-08-30,0.76,0.78,0.76,0.77,51900
9,2019-08-29,0.75,0.78,0.75,0.76,55700
10,2019-08-28,0.77,0.77,0.74,0.76,24800
11,2019-08-27,0.78,0.78,0.74,0.75,28700
12,2019-08-26,0.72,0.78,0.72,0.77,128400
13,2019-08-23,0.68,0.75,0.68,0.72,190300
14,2019-08-22,0.74,0.78,0.7,0.78,311800
15,2019-08-21,0.68,0.7,0.66,0.69,44700
16,2019-08-20,0.68,0.7,0.66,0.68,23900
17,2019-08-19,0.71,0.71,0.64,0.7,80600
18,2019-08-16,0.67,0.71,0.67,0.7,29400
19,2019-08-15,0.67,0.7,0.67,0.67,43100
20,2019-08-14,0.66,0.7,0.66,0.66,42700
21,2019-08-13,0.68,0.7,0.66,0.69,36500
22,2019-08-12,0.69,0.71,0.66,0.68,20200
23,2019-08-09,0.72,0.72,0.66,0.66,14300
24,2019-08-08,0.71,0.71,0.63,0.69,56300
25,2019-08-07,0.63,0.73,0.63,0.73,62100
26,2019-08-06,0.65,0.69,0.65,0.68,22600
27,2019-08-05,0.66,0.69,0.64,0.65,59300
28,2019-08-02,0.72,0.72,0.55,0.7,180000
29,2019-08-01,0.66,0.75,0.66,0.69,73200
30,2019-07-31,0.73,0.76,0.73,0.73,27300
31,2019-07-30,0.75,0.75,0.73,0.74,20700
32,2019-07-29,0.75,0.77,0.71,0.73,39700
33,2019-07-26,0.74,0.77,0.73,0.74,179500
34,2019-07-25,0.73,0.74,0.72,0.72,19600
35,2019-07-24,0.74,0.75,0.7,0.73,103900
36,2019-07-23,0.75,0.75,0.73,0.73,101900
37,2019-07-22,0.74,0.74,0.73,0.73,28300
38,2019-07-19,0.75,0.75,0.73,0.74,39500
39,2019-07-18,0.72,0.74,0.72,0.73,52700
40,2019-07-17,0.73,0.76,0.73,0.73,60700
41,2019-07-16,0.71,0.75,0.71,0.73,47700
42,2019-07-15,0.71,0.74,0.71,0.72,79600
43,2019-07-12,0.72,0.75,0.72,0.72,141500
44,2019-07-11,0.77,0.77,0.73,0.73,118900
45,2019-07-10,0.7599,0.78,0.73,0.74,50700
46,2019-07-09,0.74,0.78,0.74,0.76,45900
47,2019-07-08,0.76,0.77,0.72,0.73,97800
48,2019-07-05,0.76,0.78,0.76,0.76,19000
49,2019-07-03,0.775,0.78,0.75,0.76,33600
50,2019-07-02,0.781,0.79,0.775,0.775,23400
51,2019-07-01,0.78,0.79,0.776,0.784,38000
52,2019-06-28,0.76,0.78,0.75,0.77,63600
53,2019-06-27,0.768,0.78,0.752,0.766,40900
54,2019-06-26,0.79,0.79,0.751,0.788,19600
55,2019-06-25,0.76,0.79,0.751,0.76,54700
56,2019-06-24,0.78,0.8,0.751,0.767,49100
