,timestamp,open,high,low,close,volume
0,2019-09-27,29.14,29.68,28.98,29.265,178895
1,2019-09-26,30.14,30.49,29.0301,29.11,2081472
2,2019-09-25,29.37,30.45,29.31,30.32,2133500
3,2019-09-24,30.48,30.55,29.33,29.54,1986100
4,2019-09-23,29.71,30.7,29.51,30.48,1873200
5,2019-09-20,30.72,30.98,29.54,30.35,3649200
6,2019-09-19,30.0,31.1,29.64,30.67,2877200
7,2019-09-18,30.58,31.33,30.04,30.52,2594900
8,2019-09-17,31.29,31.29,30.68,30.96,2217400
9,2019-09-16,31.27,32.07,31.05,31.79,2390100
10,2019-09-13,32.36,32.47,31.55,31.62,2654700
11,2019-09-12,31.73,32.2,30.73,31.91,2655800
12,2019-09-11,30.7,31.94,30.0,31.82,3432700
13,2019-09-10,29.17,30.82,28.9,30.78,3720300
14,2019-09-09,27.6,29.13,27.49,28.97,3113400
15,2019-09-06,27.82,27.91,27.2,27.39,1871600
16,2019-09-05,27.43,28.19,27.34,28.05,2060100
17,2019-09-04,27.09,27.25,26.72,27.07,1927400
18,2019-09-03,26.65,26.92,26.29,26.66,2039200
19,2019-08-30,27.28,27.52,26.79,27.0,1909900
20,2019-08-29,26.98,27.57,26.91,26.93,1949800
21,2019-08-28,25.93,27.09,25.69,26.55,1653600
22,2019-08-27,26.74,26.74,25.76,25.9,2013200
23,2019-08-26,26.35,26.9,26.29,26.62,1716400
24,2019-08-23,27.26,27.44,26.35,26.54,1942000
25,2019-08-22,27.89,28.47,27.4,27.46,1445700
26,2019-08-21,28.28,28.28,27.79,27.81,1537900
27,2019-08-20,28.11,28.33,27.75,27.89,1737200
28,2019-08-19,27.8,28.35,27.8,28.27,1510900
29,2019-08-16,26.61,27.57,26.5493,27.3,2218000
30,2019-08-15,26.76,26.8,26.23,26.52,1943600
31,2019-08-14,27.18,27.36,26.635,26.66,2451200
32,2019-08-13,27.4,28.66,27.3181,27.88,2583700
33,2019-08-12,27.93,28.04,27.34,27.38,1681700
34,2019-08-09,29.03,29.14,27.94,28.19,1819800
35,2019-08-08,29.04,29.46,28.78,29.31,2357700
36,2019-08-07,28.51,29.015,28.11,28.93,1937600
37,2019-08-06,28.99,29.17,28.35,29.1,2101900
38,2019-08-05,28.96,29.04,28.43,28.87,2993500
39,2019-08-02,30.088,30.36,29.22,29.65,2116600
40,2019-08-01,31.34,31.6794,30.11,30.31,2979800
41,2019-07-31,32.7992,32.97,31.41,31.51,2685700
42,2019-07-30,32.2931,32.87,31.96,32.86,1985300
43,2019-07-29,32.56,32.86,32.18,32.61,2681700
44,2019-07-26,32.25,32.65,32.09,32.6,2366300
45,2019-07-25,32.09,32.28,31.849,32.23,2033400
46,2019-07-24,31.34,32.21,31.34,32.0,2650700
47,2019-07-23,31.5,32.43,31.41,32.1,4482000
48,2019-07-22,31.81,32.05,31.0201,31.54,2975200
49,2019-07-19,31.02,31.81,30.75,31.47,2336000
50,2019-07-18,30.64,30.86,30.5,30.71,2307600
51,2019-07-17,31.01,31.09,30.47,30.68,2256400
52,2019-07-16,30.56,31.86,30.45,31.15,3704300
53,2019-07-15,30.25,30.51,29.91,30.45,2358600
54,2019-07-12,29.49,30.21,29.38,30.11,1826800
55,2019-07-11,29.18,29.52,29.09,29.33,1521800
56,2019-07-10,30.17,30.39,29.12,29.17,2570100
57,2019-07-09,29.45,29.85,28.86,29.83,2732500
58,2019-07-08,30.29,30.87,29.41,29.65,2813700
59,2019-07-05,29.76,30.65,29.6976,30.6,2059000
60,2019-07-03,30.15,30.49,29.85,30.13,1470400
61,2019-07-02,30.4891,30.57,30.1,30.15,2224500
62,2019-07-01,30.99,30.99,30.34,30.68,2407000
63,2019-06-28,30.5,30.755,30.06,30.2,4600800
64,2019-06-27,30.5202,30.84,30.01,30.36,2210100
65,2019-06-26,30.04,30.66,29.26,30.53,3723100
66,2019-06-25,29.29,30.4,29.18,29.87,3250900
67,2019-06-24,29.09,29.2,28.58,29.15,2503200
68,2019-06-21,29.06,29.4823,28.85,29.16,6496000
69,2019-06-20,30.1003,30.56,28.98,29.08,3994000
70,2019-06-19,29.31,30.17,29.07,29.71,8080700
71,2019-06-18,26.87,28.91,26.73,28.6,5634500
72,2019-06-17,26.22,26.725,25.85,26.23,2998400
73,2019-06-14,26.43,26.7244,26.12,26.43,1858800
74,2019-06-13,26.16,26.9088,26.03,26.67,2593700
75,2019-06-12,26.44,26.5,25.98,26.03,2344800
76,2019-06-11,26.77,26.88,26.39,26.63,3108100
77,2019-06-10,26.24,26.53,26.02,26.06,3910100
78,2019-06-07,26.03,26.15,25.58,25.93,2912100
79,2019-06-06,26.14,26.37,25.74,26.0,3195700
80,2019-06-05,26.59,26.66,26.07,26.2,3620600
81,2019-06-04,26.64,26.9148,26.27,26.5,3800500
82,2019-06-03,25.1196,26.26,25.08,26.21,4124600
83,2019-05-31,25.4,25.7,25.025,25.15,4074100
84,2019-05-30,26.28,26.58,25.49,25.57,2581400
85,2019-05-29,26.96,26.98,26.42,26.72,2714700
86,2019-05-28,27.26,27.39,26.7,27.21,3427100
87,2019-05-24,27.49,27.54,26.855,27.15,3112100
88,2019-05-23,27.85,28.3,27.01,27.2,4052400
89,2019-05-22,30.25,30.26,29.01,29.05,3686400
90,2019-05-21,29.7085,30.72,29.71,30.33,1698000
91,2019-05-20,29.76,29.96,29.4,29.64,2069500
92,2019-05-17,30.64,30.6633,29.84,30.02,1742200
93,2019-05-16,31.1,31.48,30.85,30.92,1511700
94,2019-05-15,30.61,31.14,30.51,31.08,1514300
95,2019-05-14,31.08,31.515,30.81,31.28,1914700
96,2019-05-13,31.66,31.82,30.63,30.92,1600100
97,2019-05-10,32.23,32.69,31.93,32.41,1473200
98,2019-05-09,32.21,32.72,30.66,32.42,1788100
99,2019-05-08,32.34,33.22,32.11,32.62,2307700
100,2019-05-07,32.12,32.34,31.58,32.19,2099800
101,2019-05-06,32.29,32.81,32.0506,32.59,1989600
102,2019-05-03,32.16,33.33,31.94,33.1,2331600
103,2019-05-02,31.22,31.94,31.15,31.73,1584900
104,2019-05-01,31.72,31.855,31.22,31.49,2501600
105,2019-04-30,31.97,32.09,31.53,31.68,1870700
106,2019-04-29,31.53,32.085,31.36,31.98,1866100
107,2019-04-26,31.59,31.83,31.33,31.58,2086500
108,2019-04-25,32.52,32.57,31.46,31.59,2576800
109,2019-04-24,32.9,32.96,31.98,32.48,3041000
110,2019-04-23,32.17,33.13,32.17,32.82,3593500
111,2019-04-22,33.69,33.95,32.197,32.28,3862300
