,timestamp,open,high,low,close,volume
0,2019-09-12,3.37,3.92,3.14,3.63,1322543
1,2019-09-11,3.18,3.53,3.0,3.39,1072143
2,2019-09-10,2.91,3.35,2.81,3.17,980400
3,2019-09-09,2.78,3.14,2.59,2.9,837800
4,2019-09-06,2.93,3.26,2.83,3.15,275100
5,2019-09-05,2.78,2.95,2.67,2.89,349100
6,2019-09-04,2.41,2.75,2.39,2.74,675200
7,2019-09-03,2.73,2.75,2.54,2.6,265200
8,2019-08-30,2.8,2.94,2.72,2.75,252500
9,2019-08-29,2.69,2.79,2.65,2.79,235400
10,2019-08-28,2.57,2.73,2.54,2.65,200000
11,2019-08-27,2.55,2.6,2.45,2.59,192000
12,2019-08-26,2.48,2.67,2.42,2.54,279700
13,2019-08-23,2.39,2.45,2.29,2.41,314000
14,2019-08-22,2.4,2.54,2.37,2.48,191700
15,2019-08-21,2.39,2.43,2.32,2.39,203100
16,2019-08-20,2.3,2.43,2.28,2.41,199200
17,2019-08-19,2.35,2.49,2.26,2.37,255700
18,2019-08-16,2.39,2.59,2.31,2.32,472700
19,2019-08-15,2.58,2.59,2.33,2.44,358200
20,2019-08-14,2.7,2.7,2.53,2.58,271900
21,2019-08-13,2.95,2.96,2.6502,2.73,285900
22,2019-08-12,2.79,3.06,2.6301,2.93,445500
23,2019-08-09,2.88,2.94,2.61,2.75,307400
24,2019-08-08,2.48,2.97,2.44,2.9,640800
25,2019-08-07,2.49,2.52,2.35,2.4,308200
26,2019-08-06,2.64,2.67,2.41,2.47,292800
27,2019-08-05,2.53,2.62,2.39,2.61,379500
28,2019-08-02,2.53,2.56,2.5,2.54,229800
29,2019-08-01,2.55,2.6,2.48,2.52,226200
30,2019-07-31,2.6,2.63,2.52,2.56,149600
31,2019-07-30,2.55,2.63,2.42,2.59,396300
32,2019-07-29,2.72,2.75,2.55,2.58,171700
33,2019-07-26,2.73,2.78,2.64,2.73,198000
34,2019-07-25,2.83,2.84,2.71,2.73,332700
35,2019-07-24,2.76,2.86,2.76,2.83,165500
36,2019-07-23,2.7001,2.82,2.69,2.76,219700
37,2019-07-22,2.7,2.77,2.63,2.68,296000
38,2019-07-19,2.51,2.77,2.51,2.64,441400
39,2019-07-18,2.57,2.69,2.51,2.52,282200
40,2019-07-17,2.88,2.88,2.56,2.57,552300
41,2019-07-16,2.84,2.96,2.77,2.88,347000
42,2019-07-15,2.99,3.0,2.77,2.85,343700
43,2019-07-12,2.98,3.15,2.9,2.93,401800
44,2019-07-11,3.29,3.33,2.87,2.94,678800
45,2019-07-10,3.4,3.4,3.25,3.31,284000
46,2019-07-09,3.43,3.44,3.31,3.36,194600
47,2019-07-08,3.56,3.65,3.4,3.44,320600
48,2019-07-05,3.5,3.69,3.48,3.59,341200
49,2019-07-03,3.46,3.58,3.37,3.56,196500
50,2019-07-02,3.53,3.61,3.46,3.58,594200
51,2019-07-01,3.57,3.62,3.4,3.49,651000
52,2019-06-28,3.38,3.6499,3.38,3.46,3265800
53,2019-06-27,3.28,3.44,3.2648,3.38,690900
54,2019-06-26,3.34,3.44,3.22,3.22,406400
55,2019-06-25,3.39,3.47,3.3,3.3,590600
56,2019-06-24,3.45,3.58,3.3298,3.41,655700
57,2019-06-21,3.43,3.47,3.35,3.43,695300
58,2019-06-20,3.57,3.71,3.43,3.45,525500
59,2019-06-19,3.55,3.63,3.5,3.5,421600
60,2019-06-18,3.58,3.775,3.49,3.53,343000
61,2019-06-17,3.5701,3.6,3.47,3.52,377900
62,2019-06-14,3.67,3.75,3.48,3.54,380100
63,2019-06-13,3.99,3.99,3.64,3.67,448800
64,2019-06-12,3.96,3.99,3.78,3.97,449200
65,2019-06-11,4.11,4.262,3.97,3.98,575300
66,2019-06-10,3.76,4.097,3.75,4.06,574900
67,2019-06-07,3.35,3.83,3.32,3.71,562100
68,2019-06-06,3.55,3.59,3.25,3.33,404500
69,2019-06-05,3.72,3.79,3.53,3.56,291000
70,2019-06-04,3.69,3.89,3.62,3.68,587700
71,2019-06-03,3.68,3.795,3.62,3.67,390600
72,2019-05-31,3.6998,3.7,3.48,3.69,437400
73,2019-05-30,3.8,3.9,3.72,3.75,326800
74,2019-05-29,3.82,3.92,3.721,3.81,362300
75,2019-05-28,4.21,4.25,3.85,3.86,562000
76,2019-05-24,4.04,4.29,4.0,4.2,389800
77,2019-05-23,4.35,4.362,3.865,3.95,696700
78,2019-05-22,4.45,4.48,4.35,4.4,372200
79,2019-05-21,4.63,4.67,4.46,4.47,267100
80,2019-05-20,4.5398,4.64,4.46,4.62,270400
81,2019-05-17,4.78,4.83,4.58,4.61,294400
82,2019-05-16,5.08,5.081,4.775,4.85,226100
83,2019-05-15,4.64,5.08,4.64,5.05,274900
84,2019-05-14,4.5699,4.75,4.5,4.69,228500
85,2019-05-13,4.69,4.73,4.5,4.53,368700
86,2019-05-10,4.45,5.02,4.43,4.83,282500
87,2019-05-09,4.67,4.7,4.33,4.48,559000
88,2019-05-08,4.85,4.97,4.77,4.83,285700
89,2019-05-07,4.91,4.96,4.705,4.85,197000
90,2019-05-06,4.84,5.01,4.77,4.96,181300
91,2019-05-03,4.81,5.02,4.72,4.99,282000
92,2019-05-02,4.81,4.93,4.68,4.78,263000
93,2019-05-01,4.98,5.08,4.767,4.81,338800
94,2019-04-30,5.13,5.23,4.93,4.95,378600
95,2019-04-29,5.12,5.23,5.1,5.13,251600
96,2019-04-26,5.07,5.18,4.89,5.1,410000
97,2019-04-25,5.55,5.55,5.065,5.08,385300
98,2019-04-24,5.86,5.86,5.515,5.62,380700
99,2019-04-23,5.86,5.96,5.68,5.88,254200
100,2019-04-22,6.15,6.295,5.91,5.96,338900
101,2019-04-18,6.06,6.23,5.92,6.15,400600
102,2019-04-17,5.96,6.26,5.92,6.08,406000
103,2019-04-16,5.92,6.07,5.77,5.99,302700
104,2019-04-15,5.8,6.0,5.63,5.89,298100
105,2019-04-12,5.82,6.12,5.69,5.78,345500
106,2019-04-11,5.71,5.9,5.67,5.76,290400
107,2019-04-10,5.56,5.78,5.56,5.71,279100
108,2019-04-09,5.77,5.79,5.45,5.57,297000
109,2019-04-08,5.8,5.878,5.67,5.84,334000
110,2019-04-05,5.88,5.98,5.7599,5.83,235300
111,2019-04-04,5.66,5.9,5.397,5.9,424800
112,2019-04-03,5.66,6.0,5.66,5.77,525300
113,2019-04-02,5.45,5.74,5.44,5.7,559400
114,2019-04-01,4.75,5.55,4.71,5.51,985300
