,timestamp,open,high,low,close,volume
0,2019-09-16,8.53,9.29,8.16,9.05,273366
1,2019-09-13,8.39,8.7,8.45,8.31,3699
2,2019-09-12,8.56,8.73,8.37,8.38,462200
3,2019-09-11,8.7,8.74,8.45,8.57,421500
4,2019-09-10,8.67,8.9,8.49,8.67,788100
5,2019-09-09,8.32,8.8,8.32,8.7,606300
6,2019-09-06,8.01,8.31,7.89,8.29,779600
7,2019-09-05,7.8,8.04,7.69,8.01,450900
8,2019-09-04,7.43,7.72,7.41,7.5,433300
9,2019-09-03,7.3,7.4,7.23,7.34,286500
10,2019-08-30,7.4,7.47,7.14,7.3,269000
11,2019-08-29,7.22,7.5,7.2,7.35,679400
12,2019-08-28,6.81,7.28,6.69,7.2,1230700
13,2019-08-27,6.97,7.11,6.8,6.81,366600
14,2019-08-26,6.95,6.95,6.71,6.93,292100
15,2019-08-23,7.07,7.1,6.77,6.87,540200
16,2019-08-22,7.27,7.42,7.02,7.06,695200
17,2019-08-21,7.3,7.49,7.25,7.26,238700
18,2019-08-20,7.38,7.46,7.19,7.34,261400
19,2019-08-19,7.75,7.76,7.37,7.45,248400
20,2019-08-16,7.4,7.66,7.36,7.58,393900
21,2019-08-15,7.22,7.38,7.04,7.32,477000
22,2019-08-14,7.41,7.46,7.075,7.13,601600
23,2019-08-13,7.48,7.83,7.33,7.52,519100
24,2019-08-12,8.11,8.16,7.42,7.46,623100
25,2019-08-09,7.74,8.35,7.74,8.24,744900
26,2019-08-08,8.45,8.45,7.79,7.79,1186500
27,2019-08-07,8.6,8.75,8.47,8.7,252200
28,2019-08-06,8.67,8.73,8.5,8.67,350300
29,2019-08-05,8.78,8.89,8.52,8.67,406900
30,2019-08-02,9.39,9.44,8.73,8.92,618600
31,2019-08-01,9.4,9.68,9.32,9.41,402800
32,2019-07-31,9.5,9.52,9.32,9.32,378900
33,2019-07-30,9.44,9.63,9.37,9.5,400200
34,2019-07-29,9.35,9.68,9.2405,9.44,293300
35,2019-07-26,8.96,9.41,8.89,9.37,509000
36,2019-07-25,8.87,9.03,8.85,8.92,286200
37,2019-07-24,8.66,8.9,8.59,8.87,315500
38,2019-07-23,8.82,8.89,8.65,8.69,232800
39,2019-07-22,8.87,8.96,8.62,8.78,257400
40,2019-07-19,8.76,8.89,8.75,8.88,173500
41,2019-07-18,8.8,8.92,8.74,8.8,157300
42,2019-07-17,8.6,8.93,8.6,8.84,279600
43,2019-07-16,8.72,8.76,8.55,8.58,200900
44,2019-07-15,8.77,8.96,8.7,8.74,208600
45,2019-07-12,8.67,9.15,8.55,8.87,459700
46,2019-07-11,8.96,9.03,8.62,8.67,300800
47,2019-07-10,9.15,9.2,8.85,8.97,187600
48,2019-07-09,9.2396,9.28,9.01,9.11,170000
49,2019-07-08,9.63,9.69,9.21,9.28,257300
50,2019-07-05,9.42,9.755,9.39,9.68,198500
51,2019-07-03,9.39,9.47,9.29,9.45,124600
52,2019-07-02,9.3297,9.38,9.2,9.33,284900
53,2019-07-01,9.1098,9.37,9.11,9.35,312600
54,2019-06-28,8.84,9.15,8.73,9.03,1322000
55,2019-06-27,8.75,8.9,8.74,8.84,249200
56,2019-06-26,8.79,8.83,8.54,8.77,320200
57,2019-06-25,8.72,9.05,8.68,8.74,239100
58,2019-06-24,8.64,8.89,8.6259,8.72,470400
59,2019-06-21,8.38,8.7997,8.38,8.64,364600
60,2019-06-20,8.46,8.84,8.37,8.43,588300
61,2019-06-19,8.5005,8.72,8.44,8.45,308600
62,2019-06-18,8.52,8.525,8.35,8.47,196700
63,2019-06-17,8.47,8.59,8.4,8.44,160500
64,2019-06-14,8.68,8.854,8.5,8.51,154400
65,2019-06-13,8.4,8.76,8.365,8.69,340600
66,2019-06-12,8.39,8.42,8.3,8.32,134400
67,2019-06-11,8.5203,8.61,8.36,8.41,280100
68,2019-06-10,8.51,8.67,8.46,8.49,149400
69,2019-06-07,8.54,8.54,8.395,8.47,186500
70,2019-06-06,8.79,8.7901,8.44,8.52,193100
71,2019-06-05,8.77,8.97,8.68,8.77,271300
