,timestamp,open,high,low,close,volume
0,2019-09-27,0.0,0.0,0.0,2.4657,0
1,2019-09-26,2.48,2.48,2.48,2.48,679
2,2019-09-25,2.61,2.77,2.5,2.5,9000
3,2019-09-24,2.67,2.74,2.67,2.74,2300
4,2019-09-23,2.75,2.75,2.65,2.69,1600
5,2019-09-20,2.75,2.79,2.68,2.7,5500
6,2019-09-19,2.7,2.72,2.7,2.72,500
7,2019-09-18,2.8,2.81,2.76,2.77,3500
8,2019-09-17,2.89,2.89,2.7,2.73,2600
9,2019-09-16,2.62,2.97,2.61,2.74,31700
10,2019-09-13,2.6,2.78,2.6,2.66,6100
11,2019-09-12,2.72,2.72,2.61,2.61,3500
12,2019-09-11,2.48,2.78,2.48,2.78,15400
13,2019-09-10,2.55,2.6,2.5,2.5,2100
14,2019-09-09,2.51,2.59,2.42,2.59,3400
15,2019-09-06,2.58,2.59,2.55,2.55,4500
16,2019-09-05,2.6,2.6,2.55,2.55,2200
17,2019-09-04,2.62,2.64,2.59,2.59,6400
18,2019-09-03,2.47,2.63,2.47,2.57,6700
19,2019-08-30,2.35,2.47,2.33,2.42,15000
20,2019-08-29,2.48,2.48,2.31,2.4,20200
21,2019-08-28,2.55,2.61,2.31,2.43,14800
22,2019-08-27,2.6,2.73,2.44,2.62,12300
23,2019-08-26,2.61,2.76,2.61,2.63,8000
24,2019-08-23,2.85,2.85,2.56,2.67,5900
25,2019-08-22,2.78,2.89,2.7,2.85,13800
26,2019-08-21,2.63,2.8,2.63,2.79,6900
27,2019-08-20,2.58,2.74,2.44,2.72,13700
28,2019-08-19,2.5,2.65,2.43,2.63,14200
29,2019-08-16,2.49,2.62,2.4,2.51,10800
30,2019-08-15,2.39,2.48,2.39,2.48,4600
31,2019-08-14,2.52,2.61,2.4,2.45,10300
32,2019-08-13,2.54,2.63,2.51,2.6,10800
33,2019-08-12,2.54,2.54,2.4,2.53,17400
34,2019-08-09,2.61,2.622,2.468,2.59,8600
35,2019-08-08,2.68,2.82,2.61,2.61,21900
36,2019-08-07,2.504,2.757,2.504,2.7,15500
37,2019-08-06,2.49,2.58,2.4,2.5,15900
