,timestamp,open,high,low,close,volume
0,2019-09-12,24.49,24.509,24.395,24.46,12324
1,2019-09-11,24.37,24.47,24.31,24.42,14700
2,2019-09-10,24.66,24.66,24.36,24.37,33700
3,2019-09-09,24.71,24.82,24.57,24.57,20600
4,2019-09-06,24.6,24.73,24.59,24.71,25300
5,2019-09-05,24.52,24.69,24.5,24.55,15800
6,2019-09-04,24.5,24.61,24.5,24.59,23100
7,2019-09-03,24.42,24.55,24.3,24.5,23000
8,2019-08-30,24.63,24.77,24.21,24.27,140200
9,2019-08-29,24.94,25.1,24.55,24.66,28000
10,2019-08-28,25.25,25.28,25.2,25.28,13400
11,2019-08-27,25.45,25.45,25.16,25.21,9300
12,2019-08-26,25.26,25.4,25.23,25.26,8100
13,2019-08-23,25.2,25.22,25.18,25.21,4300
14,2019-08-22,25.28,25.33,25.11,25.11,7500
15,2019-08-21,25.43,25.52,25.27,25.34,17500
16,2019-08-20,25.28,25.48,25.2,25.45,5300
17,2019-08-19,25.39,25.41,25.04,25.29,6600
18,2019-08-16,25.55,25.58,25.33,25.4,11800
19,2019-08-15,25.5,25.58,25.41,25.58,8100
20,2019-08-14,25.45,25.5,25.2497,25.46,5800
21,2019-08-13,25.1277,25.49,25.13,25.44,9100
22,2019-08-12,25.34,25.42,25.09,25.3,12800
23,2019-08-09,25.3,25.48,25.3,25.3,9600
24,2019-08-08,25.3497,25.6,25.26,25.35,14500
25,2019-08-07,25.41,25.41,25.16,25.32,22200
26,2019-08-06,25.4704,25.6,25.44,25.5,19800
27,2019-08-05,25.39,25.67,25.19,25.47,32300
28,2019-08-02,25.62,25.62,25.3,25.6,11500
29,2019-08-01,25.63,25.86,25.58,25.62,20200
30,2019-07-31,25.25,25.87,25.18,25.69,65200
31,2019-07-30,25.3905,25.39,25.01,25.25,52300
32,2019-07-29,25.13,25.39,25.1,25.38,14300
33,2019-07-26,24.91,25.25,24.91,25.13,23800
34,2019-07-25,24.92,25.09,24.9,24.94,19100
35,2019-07-24,24.8193,24.96,24.82,24.92,6500
36,2019-07-23,24.98,24.98,24.92,24.93,4200
37,2019-07-22,24.9479,24.99,24.93,24.97,6900
38,2019-07-19,24.84,24.98,24.84,24.98,21200
39,2019-07-18,24.79,24.9,24.78,24.9,22400
40,2019-07-17,24.75,24.8397,24.74,24.8,7800
41,2019-07-16,24.62,24.82,24.62,24.82,25300
42,2019-07-15,24.3,24.72,24.28,24.72,13200
43,2019-07-12,24.19,24.29,24.17,24.26,8400
44,2019-07-11,23.95,24.25,23.91,24.19,25200
45,2019-07-10,23.86,24.09,23.83,23.83,24900
46,2019-07-09,23.8,23.86,23.8,23.81,10800
47,2019-07-08,23.75,23.86,23.75,23.78,10000
48,2019-07-05,23.69,23.81,23.62,23.69,6400
49,2019-07-03,23.83,23.88,23.83,23.88,1000
50,2019-07-02,23.68,23.83,23.68,23.83,22900
51,2019-07-01,23.6,23.72,23.5905,23.61,10300
52,2019-06-28,23.86,23.86,23.4493,23.45,71800
53,2019-06-27,23.95,24.0,23.8,23.8,32300
