,timestamp,open,high,low,close,volume
0,2019-09-27,17.88,18.04,17.7673,18.04,91676
1,2019-09-26,17.87,17.99,17.78,17.885,440263
2,2019-09-25,17.75,17.88,17.513,17.87,659000
3,2019-09-24,17.88,18.025,17.68,17.71,859500
4,2019-09-23,17.62,18.0,17.53,17.875,750600
5,2019-09-20,17.75,17.75,17.4,17.57,1994700
6,2019-09-19,17.35,17.77,17.35,17.73,915800
7,2019-09-18,17.22,17.53,17.19,17.35,1251500
8,2019-09-17,16.97,17.63,16.95,17.58,1023000
9,2019-09-16,16.77,16.93,16.687,16.9,559900
10,2019-09-13,17.0,17.055,16.67,16.78,680200
11,2019-09-12,16.92,17.11,16.78,16.99,1166100
12,2019-09-11,16.78,17.153,16.63,16.78,1764900
13,2019-09-10,16.67,16.94,16.63,16.73,1351000
14,2019-09-09,16.98,16.98,16.31,16.66,1172800
15,2019-09-06,16.97,17.0,16.76,16.85,605100
16,2019-09-05,17.05,17.1,16.85,16.93,626900
17,2019-09-04,17.02,17.09,16.97,17.05,504800
18,2019-09-03,17.01,17.06,16.89,16.94,534600
19,2019-08-30,17.02,17.09,16.86,16.96,405900
20,2019-08-29,17.05,17.165,17.035,17.11,692000
21,2019-08-28,17.0,17.085,16.94,17.0,567400
22,2019-08-27,16.93,17.13,16.89,16.96,627900
23,2019-08-26,16.74,16.93,16.725,16.91,401900
24,2019-08-23,16.93,17.1,16.64,16.69,669700
25,2019-08-22,16.6,17.04,16.6,16.96,763900
26,2019-08-21,16.74,16.825,16.65,16.75,925100
27,2019-08-20,16.8,16.805,16.59,16.67,830700
28,2019-08-19,16.93,17.06,16.71,16.73,919600
29,2019-08-16,16.73,16.98,16.71,16.92,600800
30,2019-08-15,16.88,16.94,16.68,16.79,676600
31,2019-08-14,16.99,17.1,16.827,16.93,799000
32,2019-08-13,17.06,17.09,16.31,16.97,918700
33,2019-08-12,16.22,16.8,16.14,16.75,1565800
34,2019-08-09,16.21,16.79,16.0,16.18,936500
35,2019-08-08,16.08,16.36,16.01,16.31,626000
36,2019-08-07,15.5794,16.13,15.47,16.0,702600
37,2019-08-06,15.34,15.59,15.29,15.52,584700
38,2019-08-05,15.74,15.8,15.17,15.33,706400
39,2019-08-02,15.56,15.905,15.56,15.73,654400
40,2019-08-01,15.41,15.75,15.41,15.54,604600
41,2019-07-31,15.58,15.78,15.38,15.41,746600
42,2019-07-30,15.34,15.585,15.3,15.49,627500
