,timestamp,open,high,low,close,volume
0,2019-09-27,7.94,8.0731,7.94,8.05,10832
1,2019-09-26,7.6918,7.93,7.65,7.9,40189
2,2019-09-25,7.68,7.68,7.55,7.67,34300
3,2019-09-24,7.73,7.75,7.68,7.68,39600
4,2019-09-23,7.84,7.9,7.6,7.73,117500
5,2019-09-20,7.89,7.94,7.78,7.84,39600
6,2019-09-19,7.57,7.92,7.56,7.84,108700
7,2019-09-18,7.5,7.89,7.37,7.58,182100
8,2019-09-17,7.32,7.62,7.32,7.56,87700
9,2019-09-16,7.4,7.5,7.32,7.37,58800
10,2019-09-13,7.4,7.5,7.35,7.41,45600
11,2019-09-12,7.24,7.55,7.16,7.41,45700
12,2019-09-11,7.24,7.28,7.2,7.28,31600
13,2019-09-10,7.24,7.24,7.13,7.24,33600
14,2019-09-09,7.24,7.24,7.07,7.24,19800
15,2019-09-06,7.19,7.24,7.02,7.19,15800
16,2019-09-05,7.13,7.2,6.94,7.19,26200
17,2019-09-04,7.2,7.23,6.99,7.1,43800
18,2019-09-03,7.19,7.23,7.14,7.2,44300
19,2019-08-30,7.04,7.2,7.04,7.17,32100
20,2019-08-29,6.95,7.2,6.92,7.08,36000
21,2019-08-28,7.04,7.11,6.85,6.99,44400
22,2019-08-27,7.12,7.12,6.85,6.97,66000
23,2019-08-26,7.16,7.19,7.04,7.04,25500
24,2019-08-23,7.21,7.24,7.11,7.18,29200
25,2019-08-22,7.24,7.34,7.2,7.24,19700
26,2019-08-21,7.18,7.3,7.18,7.22,9000
27,2019-08-20,7.31,7.31,7.18,7.21,37300
28,2019-08-19,7.24,7.37,7.09,7.26,47300
29,2019-08-16,7.44,7.44,7.21,7.24,47400
30,2019-08-15,7.49,7.5603,7.27,7.33,67200
31,2019-08-14,7.36,7.4549,7.33,7.45,24600
32,2019-08-13,7.43,7.5,7.2599,7.36,44300
33,2019-08-12,7.3101,7.51,7.31,7.49,49500
34,2019-08-09,7.49,7.82,7.19,7.39,390500
35,2019-08-08,6.84,7.06,6.81,6.99,17700
36,2019-08-07,6.85,7.005,6.81,7.0,26000
37,2019-08-06,7.07,7.07,6.87,6.98,13000
38,2019-08-05,7.0,7.02,6.8605,7.01,22600
39,2019-08-02,7.1,7.14,6.85,7.09,52500
40,2019-08-01,7.18,7.22,7.0495,7.13,34000
41,2019-07-31,7.14,7.33,7.09,7.12,50500
42,2019-07-30,7.15,7.39,6.96,7.3,64100
43,2019-07-29,7.2999,7.3,7.15,7.15,58400
44,2019-07-26,7.08,7.37,7.08,7.28,36400
45,2019-07-25,7.31,7.31,7.05,7.05,30700
46,2019-07-24,7.3,7.43,7.24,7.3,25400
47,2019-07-23,7.46,7.59,7.31,7.31,32200
48,2019-07-22,7.53,7.53,7.29,7.52,41700
49,2019-07-19,7.38,7.5,7.26,7.46,30800
50,2019-07-18,7.38,7.38,7.19,7.35,65400
51,2019-07-17,7.65,7.79,7.31,7.46,172100
52,2019-07-16,7.3496,7.65,7.33,7.58,75500
53,2019-07-15,7.4,7.43,7.15,7.4,64500
54,2019-07-12,7.03,7.45,7.03,7.4,175300
55,2019-07-11,6.97,7.0698,6.85,7.03,18300
56,2019-07-10,7.05,7.06,6.91,7.03,23400
57,2019-07-09,6.92,7.05,6.88,7.01,60900
58,2019-07-08,6.94,7.05,6.87,6.89,58400
59,2019-07-05,7.01,7.04,6.85,6.88,60100
60,2019-07-03,7.04,7.07,7.01,7.01,41200
61,2019-07-02,7.1,7.15,7.02,7.04,85500
62,2019-07-01,7.0,7.3,7.0,7.09,224300
63,2019-06-28,6.2,6.53,6.14,6.49,69500
64,2019-06-27,6.09,6.21,6.09,6.16,56700
65,2019-06-26,6.212,6.25,6.08,6.08,99700
66,2019-06-25,6.32,6.405,6.2,6.27,25300
67,2019-06-24,6.36,6.45,6.15,6.3,138400
68,2019-06-21,6.5203,6.71,6.35,6.4,107000
69,2019-06-20,6.39,6.5197,6.35,6.52,83100
70,2019-06-19,6.33,6.42,6.325,6.35,38600
