,timestamp,open,high,low,close,volume
0,2019-09-13,131.43,132.69,130.08,130.89,12566
1,2019-09-12,131.95,131.96,130.17,131.17,273658
2,2019-09-11,133.05,133.16,131.24,132.2,290700
3,2019-09-10,134.06,134.06,131.28,132.61,289300
4,2019-09-09,134.65,134.65,133.01,133.95,228900
5,2019-09-06,134.57,135.11,134.05,134.14,180900
6,2019-09-05,134.19,135.49,133.49,134.36,455500
7,2019-09-04,133.42,134.39,132.97,133.28,220900
8,2019-09-03,132.44,133.49,131.81,132.79,261900
9,2019-08-30,132.72,133.46,132.14,133.15,224100
10,2019-08-29,131.53,133.11,131.35,132.31,208500
11,2019-08-28,130.01,130.83,129.16,130.77,774100
12,2019-08-27,130.75,131.4,129.35,130.02,326400
13,2019-08-26,131.38,131.53,130.31,131.0,276500
14,2019-08-23,133.06,133.83,130.4,130.86,273500
15,2019-08-22,132.66,133.54,132.59,133.18,145800
16,2019-08-21,133.48,133.68,132.47,132.51,156100
17,2019-08-20,133.49,133.49,132.5,132.75,180500
18,2019-08-19,134.02,134.29,132.54,133.37,229900
19,2019-08-16,131.26,133.7204,129.62,133.06,343800
20,2019-08-15,130.38,131.58,129.62,130.95,254900
21,2019-08-14,130.93,132.52,129.82,130.37,278100
22,2019-08-13,131.49,132.46,130.95,132.02,213200
23,2019-08-12,132.15,133.34,131.31,131.8,193900
24,2019-08-09,132.63,133.28,131.8989,132.51,172800
25,2019-08-08,131.32,133.92,131.24,132.96,309900
26,2019-08-07,129.3,131.48,128.45,130.86,261100
27,2019-08-06,128.0,130.72,128.0,130.24,240600
28,2019-08-05,129.79,130.47,127.24,128.24,223800
29,2019-08-02,129.66,131.3,129.49,130.49,155600
30,2019-08-01,129.86,131.96,129.0622,129.88,261100
31,2019-07-31,129.697,131.71,129.25,129.71,237300
32,2019-07-30,129.41,130.46,128.88,129.85,160900
33,2019-07-29,130.56,131.34,128.9441,129.81,218100
34,2019-07-26,129.44,130.68,129.08,130.68,139600
35,2019-07-25,129.81,130.37,129.09,129.43,147200
36,2019-07-24,129.16,130.15,128.94,130.0,200500
37,2019-07-23,128.73,129.53,127.39,129.29,189600
38,2019-07-22,128.83,129.32,128.03,128.23,182000
39,2019-07-19,129.87,130.32,128.85,128.93,178400
40,2019-07-18,129.29,129.88,128.567,129.41,178400
41,2019-07-17,129.52,129.91,128.59,129.09,176300
42,2019-07-16,130.13,130.79,129.95,130.03,169900
43,2019-07-15,131.48,131.48,129.84,130.16,152000
44,2019-07-12,129.5973,131.18,129.4,131.15,264400
45,2019-07-11,129.66,129.92,128.23,129.09,227500
46,2019-07-10,129.27,130.09,128.93,129.45,156200
47,2019-07-09,129.39,129.57,128.11,129.26,222300
48,2019-07-08,129.16,130.35,128.8351,129.42,209700
49,2019-07-05,128.59,129.61,127.67,129.61,174000
50,2019-07-03,128.23,129.625,128.03,128.7,143200
51,2019-07-02,127.23,129.33,127.23,128.17,347700
52,2019-07-01,128.64,129.16,126.53,127.2,318900
53,2019-06-28,127.02,129.01,126.81,128.3,536300
54,2019-06-27,125.18,126.16,125.14,126.1,310900
55,2019-06-26,128.7099,129.39,125.09,125.11,288400
56,2019-06-25,126.01,129.33,125.78,128.9,327900
57,2019-06-24,128.12,128.84,125.92,126.1,250400
58,2019-06-21,128.28,129.2107,127.365,127.93,341400
59,2019-06-20,128.58,129.11,126.72,128.65,195300
60,2019-06-19,127.44,128.2086,126.94,127.83,226900
61,2019-06-18,128.37,129.645,127.0865,127.35,205000
62,2019-06-17,127.46,128.58,126.45,128.09,229500
63,2019-06-14,126.79,127.651,125.585,127.52,166800
64,2019-06-13,125.24,126.97,124.73,126.83,328600
65,2019-06-12,123.96,125.37,123.9,124.67,321700
66,2019-06-11,125.04,125.46,123.4,124.0,200400
67,2019-06-10,125.42,125.42,123.68,124.68,168400
68,2019-06-07,126.06,126.2,124.59,125.21,115100
69,2019-06-06,125.06,126.06,124.52,125.9,183200
70,2019-06-05,123.93,124.945,123.59,124.8,203500
71,2019-06-04,124.55,125.25,123.49,123.98,157800
72,2019-06-03,122.31,124.3019,121.86,124.04,226300
73,2019-05-31,120.96,122.44,120.1391,122.16,231300
74,2019-05-30,122.02,123.46,121.31,121.47,306500
75,2019-05-29,120.34,122.527,120.24,121.91,300000
76,2019-05-28,121.48,121.97,120.725,120.89,221400
77,2019-05-24,121.3,121.74,120.8378,121.59,241000
78,2019-05-23,121.23,121.52,120.87,121.29,288200
79,2019-05-22,122.04,122.3453,121.32,121.85,120800
80,2019-05-21,121.77,123.8444,121.46,122.0,293200
81,2019-05-20,121.6,122.5051,121.17,121.59,222800
82,2019-05-17,122.01,122.89,121.34,121.41,131000
83,2019-05-16,122.05,123.0,121.79,122.63,174100
84,2019-05-15,120.13,121.93,120.13,121.68,247300
85,2019-05-14,121.16,121.7058,120.51,120.94,224800
86,2019-05-13,122.47,122.47,120.66,120.93,210700
87,2019-05-10,121.91,123.76,121.345,123.68,191000
88,2019-05-09,121.95,122.4081,121.31,122.1,205400
89,2019-05-08,121.16,123.33,120.69,122.47,237300
90,2019-05-07,121.66,123.3,120.59,121.2,120800
91,2019-05-06,120.21,122.74,120.2,122.14,171000
92,2019-05-03,121.89,122.04,120.56,121.09,173800
93,2019-05-02,122.5,123.24,119.04,121.26,248300
94,2019-05-01,120.89,121.83,120.27,120.79,186700
95,2019-04-30,119.9239,121.085,119.0,120.61,172100
96,2019-04-29,119.79,120.64,119.59,119.83,166600
97,2019-04-26,119.394,119.9,118.69,119.58,169900
98,2019-04-25,117.57,119.57,117.57,119.04,224700
99,2019-04-24,117.04,118.55,117.04,118.18,246700
100,2019-04-23,117.02,118.13,116.75,117.1,176400
101,2019-04-22,116.77,117.335,116.02,116.91,210500
102,2019-04-18,116.54,118.32,116.54,117.03,247800
103,2019-04-17,117.63,117.63,116.0,116.42,304500
104,2019-04-16,117.09,117.73,116.4,117.72,267700
105,2019-04-15,116.69,116.95,116.14,116.36,202700
106,2019-04-12,116.32,116.82,115.78,116.55,265500
107,2019-04-11,115.44,116.16,115.28,115.84,136900
108,2019-04-10,114.25,115.585,114.25,115.2,175400
109,2019-04-09,115.2,115.2,113.65,114.11,106300
110,2019-04-08,115.58,116.425,114.98,115.52,140700
111,2019-04-05,115.32,116.25,114.92,115.69,320300
112,2019-04-04,114.43,115.66,114.4414,115.24,239400
113,2019-04-03,114.51,114.71,113.17,114.36,253300
114,2019-04-02,114.55,114.79,113.5543,114.14,229100
115,2019-04-01,114.66,115.37,113.99,114.79,232200
116,2019-03-29,114.55,114.87,113.76,114.17,184400
117,2019-03-28,115.18,115.68,113.9,114.27,281400
118,2019-03-27,113.92,115.19,113.92,114.87,182700
119,2019-03-26,114.65,114.84,113.085,114.03,189700
120,2019-03-25,114.3694,115.0,113.43,113.92,338600
121,2019-03-22,113.96,115.46,113.96,114.25,180700
122,2019-03-21,113.26,115.21,113.26,114.58,218000
123,2019-03-20,114.68,115.32,113.576,113.75,212100
124,2019-03-19,116.41,117.145,114.68,114.8,236700
125,2019-03-18,116.24,117.37,115.77,116.14,431700
126,2019-03-15,116.2,117.76,116.005,116.2,804300
127,2019-03-14,115.84,116.96,115.5,116.46,186600
128,2019-03-13,117.2,117.7,115.98,116.42,260300
129,2019-03-12,116.66,117.795,116.365,116.93,185000
130,2019-03-11,117.49,117.53,116.14,116.54,227500
131,2019-03-08,117.41,118.02,116.99,117.3,214000
132,2019-03-07,118.35,118.88,117.61,117.85,164900
133,2019-03-06,119.46,119.927,118.3938,118.55,188700
134,2019-03-05,120.0718,120.17,119.06,119.36,145500
135,2019-03-04,120.16,120.9,119.41,119.98,234900
136,2019-03-01,119.79,121.15,119.74,120.17,184600
137,2019-02-28,118.49,119.46,118.49,118.71,196500
138,2019-02-27,117.99,119.74,117.99,118.97,304100
139,2019-02-26,117.7,119.21,117.7,118.21,230000
140,2019-02-25,118.85,119.3,117.615,118.02,371800
141,2019-02-22,118.99,119.39,118.2802,118.9,173100
142,2019-02-21,119.0,119.64,118.25,118.85,148700
143,2019-02-20,118.07,118.99,117.8,118.75,240000
144,2019-02-19,117.54,118.85,116.64,118.14,350000
145,2019-02-15,117.25,118.64,117.13,117.63,194400
146,2019-02-14,117.6843,117.98,116.63,116.73,270200
147,2019-02-13,118.14,119.48,117.85,118.1,191900
148,2019-02-12,116.01,118.28,116.01,117.95,378700
149,2019-02-11,115.3,115.73,114.39,115.55,168800
150,2019-02-08,115.39,116.6962,114.52,114.93,227300
151,2019-02-07,114.58,115.85,114.58,115.78,193600
152,2019-02-06,114.32,115.1316,113.67,114.55,254100
153,2019-02-05,114.5261,115.4,114.02,114.91,287400
154,2019-02-04,113.41,114.65,112.59,114.56,285300
155,2019-02-01,114.17,114.6112,112.795,113.62,361700
156,2019-01-31,108.53,114.44,107.392,114.04,623000
157,2019-01-30,110.99,111.915,110.41,110.72,288500
158,2019-01-29,111.1,112.23,110.84,110.88,200200
159,2019-01-28,111.9958,113.2,111.39,111.5,365400
160,2019-01-25,114.28,114.47,112.38,112.59,227800
161,2019-01-24,113.5973,114.71,113.11,113.82,519000
162,2019-01-23,112.68,115.0236,111.88,113.71,309000
163,2019-01-22,112.04,113.56,111.74,112.07,357500
164,2019-01-18,111.9,113.47,111.87,112.33,288900
165,2019-01-17,108.7963,112.14,108.79,111.63,311200
166,2019-01-16,110.67,111.0,107.8203,109.0,473600
167,2019-01-15,111.9,112.83,111.68,112.54,255600
168,2019-01-14,110.05,112.24,110.05,111.86,249300
169,2019-01-11,110.11,110.65,109.91,110.3,209600
170,2019-01-10,109.3,111.155,109.28,110.44,288700
171,2019-01-09,110.5877,111.48,108.84,109.3,340000
172,2019-01-08,115.37,116.23,113.54,114.98,256500
173,2019-01-07,115.5,115.985,114.33,114.41,249100
174,2019-01-04,114.66,116.49,114.605,115.4,252000
175,2019-01-03,115.04,116.1,111.44,113.22,478500
176,2019-01-02,115.19,116.33,114.0072,115.37,404700
177,2018-12-31,112.66,116.84,111.94,116.77,325900
178,2018-12-28,110.94,112.35,110.59,111.68,195500
179,2018-12-27,108.38,110.75,107.47,110.73,244300
180,2018-12-26,105.416,110.1,104.59,109.98,217200
181,2018-12-24,108.08,108.31,105.1,105.29,116200
182,2018-12-21,108.98,111.65,108.79,109.02,637000
183,2018-12-20,109.3,110.91,108.39,108.94,240300
184,2018-12-19,108.78,111.76,108.39,109.79,297900
185,2018-12-18,109.85,111.055,108.2,108.94,280100
186,2018-12-17,109.02,111.1325,108.54,109.55,186600
187,2018-12-14,109.32,110.13,108.22,109.33,154600
188,2018-12-13,111.09,112.6,110.11,110.17,171300
189,2018-12-12,112.69,113.13,110.8,110.84,305700
190,2018-12-11,111.71,112.37,110.48,111.37,167700
191,2018-12-10,112.7,112.72,110.26,110.95,174200
192,2018-12-07,112.88,114.19,111.79,112.68,190900
193,2018-12-06,111.84,113.3248,111.275,113.18,230500
194,2018-12-04,114.1,114.38,112.54,113.14,203500
195,2018-12-03,115.34,115.56,112.89,114.07,211000
196,2018-11-30,113.98,115.14,113.5,114.71,259600
197,2018-11-29,111.69,114.79,111.65,113.87,263400
198,2018-11-28,111.04,112.73,110.16,111.96,217100
199,2018-11-27,110.29,111.84,110.29,111.17,304700
200,2018-11-26,111.24,112.1535,110.0,110.84,255400
201,2018-11-23,109.55,111.24,109.46,110.44,96900
202,2018-11-21,110.19,111.66,108.51,110.34,238700
203,2018-11-20,111.37,111.74,110.13,110.41,174300
204,2018-11-19,109.76,112.18,108.99,112.05,395800
205,2018-11-16,110.53,110.58,109.05,109.73,158900
206,2018-11-15,108.04,110.85,107.05,110.78,172500
