,timestamp,open,high,low,close,volume
0,2019-09-18,42.4,42.4,42.0,42.115,21718
1,2019-09-17,42.1,42.37,41.39,42.34,80064
2,2019-09-16,42.6,43.06,41.66,42.21,134700
3,2019-09-13,42.9,43.09,42.23,42.7,290300
4,2019-09-12,42.56,42.75,41.6,42.71,204800
5,2019-09-11,42.09,42.57,41.16,42.5,140100
6,2019-09-10,40.47,41.91,40.22,41.83,188500
7,2019-09-09,39.48,40.76,39.39,40.61,166900
8,2019-09-06,38.8,39.43,38.6,39.24,137000
9,2019-09-05,37.16,38.48,37.03,38.45,257400
10,2019-09-04,36.65,36.75,36.24,36.56,176800
11,2019-09-03,36.41,36.46,35.63,36.16,194700
12,2019-08-30,37.25,37.47,36.43,36.7,149700
13,2019-08-29,36.6,37.19,36.56,36.87,189100
14,2019-08-28,35.91,36.58,35.76,36.2,207600
15,2019-08-27,36.59,36.59,35.75,35.9,142800
16,2019-08-26,36.58,36.76,36.11,36.27,126000
17,2019-08-23,37.07,37.51,36.06,36.19,148800
18,2019-08-22,37.8,37.95,37.16,37.46,128800
19,2019-08-21,37.66,37.79,37.28,37.57,118600
20,2019-08-20,37.58,37.64,37.22,37.24,127800
21,2019-08-19,38.16,38.43,37.55,37.6,126000
22,2019-08-16,37.17,37.92,36.68,37.57,137000
23,2019-08-15,37.53,37.53,36.74,36.86,126000
24,2019-08-14,37.8612,38.12,37.165,37.37,147900
25,2019-08-13,37.82,39.05,37.65,38.54,87500
26,2019-08-12,38.29,38.73,37.9,37.94,119800
27,2019-08-09,38.7,38.91,37.9,38.6,127700
28,2019-08-08,38.62,39.07,38.59,38.76,155200
29,2019-08-07,38.2021,38.59,38.05,38.46,131400
30,2019-08-06,38.64,39.1,37.9,38.72,194000
31,2019-08-05,38.49,38.79,38.02,38.27,222400
32,2019-08-02,39.37,39.41,38.85,39.13,245100
33,2019-08-01,40.98,41.5,39.56,39.72,191000
34,2019-07-31,41.68,42.32,40.55,40.91,284700
