,timestamp,open,high,low,close,volume
0,2019-09-13,5.98,6.0,5.9601,5.995,87963
1,2019-09-12,5.85,5.91,5.81,5.9,190037
2,2019-09-11,5.83,5.91,5.83,5.87,217200
3,2019-09-10,5.76,5.81,5.75,5.78,139200
4,2019-09-09,5.74,5.78,5.71,5.72,363800
5,2019-09-06,5.75,5.76,5.68,5.7,376100
6,2019-09-05,5.88,5.92,5.82,5.86,355300
7,2019-09-04,5.88,5.99,5.88,5.96,807700
8,2019-09-03,5.75,5.84,5.72,5.83,922600
9,2019-08-30,5.59,5.64,5.58,5.6,309900
10,2019-08-29,5.53,5.59,5.53,5.59,894700
11,2019-08-28,5.31,5.36,5.3,5.35,523100
12,2019-08-27,5.22,5.29,5.21,5.26,658400
13,2019-08-26,5.38,5.38,5.33,5.33,308200
14,2019-08-23,5.44,5.56,5.43,5.44,270200
15,2019-08-22,5.36,5.51,5.36,5.49,377600
16,2019-08-21,5.29,5.32,5.25,5.28,419200
17,2019-08-20,5.38,5.43,5.34,5.36,449600
18,2019-08-19,5.6,5.63,5.38,5.56,246100
19,2019-08-16,5.58,5.63,5.3801,5.61,531600
20,2019-08-15,5.52,5.55,5.38,5.39,381600
21,2019-08-14,5.47,5.5,5.39,5.4,328600
22,2019-08-13,5.46,5.56,5.37,5.5,313500
23,2019-08-12,5.53,5.54,5.45,5.49,223800
24,2019-08-09,5.63,5.63,5.53,5.58,186100
25,2019-08-08,5.55,5.715,5.55,5.69,418700
26,2019-08-07,5.41,5.52,5.41,5.48,405100
27,2019-08-06,5.59,5.6,5.55,5.58,243700
28,2019-08-05,5.43,5.45,5.41,5.44,389000
29,2019-08-02,5.49,5.5399,5.44,5.54,569300
30,2019-08-01,5.73,5.76,5.56,5.63,503000
31,2019-07-31,5.88,5.96,5.51,5.55,563300
32,2019-07-30,6.01,6.03,5.91,5.96,521000
33,2019-07-29,6.07,6.1,5.94,5.96,554600
34,2019-07-26,5.87,5.87,5.74,5.76,539100
35,2019-07-25,5.82,5.82,5.66,5.68,397000
36,2019-07-24,5.81,5.88,5.81,5.86,200400
37,2019-07-23,5.84,5.87,5.76,5.79,351700
38,2019-07-22,5.76,5.78,5.6999,5.73,301700
39,2019-07-19,5.87,5.88,5.74,5.77,393800
40,2019-07-18,5.8198,5.83,5.75,5.81,479100
41,2019-07-17,5.82,5.83,5.68,5.71,605800
42,2019-07-16,5.78,5.8196,5.67,5.69,396700
43,2019-07-15,5.68,5.69,5.56,5.67,347700
44,2019-07-12,5.75,5.76,5.66,5.71,420900
45,2019-07-11,5.85,5.86,5.78,5.84,500200
46,2019-07-10,5.67,5.72,5.64,5.72,643500
47,2019-07-09,5.59,5.61,5.44,5.5,1039300
48,2019-07-08,5.48,5.48,5.37,5.38,610300
49,2019-07-05,5.72,5.72,5.61,5.64,317100
50,2019-07-03,5.8,5.84,5.78,5.79,346900
51,2019-07-02,5.82,5.83,5.74,5.77,536500
52,2019-07-01,5.87,5.9,5.81,5.86,1128100
53,2019-06-28,5.43,5.5,5.425,5.48,385600
54,2019-06-27,5.43,5.47,5.38,5.4,375700
55,2019-06-26,5.45,5.45,5.35,5.36,200500
56,2019-06-25,5.49,5.5,5.38,5.4,389900
57,2019-06-24,5.45,5.535,5.425,5.47,604700
58,2019-06-21,5.27,5.34,5.25,5.33,371300
59,2019-06-20,5.4,5.43,5.31,5.38,540400
60,2019-06-19,5.28,5.31,5.255,5.3,225400
61,2019-06-18,5.28,5.36,5.275,5.33,505200
62,2019-06-17,5.2,5.245,5.18,5.19,318600
63,2019-06-14,5.12,5.2098,5.1,5.19,268200
64,2019-06-13,5.15,5.18,5.085,5.15,303500
65,2019-06-12,5.31,5.33,5.265,5.29,303500
66,2019-06-11,5.25,5.291,5.22,5.28,301000
67,2019-06-10,5.46,5.475,5.34,5.36,657700
68,2019-06-07,5.36,5.515,5.331,5.44,797000
69,2019-06-06,5.15,5.18,5.0595,5.07,299800
70,2019-06-05,5.15,5.175,5.12,5.17,334600
71,2019-06-04,5.06,5.15,5.02,5.14,370800
72,2019-06-03,4.94,5.05,4.92,5.04,328100
73,2019-05-31,5.02,5.02,4.915,4.95,456100
74,2019-05-30,4.93,5.025,4.9,5.0,544000
75,2019-05-29,4.79,4.8398,4.75,4.83,446600
76,2019-05-28,4.8,4.81,4.653,4.67,360400
77,2019-05-24,4.72,4.75,4.7,4.73,243200
78,2019-05-23,4.66,4.74,4.6402,4.71,275200
79,2019-05-22,4.68,4.75,4.66,4.7,311800
80,2019-05-21,4.64,4.71,4.62,4.7,230600
81,2019-05-20,4.67,4.7,4.61,4.64,342200
82,2019-05-17,4.68,4.72,4.63,4.64,234800
83,2019-05-16,4.71,4.74,4.63,4.64,455500
84,2019-05-15,4.67,4.753,4.65,4.7,519100
85,2019-05-14,4.71,4.76,4.7,4.7,338900
86,2019-05-13,4.69,4.73,4.66,4.68,796800
87,2019-05-10,4.82,4.975,4.81,4.94,564200
88,2019-05-09,4.63,4.72,4.6,4.71,951000
89,2019-05-08,4.75,4.83,4.75,4.79,875700
90,2019-05-07,4.74,4.85,4.7298,4.82,1177800
91,2019-05-06,5.0,5.05,4.92,5.03,902300
