,timestamp,open,high,low,close,volume
0,2019-09-13,9.56,9.573,9.56,9.573,543
1,2019-09-12,9.56,9.66,9.53,9.55,117091
2,2019-09-11,9.54,9.56,9.53,9.55,14700
3,2019-09-10,9.49,9.52,9.47,9.52,16200
4,2019-09-09,9.42,9.49,9.42,9.49,22900
5,2019-09-06,9.48,9.48,9.44,9.47,10500
6,2019-09-05,9.43,9.47,9.42,9.46,88300
7,2019-09-04,9.4,9.45,9.4,9.4,29900
8,2019-09-03,9.4,9.41,9.39,9.39,18500
9,2019-08-30,9.39,9.41,9.37,9.4,15700
10,2019-08-29,9.39,9.4,9.38,9.38,9400
11,2019-08-28,9.39,9.39,9.36,9.37,20700
12,2019-08-27,9.4,9.42,9.36,9.39,52200
13,2019-08-26,9.4,9.42,9.39,9.39,30200
14,2019-08-23,9.43,9.44,9.39,9.39,57200
15,2019-08-22,9.46,9.49,9.42,9.44,35800
16,2019-08-21,9.5,9.53,9.49,9.5,54600
17,2019-08-20,9.53,9.53,9.5,9.51,53500
18,2019-08-19,9.53,9.53,9.5,9.52,13700
19,2019-08-16,9.5,9.53,9.47,9.49,10700
20,2019-08-15,9.49,9.52,9.47,9.47,19300
21,2019-08-14,9.55,9.55,9.48,9.48,34100
22,2019-08-13,9.6,9.6,9.53,9.53,14800
23,2019-08-12,9.6,9.61,9.54,9.54,9800
24,2019-08-09,9.59,9.6,9.53,9.59,16500
25,2019-08-08,9.6013,9.6,9.55,9.57,47800
26,2019-08-07,9.56,9.59,9.54,9.59,35200
27,2019-08-06,9.62,9.62,9.58,9.58,33700
28,2019-08-05,9.63,9.63,9.56,9.62,15500
29,2019-08-02,9.64,9.69,9.64,9.64,10900
30,2019-08-01,9.72,9.72,9.6594,9.67,19700
31,2019-07-31,9.65,9.71,9.65,9.69,30000
32,2019-07-30,9.66,9.68,9.62,9.64,44200
33,2019-07-29,9.58,9.65,9.58,9.64,9700
34,2019-07-26,9.6,9.61,9.55,9.57,51600
