,timestamp,open,high,low,close,volume
0,2019-09-12,5.32,5.57,4.99,5.03,16174022
1,2019-09-11,6.8,7.24,6.08,7.17,4611306
2,2019-09-10,6.35,6.85,6.03,6.78,6763800
3,2019-09-09,5.6,6.22,5.47,6.19,4964100
4,2019-09-06,5.22,5.72,5.16,5.52,3535000
5,2019-09-05,5.02,5.31,4.96,5.19,4359200
6,2019-09-04,5.4,5.44,4.93,4.95,5037400
7,2019-09-03,5.56,5.81,5.18,5.34,4823200
8,2019-08-30,5.3,5.48,5.28,5.42,1742400
9,2019-08-29,5.21,5.59,5.17,5.22,3427900
10,2019-08-28,4.71,5.22,4.67,5.08,2835100
11,2019-08-27,4.93,4.94,4.59,4.72,1785000
12,2019-08-26,4.88,4.95,4.53,4.92,2711700
13,2019-08-23,4.79,5.17,4.79,4.9,2964300
14,2019-08-22,4.76,4.99,4.75,4.86,3649700
15,2019-08-21,4.43,4.97,4.35,4.66,7402500
16,2019-08-20,4.62,4.73,4.21,4.34,4803400
17,2019-08-19,5.26,5.51,4.65,4.67,5250500
18,2019-08-16,4.43,5.27,4.23,5.06,4262300
19,2019-08-15,4.61,4.6704,4.23,4.38,2035000
20,2019-08-14,4.86,4.94,4.57,4.6,2538600
21,2019-08-13,4.99,5.24,4.8,5.0,1971100
22,2019-08-12,5.1,5.24,4.845,4.97,1903700
23,2019-08-09,5.15,5.28,4.85,5.1,2384100
24,2019-08-08,4.87,5.17,4.815,5.15,1562900
25,2019-08-07,4.8,4.95,4.67,4.84,1562000
26,2019-08-06,4.55,4.92,4.55,4.9,1455600
27,2019-08-05,4.5,4.58,4.36,4.52,1480200
28,2019-08-02,4.59,4.69,4.49,4.6,954200
29,2019-08-01,4.88,4.9,4.43,4.53,2044000
30,2019-07-31,4.93,5.0203,4.8,4.87,1073900
31,2019-07-30,4.83,4.96,4.71,4.93,769100
32,2019-07-29,4.84,4.9,4.62,4.86,1021000
33,2019-07-26,4.6802,4.91,4.57,4.85,1526100
34,2019-07-25,4.95,5.05,4.63,4.66,1738800
35,2019-07-24,4.81,5.0203,4.73,4.96,2184300
36,2019-07-23,5.15,5.2501,4.79,4.82,2834200
37,2019-07-22,5.28,5.42,5.08,5.13,1593000
38,2019-07-19,5.24,5.4,5.1,5.28,2038400
39,2019-07-18,5.39,5.42,5.24,5.24,1828800
40,2019-07-17,5.91,5.92,5.35,5.4,3273800
41,2019-07-16,5.97,6.06,5.84,5.92,1737300
42,2019-07-15,6.1,6.2298,5.84,5.96,1525000
43,2019-07-12,5.91,6.12,5.86,6.1,2595900
44,2019-07-11,5.98,6.02,5.77,5.91,1449600
45,2019-07-10,5.97,6.04,5.86,5.95,1656300
46,2019-07-09,6.15,6.15,5.8,5.93,2197600
47,2019-07-08,5.67,6.19,5.52,6.19,2696500
48,2019-07-05,5.41,5.79,5.39,5.71,2823700
49,2019-07-03,5.29,5.475,5.25,5.41,919400
50,2019-07-02,5.48,5.61,5.21,5.27,2935900
51,2019-07-01,5.92,5.945,5.41,5.48,3547800
52,2019-06-28,5.8,5.94,5.72,5.77,2941300
53,2019-06-27,6.22,6.22,5.74,5.75,3178800
54,2019-06-26,5.88,6.21,5.845,6.19,1974200
55,2019-06-25,5.96,5.98,5.71,5.83,2394600
56,2019-06-24,5.56,6.34,5.55,5.96,6799500
57,2019-06-21,5.35,5.55,5.13,5.55,5548700
58,2019-06-20,5.45,5.56,5.28,5.37,1914600
59,2019-06-19,5.45,5.5,5.185,5.39,2018400
60,2019-06-18,5.11,5.505,5.03,5.42,2561800
61,2019-06-17,5.36,5.6,5.03,5.1,3474500
62,2019-06-14,5.43,5.59,5.248,5.49,3811100
63,2019-06-13,5.26,5.58,5.05,5.42,9281100
64,2019-06-12,5.9,5.94,5.31,5.54,3847200
65,2019-06-11,5.69,6.17,5.62,5.9,3876300
66,2019-06-10,5.61,5.97,5.56,5.61,2253800
67,2019-06-07,5.41,5.7,5.375,5.56,2556800
68,2019-06-06,5.63,5.65,5.19,5.36,2444600
69,2019-06-05,6.06,6.13,5.6,5.64,2272100
70,2019-06-04,5.8997,6.15,5.67,6.01,3446700
71,2019-06-03,5.26,5.91,5.24,5.78,3388900
72,2019-05-31,5.76,5.79,5.13,5.26,4709200
73,2019-05-30,6.3,6.35,5.67,5.89,2788200
74,2019-05-29,6.4,6.45,5.81,6.28,3558500
75,2019-05-28,6.34,6.652,6.34,6.5,1845900
76,2019-05-24,6.26,6.4,6.15,6.3,2072600
77,2019-05-23,6.61,6.65,6.17,6.25,2912500
78,2019-05-22,7.36,7.4,6.62,6.66,2973300
79,2019-05-21,7.29,7.46,7.06,7.43,1588100
80,2019-05-20,7.15,7.315,7.02,7.25,1659700
81,2019-05-17,7.17,7.48,7.1301,7.15,1785400
82,2019-05-16,7.37,7.54,7.24,7.27,1319000
83,2019-05-15,7.39,7.5,7.09,7.32,1605400
84,2019-05-14,7.47,7.495,7.2,7.44,1587600
85,2019-05-13,7.8795,7.95,7.36,7.42,1920900
