,timestamp,open,high,low,close,volume
0,2019-09-12,24.34,24.72,24.22,24.51,1274981
1,2019-09-11,23.85,24.25,23.57,24.17,1637905
2,2019-09-10,24.01,24.08,23.38,23.6,1801900
3,2019-09-09,24.31,24.49,23.91,24.07,1340300
4,2019-09-06,24.41,24.72,24.09,24.25,3789900
5,2019-09-05,24.6,24.68,24.08,24.29,1093800
6,2019-09-04,24.25,24.72,24.1,24.4,1476300
7,2019-09-03,23.75,24.18,23.69,24.16,1449600
8,2019-08-30,23.63,23.9,23.32,23.86,758200
9,2019-08-29,23.66,23.84,23.39,23.52,989000
10,2019-08-28,22.98,23.49,22.77,23.42,1340000
11,2019-08-27,23.4,23.52,23.05,23.06,877300
12,2019-08-26,23.25,23.37,22.91,23.23,1257200
13,2019-08-23,23.5,23.86,23.05,23.07,1308400
14,2019-08-22,23.46,23.78,23.27,23.71,913400
15,2019-08-21,23.45,23.52,23.12,23.44,1556400
16,2019-08-20,23.02,23.33,22.9,23.22,593100
17,2019-08-19,22.76,23.15,22.72,22.94,764300
18,2019-08-16,22.2,22.61,22.0579,22.47,796200
19,2019-08-15,22.39,22.41,22.06,22.13,626700
20,2019-08-14,22.58,22.69,22.3,22.32,700800
21,2019-08-13,22.0,22.96,22.0,22.84,844700
22,2019-08-12,22.3,22.34,22.03,22.05,678500
23,2019-08-09,22.72,22.72,22.37,22.43,689200
24,2019-08-08,22.8,22.99,22.71,22.75,1164500
25,2019-08-07,22.35,22.95,22.25,22.8,1696900
26,2019-08-06,22.22,22.63,22.22,22.49,959300
27,2019-08-05,22.6,22.77,21.99,22.15,1319700
28,2019-08-02,22.78,22.9,22.6,22.81,1233800
29,2019-08-01,22.99,22.99,22.34,22.89,1471700
30,2019-07-31,22.63,22.95,22.25,22.52,1154000
31,2019-07-30,21.88,22.51,21.66,22.43,820300
32,2019-07-29,22.2,22.23,21.73,21.94,648400
33,2019-07-26,22.23,22.47,22.04,22.17,580500
34,2019-07-25,21.87,22.24,21.67,22.21,639800
35,2019-07-24,21.22,21.73,21.2,21.68,1035400
36,2019-07-23,21.91,22.34,21.15,21.23,954700
37,2019-07-22,22.0,22.13,21.76,21.78,719300
38,2019-07-19,22.41,22.41,21.87,21.93,939500
39,2019-07-18,21.65,22.56,21.52,22.3,1657900
40,2019-07-17,21.61,21.68,21.31,21.46,568300
41,2019-07-16,21.35,21.68,21.23,21.6,481000
42,2019-07-15,21.66,21.7,21.19,21.38,483600
43,2019-07-12,21.17,21.69,21.17,21.57,731500
44,2019-07-11,21.31,21.37,20.93,21.11,446900
45,2019-07-10,21.24,21.41,21.01,21.3,944100
46,2019-07-09,21.19,21.28,20.99,21.08,521100
47,2019-07-08,21.19,21.39,21.02,21.27,579000
48,2019-07-05,21.27,21.37,20.86,21.14,505800
49,2019-07-03,21.15,21.44,21.03,21.41,445100
50,2019-07-02,21.18,21.22,20.785,21.14,1131800
