,timestamp,open,high,low,close,volume
0,2019-09-13,14.97,15.07,14.85,14.9,166050
1,2019-09-12,14.8,14.94,14.71,14.86,1770790
2,2019-09-11,14.29,14.68,14.19,14.65,1475800
3,2019-09-10,13.87,14.24,13.73,14.24,3692100
4,2019-09-09,13.93,14.08,13.84,13.88,1486200
5,2019-09-06,13.9,14.0,13.8,13.85,1805200
6,2019-09-05,14.24,14.31,13.85,13.9,1478500
7,2019-09-04,14.07,14.19,13.98,14.08,770300
8,2019-09-03,13.9,14.06,13.88,13.95,1199100
9,2019-08-30,14.0,14.09,13.9,14.0,1436300
10,2019-08-29,13.94,14.02,13.75,13.92,713000
11,2019-08-28,13.63,13.84,13.52,13.82,705900
12,2019-08-27,13.85,13.89,13.65,13.66,1202300
13,2019-08-26,13.75,13.77,13.53,13.73,1432400
14,2019-08-23,13.89,14.09,13.64,13.66,1238800
15,2019-08-22,13.92,14.06,13.66,13.96,762700
16,2019-08-21,13.97,14.01,13.64,13.89,1177300
17,2019-08-20,13.81,13.95,13.79,13.9,809200
18,2019-08-19,13.69,13.91,13.6,13.84,637900
19,2019-08-16,13.43,13.71,13.38,13.57,1064100
20,2019-08-15,13.54,13.61,13.38,13.39,1010400
21,2019-08-14,13.5,13.63,13.44,13.51,1223300
22,2019-08-13,13.47,13.81,13.4696,13.67,820100
23,2019-08-12,13.46,13.52,13.32,13.5,785900
24,2019-08-09,13.73,13.75,13.475,13.55,1331600
25,2019-08-08,13.7514,13.87,13.715,13.78,1327300
26,2019-08-07,13.36,13.77,13.24,13.65,1231600
27,2019-08-06,13.41,13.55,13.2897,13.46,1167200
28,2019-08-05,13.47,13.6,13.26,13.36,1784900
29,2019-08-02,13.62,13.73,13.45,13.68,987900
30,2019-08-01,13.75,14.05,13.59,13.68,2533800
31,2019-07-31,14.0,14.05,13.53,13.69,1932400
32,2019-07-30,13.51,13.98,13.43,13.98,1893300
33,2019-07-29,13.64,13.72,13.39,13.56,2189000
34,2019-07-26,13.51,13.6806,13.33,13.59,2128100
35,2019-07-25,13.1,13.53,13.1,13.38,2473400
36,2019-07-24,12.4694,12.84,12.41,12.82,2104400
37,2019-07-23,12.7,12.74,12.42,12.46,1378600
38,2019-07-22,12.7,12.76,12.57,12.6,1590100
39,2019-07-19,12.65,12.83,12.54,12.66,1381200
40,2019-07-18,12.75,12.8512,12.59,12.65,1156900
41,2019-07-17,12.59,12.76,12.42,12.74,2329000
42,2019-07-16,12.41,12.66,12.37,12.58,941900
43,2019-07-15,12.64,12.7,12.33,12.42,2237300
44,2019-07-12,12.33,12.65,12.32,12.58,799300
45,2019-07-11,12.25,12.32,12.01,12.26,910800
46,2019-07-10,12.22,12.27,11.97,12.25,1499900
47,2019-07-09,12.2,12.25,11.96,12.07,939300
48,2019-07-08,12.18,12.26,12.06,12.23,2389800
49,2019-07-05,12.34,12.35,12.03,12.19,1154500
50,2019-07-03,12.36,12.47,12.26,12.42,701400
51,2019-07-02,12.04,12.33,12.04,12.32,1598300
52,2019-07-01,12.11,12.19,11.925,12.04,1095500
53,2019-06-28,11.71,12.13,11.71,11.97,2109800
54,2019-06-27,11.42,11.73,11.355,11.72,1341400
55,2019-06-26,11.48,11.59,11.3005,11.3,1573700
56,2019-06-25,11.94,12.09,11.37,11.47,1554100
57,2019-06-24,11.7,11.935,11.555,11.8,1458900
58,2019-06-21,12.23,12.23,11.68,11.69,2576200
59,2019-06-20,12.14,12.328,12.0,12.31,2372500
60,2019-06-19,12.12,12.12,11.65,12.05,2736200
61,2019-06-18,12.15,12.4,12.005,12.13,1411100
62,2019-06-17,12.59,12.59,11.92,12.09,1800900
63,2019-06-14,12.6,12.77,12.54,12.61,1294200
64,2019-06-13,12.65,12.83,12.54,12.62,1152000
65,2019-06-12,12.61,12.745,12.49,12.59,892700
66,2019-06-11,12.73,12.73,12.34,12.58,1112800
67,2019-06-10,12.62,12.8,12.52,12.62,1034000
68,2019-06-07,12.55,12.78,12.45,12.64,1702100
69,2019-06-06,12.64,12.89,12.285,12.48,1235900
70,2019-06-05,12.71,12.88,12.46,12.65,1547500
71,2019-06-04,12.42,12.67,12.335,12.67,1904400
72,2019-06-03,12.32,12.46,12.08,12.37,2030900
73,2019-05-31,12.5,12.66,12.21,12.3,1273800
74,2019-05-30,12.64,12.805,12.44,12.62,2010600
75,2019-05-29,12.76,12.87,12.5,12.63,1402200
76,2019-05-28,13.22,13.22,12.84,12.85,1080900
77,2019-05-24,12.9701,13.19,12.945,13.19,838800
78,2019-05-23,13.06,13.31,12.8202,12.87,1655900
79,2019-05-22,12.99,13.31,12.93,13.14,1424600
80,2019-05-21,13.1406,13.38,13.055,13.36,675100
81,2019-05-20,13.57,13.925,13.05,13.12,968500
82,2019-05-17,13.73,13.88,13.57,13.6,823000
