,timestamp,open,high,low,close,volume
0,2019-09-27,0.32,0.32,0.305,0.3117,50969
1,2019-09-26,0.36,0.36,0.303,0.31,632834
2,2019-09-25,0.35,0.39,0.35,0.361,147500
3,2019-09-24,0.4,0.4,0.37,0.387,136900
4,2019-09-23,0.39,0.4,0.38,0.385,59400
5,2019-09-20,0.382,0.397,0.376,0.39,79000
6,2019-09-19,0.4,0.4,0.37,0.378,105200
7,2019-09-18,0.43,0.43,0.38,0.407,163900
8,2019-09-17,0.392,0.42,0.37,0.41,251200
9,2019-09-16,0.37,0.392,0.37,0.387,171100
10,2019-09-13,0.38,0.39,0.36,0.37,127700
11,2019-09-12,0.367,0.37,0.343,0.367,129300
12,2019-09-11,0.39,0.4,0.339,0.359,481900
13,2019-09-10,0.36,0.39,0.345,0.386,328500
14,2019-09-09,0.42,0.42,0.345,0.348,475200
15,2019-09-06,0.385,0.43,0.36,0.39,728700
16,2019-09-05,0.3,0.37,0.3,0.355,862200
17,2019-09-04,0.3,0.318,0.29,0.293,85900
18,2019-09-03,0.32,0.328,0.28,0.299,105300
19,2019-08-30,0.32,0.32,0.31,0.311,80900
20,2019-08-29,0.291,0.31,0.291,0.31,153300
21,2019-08-28,0.301,0.318,0.286,0.29,80700
22,2019-08-27,0.327,0.327,0.29,0.303,74000
23,2019-08-26,0.32,0.324,0.29,0.315,124700
24,2019-08-23,0.338,0.338,0.31,0.319,306800
25,2019-08-22,0.275,0.338,0.275,0.335,298900
26,2019-08-21,0.283,0.29,0.283,0.285,64700
27,2019-08-20,0.29,0.3,0.28,0.283,92400
28,2019-08-19,0.3,0.3,0.271,0.286,114800
29,2019-08-16,0.28,0.285,0.26,0.279,222500
30,2019-08-15,0.27,0.283,0.255,0.26,197300
31,2019-08-14,0.288,0.289,0.244,0.247,464000
32,2019-08-13,0.31,0.331,0.283,0.288,370700
33,2019-08-12,0.318,0.329,0.302,0.31,260600
34,2019-08-09,0.341,0.345,0.309,0.33,57700
35,2019-08-08,0.32,0.345,0.302,0.325,229300
36,2019-08-07,0.32,0.338,0.313,0.32,233600
37,2019-08-06,0.33,0.339,0.32,0.327,74300
38,2019-08-05,0.33,0.34,0.315,0.32,143300
39,2019-08-02,0.345,0.36,0.33,0.336,192000
40,2019-08-01,0.34,0.354,0.33,0.35,140700
41,2019-07-31,0.358,0.36,0.34,0.349,69900
42,2019-07-30,0.335,0.36,0.335,0.358,108000
43,2019-07-29,0.338,0.36,0.337,0.341,109700
44,2019-07-26,0.37,0.37,0.337,0.344,147600
45,2019-07-25,0.355,0.355,0.335,0.346,93900
46,2019-07-24,0.38,0.38,0.35,0.355,501300
47,2019-07-23,0.346,0.355,0.345,0.349,55500
48,2019-07-22,0.351,0.366,0.342,0.344,98100
49,2019-07-19,0.344,0.364,0.335,0.351,72600
50,2019-07-18,0.352,0.37,0.342,0.348,62600
51,2019-07-17,0.367,0.37,0.35,0.365,82600
52,2019-07-16,0.35,0.37,0.35,0.368,146600
53,2019-07-15,0.363,0.37,0.35,0.35,167300
54,2019-07-12,0.343,0.39,0.34,0.363,778700
55,2019-07-11,0.35,0.36,0.303,0.346,218900
56,2019-07-10,0.35,0.35,0.334,0.344,146200
57,2019-07-09,0.352,0.363,0.342,0.35,140800
58,2019-07-08,0.35,0.369,0.337,0.352,393200
59,2019-07-05,0.342,0.35,0.331,0.35,185900
60,2019-07-03,0.323,0.335,0.323,0.332,77800
61,2019-07-02,0.34,0.35,0.327,0.337,239300
62,2019-07-01,0.333,0.36,0.329,0.335,287000
63,2019-06-28,0.339,0.34,0.32,0.329,152200
64,2019-06-27,0.32,0.333,0.311,0.323,211900
65,2019-06-26,0.31,0.338,0.31,0.321,688000
66,2019-06-25,0.343,0.345,0.3,0.315,931400
67,2019-06-24,0.376,0.376,0.33,0.34,668900
68,2019-06-21,0.38,0.38,0.362,0.369,81600
69,2019-06-20,0.361,0.382,0.35,0.382,360600
70,2019-06-19,0.367,0.372,0.36,0.364,107800
71,2019-06-18,0.364,0.376,0.357,0.367,97100
72,2019-06-17,0.362,0.375,0.352,0.36,169700
73,2019-06-14,0.38,0.395,0.362,0.37,393500
74,2019-06-13,0.405,0.408,0.38,0.385,395600
75,2019-06-12,0.378,0.415,0.37,0.405,1126500
76,2019-06-11,0.38,0.395,0.37,0.378,252600
77,2019-06-10,0.39,0.41,0.37,0.378,697200
78,2019-06-07,0.38,0.416,0.366,0.4,1697300
79,2019-06-06,0.363,0.375,0.355,0.37,204900
80,2019-06-05,0.37,0.37,0.347,0.355,685000
81,2019-06-04,0.352,0.399,0.35,0.37,1123200
82,2019-06-03,0.388,0.388,0.347,0.347,480200
83,2019-05-31,0.393,0.4,0.35,0.383,1291700
84,2019-05-30,0.411,0.413,0.393,0.394,125000
85,2019-05-29,0.41,0.415,0.392,0.4,459800
86,2019-05-28,0.409,0.432,0.409,0.415,332100
87,2019-05-24,0.4,0.42,0.386,0.41,1094500
88,2019-05-23,0.45,0.45,0.4,0.41,987700
89,2019-05-22,0.5,0.527,0.4,0.435,2190500
90,2019-05-21,0.62,0.634,0.48,0.5,4347200
91,2019-05-20,0.635,0.638,0.6,0.61,559000
92,2019-05-17,0.66,0.675,0.625,0.63,1557600
93,2019-05-16,0.596,0.664,0.596,0.659,2133100
94,2019-05-15,0.58,0.609,0.565,0.605,519300
95,2019-05-14,0.58,0.596,0.55,0.583,752500
96,2019-05-13,0.6,0.64,0.575,0.595,2135300
97,2019-05-10,0.588,0.61,0.577,0.59,415200
98,2019-05-09,0.575,0.588,0.56,0.575,340600
99,2019-05-08,0.594,0.608,0.56,0.574,474200
100,2019-05-07,0.593,0.605,0.571,0.583,283300
101,2019-05-06,0.58,0.605,0.555,0.6,335400
102,2019-05-03,0.57,0.593,0.555,0.58,946300
103,2019-05-02,0.578,0.59,0.56,0.569,471700
104,2019-05-01,0.622,0.622,0.54,0.57,1169800
105,2019-04-30,0.63,0.654,0.607,0.61,1685900
106,2019-04-29,0.69,0.7,0.66,0.665,688200
107,2019-04-26,0.698,0.698,0.65,0.685,1200400
108,2019-04-25,0.647,0.669,0.618,0.662,750300
109,2019-04-24,0.612,0.65,0.61,0.63,616700
110,2019-04-23,0.593,0.655,0.58,0.62,1107500
111,2019-04-22,0.603,0.62,0.581,0.59,582100
112,2019-04-18,0.575,0.62,0.564,0.603,1133700
113,2019-04-17,0.6,0.605,0.515,0.575,1707200
114,2019-04-16,0.659,0.67,0.58,0.61,1492600
115,2019-04-15,0.655,0.68,0.632,0.649,675500
116,2019-04-12,0.656,0.69,0.63,0.669,1132200
117,2019-04-11,0.65,0.671,0.63,0.644,1454200
118,2019-04-10,0.71,0.71,0.653,0.674,1143300
119,2019-04-09,0.66,0.72,0.65,0.689,1763300
120,2019-04-08,0.68,0.68,0.645,0.653,916300
121,2019-04-05,0.651,0.67,0.635,0.665,1088400
122,2019-04-04,0.675,0.675,0.635,0.649,1181400
123,2019-04-03,0.68,0.699,0.64,0.66,2010400
124,2019-04-02,0.697,0.7,0.634,0.68,1639300
125,2019-04-01,0.658,0.7,0.658,0.68,1326700
126,2019-03-29,0.695,0.71,0.63,0.66,2381600
127,2019-03-28,0.72,0.73,0.685,0.69,1361100
128,2019-03-27,0.73,0.74,0.68,0.7,1789300
129,2019-03-26,0.701,0.76,0.695,0.74,2566800
130,2019-03-25,0.68,0.76,0.64,0.699,2547800
131,2019-03-22,0.7,0.729,0.66,0.66,1157100
132,2019-03-21,0.725,0.74,0.69,0.69,1771000
133,2019-03-20,0.662,0.717,0.639,0.71,1714600
134,2019-03-19,0.659,0.684,0.63,0.662,1237900
135,2019-03-18,0.617,0.65,0.601,0.638,1243800
136,2019-03-15,0.71,0.712,0.55,0.6,2132100
137,2019-03-14,0.71,0.729,0.682,0.685,672900
138,2019-03-13,0.69,0.75,0.68,0.727,1681000
139,2019-03-12,0.69,0.71,0.661,0.685,1217100
140,2019-03-11,0.72,0.73,0.661,0.667,761600
141,2019-03-08,0.72,0.89,0.7,0.732,4740000
142,2019-03-07,0.7,0.71,0.67,0.685,373200
143,2019-03-06,0.73,0.75,0.692,0.709,367200
144,2019-03-05,0.7,0.736,0.6901,0.725,656600
145,2019-03-04,0.682,0.707,0.67,0.692,381900
146,2019-03-01,0.736,0.736,0.65,0.67,416900
147,2019-02-28,0.738,0.738,0.68,0.704,205600
148,2019-02-27,0.738,0.738,0.711,0.728,133000
