,timestamp,open,high,low,close,volume
0,2019-09-27,21.27,21.7,21.27,21.315,12509
1,2019-09-26,21.53,21.53,21.06,21.11,115158
2,2019-09-25,21.46,21.77,21.44,21.71,158200
3,2019-09-24,21.34,21.41,21.08,21.13,140200
4,2019-09-23,21.12,21.36,21.0,21.29,72300
5,2019-09-20,21.46,21.64,21.22,21.32,167500
6,2019-09-19,21.95,22.07,21.46,21.47,54100
7,2019-09-18,21.85,22.03,21.61,21.94,54900
8,2019-09-17,21.93,22.02,21.68,21.93,60200
9,2019-09-16,22.1,22.2,21.95,22.1,115300
10,2019-09-13,21.92,22.44,21.91,22.38,76900
11,2019-09-12,21.52,21.99,21.13,21.79,132800
12,2019-09-11,21.3,21.82,20.85,21.7,115200
13,2019-09-10,20.58,21.34,20.58,21.22,78500
14,2019-09-09,19.98,20.95,19.86,20.73,89700
15,2019-09-06,19.84,19.98,19.73,19.76,48200
16,2019-09-05,19.49,20.16,19.49,19.9,88000
17,2019-09-04,19.51,19.51,18.95,19.27,117100
18,2019-09-03,19.65,19.71,19.07,19.21,107600
19,2019-08-30,19.81,20.11,19.59,19.75,79100
20,2019-08-29,19.32,19.96,19.29,19.78,111900
21,2019-08-28,19.19,19.76,19.19,19.57,111100
22,2019-08-27,19.55,19.57,19.2,19.26,105300
23,2019-08-26,19.31,19.47,19.08,19.43,33000
24,2019-08-23,19.48,19.72,19.08,19.13,120400
25,2019-08-22,19.57,19.7,19.37,19.51,74500
26,2019-08-21,19.59,19.59,19.18,19.47,80600
27,2019-08-20,19.67,19.7,19.35,19.39,51900
28,2019-08-19,19.99,20.0,19.73,19.79,169500
29,2019-08-16,19.28,19.77,19.28,19.71,53900
30,2019-08-15,19.4708,19.58,19.08,19.16,68700
31,2019-08-14,19.54,19.66,19.37,19.37,79800
32,2019-08-13,19.66,20.22,19.66,19.89,31000
33,2019-08-12,19.6,20.15,19.55,19.69,36000
34,2019-08-09,19.94,20.02,19.62,19.78,46100
35,2019-08-08,19.69,20.09,19.69,19.89,52300
36,2019-08-07,19.49,19.68,19.26,19.58,55900
37,2019-08-06,19.98,19.98,19.44,19.79,63400
38,2019-08-05,20.01,20.059,19.6,19.87,100700
39,2019-08-02,20.32,20.65,20.27,20.43,99800
40,2019-08-01,20.92,21.17,20.23,20.49,121200
41,2019-07-31,21.1,21.4,20.95,21.0,91300
42,2019-07-30,20.3,21.18,20.29,21.07,123900
43,2019-07-29,21.02,21.24,20.43,20.46,77100
44,2019-07-26,20.67,21.1598,20.67,21.06,61100
45,2019-07-25,20.9998,21.14,20.55,20.63,99700
46,2019-07-24,20.41,21.16,20.41,21.09,59700
47,2019-07-23,20.189,20.67,20.07,20.5,93100
48,2019-07-22,19.81,20.24,19.8,20.0,89300
49,2019-07-19,19.82,20.11,19.61,19.91,114600
50,2019-07-18,19.47,19.95,19.22,19.95,185500
51,2019-07-17,20.01,20.21,19.66,19.67,97200
52,2019-07-16,20.16,20.2907,19.97,20.01,62600
53,2019-07-15,20.56,20.56,20.02,20.2,81200
54,2019-07-12,20.35,20.67,20.35,20.55,87200
55,2019-07-11,20.72,20.85,20.231,20.4,96800
56,2019-07-10,21.4015,21.4,20.7,20.76,63600
57,2019-07-09,21.01,21.34,21.0105,21.34,54000
58,2019-07-08,21.35,21.4068,21.15,21.25,73300
59,2019-07-05,21.33,21.59,21.32,21.53,46100
60,2019-07-03,21.28,21.3391,21.07,21.26,85500
61,2019-07-02,21.58,21.58,20.99,21.17,45500
62,2019-07-01,21.48,21.77,21.39,21.61,93400
63,2019-06-28,21.39,21.765,21.3,21.34,200800
64,2019-06-27,20.88,21.22,20.88,21.21,79900
65,2019-06-26,20.8,21.08,20.8,20.82,117000
66,2019-06-25,20.6,20.77,20.31,20.72,73600
67,2019-06-24,20.94,21.72,20.56,20.69,97800
68,2019-06-21,20.9,21.22,20.9,21.09,134800
69,2019-06-20,21.47,21.47,20.94,21.0,70100
70,2019-06-19,21.57,21.75,21.06,21.25,70600
71,2019-06-18,21.0,21.53,20.77,21.48,79800
72,2019-06-17,21.2094,21.32,20.66,20.82,117200
73,2019-06-14,21.13,21.335,20.96,21.21,74200
74,2019-06-13,21.3195,21.4,21.065,21.17,73800
75,2019-06-12,21.47,21.63,21.12,21.21,56100
76,2019-06-11,21.44,21.47,21.02,21.37,82200
77,2019-06-10,21.23,21.736,21.155,21.23,51300
78,2019-06-07,21.46,21.58,21.1113,21.12,163000
79,2019-06-06,21.65,21.79,21.23,21.55,88100
80,2019-06-05,21.83,22.06,21.5,21.63,94200
81,2019-06-04,21.5,21.88,21.39,21.81,97600
82,2019-06-03,20.59,21.24,20.59,21.23,109500
83,2019-05-31,20.78,20.831,20.37,20.57,178900
84,2019-05-30,21.5,21.7,20.83,21.06,74000
85,2019-05-29,21.28,21.83,21.163,21.51,122000
86,2019-05-28,21.72,21.82,21.3903,21.58,115700
87,2019-05-24,20.74,21.9515,20.67,21.84,127600
88,2019-05-23,21.03,21.22,20.21,20.46,210800
89,2019-05-22,21.7,21.77,21.245,21.49,89200
90,2019-05-21,22.01,22.2289,21.7,21.72,277500
91,2019-05-20,21.77,22.16,21.64,21.99,34000
92,2019-05-17,21.98,22.34,21.79,21.89,73800
93,2019-05-16,22.13,22.37,21.95,22.14,65100
94,2019-05-15,21.86,22.02,21.64,21.93,69300
95,2019-05-14,21.85,22.285,21.82,22.13,58600
96,2019-05-13,22.45,22.45,21.655,21.74,74800
97,2019-05-10,22.96,22.99,22.51,22.91,45900
98,2019-05-09,22.96,23.2,22.74,23.04,89200
99,2019-05-08,23.23,23.66,22.98,23.17,100700
100,2019-05-07,23.91,23.91,23.175,23.33,57400
101,2019-05-06,23.6897,24.14,23.538,24.13,58400
102,2019-05-03,23.32,24.16,23.3184,24.11,81900
103,2019-05-02,23.14,23.55,23.14,23.31,53200
104,2019-05-01,23.27,23.4,22.78,23.13,133600
105,2019-04-30,23.62,23.71,23.12,23.26,128000
106,2019-04-29,23.58,23.84,23.55,23.63,77700
107,2019-04-26,23.23,23.71,23.14,23.52,54800
108,2019-04-25,23.5115,23.55,23.15,23.22,213100
109,2019-04-24,23.51,23.74,23.36,23.57,157500
