,timestamp,open,high,low,close,volume
0,2019-09-13,14.62,14.69,14.62,14.69,1705
1,2019-09-12,14.75,14.75,14.7239,14.75,13539
2,2019-09-11,14.71,14.74,14.7,14.72,19800
3,2019-09-10,14.72,14.74,14.71,14.71,20000
4,2019-09-09,14.73,14.75,14.69,14.73,16600
5,2019-09-06,14.74,14.74,14.67,14.71,19900
6,2019-09-05,14.68,14.74,14.68,14.73,20200
7,2019-09-04,14.63,14.68,14.61,14.68,16400
8,2019-09-03,14.57,14.6,14.53,14.6,15100
9,2019-08-30,14.6,14.62,14.56,14.62,9400
10,2019-08-29,14.53,14.63,14.53,14.62,25800
11,2019-08-28,14.6,14.62,14.55,14.57,16200
12,2019-08-27,14.6,14.61,14.56,14.56,21700
13,2019-08-26,14.62,14.62,14.5,14.6,145400
14,2019-08-23,14.69,14.72,14.57,14.64,31000
15,2019-08-22,14.73,14.74,14.68,14.69,53100
16,2019-08-21,14.76,14.78,14.71,14.73,34200
17,2019-08-20,14.78,14.82,14.75,14.75,28500
18,2019-08-19,14.89,14.89,14.77,14.82,16800
19,2019-08-16,14.67,14.79,14.64,14.76,31900
20,2019-08-15,14.77,14.78,14.7,14.71,30200
21,2019-08-14,15.06,15.06,14.83,14.87,51400
22,2019-08-13,15.04,15.04,14.92,15.01,33400
23,2019-08-12,15.11,15.11,14.95,14.97,16600
24,2019-08-09,15.05,15.07,15.01,15.03,10600
25,2019-08-08,15.12,15.12,15.0,15.01,20900
26,2019-08-07,14.95,15.04,14.95,15.04,14300
27,2019-08-06,15.07,15.1,14.95,15.04,25000
28,2019-08-05,15.07,15.07,14.95,14.97,46000
29,2019-08-02,15.18,15.18,15.05,15.06,28500
30,2019-08-01,15.18,15.18,15.15,15.16,9700
31,2019-07-31,15.23,15.23,15.12,15.16,28600
32,2019-07-30,15.24,15.24,15.14,15.18,14400
33,2019-07-29,15.17,15.2,15.15,15.2,20200
34,2019-07-26,15.14,15.14,15.12,15.14,8200
35,2019-07-25,15.14,15.14,15.08,15.09,13300
36,2019-07-24,15.16,15.18,15.11,15.14,10100
37,2019-07-23,15.08,15.14,15.07,15.12,17800
38,2019-07-22,15.14,15.17,15.06,15.14,46900
39,2019-07-19,15.09,15.16,15.05,15.09,42900
40,2019-07-18,15.1,15.14,15.07,15.12,33300
41,2019-07-17,15.11,15.17,15.11,15.13,26400
42,2019-07-16,15.16,15.17,15.11,15.16,44500
43,2019-07-15,15.22,15.22,15.18,15.22,16700
44,2019-07-12,15.18,15.22,15.16,15.22,47800
45,2019-07-11,15.18,15.19,15.14,15.19,27000
46,2019-07-10,15.08,15.19,15.08,15.13,63700
47,2019-07-09,15.06,15.11,15.06,15.09,21500
48,2019-07-08,15.12,15.12,15.07,15.07,41700
49,2019-07-05,15.11,15.12,15.1,15.12,24300
50,2019-07-03,15.1,15.15,15.1,15.15,35700
51,2019-07-02,15.12,15.15,15.02,15.1,85100
52,2019-07-01,15.27,15.31,15.14,15.14,151900
53,2019-06-28,15.3,15.3,15.23,15.25,25000
54,2019-06-27,15.25,15.3,15.23,15.28,18100
55,2019-06-26,15.23,15.25,15.2,15.23,22800
56,2019-06-25,15.19,15.28,15.16,15.23,30100
57,2019-06-24,15.16,15.23,15.16,15.2,33400
58,2019-06-21,15.17,15.21,15.13,15.13,28500
59,2019-06-20,15.22,15.24,15.15,15.22,36000
60,2019-06-19,15.19,15.19,15.11,15.19,24400
61,2019-06-18,15.22,15.23,15.12,15.17,72600
62,2019-06-17,15.2,15.26,15.09,15.18,85700
63,2019-06-14,15.2,15.23,15.09,15.18,65200
64,2019-06-13,15.38,15.42,15.25,15.25,62400
65,2019-06-12,15.35,15.55,15.32,15.37,24000
66,2019-06-11,15.4,15.42,15.31,15.35,25300
67,2019-06-10,15.32,15.38,15.28,15.37,23400
68,2019-06-07,15.35,15.39,15.26,15.36,50900
69,2019-06-06,15.36,15.36,15.28,15.36,12300
70,2019-06-05,15.35,15.38,15.22,15.35,27800
71,2019-06-04,15.23,15.28,15.23,15.27,19200
72,2019-06-03,15.35,15.38,15.17,15.2,57900
73,2019-05-31,15.44,15.53,15.35,15.35,23000
74,2019-05-30,15.58,15.58,15.46,15.46,29100
75,2019-05-29,15.62,15.7,15.5,15.53,29000
76,2019-05-28,15.66,15.68,15.61,15.68,25700
77,2019-05-24,15.58,15.63,15.5,15.63,15400
78,2019-05-23,15.62,15.64,15.51,15.55,18100
79,2019-05-22,15.59,15.63,15.57,15.63,23200
80,2019-05-21,15.55,15.62,15.5,15.56,41600
81,2019-05-20,15.52,15.59,15.52,15.55,8300
82,2019-05-17,15.56,15.6,15.52,15.53,17700
83,2019-05-16,15.58,15.7,15.54,15.56,28200
84,2019-05-15,15.69,15.74,15.65,15.68,19400
85,2019-05-14,15.73,15.73,15.64,15.66,21600
86,2019-05-13,15.86,15.89,15.58,15.65,18100
87,2019-05-10,15.8,15.99,15.67,15.99,13000
88,2019-05-09,15.88,15.88,15.72,15.8,21300
89,2019-05-08,15.85,15.9,15.81,15.88,20300
90,2019-05-07,15.83,15.87,15.8,15.87,46100
91,2019-05-06,15.83,15.89,15.83,15.85,21200
92,2019-05-03,15.88,15.9,15.85,15.9,22000
93,2019-05-02,15.8,15.85,15.77,15.78,34600
94,2019-05-01,15.76,15.8,15.75,15.8,17900
95,2019-04-30,15.68,15.76,15.68,15.76,18500
96,2019-04-29,15.55,15.68,15.52,15.68,29900
97,2019-04-26,15.44,15.55,15.42,15.55,24200
98,2019-04-25,15.51,15.51,15.44,15.45,19900
99,2019-04-24,15.51,15.6,15.48,15.56,37700
100,2019-04-23,15.46,15.54,15.44,15.46,48500
101,2019-04-22,15.51,15.53,15.48,15.51,19300
102,2019-04-18,15.55,15.6,15.5,15.5,17700
103,2019-04-17,15.61,15.65,15.54,15.54,24100
104,2019-04-16,15.78,15.78,15.61,15.61,24000
105,2019-04-15,15.82,15.88,15.8,15.87,19800
106,2019-04-12,15.9,15.9,15.82,15.82,13900
107,2019-04-11,15.77,15.85,15.74,15.85,27900
108,2019-04-10,15.64,15.77,15.64,15.77,40100
109,2019-04-09,15.62,15.64,15.6,15.62,28700
110,2019-04-08,15.7,15.72,15.62,15.62,20600
111,2019-04-05,15.67,15.73,15.65,15.71,15500
112,2019-04-04,15.6,15.7,15.6,15.67,9200
113,2019-04-03,15.59,15.67,15.59,15.62,19500
114,2019-04-02,15.51,15.61,15.45,15.58,31100
115,2019-04-01,15.35,15.53,15.35,15.53,34200
116,2019-03-29,15.25,15.4,15.25,15.35,30600
117,2019-03-28,15.39,15.46,15.23,15.24,56300
118,2019-03-27,15.55,15.63,15.42,15.42,42300
119,2019-03-26,15.69,15.69,15.56,15.6,30600
120,2019-03-25,15.68,15.68,15.6,15.64,47300
121,2019-03-22,15.71,15.71,15.61,15.66,35300
122,2019-03-21,15.71,15.74,15.65,15.66,52700
123,2019-03-20,15.63,15.75,15.61,15.7,45600
124,2019-03-19,15.66,15.72,15.66,15.69,13700
125,2019-03-18,15.67,15.75,15.65,15.67,33500
126,2019-03-15,15.58,15.67,15.53,15.67,30800
127,2019-03-14,15.65,15.73,15.6,15.66,34100
128,2019-03-13,15.73,15.83,15.62,15.62,39100
129,2019-03-12,15.69,15.74,15.67,15.74,25200
130,2019-03-11,15.7,15.71,15.65,15.65,36100
131,2019-03-08,15.62,15.7,15.59,15.7,31600
132,2019-03-07,15.59,15.62,15.48,15.59,77200
133,2019-03-06,15.5,15.6,15.48,15.59,40600
134,2019-03-05,15.42,15.52,15.42,15.47,29000
135,2019-03-04,15.52,15.55,15.38,15.43,37100
136,2019-03-01,15.5,15.58,15.45,15.48,33900
137,2019-02-28,15.53,15.58,15.43,15.49,35200
138,2019-02-27,15.6,15.62,15.45,15.5,45100
139,2019-02-26,15.72,15.74,15.52,15.58,52400
140,2019-02-25,15.77,15.83,15.54,15.69,59600
141,2019-02-22,15.4,15.71,15.37,15.71,131300
142,2019-02-21,15.32,15.4,15.32,15.35,47400
143,2019-02-20,15.32,15.39,15.3,15.34,37800
144,2019-02-19,15.34,15.39,15.29,15.32,41600
145,2019-02-15,15.32,15.37,15.3,15.33,45300
146,2019-02-14,15.27,15.33,15.25,15.31,31900
147,2019-02-13,15.27,15.34,15.27,15.34,45500
148,2019-02-12,15.24,15.32,15.24,15.27,46700
