,timestamp,open,high,low,close,volume
0,2019-09-13,20.71,21.11,20.71,21.05,31362
1,2019-09-12,20.97,21.05,20.685,20.77,137741
2,2019-09-11,21.0,21.14,20.95,20.97,125400
3,2019-09-10,20.83,21.02,20.79,20.99,118600
4,2019-09-09,20.4,20.8,20.4,20.78,147900
5,2019-09-06,20.43,20.43,20.19,20.36,149900
6,2019-09-05,20.49,20.7,20.49,20.49,147500
7,2019-09-04,20.34,20.6,20.34,20.36,149900
8,2019-09-03,20.15,20.43,20.15,20.25,202200
9,2019-08-30,20.47,20.81,20.33,20.39,307500
10,2019-08-29,20.25,20.56,20.19,20.29,196800
11,2019-08-28,19.6,20.19,19.6,20.09,320300
12,2019-08-27,19.87,20.0,19.45,19.51,290600
13,2019-08-26,20.35,20.5,19.76,19.8,312300
14,2019-08-23,20.6,20.63,20.25,20.26,160600
15,2019-08-22,21.22,21.22,20.74,20.79,165100
16,2019-08-21,21.8,21.92,21.65,21.8,245700
17,2019-08-20,21.67,21.79,21.51,21.65,153900
18,2019-08-19,21.63,21.74,20.81,21.69,158300
19,2019-08-16,21.03,21.46,20.81,21.34,180300
20,2019-08-15,20.98,21.22,20.81,20.9,207800
21,2019-08-14,21.2,21.213,20.67,21.0,324400
22,2019-08-13,21.07,21.57,21.07,21.52,235000
23,2019-08-12,21.23,21.33,21.03,21.12,206300
24,2019-08-09,21.39,21.59,21.12,21.23,148700
25,2019-08-08,21.31,21.38,21.23,21.26,201600
26,2019-08-07,21.16,21.37,20.84,21.25,309300
27,2019-08-06,21.51,21.66,21.14,21.43,215000
28,2019-08-05,21.67,21.67,21.13,21.39,241300
29,2019-08-02,22.03,22.1,21.66,21.9,196000
30,2019-08-01,22.3,22.37,21.95,22.06,144700
31,2019-07-31,22.42,22.51,22.17,22.35,107400
32,2019-07-30,22.44,22.48,22.31,22.42,86400
33,2019-07-29,22.93,22.95,22.49,22.49,176700
34,2019-07-26,23.07,23.12,22.83,22.93,100100
35,2019-07-25,23.3201,23.32,23.04,23.07,90600
36,2019-07-24,23.35,23.5797,23.15,23.19,92100
37,2019-07-23,23.39,23.44,23.21,23.3,105200
38,2019-07-22,23.2189,23.37,23.07,23.32,100700
39,2019-07-19,23.08,23.12,22.92,23.09,84700
40,2019-07-18,23.0,23.11,22.91,23.01,150200
41,2019-07-17,23.17,23.24,23.0282,23.06,103400
42,2019-07-16,23.18,23.39,23.11,23.21,167800
43,2019-07-15,23.371,23.37,23.18,23.23,138900
44,2019-07-12,23.38,23.45,23.25,23.35,128000
45,2019-07-11,23.21,23.46,23.1,23.36,181900
46,2019-07-10,22.91,23.28,22.85,23.13,158200
47,2019-07-09,22.77,22.8005,22.65,22.77,92600
48,2019-07-08,22.73,22.85,22.73,22.81,67000
49,2019-07-05,22.64,22.85,22.58,22.78,105600
50,2019-07-03,22.53,22.74,22.43,22.67,101200
51,2019-07-02,22.56,22.57,22.31,22.53,101500
52,2019-07-01,22.74,22.88,22.46,22.53,163400
53,2019-06-28,22.38,22.55,22.21,22.55,131700
54,2019-06-27,22.24,22.33,22.1618,22.22,79200
55,2019-06-26,22.15,22.42,22.12,22.17,144600
56,2019-06-25,22.24,22.3,21.96,22.04,106400
57,2019-06-24,22.43,22.48,22.18,22.33,89900
58,2019-06-21,22.25,22.54,22.2,22.37,131900
59,2019-06-20,22.26,22.4,22.17,22.25,106300
60,2019-06-19,22.1115,22.21,21.95,22.02,143200
61,2019-06-17,22.2,22.27,22.01,22.1,115000
62,2019-06-14,22.54,22.6,22.22,22.24,84200
