,timestamp,open,high,low,close,volume
0,2019-09-27,4.8,5.55,4.8,5.55,4260600
1,2019-09-26,4.44,5.24,4.26,4.78,8819400
2,2019-09-25,4.93,5.57,4.12,4.36,20491300
3,2019-09-24,4.45,5.47,4.27,5.1,5750000
4,2019-09-23,4.82,4.99,4.34,4.53,4678300
5,2019-09-20,7.64,7.65,4.5,4.99,7403300
6,2019-09-19,7.35,7.9,7.25,7.65,924000
7,2019-09-18,7.59,7.59,7.04,7.39,980300
8,2019-09-17,8.1,8.22,7.57,7.59,989400
9,2019-09-16,8.05,8.35,8.0,8.17,653100
10,2019-09-13,8.16,8.25,8.08,8.13,532400
11,2019-09-12,8.0,8.3,7.95,8.18,668700
12,2019-09-11,7.78,8.11,7.69,7.98,712500
13,2019-09-10,7.43,7.86,7.21,7.68,812600
14,2019-09-09,7.3,7.48,7.02,7.46,1013600
15,2019-09-06,6.93,7.45,6.86,7.15,1078000
16,2019-09-05,6.37,7.11,6.37,6.92,1798200
17,2019-09-04,7.4,7.43,6.25,6.37,3853000
18,2019-09-03,8.16,8.38,8.13,8.15,519000
19,2019-08-30,8.22,8.33,8.13,8.23,392300
20,2019-08-29,8.19,8.29,8.11,8.18,289200
21,2019-08-28,8.06,8.35,7.95,8.14,459700
22,2019-08-27,8.14,8.34,7.98,8.0,459200
23,2019-08-26,8.07,8.21,7.97,8.07,360000
24,2019-08-23,8.23,8.33,7.86,7.96,585200
25,2019-08-22,8.1,8.45,8.08,8.24,739700
26,2019-08-21,7.99,8.19,7.96,8.12,634600
27,2019-08-20,7.93,8.19,7.85,7.91,643200
28,2019-08-19,7.74,8.19,7.61,7.91,1025900
29,2019-08-16,7.43,7.86,7.32,7.59,1093700
30,2019-08-15,7.17,7.4,7.08,7.36,519600
31,2019-08-14,7.16,7.24,6.97,7.21,478700
32,2019-08-13,6.98,7.29,6.93,7.25,451300
33,2019-08-12,7.1,7.12,6.93,7.03,435000
34,2019-08-09,7.21,7.25,7.0,7.15,408700
35,2019-08-08,7.23,7.33,7.15,7.25,667100
36,2019-08-07,7.04,7.36,6.9705,7.18,756900
37,2019-08-06,6.94,7.14,6.82,7.06,866300
38,2019-08-05,6.81,6.91,6.5,6.87,859900
39,2019-08-02,6.8701,7.05,6.6,7.0,1088600
40,2019-08-01,6.6,6.97,6.58,6.93,2375200
41,2019-07-31,6.55,6.8,6.5,6.58,923000
42,2019-07-30,6.62,6.67,6.5,6.54,388700
43,2019-07-29,6.65,6.86,6.61,6.68,445700
44,2019-07-26,6.5,6.71,6.45,6.68,620600
45,2019-07-25,6.6,6.6,6.46,6.46,666600
46,2019-07-24,6.4899,6.66,6.42,6.64,585400
47,2019-07-23,6.5,6.51,6.3,6.49,893200
48,2019-07-22,6.55,6.78,6.48,6.51,759600
49,2019-07-19,6.67,6.79,6.59,6.7,418800
50,2019-07-18,6.71,7.1,6.38,6.67,1078200
51,2019-07-17,7.0604,7.06,6.7,6.71,1299700
52,2019-07-16,7.09,7.17,6.93,7.02,541900
53,2019-07-15,7.33,7.4,7.08,7.09,414300
54,2019-07-12,7.25,7.33,7.16,7.29,438800
55,2019-07-11,7.34,7.37,7.12,7.25,583500
56,2019-07-10,7.44,7.53,7.22,7.32,409600
57,2019-07-09,7.38,7.46,7.24,7.4,443800
58,2019-07-08,7.55,7.64,7.38,7.45,295900
59,2019-07-05,7.53,7.58,7.36,7.54,321700
60,2019-07-03,7.4999,7.69,7.42,7.61,224200
61,2019-07-02,7.52,7.57,7.32,7.53,331300
62,2019-07-01,7.54,7.72,7.3,7.5,469000
63,2019-06-28,7.24,7.47,7.14,7.43,965800
64,2019-06-27,7.05,7.3,7.0,7.18,486400
65,2019-06-26,7.06,7.23,6.97,7.03,522000
66,2019-06-25,7.41,7.5,7.02,7.05,616200
67,2019-06-24,7.46,7.565,7.25,7.38,988300
68,2019-06-21,8.0,8.01,7.44,7.45,1403800
69,2019-06-20,8.0,8.16,7.97,8.06,568700
70,2019-06-19,7.88,7.94,7.65,7.94,588100
71,2019-06-18,7.81,8.03,7.74,7.82,642100
72,2019-06-17,7.7,7.81,7.58,7.74,431000
73,2019-06-14,7.89,7.937,7.59,7.72,573000
74,2019-06-13,7.85,8.11,7.79,7.91,1079600
75,2019-06-12,7.82,7.98,7.74,7.81,677500
76,2019-06-11,7.71,7.92,7.523,7.86,945500
77,2019-06-10,7.19,7.936,7.19,7.62,1296600
78,2019-06-07,6.75,7.16,6.65,7.12,1033900
79,2019-06-06,6.69,6.74,6.5095,6.7,509900
80,2019-06-05,6.85,6.88,6.51,6.6,790800
81,2019-06-04,6.56,6.78,6.51,6.77,611800
82,2019-06-03,6.75,6.85,6.47,6.54,654700
83,2019-05-31,6.72,6.77,6.52,6.71,982300
84,2019-05-30,7.13,7.18,6.7901,6.86,801000
85,2019-05-29,7.16,7.22,6.7094,7.09,1436500
86,2019-05-28,7.14,7.48,7.14,7.23,862400
87,2019-05-24,7.34,7.35,6.81,7.13,1615500
88,2019-05-23,7.09,7.47,7.03,7.21,1554100
89,2019-05-22,6.73,7.53,6.698,7.18,2724400
90,2019-05-21,6.0,6.92,5.99,6.76,2948700
91,2019-05-20,5.9401,6.06,5.83,5.9,587100
92,2019-05-17,5.96,6.13,5.88,6.03,780200
93,2019-05-16,5.73,6.05,5.67,6.04,2692300
94,2019-05-15,5.7,5.82,5.66,5.69,680000
95,2019-05-14,5.81,5.849,5.72,5.77,525100
96,2019-05-13,5.67,5.79,5.66,5.72,651500
97,2019-05-10,5.85,5.99,5.69,5.85,721800
98,2019-05-09,5.67,5.96,5.59,5.87,1237600
99,2019-05-08,5.8598,5.93,5.69,5.72,3304800
100,2019-05-07,5.95,6.0603,5.77,5.85,1916300
101,2019-05-06,5.73,6.06,5.7,6.02,1022100
102,2019-05-03,5.72,5.95,5.62,5.89,796800
103,2019-05-02,5.62,5.842,5.5,5.66,1169000
104,2019-05-01,5.75,5.77,5.51,5.62,642600
105,2019-04-30,5.67,5.77,5.5602,5.67,763700
106,2019-04-29,5.39,5.69,5.37,5.67,630000
107,2019-04-26,5.5,5.57,5.28,5.42,879200
108,2019-04-25,5.56,5.59,5.38,5.5,744200
109,2019-04-24,5.3,5.572,5.23,5.49,819700
110,2019-04-23,5.26,5.36,5.09,5.33,850800
111,2019-04-22,5.1202,5.3,5.09,5.24,693500
112,2019-04-18,5.18,5.23,4.955,5.13,849200
113,2019-04-17,5.12,5.217,4.991,5.07,747900
114,2019-04-16,5.0,5.12,4.9096,5.07,418200
115,2019-04-15,4.94,5.005,4.815,4.98,444700
116,2019-04-12,4.97,5.035,4.83,4.95,689400
117,2019-04-11,4.97,4.98,4.75,4.93,756600
118,2019-04-10,4.6704,4.97,4.57,4.92,1344800
119,2019-04-09,4.67,4.7,4.55,4.57,556200
120,2019-04-08,4.55,4.65,4.39,4.64,681200
121,2019-04-05,4.58,4.67,4.39,4.5,828300
122,2019-04-04,4.42,4.77,4.42,4.64,1006600
123,2019-04-03,4.31,4.45,4.25,4.42,848200
124,2019-04-02,4.3,4.42,4.15,4.28,1094200
125,2019-04-01,4.18,4.29,4.08,4.28,705900
126,2019-03-29,4.04,4.165,3.9902,4.15,757900
127,2019-03-28,3.93,4.04,3.9,4.01,701100
128,2019-03-27,3.92,3.96,3.82,3.94,602000
129,2019-03-26,3.87,3.985,3.825,3.91,659600
130,2019-03-25,3.87,3.93,3.76,3.84,724400
131,2019-03-22,3.99,3.99,3.83,3.88,1016100
132,2019-03-21,3.92,4.073,3.91,4.01,738200
133,2019-03-20,3.93,4.0201,3.79,3.92,639300
134,2019-03-19,3.88,4.04,3.86,3.94,626000
135,2019-03-18,3.96,4.05,3.85,3.88,791800
136,2019-03-15,3.89,4.1,3.84,3.95,1109700
137,2019-03-14,4.07,4.15,3.89,3.89,1212100
138,2019-03-13,4.1501,4.25,4.04,4.07,1367700
139,2019-03-12,4.0,4.2,3.96,4.14,1130900
140,2019-03-11,3.7,4.14,3.69,4.01,2907400
141,2019-03-08,3.41,3.43,3.29,3.41,1346000
142,2019-03-07,3.5,3.7,3.3551,3.45,1629700
143,2019-03-06,3.79,3.8,3.44,3.5,1648100
144,2019-03-05,3.72,3.9,3.53,3.86,4307700
145,2019-03-04,3.97,4.16,3.94,4.09,2168800
146,2019-03-01,3.99,4.009,3.85,3.95,1145900
147,2019-02-28,3.95,4.0399,3.88,3.96,1058900
148,2019-02-27,3.98,4.01,3.81,3.98,1446800
149,2019-02-26,3.99,4.08,3.87,4.0,2074700
150,2019-02-25,4.14,4.23,3.99,3.99,1456800
151,2019-02-22,4.19,4.25,3.92,4.12,2393200
152,2019-02-21,4.18,4.23,4.03,4.18,2575500
153,2019-02-20,3.9,4.34,3.88,4.09,4814000
154,2019-02-19,3.69,3.97,3.62,3.92,4694700
155,2019-02-15,3.67,3.78,3.58,3.66,3200300
156,2019-02-14,3.61,3.8,3.56,3.67,3386900
157,2019-02-13,3.63,3.71,3.46,3.62,3068300
158,2019-02-12,3.7,3.83,3.52,3.59,3369500
159,2019-02-11,3.8,3.85,3.45,3.69,3924100
160,2019-02-08,3.52,3.945,3.51,3.8,6677100
161,2019-02-07,3.9,3.91,3.19,3.4,16449800
162,2019-02-06,6.85,7.17,6.75,6.88,1353000
163,2019-02-05,6.58,6.89,6.37,6.85,1277000
164,2019-02-04,6.27,6.71,6.16,6.58,1200400
165,2019-02-01,5.92,6.54,5.82,6.15,1937700
166,2019-01-31,5.83,6.09,5.655,5.91,1481400
167,2019-01-30,5.55,5.85,5.43,5.8,931400
168,2019-01-29,5.76,5.84,5.39,5.54,1064100
169,2019-01-28,5.51,5.74,5.27,5.67,937300
170,2019-01-25,5.16,5.56,5.15,5.49,1237900
171,2019-01-24,5.33,5.44,5.12,5.15,681000
172,2019-01-23,5.28,5.535,5.25,5.33,884600
173,2019-01-22,5.19,5.56,5.11,5.27,1430100
174,2019-01-18,5.12,5.2955,5.01,5.26,920400
175,2019-01-17,5.15,5.25,5.1,5.12,531700
176,2019-01-16,5.6297,5.64,5.05,5.18,1335400
177,2019-01-15,5.94,6.23,5.33,5.63,2057200
178,2019-01-14,5.5,6.4348,5.5,5.91,4609800
179,2019-01-11,5.32,5.34,4.92,5.07,1024900
180,2019-01-10,5.07,5.37,4.87,5.32,1189900
181,2019-01-09,4.92,5.21,4.77,5.0,1683100
182,2019-01-08,4.34,4.94,4.25,4.8,2466600
183,2019-01-07,3.97,4.33,3.97,4.26,756000
184,2019-01-04,3.81,4.05,3.74,3.96,428700
185,2019-01-03,3.88,3.88,3.7,3.74,643500
186,2019-01-02,3.8,4.0,3.752,3.94,554500
187,2018-12-31,3.75,3.92,3.7,3.89,973900
188,2018-12-28,3.72,3.82,3.6398,3.71,342800
189,2018-12-27,3.77,3.85,3.405,3.71,2133300
190,2018-12-26,3.5001,3.9,3.455,3.9,1239100
