,timestamp,open,high,low,close,volume
0,2019-09-30,11.83,11.8499,11.71,11.76,61317
1,2019-09-27,12.18,12.28,11.68,11.77,469500
2,2019-09-26,12.4,12.53,12.12,12.23,222300
3,2019-09-25,12.04,12.37,12.04,12.37,301400
4,2019-09-24,12.12,12.31,12.02,12.11,295500
5,2019-09-23,11.75,12.13,11.7,12.11,275500
6,2019-09-20,11.66,11.83,11.54,11.77,378600
7,2019-09-19,11.81,12.01,11.53,11.63,245100
8,2019-09-18,11.63,11.81,11.52,11.73,235000
9,2019-09-17,11.3,11.62,11.13,11.6,165900
10,2019-09-16,11.17,11.4,11.04,11.36,639700
11,2019-09-13,11.26,11.53,11.13,11.3,208400
12,2019-09-12,11.02,11.24,10.65,11.19,284000
13,2019-09-11,10.4,11.1,10.26,10.98,346200
14,2019-09-10,9.99,10.41,9.93,10.32,282600
15,2019-09-09,9.76,10.06,9.65,9.97,221000
16,2019-09-06,9.57,9.69,9.32,9.65,231100
17,2019-09-05,9.39,9.72,9.39,9.53,274000
18,2019-09-04,9.16,9.3,9.15,9.18,162400
19,2019-09-03,9.21,9.28,8.98,9.0,212000
20,2019-08-30,9.43,9.5,9.08,9.26,558400
21,2019-08-29,9.42,9.62,9.34,9.36,165700
22,2019-08-28,9.28,9.46,9.18,9.22,156300
23,2019-08-27,10.01,10.01,9.32,9.33,197000
24,2019-08-26,10.08,10.08,9.85,9.91,145900
25,2019-08-23,10.2,10.34,9.91,9.91,379700
26,2019-08-22,10.5,10.6,10.2,10.29,485200
27,2019-08-21,10.53,10.68,10.36,10.49,214500
28,2019-08-20,10.88,10.9,10.43,10.44,216700
29,2019-08-19,11.19,11.32,10.85,10.93,227600
30,2019-08-16,10.92,11.07,10.8308,10.95,319500
31,2019-08-15,10.9,10.92,10.6896,10.78,142000
32,2019-08-14,11.0,11.09,10.68,10.85,223000
33,2019-08-13,10.95,11.57,10.95,11.31,152900
34,2019-08-12,10.94,11.18,10.8696,10.99,263700
35,2019-08-09,11.5,11.51,11.04,11.05,303300
36,2019-08-08,11.93,12.01,11.65,11.67,321700
37,2019-08-07,12.12,12.26,11.845,11.89,464700
38,2019-08-06,12.53,12.53,11.69,12.27,745200
39,2019-08-05,11.37,11.55,10.76,10.96,371600
40,2019-08-02,11.78,12.29,11.42,11.77,215700
41,2019-08-01,11.9,12.5207,11.77,11.94,421000
42,2019-07-31,12.22,12.22,11.8,11.91,429700
43,2019-07-30,11.85,12.29,11.76,12.22,384000
44,2019-07-29,12.08,12.19,11.6697,12.04,531200
45,2019-07-26,12.06,12.35,12.04,12.17,917100
46,2019-07-25,12.4,12.42,11.96,11.98,333600
47,2019-07-24,11.96,12.48,11.8,12.48,666600
48,2019-07-23,11.78,12.1,11.7,11.94,469700
49,2019-07-22,11.8903,12.0,11.56,11.67,408300
50,2019-07-19,11.8,12.06,11.73,11.8,425000
51,2019-07-18,11.9593,12.1,11.69,11.82,723200
52,2019-07-17,11.74,11.92,11.63,11.85,278600
