,timestamp,open,high,low,close,volume
0,2019-09-30,2.4,2.41,2.375,2.395,11464683
1,2019-09-27,2.44,2.44,2.37,2.4,2033500
2,2019-09-26,2.42,2.5,2.41,2.43,4343600
3,2019-09-25,2.4,2.45,2.3501,2.42,1983000
4,2019-09-24,2.36,2.44,2.36,2.42,1351200
5,2019-09-23,2.41,2.41,2.36,2.37,6881400
6,2019-09-20,2.41,2.43,2.36,2.41,17763800
7,2019-09-19,2.42,2.47,2.4,2.4,3694719
8,2019-09-18,2.34,2.47,2.33,2.4,14586000
9,2019-09-17,2.37,2.47,2.27,2.34,15400500
10,2019-09-16,2.43,2.43,2.35,2.39,11789648
11,2019-09-13,2.49,2.52,2.44,2.47,3095300
12,2019-09-12,2.54,2.55,2.47,2.49,2679700
13,2019-09-11,2.57,2.57,2.47,2.55,4814200
14,2019-09-10,2.55,2.58,2.5,2.57,2961500
15,2019-09-09,2.52,2.55,2.49,2.54,2487230
16,2019-09-06,2.55,2.55,2.5,2.53,3097800
17,2019-09-05,2.52,2.54,2.47,2.5,2682500
18,2019-09-04,2.49,2.54,2.47,2.5,10232900
19,2019-09-03,2.6,2.62,2.46,2.49,7910100
20,2019-08-30,2.5699,2.63,2.56,2.61,7309300
21,2019-08-29,2.57,2.59,2.51,2.57,6970500
22,2019-08-28,2.53,2.59,2.51,2.54,3244300
23,2019-08-27,2.57,2.68,2.52,2.55,4305500
24,2019-08-26,2.59,2.63,2.5501,2.59,5130700
25,2019-08-23,2.7,2.71,2.55,2.55,2882900
26,2019-08-22,2.66,2.7099,2.64,2.7,2144600
27,2019-08-21,2.66,2.71,2.63,2.65,7013934
28,2019-08-20,2.67,2.71,2.63,2.63,1662100
29,2019-08-19,2.63,2.68,2.6199,2.68,8488400
30,2019-08-16,2.59,2.63,2.57,2.61,974200
31,2019-08-15,2.63,2.63,2.52,2.6,2002500
32,2019-08-14,2.68,2.69,2.62,2.62,2125200
33,2019-08-13,2.68,2.73,2.63,2.69,3202600
34,2019-08-12,2.7901,2.8,2.73,2.78,1592000
35,2019-08-09,2.88,2.9099,2.76,2.82,8713429
36,2019-08-08,2.87,2.93,2.85,2.86,1742433
37,2019-08-07,2.82,2.88,2.8,2.86,17280199
38,2019-08-06,2.87,2.88,2.77,2.84,3232800
39,2019-08-05,2.86,2.87,2.81,2.86,2471897
40,2019-08-02,2.77,2.96,2.75,2.9,2511900
41,2019-08-01,3.13,3.13,2.81,2.81,4747763
42,2019-07-31,3.04,3.15,3.03,3.13,4655300
43,2019-07-30,3.1,3.14,3.0,3.02,1286300
44,2019-07-29,3.13,3.15,3.09,3.12,2515400
45,2019-07-26,3.09,3.15,3.08,3.12,6381400
46,2019-07-25,3.12,3.13,3.04,3.06,3676800
47,2019-07-24,3.08,3.12,3.04,3.11,4397200
48,2019-07-23,3.0,3.1,2.99,3.07,3912100
49,2019-07-22,3.04,3.05,3.0,3.02,2471800
50,2019-07-19,3.03,3.06,3.0,3.03,2626800
51,2019-07-18,3.06,3.06,2.99,3.03,3703100
52,2019-07-17,3.14,3.17,3.06,3.1,3398800
53,2019-07-16,3.18,3.18,3.12,3.14,3255800
54,2019-07-15,3.18,3.21,3.13,3.18,2623500
55,2019-07-12,3.19,3.23,3.1499,3.17,3871000
56,2019-07-11,3.2599,3.28,3.15,3.2,8524300
57,2019-07-10,3.11,3.2,3.04,3.19,10605400
58,2019-07-09,3.16,3.17,3.06,3.1,10090400
59,2019-07-08,2.92,3.14,2.9,3.11,10515800
60,2019-07-05,2.81,2.99,2.79,2.92,11633380
61,2019-07-03,2.77,2.83,2.75,2.83,1882111
62,2019-07-02,2.79,2.79,2.7,2.73,3857823
63,2019-07-01,2.85,2.85,2.7601,2.79,2318011
64,2019-06-28,2.82,2.83,2.78,2.8,4734204
65,2019-06-27,2.83,2.86,2.815,2.84,8683558
66,2019-06-26,2.74,2.86,2.7401,2.81,16046341
67,2019-06-25,2.76,2.79,2.725,2.75,6864840
68,2019-06-24,2.86,2.86,2.76,2.81,8401806
69,2019-06-21,2.73,2.86,2.72,2.85,15281585
70,2019-06-20,2.68,2.735,2.65,2.73,10446210
71,2019-06-19,2.66,2.71,2.6,2.71,13100392
72,2019-06-18,2.6,2.68,2.535,2.67,8936230
73,2019-06-17,2.5,2.58,2.47,2.57,18449111
74,2019-06-14,2.4,2.46,2.3699,2.44,6381715
75,2019-06-13,2.36,2.415,2.34,2.39,4348201
76,2019-06-12,2.3601,2.375,2.32,2.36,4584374
77,2019-06-11,2.37,2.4101,2.36,2.37,15761197
78,2019-06-10,2.34,2.37,2.32,2.37,1566853
79,2019-06-07,2.32,2.37,2.28,2.36,4222728
80,2019-06-06,2.33,2.39,2.31,2.32,3097378
81,2019-06-05,2.34,2.36,2.33,2.34,1657387
82,2019-06-04,2.38,2.38,2.33,2.34,876129
83,2019-06-03,2.29,2.3901,2.29,2.35,3211151
84,2019-05-31,2.3,2.3,2.26,2.3,2519955
85,2019-05-30,2.34,2.38,2.26,2.3,3129258
86,2019-05-29,2.32,2.34,2.27,2.29,4503012
87,2019-05-28,2.38,2.39,2.32,2.33,2387548
88,2019-05-24,2.4,2.41,2.36,2.38,4253782
89,2019-05-23,2.44,2.47,2.395,2.41,4739576
90,2019-05-22,2.47,2.485,2.44,2.46,2391614
91,2019-05-21,2.47,2.49,2.44,2.46,2362156
92,2019-05-20,2.48,2.51,2.43,2.43,4176570
93,2019-05-17,2.44,2.5299,2.42,2.51,11099176
94,2019-05-16,2.38,2.49,2.38,2.49,12360697
95,2019-05-15,2.37,2.385,2.36,2.38,4972535
96,2019-05-14,2.38,2.4,2.37,2.37,4187529
97,2019-05-13,2.38,2.4,2.37,2.38,3032696
98,2019-05-10,2.38,2.44,2.36,2.43,4930225
99,2019-05-09,2.37,2.3875,2.33,2.38,2837638
100,2019-05-08,2.36,2.4,2.35,2.4,2775845
101,2019-05-07,2.37,2.41,2.32,2.36,3782061
102,2019-05-06,2.39,2.41,2.29,2.38,3305719
103,2019-05-03,2.39,2.43,2.38,2.42,1842715
104,2019-05-02,2.35,2.41,2.34,2.39,4274620
105,2019-05-01,2.33,2.35,2.31,2.34,2430997
106,2019-04-30,2.32,2.35,2.29,2.34,9222222
107,2019-04-29,2.36,2.36,2.3,2.32,4099064
108,2019-04-26,2.34,2.3599,2.33,2.36,15376883
109,2019-04-25,2.34,2.36,2.29,2.35,10872005
110,2019-04-24,2.3,2.35,2.28,2.32,4800603
111,2019-04-23,2.3498,2.35,2.28,2.31,6536445
112,2019-04-22,2.35,2.36,2.31,2.34,1753952
113,2019-04-18,2.29,2.36,2.26,2.36,9496024
