,timestamp,open,high,low,close,volume
0,2019-09-30,66.57,66.5769,66.57,66.5769,13449
1,2019-09-27,66.57,66.68,66.56,66.64,203200
2,2019-09-26,66.6,66.65,66.54,66.56,245800
3,2019-09-25,66.72,66.75,66.46,66.48,700500
4,2019-09-24,66.57,66.81,66.57,66.78,281000
5,2019-09-23,66.53,66.67,66.5,66.54,169100
6,2019-09-20,66.29,66.46,66.26,66.45,213100
7,2019-09-19,66.32,66.32,66.22,66.23,300200
8,2019-09-18,66.35,66.44,66.15,66.2,153700
9,2019-09-17,66.12,66.26,66.08,66.22,291500
10,2019-09-16,66.05,66.13,66.01,66.1,170700
11,2019-09-13,66.14,66.18,65.9,65.91,239500
12,2019-09-12,66.51,66.53,66.25,66.31,260100
13,2019-09-11,66.41,66.49,66.41,66.42,286100
14,2019-09-10,66.71,66.75,66.46,66.48,287000
15,2019-09-09,66.83,66.88,66.78,66.78,311700
16,2019-09-06,67.03,67.09,67.0,67.05,355700
17,2019-09-05,67.14,67.15,66.91,67.02,407800
18,2019-09-04,67.28,67.42,67.28,67.41,453900
19,2019-09-03,67.21,67.43,67.13,67.29,922900
20,2019-08-30,67.19,67.31,67.17,67.29,140400
21,2019-08-29,67.32,67.32,67.16,67.25,326800
22,2019-08-28,67.39,67.41,67.31,67.31,399100
23,2019-08-27,67.2,67.35,67.2,67.3,343800
24,2019-08-26,67.2,67.29,67.11,67.17,269600
25,2019-08-23,66.97,67.28,66.94,67.22,334600
26,2019-08-22,66.93,67.05,66.89,66.92,212000
27,2019-08-21,67.01,67.12,66.97,67.0,274700
28,2019-08-20,67.13,67.18,67.1,67.15,522000
29,2019-08-19,66.96,67.03,66.94,66.95,506900
30,2019-08-16,67.07,67.16,66.96,67.14,403700
31,2019-08-15,67.0,67.32,66.97,67.22,891200
32,2019-08-14,66.9,66.98,66.856,66.93,409200
33,2019-08-13,66.8458,66.85,66.57,66.66,407200
34,2019-08-12,66.75,66.93,66.75,66.88,251400
35,2019-08-09,66.73,66.787,66.57,66.62,242800
36,2019-08-08,66.61,66.733,66.496,66.68,820000
37,2019-08-07,67.02,67.098,66.65,66.69,434600
38,2019-08-06,66.58,66.72,66.53,66.71,304500
39,2019-08-05,66.54,66.69,66.51,66.65,630500
40,2019-08-02,66.1901,66.27,66.13,66.23,457900
41,2019-08-01,65.73,66.22,65.71,66.19,480300
42,2019-07-31,65.73,65.85,65.54,65.78,322300
43,2019-07-30,65.74,65.75,65.66,65.73,1100700
44,2019-07-29,65.74,65.75,65.69,65.71,209500
45,2019-07-26,65.67,65.68,65.6,65.66,211600
46,2019-07-25,65.72,65.72,65.59,65.68,271700
47,2019-07-24,65.7678,65.82,65.73,65.77,347200
48,2019-07-23,65.75,65.79,65.69,65.73,238700
49,2019-07-22,65.82,65.83,65.77,65.78,413200
50,2019-07-19,65.7482,65.8,65.69,65.77,279700
51,2019-07-18,65.68,65.9002,65.66,65.85,301100
52,2019-07-17,65.58,65.73,65.57,65.71,245300
53,2019-07-16,65.48,65.53,65.42,65.52,427900
54,2019-07-15,65.58,65.6316,65.57,65.63,503700
55,2019-07-12,65.46,65.57,65.45,65.54,192600
56,2019-07-11,65.63,65.65,65.46,65.49,159400
57,2019-07-10,65.63,65.72,65.58,65.66,481700
58,2019-07-09,65.6,65.61,65.53,65.56,198300
59,2019-07-08,65.71,65.75,65.59,65.59,192300
60,2019-07-05,65.7,65.7041,65.56,65.66,448500
61,2019-07-03,65.95,66.02,65.95,65.99,404600
62,2019-07-02,65.81,65.94,65.79,65.9,281400
63,2019-07-01,65.84,65.8403,65.7,65.77,624500
64,2019-06-28,65.9,66.0,65.89,65.97,260200
65,2019-06-27,65.87,65.97,65.8315,65.93,917600
66,2019-06-26,65.95,65.95,65.8,65.83,559000
67,2019-06-25,65.99,66.08,65.92,66.03,241800
68,2019-06-24,65.88,65.97,65.85,65.94,195900
69,2019-06-21,65.84,65.85,65.74,65.77,222000
70,2019-06-20,66.0,66.08,65.94,65.95,736200
71,2019-06-19,65.59,65.9525,65.551,65.88,316600
72,2019-06-18,65.8,65.89,65.653,65.67,325500
73,2019-06-17,65.64,65.6654,65.58,65.61,290000
74,2019-06-14,65.59,65.68,65.59,65.66,694300
75,2019-06-13,65.57,65.688,65.547,65.64,376300
76,2019-06-12,65.44,65.53,65.428,65.51,188700
77,2019-06-11,65.35,65.41,65.32,65.36,465700
78,2019-06-10,65.47,65.47,65.37,65.4,172700
79,2019-06-07,65.68,65.71,65.538,65.61,254200
80,2019-06-06,65.4938,65.575,65.405,65.44,323300
81,2019-06-05,65.57,65.629,65.457,65.5,453200
82,2019-06-04,65.4,65.5,65.335,65.45,593100
83,2019-06-03,65.42,65.649,65.38,65.59,510300
84,2019-05-31,65.3,65.504,65.273,65.48,292500
85,2019-05-30,65.0,65.165,64.93,65.15,306000
86,2019-05-29,65.1,65.17,64.97,64.98,581200
87,2019-05-28,64.92,64.99,64.868,64.98,211000
88,2019-05-24,64.82,64.83,64.7638,64.8,113800
89,2019-05-23,64.67,64.91,64.67,64.84,168300
90,2019-05-22,64.48,64.59,64.48,64.57,174400
91,2019-05-21,64.46,64.466,64.395,64.42,139400
92,2019-05-20,64.57,64.582,64.47,64.5,132700
93,2019-05-17,64.64,64.64,64.53,64.59,110400
94,2019-05-16,64.53,64.57,64.49,64.57,251600
95,2019-05-15,64.6769,64.68,64.57,64.65,191500
96,2019-05-14,64.5,64.53,64.45,64.5,239100
97,2019-05-13,64.49,64.58,64.47,64.54,667900
98,2019-05-10,64.34,64.42,64.264,64.29,152400
99,2019-05-09,64.34,64.42,64.27,64.32,319800
100,2019-05-08,64.31,64.33,64.17,64.19,216500
101,2019-05-07,64.24,64.31,64.22,64.28,174000
102,2019-05-06,64.18,64.2,64.11,64.14,407400
103,2019-05-03,64.01,64.07,64.0,64.03,544400
104,2019-05-02,64.04,64.052,63.92,63.96,493400
105,2019-05-01,64.15,64.362,64.05,64.1,310600
106,2019-04-30,64.14,64.28,64.14,64.27,197900
107,2019-04-29,64.17,64.19,64.13,64.17,178000
108,2019-04-26,64.27,64.28,64.22,64.23,223400
109,2019-04-25,64.15,64.18,64.1,64.12,273300
110,2019-04-24,64.12,64.18,64.12,64.16,153900
111,2019-04-23,63.98,64.017,63.97,63.98,188700
112,2019-04-22,63.93,63.94,63.89,63.9,248200
113,2019-04-18,63.94,64.01,63.93,63.96,217100
114,2019-04-17,63.83,63.9,63.818,63.84,507800
115,2019-04-16,63.88,63.904,63.81,63.83,353900
116,2019-04-15,63.91,63.97,63.91,63.95,552600
117,2019-04-12,63.94,63.98,63.9,63.9,700300
118,2019-04-11,64.14,64.15,64.08,64.11,716800
119,2019-04-10,64.19,64.245,64.175,64.21,583500
120,2019-04-09,64.14,64.15,64.09,64.11,825100
121,2019-04-08,64.08,64.12,64.026,64.04,177800
122,2019-04-05,64.0524,64.12,64.046,64.08,251800
123,2019-04-04,64.07,64.09,64.0326,64.09,920500
124,2019-04-03,64.04,64.085,64.0144,64.02,387800
125,2019-04-02,64.14,64.17,64.1,64.16,254600
126,2019-04-01,64.1983,64.23,64.04,64.06,562900
127,2019-03-29,64.4,64.48,64.377,64.48,156400
128,2019-03-28,64.57,64.597,64.49,64.55,334600
129,2019-03-27,64.61,64.71,64.554,64.6,581900
130,2019-03-26,64.42,64.54,64.385,64.47,241600
131,2019-03-25,64.39,64.6,64.337,64.47,342100
132,2019-03-22,64.22,64.415,64.22,64.35,467200
133,2019-03-21,64.09,64.1,63.99,64.02,341200
134,2019-03-20,63.79,64.066,63.79,64.06,898400
135,2019-03-19,63.73,63.78,63.7,63.74,907300
136,2019-03-18,63.81,63.84,63.77,63.79,164400
137,2019-03-15,63.82,63.876,63.792,63.84,130000
138,2019-03-14,63.75,63.78,63.67,63.72,371300
139,2019-03-13,63.74,63.77,63.71,63.76,172000
140,2019-03-12,63.68,63.7893,63.67,63.76,782600
141,2019-03-11,63.68,63.7,63.63,63.65,301800
142,2019-03-08,63.68,63.73,63.64,63.69,2485900
143,2019-03-07,63.57,63.67,63.55,63.65,297700
144,2019-03-06,63.36,63.49,63.34,63.46,1630300
