,timestamp,open,high,low,close,volume
0,2019-09-30,14.79,14.79,14.79,14.05,563
1,2019-09-27,15.25,15.25,14.5,14.5,4400
2,2019-09-26,14.65,15.23,14.65,15.12,2800
3,2019-09-25,14.74,15.01,14.0,14.92,13600
4,2019-09-24,14.58,14.99,14.58,14.81,6600
5,2019-09-23,14.7,14.87,14.45,14.87,13100
6,2019-09-20,15.05,15.09,14.3,14.69,20100
7,2019-09-19,15.2,15.43,14.27,15.3,44900
8,2019-09-18,15.23,15.23,15.01,15.01,5600
9,2019-09-17,15.74,15.74,15.08,15.33,13500
10,2019-09-16,15.0,16.1,15.0,15.7,45100
11,2019-09-13,14.88,15.15,14.87,15.08,20700
12,2019-09-12,14.93,14.99,14.75,14.87,6000
13,2019-09-11,14.48,14.97,14.41,14.94,29900
14,2019-09-10,14.59,14.75,14.27,14.43,8800
15,2019-09-09,14.36,14.55,14.36,14.49,7100
16,2019-09-06,14.13,14.46,14.11,14.2,8800
17,2019-09-05,14.32,14.86,14.1,14.1,34100
18,2019-09-04,14.1,14.15,14.0,14.1,4400
19,2019-09-03,13.99,14.37,13.75,14.3,15400
20,2019-08-30,13.65,13.85,13.51,13.85,2500
21,2019-08-29,13.82,14.19,13.33,14.0,15400
22,2019-08-28,14.1,14.1,13.01,13.55,4700
23,2019-08-27,13.92,14.13,13.92,14.0,9500
24,2019-08-26,14.18,14.18,13.57,14.14,10800
25,2019-08-23,14.19,14.19,13.65,14.04,8000
26,2019-08-22,14.12,14.19,13.73,14.19,11200
27,2019-08-21,14.2,14.3,14.05,14.12,20500
28,2019-08-20,13.65,14.4,13.65,14.1,34800
29,2019-08-19,13.1,13.91,12.84,13.53,54100
30,2019-08-16,13.2995,13.3,13.03,13.11,2900
31,2019-08-15,13.14,13.19,12.77,13.19,3500
32,2019-08-14,13.0,13.35,13.0,13.35,3800
33,2019-08-13,12.9,13.7,12.6,13.27,38800
34,2019-08-12,12.31,12.96,12.31,12.95,28200
35,2019-08-09,12.26,12.85,12.26,12.5,28400
36,2019-08-08,12.76,12.936,12.07,12.32,25400
37,2019-08-07,11.25,11.46,11.25,11.3,3400
38,2019-08-06,11.45,11.45,11.2,11.28,1700
39,2019-08-05,11.41,11.44,11.21,11.42,1200
40,2019-08-02,11.27,11.27,11.27,11.27,600
41,2019-08-01,11.59,11.67,11.27,11.27,2900
42,2019-07-31,11.6904,11.69,11.27,11.28,3000
43,2019-07-30,11.4,11.65,11.3,11.42,4700
44,2019-07-29,11.41,11.41,11.35,11.35,3200
45,2019-07-26,11.41,11.42,11.36,11.36,1300
46,2019-07-25,11.15,11.37,11.15,11.32,2000
47,2019-07-24,11.22,11.35,11.22,11.25,800
48,2019-07-23,11.53,11.53,11.4,11.44,1700
49,2019-07-22,11.3,11.48,11.3,11.34,1400
50,2019-07-19,11.28,11.28,11.19,11.23,2100
51,2019-07-18,11.25,11.25,11.2,11.2,300
52,2019-07-17,11.15,11.23,11.15,11.17,1700
53,2019-07-16,11.35,11.38,11.2,11.2,4900
54,2019-07-15,11.2399,11.39,11.18,11.31,5800
55,2019-07-12,11.34,11.36,11.21,11.21,2200
56,2019-07-11,11.49,11.49,11.49,11.49,300
57,2019-07-10,11.3501,11.44,11.2,11.35,3800
58,2019-07-09,11.36,11.45,11.36,11.45,1200
59,2019-07-08,11.4709,11.47,11.36,11.36,1100
60,2019-07-05,11.21,11.21,11.21,11.21,100
61,2019-07-03,11.11,11.206,11.11,11.206,3200
62,2019-07-02,11.29,11.29,11.16,11.16,1200
63,2019-07-01,11.3,11.49,11.29,11.29,1700
64,2019-06-28,11.24,11.48,11.0907,11.29,7900
65,2019-06-27,11.47,11.4702,11.365,11.365,300
66,2019-06-26,11.29,11.29,11.29,11.29,400
67,2019-06-25,11.22,11.42,11.22,11.42,800
68,2019-06-24,11.23,11.46,11.21,11.23,3700
69,2019-06-21,11.2,11.3344,11.2,11.23,2500
70,2019-06-20,11.34,11.68,11.34,11.43,1100
71,2019-06-19,11.5,11.5,11.4,11.4,700
72,2019-06-18,11.791,11.791,11.3,11.5,2100
73,2019-06-17,11.51,11.51,11.51,11.51,300
74,2019-06-14,11.55,11.55,11.5102,11.51,800
75,2019-06-13,11.7,11.7,11.343,11.59,1000
76,2019-06-12,11.266,11.779,11.266,11.69,600
77,2019-06-11,11.35,11.8,11.2,11.5,1000
78,2019-06-10,11.38,11.525,11.38,11.38,1400
79,2019-06-07,11.148,11.236,11.086,11.236,15900
80,2019-06-06,11.268,11.36,11.03,11.225,9100
