,timestamp,open,high,low,close,volume
0,2019-09-13,23.66,23.74,23.365,23.535,1285099
1,2019-09-12,23.82,24.09,23.65,23.76,6858927
2,2019-09-11,23.28,23.75,23.14,23.74,7592800
3,2019-09-10,23.22,23.37,22.97,23.22,6709100
4,2019-09-09,22.89,23.34,22.86,23.3,7023000
5,2019-09-06,22.59,22.95,22.5,22.85,3660900
6,2019-09-05,22.46,22.77,22.37,22.6,5856100
7,2019-09-04,22.06,22.29,22.0,22.27,4209700
8,2019-09-03,22.01,22.09,21.86,21.94,5739100
9,2019-08-30,22.24,22.32,22.04,22.12,3435600
10,2019-08-29,22.13,22.22,22.01,22.12,3625900
11,2019-08-28,21.83,22.01,21.63,21.97,3938300
12,2019-08-27,21.72,21.91,21.65,21.87,5871800
13,2019-08-26,21.53,21.69,21.42,21.66,4152200
14,2019-08-23,21.8,21.9,21.32,21.38,3347800
15,2019-08-22,21.85,21.98,21.66,21.9,4320800
16,2019-08-21,21.53,21.8,21.47,21.77,4162600
17,2019-08-20,21.4,21.52,21.22,21.39,3488500
18,2019-08-19,21.24,21.45,21.2,21.39,3392000
19,2019-08-16,20.98,21.26,20.87,21.09,6217300
20,2019-08-15,20.87,21.06,20.87,20.88,5305900
21,2019-08-14,21.17,21.2808,20.725,20.77,6910200
22,2019-08-13,21.36,21.48,21.24,21.41,9426300
23,2019-08-12,21.5,21.65,21.28,21.3,3695400
24,2019-08-09,21.6,21.84,21.52,21.59,4451800
25,2019-08-08,21.51,21.695,21.3804,21.61,3760900
26,2019-08-07,21.29,21.47,21.11,21.4,6319300
27,2019-08-06,21.14,21.42,20.86,21.38,6397000
28,2019-08-05,21.53,21.67,20.9,21.05,8008200
29,2019-08-02,20.41,22.28,20.4,21.82,12614000
30,2019-08-01,20.99,21.25,20.88,21.09,8911200
31,2019-07-31,20.92,21.19,20.79,21.0,6496400
32,2019-07-30,21.01,21.01,20.79,20.9,5234200
33,2019-07-29,21.03,21.21,21.03,21.14,3840400
34,2019-07-26,20.87,21.11,20.87,21.07,4207500
35,2019-07-25,20.85,20.94,20.76,20.84,3238800
36,2019-07-24,20.64,20.92,20.59,20.88,4014500
37,2019-07-23,20.46,20.69,20.37,20.66,4536200
38,2019-07-22,20.46,20.53,20.33,20.4,2472700
39,2019-07-19,20.61,20.62,20.38,20.4,2602000
40,2019-07-18,20.35,20.56,20.3,20.51,2369700
41,2019-07-17,20.5,20.56,20.38,20.39,2942100
42,2019-07-16,20.75,20.7495,20.48,20.53,4715500
43,2019-07-15,20.51,20.79,20.51,20.77,2860000
