,timestamp,open,high,low,close,volume
0,2019-09-30,3.35,3.35,3.2006,3.21,1413
1,2019-09-27,3.54,3.54,3.29,3.35,9100
2,2019-09-26,3.55,3.62,3.41,3.45,14300
3,2019-09-25,3.56,3.65,3.4,3.54,26600
4,2019-09-24,3.51,3.63,3.45,3.55,16600
5,2019-09-23,3.41,3.68,3.37,3.52,44100
6,2019-09-20,3.75,3.75,3.37,3.37,98900
7,2019-09-19,3.59,4.28,3.4,3.79,1269800
8,2019-09-18,3.11,3.23,3.03,3.1,18900
9,2019-09-17,3.17,3.2,3.1,3.2,7200
10,2019-09-16,3.24,3.29,3.0,3.05,46100
11,2019-09-13,3.18,3.29,3.1,3.18,19100
12,2019-09-12,3.25,3.26,3.05,3.08,13800
13,2019-09-11,3.13,3.39,3.12,3.16,11400
14,2019-09-10,3.09,3.39,3.01,3.13,76500
15,2019-09-09,3.0,3.19,3.0,3.1,28600
16,2019-09-06,3.0,3.18,2.9,3.01,33300
17,2019-09-05,2.89,3.16,2.68,3.02,154900
18,2019-09-04,2.91,3.02,2.82,2.82,41200
19,2019-09-03,2.97,3.0,2.75,2.83,15300
20,2019-08-30,2.88,3.0,2.84,2.91,15900
21,2019-08-29,2.75,3.09,2.75,2.85,51000
22,2019-08-28,2.6,2.82,2.48,2.75,30700
23,2019-08-27,2.75,2.9,2.61,2.64,44100
24,2019-08-26,2.85,2.9,2.77,2.77,35300
25,2019-08-23,3.16,3.16,2.84,2.84,88700
26,2019-08-22,2.95,3.22,2.88,3.19,64500
27,2019-08-21,3.29,3.3,2.9,2.92,57500
28,2019-08-20,3.0,3.38,2.91,3.29,167600
29,2019-08-19,3.04,3.04,2.9,2.9,5500
30,2019-08-16,2.9,3.09,2.8,3.09,26400
31,2019-08-15,3.1,3.1,2.81,2.85,29000
32,2019-08-14,3.06,3.36,2.9,3.16,53900
33,2019-08-13,3.26,3.35,3.05,3.06,63900
34,2019-08-12,3.06,3.53,3.02,3.3,26200
35,2019-08-09,4.0,4.0,3.01,3.04,69800
36,2019-08-08,3.373,4.7,3.3731,3.95,288500
37,2019-08-07,2.99,3.39,2.951,3.39,21600
38,2019-08-06,3.31,3.344,2.82,2.95,35400
39,2019-08-05,3.19,3.33,3.1,3.33,17400
40,2019-08-02,3.54,3.65,3.17,3.19,35800
41,2019-08-01,3.96,3.96,3.49,3.49,27000
42,2019-07-31,3.88,4.02,3.41,3.7,30100
43,2019-07-30,3.99,3.99,3.51,3.85,48600
44,2019-07-29,3.95,4.48,3.8,3.85,18700
45,2019-07-26,3.89,3.9,3.75,3.9,27300
46,2019-07-25,4.0,4.03,3.75,3.85,39700
47,2019-07-24,4.24,4.24,3.95,4.0,36900
48,2019-07-23,4.21,4.469,4.21,4.21,19100
49,2019-07-22,4.8,4.81,4.22,4.22,22700
50,2019-07-19,4.6,4.79,4.5,4.79,11500
51,2019-07-18,4.51,4.65,4.5001,4.65,8000
52,2019-07-17,4.75,4.869,4.59,4.59,7600
53,2019-07-16,4.86,4.86,4.62,4.63,12600
54,2019-07-15,5.0,5.024,4.71,4.71,29500
55,2019-07-12,5.11,5.11,5.0,5.01,18800
56,2019-07-11,5.09,5.25,5.0199,5.06,12700
57,2019-07-10,5.56,5.69,5.01,5.3,99300
58,2019-07-09,5.64,5.7,5.5,5.5,46100
59,2019-07-08,5.73,6.008,5.7,5.7,16300
60,2019-07-05,5.608,5.9004,5.599,5.9,6800
61,2019-07-03,5.5,5.86,5.5,5.6,23600
62,2019-07-02,5.65,5.88,5.5,5.78,16200
63,2019-07-01,6.01,6.121,5.61,5.61,10600
64,2019-06-28,6.38,6.3802,5.71,5.85,12100
65,2019-06-27,6.05,6.43,5.8,6.43,18100
66,2019-06-26,6.1,6.46,5.82,6.19,10300
67,2019-06-25,6.36,6.36,6.1,6.17,10000
68,2019-06-24,6.3,6.58,6.25,6.42,10300
69,2019-06-21,6.6,6.8,6.28,6.3,19600
70,2019-06-20,6.79,6.79,6.26,6.49,7800
71,2019-06-19,6.32,6.909,6.25,6.42,13900
72,2019-06-18,6.98,6.9798,6.31,6.36,11000
73,2019-06-17,6.6,6.99,6.101,6.99,8700
74,2019-06-14,7.0,7.0,6.52,6.551,5000
75,2019-06-13,6.89,7.0,6.3,6.99,18800
76,2019-06-12,6.71,6.7906,6.41,6.52,22100
77,2019-06-11,5.66,6.69,5.66,6.69,37100
78,2019-06-10,5.78,5.97,5.6,5.77,28100
79,2019-06-07,5.1604,5.74,5.16,5.7,27700
80,2019-06-06,6.0,6.0,5.15,5.15,39800
81,2019-06-05,5.43,5.43,5.02,5.02,9100
82,2019-06-04,5.23,5.6,5.149,5.6,19300
83,2019-06-03,5.51,5.51,4.8603,5.05,28500
84,2019-05-31,6.45,6.673,5.6,5.6,24300
85,2019-05-30,7.02,7.02,6.331,6.7,12800
86,2019-05-29,6.82,7.1,6.6495,6.84,45500
87,2019-05-28,5.94,6.7,5.94,6.6,38200
88,2019-05-24,6.0,6.15,5.88,5.96,12500
89,2019-05-23,6.51,6.51,5.85,6.0,15700
90,2019-05-22,6.48,7.46,5.4,6.014,262300
