,timestamp,open,high,low,close,volume
0,2019-09-30,1.97,1.97,1.97,1.97,878
1,2019-09-27,2.02,2.06,1.98,1.98,49900
2,2019-09-26,2.04,2.07,1.98,2.07,16100
3,2019-09-25,2.03,2.06,1.95,2.03,22000
4,2019-09-24,2.03,2.09,1.95,1.98,74900
5,2019-09-23,1.97,2.08,1.885,2.03,42600
6,2019-09-20,1.92,2.05,1.87,1.98,102500
7,2019-09-19,1.99,2.0,1.9,2.0,24800
8,2019-09-18,1.75,2.07,1.75,1.94,112700
9,2019-09-17,1.82,1.97,1.71,1.74,40100
10,2019-09-16,1.9,1.9,1.83,1.84,48400
11,2019-09-13,1.87,1.97,1.86,1.93,82200
12,2019-09-12,1.89,1.8906,1.85,1.875,35200
13,2019-09-11,1.89,1.9,1.8393,1.9,35300
14,2019-09-10,1.85,1.8863,1.7702,1.85,57500
15,2019-09-09,1.83,1.85,1.7,1.85,28800
16,2019-09-06,1.69,1.82,1.69,1.8,144900
17,2019-09-05,1.63,1.7258,1.62,1.67,42200
18,2019-09-04,1.69,1.749,1.55,1.63,30400
19,2019-09-03,1.77,1.77,1.6,1.77,16600
20,2019-08-30,1.585,1.6,1.56,1.5886,40600
21,2019-08-29,1.59,1.61,1.52,1.56,39100
22,2019-08-28,1.5,1.62,1.5,1.5779,30100
23,2019-08-27,1.63,1.63,1.41,1.52,84200
24,2019-08-26,1.65,1.677,1.5678,1.57,83500
25,2019-08-23,1.8,1.8,1.66,1.6748,35700
26,2019-08-22,1.8,1.8,1.7218,1.8,32500
27,2019-08-21,1.82,1.82,1.72,1.75,35300
28,2019-08-20,1.72,1.86,1.72,1.79,101400
29,2019-08-19,1.69,1.75,1.68,1.69,65100
30,2019-08-16,1.64,1.75,1.6,1.68,149800
31,2019-08-15,1.78,1.78,1.58,1.65,39500
32,2019-08-14,1.69,1.75,1.69,1.71,94400
33,2019-08-13,1.6,1.73,1.536,1.7,42000
34,2019-08-12,1.78,1.79,1.55,1.62,93900
35,2019-08-09,1.9801,1.99,1.73,1.81,153200
36,2019-08-08,1.75,2.1,1.74,1.95,163600
37,2019-08-07,1.85,1.95,1.75,1.85,118500
38,2019-08-06,1.94,1.95,1.732,1.899,182400
39,2019-08-05,2.17,2.194,1.96,1.96,105700
40,2019-08-02,2.26,2.26,2.1,2.2,78800
41,2019-08-01,2.58,2.622,2.18,2.26,162700
42,2019-07-31,2.15,2.56,2.15,2.53,285500
43,2019-07-30,2.16,2.21,2.11,2.2,66100
44,2019-07-29,2.13,2.29,2.11,2.17,76500
45,2019-07-26,2.09,2.176,2.09,2.13,64700
46,2019-07-25,2.1,2.2,2.03,2.1,73200
47,2019-07-24,2.09,2.28,2.01,2.13,89600
48,2019-07-23,1.97,2.2,1.9699,2.11,119600
49,2019-07-22,2.4,2.4,1.94,2.1,441000
50,2019-07-19,2.26,2.54,2.2,2.4,276700
51,2019-07-18,2.4,2.59,2.23,2.28,434300
52,2019-07-17,3.23,3.23,2.52,2.69,720800
53,2019-07-16,3.4,3.424,3.15,3.2,521600
54,2019-07-15,3.2,3.5,3.12,3.5,546400
55,2019-07-12,3.47,3.47,2.9,3.15,781100
56,2019-07-11,2.85,3.3,2.85,3.3,520100
57,2019-07-10,2.7,3.19,2.68,2.8,640700
58,2019-07-09,2.26,2.65,2.26,2.64,295600
59,2019-07-08,2.23,2.328,2.2,2.25,243100
60,2019-07-05,2.2,2.25,1.97,2.16,246300
61,2019-07-03,2.1,2.48,2.05,2.19,515500
62,2019-07-02,1.6701,2.15,1.67,2.1,562000
63,2019-07-01,1.6,1.69,1.45,1.65,229500
64,2019-06-28,1.49,1.682,1.45,1.45,116700
65,2019-06-27,1.44,1.582,1.44,1.49,110400
66,2019-06-26,1.35,1.45,1.35,1.45,67600
67,2019-06-25,1.33,1.35,1.32,1.34,69400
68,2019-06-24,1.33,1.35,1.3,1.3,21400
69,2019-06-21,1.32,1.35,1.3,1.3,38700
70,2019-06-20,1.29,1.34,1.27,1.3,158400
71,2019-06-19,1.3,1.3,1.27,1.27,1700
72,2019-06-18,1.3,1.2999,1.29,1.29,3500
73,2019-06-17,1.33,1.34,1.219,1.3,8400
74,2019-06-14,1.3,1.35,1.2,1.35,13300
75,2019-06-13,1.3,1.3,1.25,1.29,24900
76,2019-06-12,1.34,1.34,1.282,1.34,15200
77,2019-06-11,1.29,1.3,1.255,1.3,9100
78,2019-06-10,1.29,1.3,1.21,1.29,56100
79,2019-06-07,1.25,1.29,1.191,1.191,58100
80,2019-06-06,1.2899,1.314,1.25,1.25,19900
81,2019-06-05,1.3,1.33,1.284,1.3,38600
82,2019-06-04,1.3,1.3,1.23,1.3,13900
83,2019-06-03,1.25,1.3,1.25,1.3,10700
84,2019-05-31,1.31,1.31,1.22,1.25,19900
85,2019-05-30,1.37,1.37,1.23,1.36,62800
86,2019-05-29,1.44,1.44,1.29,1.36,94500
87,2019-05-28,1.31,1.31,1.26,1.29,15100
88,2019-05-24,1.24,1.3,1.233,1.3,2900
89,2019-05-23,1.29,1.29,1.22,1.22,7600
90,2019-05-22,1.28,1.3,1.28,1.3,2100
91,2019-05-21,1.283,1.324,1.27,1.3,10800
92,2019-05-20,1.25,1.28,1.25,1.28,8800
93,2019-05-17,1.27,1.31,1.27,1.29,23200
94,2019-05-16,1.2759,1.3,1.27,1.3,41900
95,2019-05-15,1.22,1.3,1.22,1.3,3500
96,2019-05-14,1.258,1.296,1.15,1.25,54000
97,2019-05-13,1.28,1.28,1.247,1.25,33900
98,2019-05-10,1.305,1.32,1.3,1.32,1100
99,2019-05-09,1.35,1.35,1.285,1.3,7500
100,2019-05-08,1.3,1.44,1.3,1.44,13400
101,2019-05-07,1.32,1.34,1.305,1.34,4600
102,2019-05-06,1.38,1.38,1.285,1.32,14800
103,2019-05-03,1.2799,1.38,1.28,1.36,69000
104,2019-05-02,1.406,1.406,1.34,1.39,53800
105,2019-05-01,1.37,1.4,1.36,1.38,3500
106,2019-04-30,1.315,1.35,1.26,1.29,28800
107,2019-04-29,1.23,1.2551,1.2,1.25,7200
108,2019-04-26,1.25,1.25,1.21,1.21,38600
109,2019-04-25,1.26,1.278,1.25,1.25,4900
110,2019-04-24,1.33,1.4,1.2799,1.28,26000
111,2019-04-23,1.41,1.41,1.38,1.38,3000
112,2019-04-22,1.42,1.43,1.35,1.43,11300
113,2019-04-18,1.39,1.44,1.356,1.44,8400
114,2019-04-17,1.4,1.42,1.37,1.4,2600
115,2019-04-16,1.39,1.42,1.33,1.42,11900
116,2019-04-15,1.44,1.44,1.4,1.4,3800
117,2019-04-12,1.43,1.46,1.403,1.44,3000
118,2019-04-11,1.43,1.46,1.407,1.46,4500
119,2019-04-10,1.504,1.57,1.47,1.48,11000
120,2019-04-09,1.58,1.58,1.54,1.55,12100
121,2019-04-08,1.58,1.62,1.521,1.6,4900
122,2019-04-05,1.65,1.65,1.5799,1.58,500
123,2019-04-04,1.581,1.67,1.581,1.67,1700
124,2019-04-03,1.68,1.68,1.6,1.65,12200
125,2019-04-02,1.69,1.7,1.6,1.68,21100
126,2019-04-01,1.7,1.7,1.67,1.7,3500
127,2019-03-29,1.5,1.7,1.4999,1.7,33600
128,2019-03-28,1.58,1.61,1.58,1.6,35100
129,2019-03-27,1.62,1.62,1.58,1.6,16700
130,2019-03-26,1.63,1.63,1.6,1.61,12000
131,2019-03-25,1.67,1.71,1.6,1.63,22300
132,2019-03-22,1.6,1.71,1.59,1.71,48200
133,2019-03-21,1.65,1.68,1.6,1.61,17300
134,2019-03-20,1.71,1.73,1.638,1.66,6900
135,2019-03-19,1.7,1.73,1.67,1.73,2800
136,2019-03-18,1.75,1.75,1.678,1.68,8900
137,2019-03-15,1.759,1.8,1.759,1.8,2100
138,2019-03-14,1.72,1.8,1.72,1.8,12700
139,2019-03-13,1.74,1.745,1.63,1.73,51300
140,2019-03-12,1.63,1.68,1.63,1.68,6100
141,2019-03-11,1.608,1.72,1.608,1.69,7600
142,2019-03-08,1.65,1.65,1.6,1.64,16300
143,2019-03-07,1.7,1.73,1.6,1.69,4800
144,2019-03-06,1.71,1.74,1.7,1.74,1300
145,2019-03-05,1.68,1.74,1.66,1.73,3300
146,2019-03-04,1.702,1.706,1.67,1.69,11200
147,2019-03-01,1.694,1.75,1.67,1.74,9000
148,2019-02-28,1.71,1.75,1.654,1.7,37700
149,2019-02-27,1.732,1.78,1.654,1.72,24800
150,2019-02-26,1.5,1.7,1.49,1.62,39700
151,2019-02-25,1.4301,1.528,1.43,1.5,34300
152,2019-02-22,1.406,1.43,1.4,1.42,14100
153,2019-02-21,1.386,1.39,1.373,1.39,4400
154,2019-02-20,1.3701,1.4,1.37,1.39,11300
155,2019-02-19,1.3599,1.393,1.339,1.393,8000
156,2019-02-15,1.361,1.39,1.3,1.39,40700
157,2019-02-14,1.3931,1.393,1.35,1.35,4400
158,2019-02-13,1.363,1.38,1.36,1.37,4000
159,2019-02-12,1.32,1.39,1.27,1.36,31100
160,2019-02-11,1.27,1.36,1.27,1.32,33300
161,2019-02-08,1.292,1.297,1.25,1.28,61800
162,2019-02-07,1.25,1.337,1.25,1.33,3100
163,2019-02-06,1.26,1.3,1.25,1.3,11900
164,2019-02-05,1.25,1.3,1.24,1.24,18500
165,2019-02-04,1.25,1.258,1.24,1.25,3800
166,2019-02-01,1.265,1.265,1.23,1.25,47700
167,2019-01-31,1.27,1.284,1.2499,1.25,9700
168,2019-01-30,1.22,1.286,1.22,1.27,16400
169,2019-01-29,1.22,1.25,1.22,1.23,11700
170,2019-01-28,1.28,1.28,1.251,1.26,8200
171,2019-01-25,1.221,1.34,1.221,1.325,3500
172,2019-01-24,1.35,1.35,1.25,1.32,42500
173,2019-01-23,1.38,1.38,1.315,1.34,16300
174,2019-01-22,1.43,1.43,1.31,1.4,28700
175,2019-01-18,1.37,1.4,1.37,1.4,8700
176,2019-01-17,1.37,1.4,1.335,1.35,10800
177,2019-01-16,1.35,1.43,1.34,1.35,17900
178,2019-01-15,1.38,1.4,1.343,1.4,14100
179,2019-01-14,1.35,1.36,1.34,1.36,2300
180,2019-01-11,1.347,1.408,1.33,1.37,17200
181,2019-01-10,1.451,1.455,1.34,1.43,37100
182,2019-01-09,1.39,1.46,1.35,1.46,61400
183,2019-01-08,1.461,1.461,1.25,1.39,29100
184,2019-01-07,1.32,1.32,1.25,1.32,14900
185,2019-01-04,1.32,1.337,1.229,1.31,18400
186,2019-01-03,1.232,1.28,1.14,1.28,33000
187,2019-01-02,1.1,1.18,1.1,1.18,10400
188,2018-12-31,1.07,1.2,1.04,1.13,227200
189,2018-12-28,1.03,1.14,1.02,1.07,99900
190,2018-12-27,1.0,1.1,1.0,1.03,93000
191,2018-12-26,1.06,1.13,1.0,1.0,266800
192,2018-12-24,1.11,1.11,1.04,1.08,27800
193,2018-12-21,1.17,1.17,1.11,1.14,61600
194,2018-12-20,1.2,1.2,1.06,1.18,142500
195,2018-12-19,1.01,1.35,1.01,1.2,329200
196,2018-12-18,1.33,1.33,0.995,1.18,260600
197,2018-12-17,1.4,1.43,1.08,1.43,44800
198,2018-12-14,1.55,1.55,1.357,1.39,96700
199,2018-12-13,1.6,1.633,1.318,1.37,301700
200,2018-12-12,1.69,1.69,1.29,1.46,97800
201,2018-12-11,1.75,1.75,1.47,1.69,23400
202,2018-12-10,1.774,1.79,1.6,1.75,7700
203,2018-12-07,1.67,1.67,1.67,1.67,1100
204,2018-12-06,1.8,1.94,1.6,1.77,8900
205,2018-12-04,1.85,1.87,1.6301,1.8,5700
206,2018-12-03,2.04,2.04,1.72,1.85,44600
207,2018-11-30,2.09,2.11,1.95,2.07,7400
208,2018-11-29,2.062,2.11,1.82,2.11,14500
209,2018-11-28,2.09,2.11,2.0,2.11,7800
210,2018-11-27,2.06,2.1,2.0,2.1,2800
211,2018-11-26,2.13,2.16,2.025,2.05,5800
212,2018-11-23,2.2,2.2,2.01,2.12,4600
213,2018-11-21,2.2,2.25,2.07,2.25,7300
214,2018-11-20,2.148,2.2,2.01,2.2,9000
215,2018-11-19,2.2,2.2,2.155,2.2,3800
216,2018-11-16,2.3,2.38,2.1599,2.25,4900
217,2018-11-15,2.2,2.3,2.2,2.3,1900
218,2018-11-14,2.12,2.3,2.108,2.3,5900
219,2018-11-13,2.28,2.29,2.13,2.26,6700
220,2018-11-12,2.25,2.35,2.25,2.3,2300
221,2018-11-09,2.36,2.4,2.25,2.4,3100
222,2018-11-08,2.111,2.35,2.111,2.35,4100
223,2018-11-07,2.15,2.2,2.1,2.1,7900
224,2018-11-06,2.293,2.293,2.03,2.11,5100
225,2018-11-05,2.21,2.28,2.11,2.11,3900
226,2018-11-02,2.16,2.32,2.16,2.23,6100
227,2018-11-01,2.14,2.4,2.14,2.31,17600
228,2018-10-31,2.121,2.2,2.121,2.17,11800
229,2018-10-30,2.2,2.2,2.18,2.18,1000
230,2018-10-29,2.14,2.15,2.14,2.15,1000
231,2018-10-26,2.1,2.19,2.09,2.15,4600
232,2018-10-25,2.2,2.2,2.1,2.14,2100
233,2018-10-24,2.1402,2.18,2.12,2.14,2900
234,2018-10-23,2.17,2.18,2.01,2.13,11800
235,2018-10-22,2.153,2.2,2.15,2.2,4000
236,2018-10-19,2.2,2.2,2.15,2.2,1400
237,2018-10-18,2.14,2.2,2.07,2.16,6600
238,2018-10-17,2.13,2.2,2.12,2.14,3200
239,2018-10-16,2.0,2.15,2.0,2.14,31100
240,2018-10-15,2.02,2.1,2.02,2.04,3800
241,2018-10-12,2.0,2.1,2.0,2.1,54500
242,2018-10-11,1.9751,2.07,1.97,2.07,5000
243,2018-10-10,1.97,2.05,1.97,1.99,7600
244,2018-10-09,2.071,2.09,1.95,1.95,12400
245,2018-10-08,2.12,2.136,1.9501,2.12,11300
246,2018-10-05,2.2,2.23,2.1701,2.21,3800
247,2018-10-04,2.11,2.2,2.11,2.2,5500
248,2018-10-03,2.3,2.304,2.239,2.26,1400
249,2018-10-02,2.3,2.312,2.03,2.3,9700
250,2018-10-01,2.3502,2.38,2.35,2.38,700
251,2018-09-28,2.2499,2.35,2.25,2.35,1700
252,2018-09-27,2.35,2.35,2.3,2.3,1800
253,2018-09-26,2.25,2.35,2.25,2.3,2900
254,2018-09-25,2.2,2.3,2.2,2.3,2700
255,2018-09-24,2.15,2.25,2.05,2.25,51600
256,2018-09-21,2.15,2.3,2.05,2.05,13700
257,2018-09-20,2.25,2.3,2.2,2.25,7900
