,timestamp,open,high,low,close,volume
0,2019-09-13,30.62,30.95,30.54,30.8826,268472
1,2019-09-12,31.11,31.19,30.11,30.47,2018726
2,2019-09-11,31.26,31.49,30.46,31.23,1701500
3,2019-09-10,31.38,31.62,31.14,31.3,2014300
4,2019-09-09,30.1,31.56,30.09,31.3,2916900
5,2019-09-06,29.78,30.15,29.68,29.85,1493600
6,2019-09-05,29.63,30.26,29.63,29.85,1774700
7,2019-09-04,29.4,29.74,29.08,29.31,1405400
8,2019-09-03,28.6,29.21,28.54,29.11,2431400
9,2019-08-30,29.11,29.44,28.83,28.99,2053600
10,2019-08-29,28.24,28.91,28.24,28.79,1505200
11,2019-08-28,27.43,28.07,27.43,27.82,2114700
12,2019-08-27,27.31,28.09,27.25,27.49,2136400
13,2019-08-26,28.16,28.39,27.99,28.1,1604000
14,2019-08-23,28.24,28.62,27.67,27.78,2621000
15,2019-08-22,28.77,29.07,28.56,28.61,2118600
16,2019-08-21,28.47,28.79,28.3,28.59,1588100
17,2019-08-20,28.19,28.43,28.03,28.08,1487800
18,2019-08-19,29.02,29.19,28.3,28.36,1750500
19,2019-08-16,28.22,28.5987,27.4,28.57,1504900
20,2019-08-15,27.59,28.03,27.4028,27.93,2696100
21,2019-08-14,27.7512,28.1,27.46,27.58,2859600
22,2019-08-13,28.0,29.01,27.97,28.35,2068600
23,2019-08-12,27.93,28.11,27.58,28.09,2001400
24,2019-08-09,29.67,29.67,28.18,28.2,2598600
25,2019-08-08,29.42,29.82,29.2098,29.72,1818500
26,2019-08-07,28.91,29.38,28.49,29.25,2015000
27,2019-08-06,29.31,29.52,28.86,29.29,2571200
28,2019-08-05,29.71,29.93,29.1,29.34,2761600
29,2019-08-02,31.52,31.66,30.1,30.58,3903700
30,2019-08-01,32.04,32.71,31.36,31.64,2410400
31,2019-07-31,32.39,32.46,31.33,32.1,5865800
32,2019-07-30,33.56,33.57,32.3,32.78,5448500
33,2019-07-29,34.4,34.4,33.76,33.94,2001800
34,2019-07-26,34.59,34.8,34.41,34.43,1442900
35,2019-07-25,34.96,35.1727,34.47,34.54,2022300
36,2019-07-24,34.54,35.17,34.54,35.09,1962700
37,2019-07-23,34.35,34.75,33.98,34.72,1429000
38,2019-07-22,34.32,34.5,33.94,34.03,1947800
39,2019-07-19,35.29,35.29,34.27,34.29,1827200
40,2019-07-18,34.78,35.24,34.6324,35.2,1391100
41,2019-07-17,35.3027,35.44,34.82,34.86,1795000
42,2019-07-16,35.01,35.64,34.94,35.31,1836000
43,2019-07-15,35.34,35.52,34.7793,35.01,1403000
44,2019-07-12,35.1168,35.59,35.07,35.37,1452500
45,2019-07-11,35.52,35.6,34.69,34.92,1943900
46,2019-07-10,36.07,36.24,35.48,35.48,2126200
47,2019-07-09,35.39,36.02,35.29,35.95,1819800
48,2019-07-08,36.09,36.22,35.52,35.66,1571300
49,2019-07-05,36.0702,36.49,35.81,36.44,1339300
50,2019-07-03,35.88,36.575,35.65,36.48,805900
51,2019-07-02,36.15,36.248,35.45,35.64,1543800
52,2019-07-01,36.08,36.49,35.8509,36.24,2492700
53,2019-06-28,35.44,35.605,35.07,35.41,2775300
54,2019-06-27,35.16,35.41,35.09,35.33,1136600
55,2019-06-26,35.02,35.365,34.96,35.3,1697500
56,2019-06-25,34.79,35.065,34.68,34.76,1940400
57,2019-06-24,35.37,35.62,34.72,34.82,1562000
58,2019-06-21,35.34,35.56,35.2307,35.26,3293000
59,2019-06-20,35.39,35.52,34.98,35.45,2057400
60,2019-06-19,34.97,35.1,34.6,34.96,1863300
61,2019-06-18,34.53,35.08,34.41,34.89,2244100
62,2019-06-17,34.43,34.535,34.1,34.28,1893200
63,2019-06-14,34.9509,34.96,34.37,34.42,1470600
64,2019-06-13,35.01,35.26,34.87,35.17,1883300
65,2019-06-12,34.78,35.23,34.78,34.91,1806800
66,2019-06-11,35.0,35.17,34.65,35.02,1778100
67,2019-06-10,34.2696,35.0,34.27,34.69,1310200
68,2019-06-07,34.13,34.47,33.9931,34.16,1537900
69,2019-06-06,33.53,34.09,33.48,34.03,2033500
70,2019-06-05,33.41,33.75,33.11,33.42,1859300
71,2019-06-04,31.28,33.32,31.28,33.3,3416200
72,2019-06-03,30.67,31.23,30.67,30.98,2030000
73,2019-05-31,31.06,31.07,30.4,30.61,3086900
74,2019-05-30,31.7,31.76,31.4,31.56,1324500
75,2019-05-29,31.87,32.005,31.465,31.55,1382100
76,2019-05-28,31.9996,32.49,31.83,32.19,3158200
77,2019-05-24,32.14,32.3,31.8,31.91,1546700
78,2019-05-23,31.34,31.905,30.97,31.88,1697000
79,2019-05-22,32.62,32.6202,31.78,31.85,2337700
80,2019-05-21,32.43,32.975,32.43,32.91,3544400
81,2019-05-20,31.82,32.4,31.65,32.12,1457000
82,2019-05-17,32.14,32.78,31.93,32.3,2088600
83,2019-05-16,32.12,32.79,32.078,32.47,2200800
84,2019-05-15,31.3634,32.04,31.14,31.98,1647000
85,2019-05-14,31.251,31.77,31.17,31.44,2122100
86,2019-05-13,31.42,31.57,30.9,31.18,2555800
87,2019-05-10,31.87,32.39,31.4,32.23,2620900
88,2019-05-09,31.72,32.28,31.36,32.17,3897300
89,2019-05-08,32.59,32.75,32.04,32.09,3663900
90,2019-05-07,32.32,32.985,32.22,32.67,3304300
91,2019-05-06,32.19,32.73,32.02,32.65,2469200
92,2019-05-03,33.2,33.313,32.78,32.95,2361800
93,2019-05-02,32.9998,33.25,32.54,32.95,2276200
94,2019-05-01,33.66,33.76,33.255,33.26,1667400
95,2019-04-30,32.89,33.44,32.7,33.36,2883000
96,2019-04-29,32.35,33.28,32.3,33.03,2908300
97,2019-04-26,32.18,32.83,31.92,32.31,2798500
98,2019-04-25,33.34,33.44,31.46,32.21,3662100
99,2019-04-24,34.25,34.2511,33.62,33.69,2927800
100,2019-04-23,33.97,34.46,33.68,34.19,3690800
101,2019-04-22,34.34,34.419,33.42,33.81,4078700
102,2019-04-18,34.66,34.99,34.48,34.56,2745600
103,2019-04-17,35.0,35.1817,34.53,34.67,2227000
104,2019-04-16,34.67,35.01,34.58,35.0,2067600
105,2019-04-15,34.36,34.68,34.36,34.53,1526300
106,2019-04-12,34.59,34.6402,34.29,34.39,1446800
107,2019-04-11,34.0,34.34,33.94,34.25,2041200
108,2019-04-10,33.2,33.96,33.14,33.84,1856400
109,2019-04-09,33.59,33.66,33.142,33.24,1672400
110,2019-04-08,33.28,33.825,33.28,33.75,2906000
111,2019-04-05,33.07,33.565,33.07,33.38,2409800
112,2019-04-04,33.11,33.31,32.95,33.05,937900
113,2019-04-03,33.14,33.67,32.93,33.09,2400800
114,2019-04-02,32.92,33.15,32.76,32.95,3411600
115,2019-04-01,32.52,33.105,32.52,33.01,3519600
116,2019-03-29,32.21,32.4,31.79,31.98,4058100
117,2019-03-28,31.66,32.13,31.66,32.01,3028300
118,2019-03-27,32.12,32.13,31.48,31.76,3054900
119,2019-03-26,31.49,32.03,31.425,32.03,2487000
120,2019-03-25,30.94,31.2721,30.56,31.14,3036100
121,2019-03-22,32.7,32.7,31.04,31.07,3359200
122,2019-03-21,32.0,33.08,31.99,32.91,2681100
123,2019-03-20,31.84,32.265,31.56,32.01,2404500
124,2019-03-19,32.09,32.34,31.805,31.88,3785700
125,2019-03-18,31.62,32.14,31.54,32.01,3122700
126,2019-03-15,31.09,31.73,31.0388,31.61,4505700
127,2019-03-14,31.51,31.55,30.53,31.08,3404000
128,2019-03-13,31.22,31.67,31.22,31.55,2518300
129,2019-03-12,31.19,31.29,30.91,31.13,2572300
130,2019-03-11,30.45,31.16,30.405,31.15,2291500
131,2019-03-08,29.86,30.38,29.7493,30.3,2150900
132,2019-03-07,30.82,30.82,30.201,30.24,3121600
133,2019-03-06,31.04,31.24,30.82,30.85,2831200
134,2019-03-05,31.38,31.49,31.0,31.09,2370800
135,2019-03-04,31.38,31.49,30.815,31.36,2563500
136,2019-03-01,31.11,31.52,31.11,31.29,2737600
137,2019-02-28,31.21,31.32,30.73,30.9,4290000
138,2019-02-27,31.38,31.53,31.18,31.42,2971200
139,2019-02-26,31.41,31.76,31.32,31.47,3015200
140,2019-02-25,31.7,31.96,31.42,31.48,2440900
141,2019-02-22,31.03,31.75,30.98,31.49,3027400
142,2019-02-21,30.9,31.39,30.88,31.33,3252100
143,2019-02-20,30.74,31.01,30.62,30.87,3112900
144,2019-02-19,30.47,30.94,30.43,30.65,3452900
145,2019-02-15,30.1,30.5,29.99,30.46,3536700
146,2019-02-14,29.72,30.11,29.67,29.83,3085400
147,2019-02-13,30.22,30.35,29.94,30.0,3068700
148,2019-02-12,29.45,30.3,29.45,30.09,3945900
149,2019-02-11,29.28,29.55,29.1793,29.29,2591800
150,2019-02-08,28.73,29.24,28.7,29.09,2570000
151,2019-02-07,29.2,29.49,28.75,28.98,3059400
152,2019-02-06,29.06,29.52,28.82,29.43,3613900
153,2019-02-05,28.74,29.0,28.31,28.98,5402700
154,2019-02-04,28.55,28.695,28.29,28.68,2915200
155,2019-02-01,28.34,28.67,28.22,28.52,4348000
156,2019-01-31,28.06,28.605,27.91,28.21,5970100
157,2019-01-30,27.6,28.31,27.07,28.16,6826900
158,2019-01-29,25.66,27.285,25.59,27.07,10519900
159,2019-01-28,24.21,24.47,24.02,24.3,3423400
160,2019-01-25,24.2198,24.57,24.17,24.54,3449400
161,2019-01-24,23.59,24.39,23.52,23.92,2768500
162,2019-01-23,23.41,23.58,23.23,23.57,4027400
163,2019-01-22,23.38,23.56,23.17,23.38,4434100
164,2019-01-18,23.27,23.82,23.1974,23.43,4487000
165,2019-01-17,23.1,23.245,22.73,23.12,2993000
166,2019-01-16,22.72,23.13,22.53,23.11,3347900
167,2019-01-15,22.36,22.885,22.33,22.81,2826100
168,2019-01-14,21.9093,22.46,21.83,22.3,3320900
169,2019-01-11,21.94,22.14,21.48,22.14,4390700
170,2019-01-10,21.74,22.18,21.65,22.15,3332600
171,2019-01-09,21.69,22.07,21.66,21.89,3510300
172,2019-01-08,21.09,21.6,21.0,21.58,3552600
173,2019-01-07,20.49,21.12,20.43,20.89,3293100
174,2019-01-04,20.12,20.75,20.02,20.45,4557100
175,2019-01-03,19.92,20.13,19.35,19.69,3390100
176,2019-01-02,19.4797,20.285,19.33,20.13,3726900
177,2018-12-31,19.7,19.82,19.14,19.76,3462600
178,2018-12-28,19.57,19.99,19.49,19.65,4357500
179,2018-12-27,19.5,19.68,18.67,19.68,4179900
180,2018-12-26,19.01,19.72,18.575,19.7,4131200
181,2018-12-24,18.9801,19.48,18.71,18.92,1893900
182,2018-12-21,19.72,20.0212,19.101,19.33,10065700
183,2018-12-20,20.58,20.625,19.37,19.56,7335500
184,2018-12-19,21.25,21.65,20.36,20.67,6087600
185,2018-12-18,21.59,22.07,20.74,21.07,6527500
186,2018-12-17,24.3,24.34,21.08,21.29,12124700
